j,n,h,td,val
BATT_LI,GERMANY,1,1,1.224460850303645e-09
BATT_LI,GERMANY,1,2,1.212139615972708e-09
BATT_LI,GERMANY,1,3,1.217455146377656e-09
BATT_LI,GERMANY,1,4,1.193820696245531e-09
BATT_LI,GERMANY,1,5,1.269635450921335e-09
BATT_LI,GERMANY,1,6,1.142618560008094e-09
BATT_LI,GERMANY,1,7,1.187915869111265e-09
BATT_LI,GERMANY,1,8,1.096845411340554e-09
BATT_LI,GERMANY,1,9,1.207574396309388e-09
BATT_LI,GERMANY,1,10,1.224460971410087e-09
BATT_LI,GERMANY,1,11,1.199548362981079e-09
BATT_LI,GERMANY,1,12,1.233882617499478e-09
BATT_LI,GERMANY,2,1,1.275409198805347e-09
BATT_LI,GERMANY,2,2,1.256332640674845e-09
BATT_LI,GERMANY,2,3,1.264658957182179e-09
BATT_LI,GERMANY,2,4,1.224575207445337e-09
BATT_LI,GERMANY,2,5,1.355481803236128e-09
BATT_LI,GERMANY,2,6,1.110197555323179e-09
BATT_LI,GERMANY,2,7,1.213322724024628e-09
BATT_LI,GERMANY,2,8,1.030943235802944e-09
BATT_LI,GERMANY,2,9,1.249076708585225e-09
BATT_LI,GERMANY,2,10,1.275409389216024e-09
BATT_LI,GERMANY,2,11,1.235989954518343e-09
BATT_LI,GERMANY,2,12,1.295508021940168e-09
BATT_LI,GERMANY,3,1,1.312117994505942e-09
BATT_LI,GERMANY,3,2,1.289874226404283e-09
BATT_LI,GERMANY,3,3,1.299701816350203e-09
BATT_LI,GERMANY,3,4,1.247703577594963e-09
BATT_LI,GERMANY,3,5,1.418133153378952e-09
BATT_LI,GERMANY,3,6,1.053476312592939e-09
BATT_LI,GERMANY,3,7,1.23130089096211e-09
BATT_LI,GERMANY,3,8,9.532736156766772e-10
BATT_LI,GERMANY,3,9,1.281188142582158e-09
BATT_LI,GERMANY,3,10,1.312118240046606e-09
BATT_LI,GERMANY,3,11,1.265092156935824e-09
BATT_LI,GERMANY,3,12,1.345233043869915e-09
BATT_LI,GERMANY,4,1,1.33851421244798e-09
BATT_LI,GERMANY,4,2,1.315301447766831e-09
BATT_LI,GERMANY,4,3,1.32568408307179e-09
BATT_LI,GERMANY,4,4,1.264328850396385e-09
BATT_LI,GERMANY,4,5,1.323851438270631e-09
BATT_LI,GERMANY,4,6,9.666974945843087e-10
BATT_LI,GERMANY,4,7,1.242663765214596e-09
BATT_LI,GERMANY,4,8,8.595529275204385e-10
BATT_LI,GERMANY,4,9,1.306008821588793e-09
BATT_LI,GERMANY,4,10,1.338514472477566e-09
