index,capacity
AMMONIA_STORAGE,0.04506588589238447
BATT_LI,1.064734100024044e-07
CCGT,9.180374772737158
CCGT_AMMONIA,8.667791209559516e-09
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,1.575994025344779e-09
DEC_ADVCOGEN_H2,1.034756529885333e-09
DEC_BOILER_GAS,2.906481985460524e-08
DEC_BOILER_OIL,2.427685402518401e-08
DEC_BOILER_WOOD,1.173942225758642e-08
DEC_COGEN_GAS,3.929072992924716e-09
DEC_COGEN_OIL,3.648046608489691e-09
DEC_DIRECT_ELEC,1.349319753071992e-07
DEC_HP_ELEC,73.21881151571776
DEC_SOLAR,7.53632579330129e-08
DEC_THHP_GAS,2.613119379598611e-08
DHN,35.66962105797403
DHN_BOILER_GAS,1.764861566130775e-08
DHN_BOILER_OIL,1.731308954047751e-08
DHN_BOILER_WOOD,1.576173468430375e-08
DHN_COGEN_BIO_HYDROLYSIS,2.356868390494044e-09
DHN_COGEN_GAS,7.621081453177306e-09
DHN_COGEN_WASTE,2.799060247744197e-09
DHN_COGEN_WET_BIOMASS,2.743637213179366
DHN_COGEN_WOOD,5.120899129032619e-09
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,32.92598376716943
DHN_SOLAR,9.003886271624146e-09
EFFICIENCY,0.9852216748768474
GAS_STORAGE,17773.59177160248
GEOTHERMAL,0.0
GRID,2.93315195122011
H2_STORAGE,3.391392723619061e-05
HYDRO_RIVER,5.901713315557198e-08
IND_BOILER_COAL,23.65296803306327
IND_BOILER_GAS,8.295033603971074e-08
IND_BOILER_OIL,8.669888116710268e-08
IND_BOILER_WASTE,5.043061979204333e-08
IND_BOILER_WOOD,4.472145550189516e-08
IND_COGEN_GAS,4.948288353717132e-09
IND_COGEN_WASTE,3.295253296308717e-09
IND_COGEN_WOOD,6.399836252001929e-09
IND_DIRECT_ELEC,23.65296803198978
LFO_STORAGE,0.04506588595529593
NUCLEAR,0.0
PHS,7.241999999678034
PV,78.80513788601834
TS_DEC_ADVCOGEN_GAS,1.362016444284931e-06
TS_DEC_ADVCOGEN_H2,1.346245375527782e-06
TS_DEC_BOILER_GAS,1.382364280375038e-06
TS_DEC_BOILER_OIL,1.379313356699016e-06
TS_DEC_BOILER_WOOD,1.384061258105683e-06
TS_DEC_COGEN_GAS,1.383607370985737e-06
TS_DEC_COGEN_OIL,1.370350315415452e-06
TS_DEC_DIRECT_ELEC,1.384252169741576e-06
TS_DEC_HP_ELEC,211.3965436077066
TS_DEC_THHP_GAS,1.383563341092291e-06
TS_DHN_DAILY,1.517736728159219e-05
TS_DHN_SEASONAL,5582.833866716041
TS_HIGH_TEMP,1.269952330720499e-06
WIND_OFFSHORE,2.170534475481737e-08
WIND_ONSHORE,314.9684537795424
