p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.446694675735218
AMMONIA,GERMANY,1,2,0.9108818422966657
AMMONIA,GERMANY,1,3,0.5358128366237519
AMMONIA,GERMANY,1,4,1.87534508303018
AMMONIA,GERMANY,1,5,1.928926429706178
AMMONIA,GERMANY,1,6,0.8037193284457779
AMMONIA,GERMANY,1,7,2.036089067036211
AMMONIA,GERMANY,1,8,3.054133639178726
AMMONIA,GERMANY,1,9,1.232369719266634
AMMONIA,GERMANY,1,10,1.39311347435854
AMMONIA,GERMANY,1,11,1.82176373217951
AMMONIA,GERMANY,1,12,2.518320406700455
AMMONIA,GERMANY,2,1,1.446694675731291
AMMONIA,GERMANY,2,2,0.9108818422439886
AMMONIA,GERMANY,2,3,0.5358128366318641
AMMONIA,GERMANY,2,4,1.875345083126946
AMMONIA,GERMANY,2,5,1.928926429789321
AMMONIA,GERMANY,2,6,0.803719328495213
AMMONIA,GERMANY,2,7,2.036089066998958
AMMONIA,GERMANY,2,8,3.0541336391801
AMMONIA,GERMANY,2,9,1.232369719240493
AMMONIA,GERMANY,2,10,1.393113474359343
AMMONIA,GERMANY,2,11,1.821763732104047
AMMONIA,GERMANY,2,12,2.518320406617087
AMMONIA,GERMANY,3,1,1.446694675726596
AMMONIA,GERMANY,3,2,0.9108818421784332
AMMONIA,GERMANY,3,3,0.5358128366306351
AMMONIA,GERMANY,3,4,1.875345083224342
AMMONIA,GERMANY,3,5,1.928926429869747
AMMONIA,GERMANY,3,6,0.803719328545173
AMMONIA,GERMANY,3,7,2.036089066955785
AMMONIA,GERMANY,3,8,3.054133639167065
AMMONIA,GERMANY,3,9,1.23236971920925
AMMONIA,GERMANY,3,10,1.393113474360311
AMMONIA,GERMANY,3,11,1.821763732031688
AMMONIA,GERMANY,3,12,2.518320406531743
AMMONIA,GERMANY,4,1,1.446694675722193
AMMONIA,GERMANY,4,2,0.9108818420981663
AMMONIA,GERMANY,4,3,0.5358128366338516
AMMONIA,GERMANY,4,4,1.87534508332319
AMMONIA,GERMANY,4,5,1.928926429954053
AMMONIA,GERMANY,4,6,0.803719328584255
AMMONIA,GERMANY,4,7,2.036089066912739
AMMONIA,GERMANY,4,8,3.054133639169281
AMMONIA,GERMANY,4,9,1.232369719166242
AMMONIA,GERMANY,4,10,1.393113474358334
AMMONIA,GERMANY,4,11,1.821763731953066
AMMONIA,GERMANY,4,12,2.518320406446737
AMMONIA,GERMANY,5,1,1.446694675715705
AMMONIA,GERMANY,5,2,0.910881842022808
AMMONIA,GERMANY,5,3,0.5358128366215017
AMMONIA,GERMANY,5,4,1.875345083416758
AMMONIA,GERMANY,5,5,1.928926430032191
AMMONIA,GERMANY,5,6,0.8037193286199629
AMMONIA,GERMANY,5,7,2.036089066860425
AMMONIA,GERMANY,5,8,3.054133639159359
AMMONIA,GERMANY,5,9,1.232369719124702
AMMONIA,GERMANY,5,10,1.393113474351309
AMMONIA,GERMANY,5,11,1.821763731873192
AMMONIA,GERMANY,5,12,2.51832040636092
AMMONIA,GERMANY,6,1,1.446694675705394
AMMONIA,GERMANY,6,2,0.910881841925903
AMMONIA,GERMANY,6,3,0.5358128365963759
AMMONIA,GERMANY,6,4,1.875345083509911
AMMONIA,GERMANY,6,5,1.928926430119969
AMMONIA,GERMANY,6,6,0.8037193286567009
AMMONIA,GERMANY,6,7,2.0360890668064
AMMONIA,GERMANY,6,8,3.054133639147947
AMMONIA,GERMANY,6,9,1.232369719085419
AMMONIA,GERMANY,6,10,1.393113474347321
AMMONIA,GERMANY,6,11,1.821763731785983
AMMONIA,GERMANY,6,12,2.518320406275666
AMMONIA,GERMANY,7,1,1.446694675695205
AMMONIA,GERMANY,7,2,0.9108818418275653
AMMONIA,GERMANY,7,3,0.5358128365800511
AMMONIA,GERMANY,7,4,1.875345083601005
