pt,n,h,td,val
CCGT,GERMANY,1,1,7.737006311876188e-10
CCGT,GERMANY,1,2,9.180374766408473
CCGT,GERMANY,1,3,9.180374761977395
CCGT,GERMANY,1,4,9.180374769494408
CCGT,GERMANY,1,5,8.473319278615068e-10
CCGT,GERMANY,1,6,9.180374765566153
CCGT,GERMANY,1,7,9.180374769907436
CCGT,GERMANY,1,8,9.180374770850758
CCGT,GERMANY,1,9,9.180374768062178
CCGT,GERMANY,1,10,8.058797731494382e-10
CCGT,GERMANY,1,11,9.180374769573223
CCGT,GERMANY,1,12,4.401669359681138e-10
CCGT,GERMANY,2,1,7.736850574194103e-10
CCGT,GERMANY,2,2,9.180374766408455
CCGT,GERMANY,2,3,9.180374761977365
CCGT,GERMANY,2,4,9.180374769663901
CCGT,GERMANY,2,5,8.50607011340437e-10
CCGT,GERMANY,2,6,9.180374765566155
CCGT,GERMANY,2,7,9.180374769907436
CCGT,GERMANY,2,8,9.180374770850868
CCGT,GERMANY,2,9,9.180374768062174
CCGT,GERMANY,2,10,8.058778894167732e-10
CCGT,GERMANY,2,11,9.180374769573222
CCGT,GERMANY,2,12,4.401462867003465e-10
CCGT,GERMANY,3,1,7.736676374142501e-10
CCGT,GERMANY,3,2,9.180374766408441
CCGT,GERMANY,3,3,9.180374761977355
CCGT,GERMANY,3,4,9.180374769663823
CCGT,GERMANY,3,5,8.539271574037244e-10
CCGT,GERMANY,3,6,9.180374765566151
CCGT,GERMANY,3,7,9.180374769907436
CCGT,GERMANY,3,8,9.180374770502784
CCGT,GERMANY,3,9,9.180374768062173
CCGT,GERMANY,3,10,8.058749989581335e-10
CCGT,GERMANY,3,11,9.180374769573222
CCGT,GERMANY,3,12,4.401244150569926e-10
CCGT,GERMANY,4,1,7.736482167912779e-10
CCGT,GERMANY,4,2,9.180374766408434
CCGT,GERMANY,4,3,9.180374761977353
CCGT,GERMANY,4,4,9.180374769663823
CCGT,GERMANY,4,5,8.573106425335762e-10
CCGT,GERMANY,4,6,9.180374765566155
CCGT,GERMANY,4,7,9.180374769907438
CCGT,GERMANY,4,8,9.180374770631216
CCGT,GERMANY,4,9,9.18037476806217
CCGT,GERMANY,4,10,8.058713877655118e-10
CCGT,GERMANY,4,11,9.180374769573222
CCGT,GERMANY,4,12,4.40101810814419e-10
CCGT,GERMANY,5,1,7.736275058455361e-10
CCGT,GERMANY,5,2,9.18037476640843
CCGT,GERMANY,5,3,9.180374761977347
CCGT,GERMANY,5,4,9.180374769663823
CCGT,GERMANY,5,5,8.607178762178672e-10
CCGT,GERMANY,5,6,9.18037476556616
CCGT,GERMANY,5,7,9.180374769907436
CCGT,GERMANY,5,8,9.180374770746521
CCGT,GERMANY,5,9,9.180374768062169
CCGT,GERMANY,5,10,8.058683493270399e-10
CCGT,GERMANY,5,11,9.18037476957322
CCGT,GERMANY,5,12,4.400785661327222e-10
CCGT,GERMANY,6,1,7.73608924414739e-10
CCGT,GERMANY,6,2,9.180374766408425
CCGT,GERMANY,6,3,9.180374761977347
CCGT,GERMANY,6,4,9.180374769663821
CCGT,GERMANY,6,5,1.008886937092259e-09
CCGT,GERMANY,6,6,9.180374765566171
CCGT,GERMANY,6,7,9.180374769907434
CCGT,GERMANY,6,8,9.180374770850756
CCGT,GERMANY,6,9,9.180374768062169
CCGT,GERMANY,6,10,8.058658343925165e-10
CCGT,GERMANY,6,11,9.180374769573218
CCGT,GERMANY,6,12,4.400560958439094e-10
CCGT,GERMANY,7,1,7.735922837756049e-10
CCGT,GERMANY,7,2,9.180374766408422
CCGT,GERMANY,7,3,9.180374761977347
CCGT,GERMANY,7,4,9.180374769663825
CCGT,GERMANY,7,5,8.677906300814563e-10
CCGT,GERMANY,7,6,9.180374765566185
CCGT,GERMANY,7,7,9.180374769907436
CCGT,GERMANY,7,8,9.180374770850808
CCGT,GERMANY,7,9,9.18037476806217
CCGT,GERMANY,7,10,8.058634322801347e-10
CCGT,GERMANY,7,11,9.180374769573218
CCGT,GERMANY,7,12,4.400343390130127e-10
CCGT,GERMANY,8,1,7.735765026714127e-10
CCGT,GERMANY,8,2,9.18037476640842
CCGT,GERMANY,8,3,9.18037476197735
CCGT,GERMANY,8,4,9.180374769663826
CCGT,GERMANY,8,5,1.020112617798172e-09
CCGT,GERMANY,8,6,9.180374750740356
CCGT,GERMANY,8,7,9.180374769907434
CCGT,GERMANY,8,8,4.191348679977509
CCGT,GERMANY,8,9,9.180374768062173
CCGT,GERMANY,8,10,8.058611231410537e-10
CCGT,GERMANY,8,11,9.180374769573216
CCGT,GERMANY,8,12,4.400129364305116e-10
CCGT,GERMANY,9,1,7.735614430502973e-10
CCGT,GERMANY,9,2,9.18037476640842
CCGT,GERMANY,9,3,9.180374761977365
CCGT,GERMANY,9,4,9.18037476966383
CCGT,GERMANY,9,5,8.53291921036877e-10
CCGT,GERMANY,9,6,2.11314653301961e-09
CCGT,GERMANY,9,7,9.18037476990744
CCGT,GERMANY,9,8,1.075980874764572
CCGT,GERMANY,9,9,9.180374768062174
CCGT,GERMANY,9,10,8.058588375742645e-10
CCGT,GERMANY,9,11,9.180374769573216
CCGT,GERMANY,9,12,4.39991941154497e-10
CCGT,GERMANY,10,1,7.735468746978093e-10
CCGT,GERMANY,10,2,9.180374766408422
CCGT,GERMANY,10,3,9.180374761977381
CCGT,GERMANY,10,4,9.180374769663851
CCGT,GERMANY,10,5,8.505893800914008e-10
CCGT,GERMANY,10,6,2.113683281976768e-09
CCGT,GERMANY,10,7,9.180374769907456
CCGT,GERMANY,10,8,6.065430230955808e-10
CCGT,GERMANY,10,9,9.180374768062181
CCGT,GERMANY,10,10,8.058564961744515e-10
CCGT,GERMANY,10,11,9.180374769573216
CCGT,GERMANY,10,12,4.399708984903242e-10
CCGT,GERMANY,11,1,7.735324938148884e-10
CCGT,GERMANY,11,2,9.180374766408422
CCGT,GERMANY,11,3,9.180374761977381
CCGT,GERMANY,11,4,9.180374769663961
CCGT,GERMANY,11,5,8.505871966029872e-10
CCGT,GERMANY,11,6,2.122425267549416e-09
CCGT,GERMANY,11,7,9.180374769907445
CCGT,GERMANY,11,8,5.311637263367896e-10
CCGT,GERMANY,11,9,9.18037476806219
CCGT,GERMANY,11,10,8.058537587775241e-10
CCGT,GERMANY,11,11,9.180374769573216
CCGT,GERMANY,11,12,4.399470043020164e-10
CCGT,GERMANY,12,1,7.735181491473905e-10
CCGT,GERMANY,12,2,9.180374766408422
CCGT,GERMANY,12,3,9.180374761977381
CCGT,GERMANY,12,4,9.180374767852424
CCGT,GERMANY,12,5,8.505925541871755e-10
CCGT,GERMANY,12,6,2.122675408831818e-09
CCGT,GERMANY,12,7,9.180374769907761
CCGT,GERMANY,12,8,5.311567322927823e-10
CCGT,GERMANY,12,9,9.18037476806221
CCGT,GERMANY,12,10,8.058509364518854e-10
CCGT,GERMANY,12,11,9.180374769573216
CCGT,GERMANY,12,12,4.399283968999186e-10
CCGT,GERMANY,13,1,7.735037800234044e-10
CCGT,GERMANY,13,2,9.18037476640842
CCGT,GERMANY,13,3,9.180374761977387
CCGT,GERMANY,13,4,9.180374767855538
CCGT,GERMANY,13,5,8.316699708767419e-10
CCGT,GERMANY,13,6,2.114412646708518e-09
CCGT,GERMANY,13,7,9.180374766412152
CCGT,GERMANY,13,8,5.271173527458547e-10
CCGT,GERMANY,13,9,9.180374768062226
CCGT,GERMANY,13,10,8.058477898001899e-10
CCGT,GERMANY,13,11,9.180374769573222
CCGT,GERMANY,13,12,4.399062967116171e-10
CCGT,GERMANY,14,1,7.734891847493506e-10
CCGT,GERMANY,14,2,9.18037476640842
CCGT,GERMANY,14,3,9.180374761977399
CCGT,GERMANY,14,4,9.180374767858538
CCGT,GERMANY,14,5,8.346983261907305e-10
CCGT,GERMANY,14,6,2.114700117152611e-09
CCGT,GERMANY,14,7,9.180374767027299
CCGT,GERMANY,14,8,3.676390546718552e-10
CCGT,GERMANY,14,9,9.180374768062217
CCGT,GERMANY,14,10,8.058439008338069e-10
CCGT,GERMANY,14,11,9.180374769573223
CCGT,GERMANY,14,12,6.417553661160135e-10
CCGT,GERMANY,15,1,7.734744321289742e-10
CCGT,GERMANY,15,2,9.180374766408416
CCGT,GERMANY,15,3,9.180374761977404
CCGT,GERMANY,15,4,9.180374767861963
CCGT,GERMANY,15,5,8.377691746963695e-10
CCGT,GERMANY,15,6,2.114964173680312e-09
CCGT,GERMANY,15,7,9.18037476753705
CCGT,GERMANY,15,8,5.311200434061026e-10
CCGT,GERMANY,15,9,9.180374768062197
CCGT,GERMANY,15,10,8.05839481726337e-10
CCGT,GERMANY,15,11,9.180374769573218
CCGT,GERMANY,15,12,6.441625044289197e-10
CCGT,GERMANY,16,1,7.734595390064783e-10
CCGT,GERMANY,16,2,9.180374766408413
CCGT,GERMANY,16,3,9.180374761977415
CCGT,GERMANY,16,4,9.180374767864091
CCGT,GERMANY,16,5,8.506041445525566e-10
CCGT,GERMANY,16,6,2.12112792540661e-09
CCGT,GERMANY,16,7,9.180374767966327
CCGT,GERMANY,16,8,5.311021945266677e-10
CCGT,GERMANY,16,9,9.180374768062185
CCGT,GERMANY,16,10,8.058347756380695e-10
CCGT,GERMANY,16,11,9.180374769573213
CCGT,GERMANY,16,12,3.173891461972273e-09
CCGT,GERMANY,17,1,7.73444876244545e-10
CCGT,GERMANY,17,2,9.180374766408411
CCGT,GERMANY,17,3,9.180374761977511
CCGT,GERMANY,17,4,9.18037476786671
CCGT,GERMANY,17,5,8.505596959118674e-10
CCGT,GERMANY,17,6,2.178078701186632e-09
CCGT,GERMANY,17,7,9.18037476833285
CCGT,GERMANY,17,8,5.352393084073609e-10
CCGT,GERMANY,17,9,9.180374768062176
CCGT,GERMANY,17,10,8.058301095468036e-10
CCGT,GERMANY,17,11,9.180374769573211
CCGT,GERMANY,17,12,3.344663350926971e-09
CCGT,GERMANY,18,1,7.734305447163281e-10
CCGT,GERMANY,18,2,9.180374766408411
CCGT,GERMANY,18,3,9.180374761977388
CCGT,GERMANY,18,4,9.180374768222562
