p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.446694675735218,27,1,0.053581284286489554,53.581284286489556
AMMONIA,GERMANY,1,2,0.9108818422966657,17,1,0.053581284840980334,53.58128484098033
AMMONIA,GERMANY,1,3,0.5358128366237519,10,1,0.05358128366237519,53.58128366237519
AMMONIA,GERMANY,1,4,1.87534508303018,35,1,0.05358128808657658,53.58128808657658
AMMONIA,GERMANY,1,5,1.928926429706178,36,1,0.053581289714060495,53.581289714060496
AMMONIA,GERMANY,1,6,0.8037193284457779,15,1,0.05358128856305186,53.58128856305186
AMMONIA,GERMANY,1,7,2.036089067036211,38,1,0.05358129123779502,53.58129123779502
AMMONIA,GERMANY,1,8,3.054133639178726,57,1,0.053581291915416246,53.581291915416244
AMMONIA,GERMANY,1,9,1.232369719266634,23,1,0.053581292142027566,53.581292142027564
AMMONIA,GERMANY,1,10,1.39311347435854,26,1,0.05358128747532846,53.58128747532846
AMMONIA,GERMANY,1,11,1.82176373217951,34,1,0.053581286240573824,53.581286240573824
AMMONIA,GERMANY,1,12,2.518320406700455,47,1,0.053581285248945856,53.58128524894585
AMMONIA,GERMANY,2,1,1.446694675731291,27,1,0.053581284286344115,53.581284286344115
AMMONIA,GERMANY,2,2,0.9108818422439886,17,1,0.05358128483788168,53.58128483788168
AMMONIA,GERMANY,2,3,0.5358128366318641,10,1,0.05358128366318641,53.58128366318641
AMMONIA,GERMANY,2,4,1.875345083126946,35,1,0.05358128808934132,53.581288089341314
AMMONIA,GERMANY,2,5,1.928926429789321,36,1,0.05358128971637002,53.58128971637002
AMMONIA,GERMANY,2,6,0.803719328495213,15,1,0.053581288566347536,53.58128856634754
AMMONIA,GERMANY,2,7,2.036089066998958,38,1,0.05358129123681468,53.581291236814685
AMMONIA,GERMANY,2,8,3.0541336391801,57,1,0.05358129191544035,53.58129191544035
AMMONIA,GERMANY,2,9,1.232369719240493,23,1,0.053581292140891,53.581292140891
AMMONIA,GERMANY,2,10,1.393113474359343,26,1,0.05358128747535935,53.581287475359346
AMMONIA,GERMANY,2,11,1.821763732104047,34,1,0.05358128623835432,53.58128623835432
AMMONIA,GERMANY,2,12,2.518320406617087,47,1,0.05358128524717206,53.58128524717206
AMMONIA,GERMANY,3,1,1.446694675726596,27,1,0.05358128428617022,53.58128428617022
AMMONIA,GERMANY,3,2,0.9108818421784332,17,1,0.05358128483402548,53.58128483402548
AMMONIA,GERMANY,3,3,0.5358128366306351,10,1,0.05358128366306351,53.58128366306351
AMMONIA,GERMANY,3,4,1.875345083224342,35,1,0.053581288092124056,53.581288092124055
AMMONIA,GERMANY,3,5,1.928926429869747,36,1,0.05358128971860408,53.58128971860408
AMMONIA,GERMANY,3,6,0.803719328545173,15,1,0.053581288569678205,53.58128856967821
AMMONIA,GERMANY,3,7,2.036089066955785,38,1,0.05358129123567855,53.58129123567855
AMMONIA,GERMANY,3,8,3.054133639167065,57,1,0.053581291915211667,53.581291915211665
AMMONIA,GERMANY,3,9,1.23236971920925,23,1,0.05358129213953261,53.58129213953261
