st,n,h,td,val
AMMONIA,GERMANY,1,1,2.359157220277842e-09
AMMONIA,GERMANY,1,2,3.746896978519493e-09
AMMONIA,GERMANY,1,3,6.369724073323753e-09
AMMONIA,GERMANY,1,4,1.819921379986687e-09
AMMONIA,GERMANY,1,5,1.769368151668428e-09
AMMONIA,GERMANY,1,6,4.246483297972693e-09
AMMONIA,GERMANY,1,7,1.676243814589285e-09
AMMONIA,GERMANY,1,8,1.117495883208472e-09
AMMONIA,GERMANY,1,9,2.769446342820194e-09
AMMONIA,GERMANY,1,10,2.449894369629202e-09
AMMONIA,GERMANY,1,11,1.873448624340749e-09
AMMONIA,GERMANY,1,12,1.355260635392254e-09
AMMONIA,GERMANY,2,1,2.359157220113517e-09
AMMONIA,GERMANY,2,2,3.746896978119694e-09
AMMONIA,GERMANY,2,3,6.369724073260225e-09
AMMONIA,GERMANY,2,4,1.819921380226185e-09
AMMONIA,GERMANY,2,5,1.769368151898821e-09
AMMONIA,GERMANY,2,6,4.246483298472019e-09
AMMONIA,GERMANY,2,7,1.676243814577003e-09
AMMONIA,GERMANY,2,8,1.11749588326067e-09
AMMONIA,GERMANY,2,9,2.769446342951484e-09
AMMONIA,GERMANY,2,10,2.449894369537299e-09
AMMONIA,GERMANY,2,11,1.873448624118827e-09
AMMONIA,GERMANY,2,12,1.355260635234494e-09
AMMONIA,GERMANY,3,1,2.359157219948769e-09
AMMONIA,GERMANY,3,2,3.746896977719047e-09
AMMONIA,GERMANY,3,3,6.369724073197545e-09
AMMONIA,GERMANY,3,4,1.819921380451919e-09
AMMONIA,GERMANY,3,5,1.769368152129638e-09
AMMONIA,GERMANY,3,6,4.246483298970498e-09
AMMONIA,GERMANY,3,7,1.676243814564721e-09
AMMONIA,GERMANY,3,8,1.117495883301646e-09
AMMONIA,GERMANY,3,9,2.76944634308235e-09
AMMONIA,GERMANY,3,10,2.449894369446243e-09
AMMONIA,GERMANY,3,11,1.873448623896904e-09
AMMONIA,GERMANY,3,12,1.355260635076734e-09
AMMONIA,GERMANY,4,1,2.359157219785716e-09
AMMONIA,GERMANY,4,2,3.746896977317977e-09
AMMONIA,GERMANY,4,3,6.369724073134864e-09
AMMONIA,GERMANY,4,4,1.819921380677442e-09
AMMONIA,GERMANY,4,5,1.769368152360878e-09
AMMONIA,GERMANY,4,6,4.246483299467707e-09
AMMONIA,GERMANY,4,7,1.676243814551592e-09
AMMONIA,GERMANY,4,8,1.117495883356809e-09
AMMONIA,GERMANY,4,9,2.76944634321237e-09
AMMONIA,GERMANY,4,10,2.449894369356457e-09
AMMONIA,GERMANY,4,11,1.873448623674346e-09
AMMONIA,GERMANY,4,12,1.355260634919398e-09
AMMONIA,GERMANY,5,1,2.359157219623085e-09
AMMONIA,GERMANY,5,2,3.746896976914789e-09
AMMONIA,GERMANY,5,3,6.369724073073031e-09
AMMONIA,GERMANY,5,4,1.819921380901906e-09
AMMONIA,GERMANY,5,5,1.769368152592541e-09
AMMONIA,GERMANY,5,6,4.246483299964491e-09
AMMONIA,GERMANY,5,7,1.67624381453804e-09
AMMONIA,GERMANY,5,8,1.117495883411972e-09
AMMONIA,GERMANY,5,9,2.769446343341543e-09
AMMONIA,GERMANY,5,10,2.449894369267095e-09
AMMONIA,GERMANY,5,11,1.873448623451153e-09
AMMONIA,GERMANY,5,12,1.355260634762485e-09
AMMONIA,GERMANY,6,1,2.359157219461725e-09
AMMONIA,GERMANY,6,2,3.746896976511602e-09
AMMONIA,GERMANY,6,3,6.369724073011198e-09
AMMONIA,GERMANY,6,4,1.819921381126369e-09
AMMONIA,GERMANY,6,5,1.769368152838392e-09
AMMONIA,GERMANY,6,6,4.246483300460853e-09
AMMONIA,GERMANY,6,7,1.676243814524487e-09
AMMONIA,GERMANY,6,8,1.117495883467135e-09
AMMONIA,GERMANY,6,9,2.769446343469868e-09
AMMONIA,GERMANY,6,10,2.449894369179004e-09
AMMONIA,GERMANY,6,11,1.873448623227748e-09
AMMONIA,GERMANY,6,12,1.355260634605784e-09
AMMONIA,GERMANY,7,1,2.359157219301213e-09
AMMONIA,GERMANY,7,2,3.746896976107143e-09
AMMONIA,GERMANY,7,3,6.369724072949364e-09
AMMONIA,GERMANY,7,4,1.819921381350198e-09
AMMONIA,GERMANY,7,5,1.769368153056715e-09
AMMONIA,GERMANY,7,6,4.246483300955943e-09
AMMONIA,GERMANY,7,7,1.676243814510088e-09
AMMONIA,GERMANY,7,8,1.117495883518168e-09
AMMONIA,GERMANY,7,9,2.769446343596923e-09
AMMONIA,GERMANY,7,10,2.449894369091759e-09
AMMONIA,GERMANY,7,11,1.873448623003708e-09
AMMONIA,GERMANY,7,12,1.355260634448871e-09
AMMONIA,GERMANY,8,1,2.359157219141123e-09
AMMONIA,GERMANY,8,2,3.746896975702262e-09
AMMONIA,GERMANY,8,3,6.369724072890072e-09
AMMONIA,GERMANY,8,4,1.819921381573603e-09
AMMONIA,GERMANY,8,5,1.769368153303837e-09
