j,h,td,val
AMMONIA_STORAGE,1,1,8.941715452556731e-05
AMMONIA_STORAGE,1,2,8.941598769116044e-05
AMMONIA_STORAGE,1,3,8.941664778912284e-05
AMMONIA_STORAGE,1,4,8.94159517181442e-05
AMMONIA_STORAGE,1,5,8.94168854370242e-05
AMMONIA_STORAGE,1,6,8.941607601541113e-05
AMMONIA_STORAGE,1,7,8.941593616755561e-05
AMMONIA_STORAGE,1,8,8.941603979187307e-05
AMMONIA_STORAGE,1,9,8.94158901579567e-05
AMMONIA_STORAGE,1,10,8.941718310803703e-05
AMMONIA_STORAGE,1,11,8.941591345537625e-05
AMMONIA_STORAGE,1,12,8.941684376435888e-05
AMMONIA_STORAGE,2,1,8.941715452567833e-05
AMMONIA_STORAGE,2,2,8.941598769279802e-05
AMMONIA_STORAGE,2,3,8.94166477909547e-05
AMMONIA_STORAGE,2,4,8.941591892261402e-05
AMMONIA_STORAGE,2,5,8.941688455664509e-05
AMMONIA_STORAGE,2,6,8.941607601532786e-05
AMMONIA_STORAGE,2,7,8.941593616780541e-05
AMMONIA_STORAGE,2,8,8.941603976370116e-05
AMMONIA_STORAGE,2,9,8.941589015822038e-05
AMMONIA_STORAGE,2,10,8.941718310739866e-05
AMMONIA_STORAGE,2,11,8.941591345573707e-05
AMMONIA_STORAGE,2,12,8.941684376390091e-05
AMMONIA_STORAGE,3,1,8.941715452630283e-05
AMMONIA_STORAGE,3,2,8.94159876943662e-05
AMMONIA_STORAGE,3,3,8.94166477915237e-05
AMMONIA_STORAGE,3,4,8.941591893946166e-05
AMMONIA_STORAGE,3,5,8.941688366599643e-05
AMMONIA_STORAGE,3,6,8.941607601557766e-05
AMMONIA_STORAGE,3,7,8.94159361678748e-05
AMMONIA_STORAGE,3,8,8.941610926220533e-05
AMMONIA_STORAGE,3,9,8.941589015822038e-05
AMMONIA_STORAGE,3,10,8.941718310748192e-05
AMMONIA_STORAGE,3,11,8.941591345561217e-05
AMMONIA_STORAGE,3,12,8.941684376391479e-05
AMMONIA_STORAGE,4,1,8.94171545255118e-05
AMMONIA_STORAGE,4,2,8.941598769514336e-05
AMMONIA_STORAGE,4,3,8.941664779199554e-05
AMMONIA_STORAGE,4,4,8.941591894001677e-05
AMMONIA_STORAGE,4,5,8.941688276191406e-05
AMMONIA_STORAGE,4,6,8.941607601577195e-05
AMMONIA_STORAGE,4,7,8.94159361673752e-05
AMMONIA_STORAGE,4,8,8.941608741865059e-05
AMMONIA_STORAGE,4,9,8.941589015866447e-05
AMMONIA_STORAGE,4,10,8.94171831077456e-05
AMMONIA_STORAGE,4,11,8.941591345561217e-05
AMMONIA_STORAGE,4,12,8.941684376392867e-05
AMMONIA_STORAGE,5,1,8.941715452569221e-05
AMMONIA_STORAGE,5,2,8.941598769526826e-05
AMMONIA_STORAGE,5,3,8.941664779209268e-05
AMMONIA_STORAGE,5,4,8.941591894073841e-05
AMMONIA_STORAGE,5,5,8.941688185531982e-05
AMMONIA_STORAGE,5,6,8.941607601531398e-05
AMMONIA_STORAGE,5,7,8.941593616873522e-05
AMMONIA_STORAGE,5,8,8.941606431185634e-05
AMMONIA_STORAGE,5,9,8.94158901594555e-05
AMMONIA_STORAGE,5,10,8.941718310701008e-05
AMMONIA_STORAGE,5,11,8.94159134550293e-05
AMMONIA_STORAGE,5,12,8.941684376279069e-05
AMMONIA_STORAGE,6,1,8.941715452542853e-05
AMMONIA_STORAGE,6,2,8.941598769596215e-05
AMMONIA_STORAGE,6,3,8.941664779246739e-05
AMMONIA_STORAGE,6,4,8.94159189401833e-05
AMMONIA_STORAGE,6,5,8.941684559930774e-05
AMMONIA_STORAGE,6,6,8.941607601439805e-05
AMMONIA_STORAGE,6,7,8.941593616730581e-05
AMMONIA_STORAGE,6,8,8.941603979222001e-05
AMMONIA_STORAGE,6,9,8.941589015903917e-05
AMMONIA_STORAGE,6,10,8.941718310728763e-05
AMMONIA_STORAGE,6,11,8.941591345518196e-05
AMMONIA_STORAGE,6,12,8.941684376373438e-05
AMMONIA_STORAGE,7,1,8.941715452619181e-05
AMMONIA_STORAGE,7,2,8.941598769635073e-05
AMMONIA_STORAGE,7,3,8.941664779234249e-05
AMMONIA_STORAGE,7,4,8.941591893921186e-05
AMMONIA_STORAGE,7,5,8.941687998634262e-05
AMMONIA_STORAGE,7,6,8.941607601284374e-05
AMMONIA_STORAGE,7,7,8.941593616758337e-05
AMMONIA_STORAGE,7,8,8.941603977866142e-05
AMMONIA_STORAGE,7,9,8.941589015896978e-05
AMMONIA_STORAGE,7,10,8.941718310755131e-05
AMMONIA_STORAGE,7,11,8.941591345458522e-05
AMMONIA_STORAGE,7,12,8.941684376385928e-05
AMMONIA_STORAGE,8,1,8.941715452583099e-05
AMMONIA_STORAGE,8,2,8.941598769642012e-05
AMMONIA_STORAGE,8,3,8.941664779262004e-05
AMMONIA_STORAGE,8,4,8.941591893886491e-05
AMMONIA_STORAGE,8,5,8.941684304422659e-05
AMMONIA_STORAGE,8,6,8.941647977200873e-05
AMMONIA_STORAGE,8,7,8.941593616695886e-05
AMMONIA_STORAGE,8,8,8.941637774252664e-05
AMMONIA_STORAGE,8,9,8.941589015873386e-05
AMMONIA_STORAGE,8,10,8.941718310792601e-05
AMMONIA_STORAGE,8,11,8.941591345507094e-05
AMMONIA_STORAGE,8,12,8.94168437637205e-05
AMMONIA_STORAGE,9,1,8.94171545257616e-05
AMMONIA_STORAGE,9,2,8.941598769623971e-05
AMMONIA_STORAGE,9,3,8.941664779169023e-05
AMMONIA_STORAGE,9,4,8.94159189384347e-05
AMMONIA_STORAGE,9,5,8.941688383158619e-05
AMMONIA_STORAGE,9,6,8.941758840319558e-05
AMMONIA_STORAGE,9,7,8.941593616616783e-05
AMMONIA_STORAGE,9,8,8.94163777256235e-05
AMMONIA_STORAGE,9,9,8.941589015824813e-05
AMMONIA_STORAGE,9,10,8.941718310763458e-05
AMMONIA_STORAGE,9,11,8.941591345543176e-05
AMMONIA_STORAGE,9,12,8.9416843763096e-05
AMMONIA_STORAGE,10,1,8.941715452517873e-05
AMMONIA_STORAGE,10,2,8.941598769579562e-05
AMMONIA_STORAGE,10,3,8.941664779084368e-05
AMMONIA_STORAGE,10,4,8.941591893454892e-05
AMMONIA_STORAGE,10,5,8.941688455546548e-05
AMMONIA_STORAGE,10,6,8.941758835108449e-05
AMMONIA_STORAGE,10,7,8.94159361625041e-05
AMMONIA_STORAGE,10,8,8.94166948863101e-05
AMMONIA_STORAGE,10,9,8.941589015687423e-05
AMMONIA_STORAGE,10,10,8.941718310744029e-05
AMMONIA_STORAGE,10,11,8.941591345482114e-05
AMMONIA_STORAGE,10,12,8.941684376377601e-05
AMMONIA_STORAGE,11,1,8.941715452552568e-05
AMMONIA_STORAGE,11,2,8.94159876959344e-05
AMMONIA_STORAGE,11,3,8.941664779110736e-05
AMMONIA_STORAGE,11,4,8.941591891174772e-05
AMMONIA_STORAGE,11,5,8.941688455493813e-05
AMMONIA_STORAGE,11,6,8.94175865593233e-05
AMMONIA_STORAGE,11,7,8.941593616451637e-05
AMMONIA_STORAGE,11,8,8.941671509248017e-05
AMMONIA_STORAGE,11,9,8.941589015573626e-05
AMMONIA_STORAGE,11,10,8.941718310731539e-05
AMMONIA_STORAGE,11,11,8.941591345505706e-05
AMMONIA_STORAGE,11,12,8.941684376516379e-05
AMMONIA_STORAGE,12,1,8.941715452574772e-05
AMMONIA_STORAGE,12,2,8.941598769585113e-05
AMMONIA_STORAGE,12,3,8.94166477912045e-05
AMMONIA_STORAGE,12,4,8.941612401330845e-05
AMMONIA_STORAGE,12,5,8.941688455287033e-05
AMMONIA_STORAGE,12,6,8.941758656197396e-05
AMMONIA_STORAGE,12,7,8.941593609552989e-05
AMMONIA_STORAGE,12,8,8.941671509143934e-05
AMMONIA_STORAGE,12,9,8.94158901529607e-05
AMMONIA_STORAGE,12,10,8.941718310725988e-05
AMMONIA_STORAGE,12,11,8.94159134543493e-05
AMMONIA_STORAGE,12,12,8.94168437640952e-05
AMMONIA_STORAGE,13,1,8.94171545256367e-05
AMMONIA_STORAGE,13,2,8.941598769572623e-05
AMMONIA_STORAGE,13,3,8.941664779105185e-05
AMMONIA_STORAGE,13,4,8.941612382361297e-05
AMMONIA_STORAGE,13,5,8.941688968332195e-05
AMMONIA_STORAGE,13,6,8.94175883621312e-05
AMMONIA_STORAGE,13,7,8.941620934360683e-05
AMMONIA_STORAGE,13,8,8.941671624615455e-05
AMMONIA_STORAGE,13,9,8.941589015024065e-05
AMMONIA_STORAGE,13,10,8.94171831077456e-05
AMMONIA_STORAGE,13,11,8.94159134534056e-05
AMMONIA_STORAGE,13,12,8.941684376408132e-05
AMMONIA_STORAGE,14,1,8.941715452565058e-05
AMMONIA_STORAGE,14,2,8.94159876959344e-05
AMMONIA_STORAGE,14,3,8.94166477902053e-05
AMMONIA_STORAGE,14,4,8.941612363713713e-05
AMMONIA_STORAGE,14,5,8.941688885368004e-05
AMMONIA_STORAGE,14,6,8.941758835524782e-05
AMMONIA_STORAGE,14,7,8.941618991577249e-05
AMMONIA_STORAGE,14,8,8.941676961714273e-05
AMMONIA_STORAGE,14,9,8.941589015189211e-05
AMMONIA_STORAGE,14,10,8.941718310771785e-05
AMMONIA_STORAGE,14,11,8.941591345355826e-05
AMMONIA_STORAGE,14,12,8.941677681767457e-05
AMMONIA_STORAGE,15,1,8.941715452587262e-05
AMMONIA_STORAGE,15,2,8.94159876959344e-05
AMMONIA_STORAGE,15,3,8.94166477899e-05
AMMONIA_STORAGE,15,4,8.941612345961247e-05
AMMONIA_STORAGE,15,5,8.94168880160029e-05
AMMONIA_STORAGE,15,6,8.941758835311064e-05
AMMONIA_STORAGE,15,7,8.941616962365728e-05
AMMONIA_STORAGE,15,8,8.941671508878868e-05
AMMONIA_STORAGE,15,9,8.941589015488971e-05
AMMONIA_STORAGE,15,10,8.941718310767621e-05
AMMONIA_STORAGE,15,11,8.941591345362765e-05
AMMONIA_STORAGE,15,12,8.941677612508969e-05
AMMONIA_STORAGE,16,1,8.94171545253869e-05
AMMONIA_STORAGE,16,2,8.941598769640624e-05
AMMONIA_STORAGE,16,3,8.941664778923386e-05
AMMONIA_STORAGE,16,4,8.941612329398108e-05
AMMONIA_STORAGE,16,5,8.941688454541796e-05
AMMONIA_STORAGE,16,6,8.941758710362402e-05
AMMONIA_STORAGE,16,7,8.941614841183332e-05
AMMONIA_STORAGE,16,8,8.941671509123117e-05
AMMONIA_STORAGE,16,9,8.941589015702689e-05
AMMONIA_STORAGE,16,10,8.941718310734315e-05
AMMONIA_STORAGE,16,11,8.941591345411337e-05
AMMONIA_STORAGE,16,12,8.941652525545907e-05
AMMONIA_STORAGE,17,1,8.941715452590038e-05
