j,h,td,val
AMMONIA_STORAGE,1,1,8.94157260096784e-05
AMMONIA_STORAGE,1,2,8.94168928425032e-05
AMMONIA_STORAGE,1,3,8.9416232743042e-05
AMMONIA_STORAGE,1,4,8.941692881540841e-05
AMMONIA_STORAGE,1,5,8.941599509558473e-05
AMMONIA_STORAGE,1,6,8.94168045170729e-05
AMMONIA_STORAGE,1,7,8.941694436648273e-05
AMMONIA_STORAGE,1,8,8.94168407412077e-05
AMMONIA_STORAGE,1,9,8.94169903763592e-05
AMMONIA_STORAGE,1,10,8.941569742852706e-05
AMMONIA_STORAGE,1,11,8.941696707948088e-05
AMMONIA_STORAGE,1,12,8.941603676877741e-05
AMMONIA_STORAGE,2,1,8.94157260098033e-05
AMMONIA_STORAGE,2,2,8.941689284008847e-05
AMMONIA_STORAGE,2,3,8.941623274089094e-05
AMMONIA_STORAGE,2,4,8.941696161066104e-05
AMMONIA_STORAGE,2,5,8.941599597780958e-05
AMMONIA_STORAGE,2,6,8.941680451700351e-05
AMMONIA_STORAGE,2,7,8.941694436688519e-05
AMMONIA_STORAGE,2,8,8.941684076925471e-05
AMMONIA_STORAGE,2,9,8.941699037574857e-05
AMMONIA_STORAGE,2,10,8.941569742788869e-05
AMMONIA_STORAGE,2,11,8.941696707952251e-05
AMMONIA_STORAGE,2,12,8.941603676881904e-05
AMMONIA_STORAGE,3,1,8.941572601041392e-05
AMMONIA_STORAGE,3,2,8.941689283858967e-05
AMMONIA_STORAGE,3,3,8.941623274015542e-05
AMMONIA_STORAGE,3,4,8.941696159514567e-05
AMMONIA_STORAGE,3,5,8.941599686783375e-05
AMMONIA_STORAGE,3,6,8.941680451636513e-05
AMMONIA_STORAGE,3,7,8.941694436703784e-05
AMMONIA_STORAGE,3,8,8.941677126964032e-05
AMMONIA_STORAGE,3,9,8.94169903751102e-05
AMMONIA_STORAGE,3,10,8.941569742799971e-05
AMMONIA_STORAGE,3,11,8.941696707930047e-05
AMMONIA_STORAGE,3,12,8.941603676887455e-05
AMMONIA_STORAGE,4,1,8.941572600963676e-05
AMMONIA_STORAGE,4,2,8.941689283790966e-05
AMMONIA_STORAGE,4,3,8.941623274008603e-05
AMMONIA_STORAGE,4,4,8.941696159479873e-05
AMMONIA_STORAGE,4,5,8.941599777068099e-05
AMMONIA_STORAGE,4,6,8.941680451698963e-05
AMMONIA_STORAGE,4,7,8.941694436653824e-05
AMMONIA_STORAGE,4,8,8.941679311406936e-05
AMMONIA_STORAGE,4,9,8.941699037463835e-05
AMMONIA_STORAGE,4,10,8.941569742823563e-05
AMMONIA_STORAGE,4,11,8.941696707928659e-05
AMMONIA_STORAGE,4,12,8.941603676895782e-05
AMMONIA_STORAGE,5,1,8.941572600983105e-05
AMMONIA_STORAGE,5,2,8.941689283724352e-05
AMMONIA_STORAGE,5,3,8.941623273962807e-05
AMMONIA_STORAGE,5,4,8.941696159503465e-05
AMMONIA_STORAGE,5,5,8.941599867741401e-05
AMMONIA_STORAGE,5,6,8.941680451762801e-05
AMMONIA_STORAGE,5,7,8.941694436766234e-05
AMMONIA_STORAGE,5,8,8.941681622173792e-05
AMMONIA_STORAGE,5,9,8.941699037497142e-05
AMMONIA_STORAGE,5,10,8.941569742748623e-05
AMMONIA_STORAGE,5,11,8.941696707866209e-05
AMMONIA_STORAGE,5,12,8.941603676779208e-05
AMMONIA_STORAGE,6,1,8.941572600956738e-05
AMMONIA_STORAGE,6,2,8.941689283720189e-05
AMMONIA_STORAGE,6,3,8.941623273975297e-05
AMMONIA_STORAGE,6,4,8.9416961594313e-05
AMMONIA_STORAGE,6,5,8.941603493388406e-05
