j,n,h,td,val
BATT_LI,GERMANY,1,1,4.107052113984643e-08
BATT_LI,GERMANY,1,2,4.040661740229855e-08
BATT_LI,GERMANY,1,3,4.068649955144612e-08
BATT_LI,GERMANY,1,4,3.99129472318887e-08
BATT_LI,GERMANY,1,5,4.333739740415002e-08
BATT_LI,GERMANY,1,6,3.784222486347952e-08
BATT_LI,GERMANY,1,7,3.896582306184884e-08
BATT_LI,GERMANY,1,8,3.420173789046486e-08
BATT_LI,GERMANY,1,9,4.016437169076435e-08
BATT_LI,GERMANY,1,10,4.107051653482645e-08
BATT_LI,GERMANY,1,11,3.970025811545451e-08
BATT_LI,GERMANY,1,12,4.15443178775296e-08
BATT_LI,GERMANY,2,1,4.445649490784833e-08
BATT_LI,GERMANY,2,2,4.341143999694674e-08
BATT_LI,GERMANY,2,3,4.384988051829607e-08
BATT_LI,GERMANY,2,4,4.151211771139858e-08
BATT_LI,GERMANY,2,5,4.893926895444033e-08
BATT_LI,GERMANY,2,6,3.796394549015369e-08
BATT_LI,GERMANY,2,7,4.085353848130076e-08
BATT_LI,GERMANY,2,8,3.132771658626981e-08
BATT_LI,GERMANY,2,9,4.303065283795367e-08
BATT_LI,GERMANY,2,10,4.445648637359836e-08
BATT_LI,GERMANY,2,11,4.227807544134629e-08
BATT_LI,GERMANY,2,12,4.548430389018096e-08
BATT_LI,GERMANY,3,1,4.69038364032083e-08
BATT_LI,GERMANY,3,2,4.567153219449984e-08
BATT_LI,GERMANY,3,3,4.618361330925537e-08
BATT_LI,GERMANY,3,4,4.254987294508006e-08
BATT_LI,GERMANY,3,5,5.364255043554199e-08
BATT_LI,GERMANY,3,6,3.676229919856141e-08
BATT_LI,GERMANY,3,7,4.218344188254455e-08
BATT_LI,GERMANY,3,8,3.113664462501794e-08
BATT_LI,GERMANY,3,9,4.522528046914891e-08
BATT_LI,GERMANY,3,10,4.690382228161053e-08
BATT_LI,GERMANY,3,11,4.430563669261911e-08
BATT_LI,GERMANY,3,12,4.861725639718282e-08
BATT_LI,GERMANY,4,1,4.866772294380103e-08
