pt,n,h,td,val
CCGT,GERMANY,1,1,6.039075365752752e-14
CCGT,GERMANY,1,2,9.591576805556142e-14
CCGT,GERMANY,1,3,1.630583368300869e-13
CCGT,GERMANY,1,4,4.658701892422756e-14
CCGT,GERMANY,1,5,4.529328394365921e-14
CCGT,GERMANY,1,6,1.087040437471536e-13
CCGT,GERMANY,1,7,4.29108038165935e-14
CCGT,GERMANY,1,8,2.860618737585352e-14
CCGT,GERMANY,1,9,7.089898670347787e-14
CCGT,GERMANY,1,10,6.271358921782597e-14
CCGT,GERMANY,1,11,4.796174256779923e-14
CCGT,GERMANY,1,12,3.469282331241204e-14
CCGT,GERMANY,2,1,6.039075357077717e-14
CCGT,GERMANY,2,2,9.591576831729322e-14
CCGT,GERMANY,2,3,1.63058336846885e-13
CCGT,GERMANY,2,4,4.658702717397372e-14
CCGT,GERMANY,2,5,4.529328399277235e-14
CCGT,GERMANY,2,6,1.087040424677567e-13
CCGT,GERMANY,2,7,4.291080408647225e-14
CCGT,GERMANY,2,8,2.86061873886978e-14
CCGT,GERMANY,2,9,7.089953152465068e-14
CCGT,GERMANY,2,10,6.271358931086733e-14
CCGT,GERMANY,2,11,4.796174349653866e-14
CCGT,GERMANY,2,12,3.469282331414166e-14
CCGT,GERMANY,3,1,6.039075346588038e-14
CCGT,GERMANY,3,2,9.591583499066212e-14
CCGT,GERMANY,3,3,1.630583369326533e-13
CCGT,GERMANY,3,4,4.658702730613741e-14
CCGT,GERMANY,3,5,4.529328403942329e-14
CCGT,GERMANY,3,6,1.087040424352924e-13
CCGT,GERMANY,3,7,4.291080435310617e-14
CCGT,GERMANY,3,8,2.860618740084035e-14
CCGT,GERMANY,3,9,7.089953261608125e-14
CCGT,GERMANY,3,10,6.27135894059502e-14
CCGT,GERMANY,3,11,4.796174442006951e-14
CCGT,GERMANY,3,12,3.469282331732674e-14
CCGT,GERMANY,4,1,6.039075336733383e-14
CCGT,GERMANY,4,2,9.591703438622981e-14
CCGT,GERMANY,4,3,1.630583782399582e-13
CCGT,GERMANY,4,4,4.658702739472472e-14
CCGT,GERMANY,4,5,4.529328408193406e-14
CCGT,GERMANY,4,6,1.087040425422395e-13
CCGT,GERMANY,4,7,4.291080462016882e-14
CCGT,GERMANY,4,8,2.860618741147917e-14
CCGT,GERMANY,4,9,7.08995337004911e-14
CCGT,GERMANY,4,10,6.271358950992167e-14
CCGT,GERMANY,4,11,4.79617453420761e-14
CCGT,GERMANY,4,12,3.469282331853861e-14
