ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12986089628879
ELECTRICITY,GERMANY,1,2,60.82287127923441
ELECTRICITY,GERMANY,1,3,60.74142152599134
ELECTRICITY,GERMANY,1,4,58.10672564195849
ELECTRICITY,GERMANY,1,5,59.59632080892934
ELECTRICITY,GERMANY,1,6,56.1569557919639
ELECTRICITY,GERMANY,1,7,56.5841901891021
ELECTRICITY,GERMANY,1,8,56.52646637141859
ELECTRICITY,GERMANY,1,9,57.74452823112794
ELECTRICITY,GERMANY,1,10,67.49112574419794
ELECTRICITY,GERMANY,1,11,57.68133349024473
ELECTRICITY,GERMANY,1,12,68.60356510591649
ELECTRICITY,GERMANY,2,1,70.54118056046207
ELECTRICITY,GERMANY,2,2,60.19354769348261
ELECTRICITY,GERMANY,2,3,60.34383059388417
ELECTRICITY,GERMANY,2,4,58.18599819482665
ELECTRICITY,GERMANY,2,5,59.60243644912717
ELECTRICITY,GERMANY,2,6,56.49358501418077
ELECTRICITY,GERMANY,2,7,56.63968097631318
ELECTRICITY,GERMANY,2,8,56.56437205002542
ELECTRICITY,GERMANY,2,9,57.77299935937224
ELECTRICITY,GERMANY,2,10,67.66748966171278
ELECTRICITY,GERMANY,2,11,57.23299695897047
ELECTRICITY,GERMANY,2,12,68.22370420619234
ELECTRICITY,GERMANY,3,1,70.5331315626255
ELECTRICITY,GERMANY,3,2,59.90040672401302
ELECTRICITY,GERMANY,3,3,60.48546050046833
ELECTRICITY,GERMANY,3,4,58.66436897509444
ELECTRICITY,GERMANY,3,5,59.56825528956831
ELECTRICITY,GERMANY,3,6,56.95543137494678
ELECTRICITY,GERMANY,3,7,57.23260617848916
ELECTRICITY,GERMANY,3,8,56.84043034278707
ELECTRICITY,GERMANY,3,9,58.1254272664728
ELECTRICITY,GERMANY,3,10,68.37288042410056
ELECTRICITY,GERMANY,3,11,57.0734469893041
ELECTRICITY,GERMANY,3,12,68.36683361287156
ELECTRICITY,GERMANY,4,1,70.7685647497348
ELECTRICITY,GERMANY,4,2,59.93619102441215
ELECTRICITY,GERMANY,4,3,60.68928028326415
ELECTRICITY,GERMANY,4,4,60.06174311457326
ELECTRICITY,GERMANY,4,5,61.10338440023305
ELECTRICITY,GERMANY,4,6,58.40064817503946
ELECTRICITY,GERMANY,4,7,58.49599853800754
ELECTRICITY,GERMANY,4,8,58.65648038386953
ELECTRICITY,GERMANY,4,9,59.98643419046364
ELECTRICITY,GERMANY,4,10,69.82825600870183
ELECTRICITY,GERMANY,4,11,56.91897716212839
ELECTRICITY,GERMANY,4,12,68.93987053118
ELECTRICITY,GERMANY,5,1,72.01414717675655
ELECTRICITY,GERMANY,5,2,60.83364564734261
ELECTRICITY,GERMANY,5,3,62.05667599949184
ELECTRICITY,GERMANY,5,4,63.33810006688171
ELECTRICITY,GERMANY,5,5,64.09799745791095
ELECTRICITY,GERMANY,5,6,61.57048961226619
ELECTRICITY,GERMANY,5,7,61.53364461897711
ELECTRICITY,GERMANY,5,8,61.82605985308152
ELECTRICITY,GERMANY,5,9,63.06410732820313
ELECTRICITY,GERMANY,5,10,73.92824667953657
ELECTRICITY,GERMANY,5,11,56.81971899345567
ELECTRICITY,GERMANY,5,12,70.59062970570841
ELECTRICITY,GERMANY,6,1,75.57180434166744
ELECTRICITY,GERMANY,6,2,63.87776751434222
ELECTRICITY,GERMANY,6,3,65.40298260610129
ELECTRICITY,GERMANY,6,4,65.36189485355578
ELECTRICITY,GERMANY,6,5,66.62359883029359
ELECTRICITY,GERMANY,6,6,63.95787745438296
ELECTRICITY,GERMANY,6,7,63.96837269001347
ELECTRICITY,GERMANY,6,8,64.14863400905469
ELECTRICITY,GERMANY,6,9,65.28853983040553
ELECTRICITY,GERMANY,6,10,76.78200594195283
ELECTRICITY,GERMANY,6,11,57.49705271702176
ELECTRICITY,GERMANY,6,12,74.74728956852384
ELECTRICITY,GERMANY,7,1,79.05773466641661
ELECTRICITY,GERMANY,7,2,66.65102288280612
ELECTRICITY,GERMANY,7,3,67.85239284719486
ELECTRICITY,GERMANY,7,4,66.59179176808095
ELECTRICITY,GERMANY,7,5,68.23345903456827
ELECTRICITY,GERMANY,7,6,65.13334427080466
ELECTRICITY,GERMANY,7,7,65.14277881732369
ELECTRICITY,GERMANY,7,8,65.5155399514038
ELECTRICITY,GERMANY,7,9,66.79343434834811
ELECTRICITY,GERMANY,7,10,78.31254891073444
ELECTRICITY,GERMANY,7,11,58.78489675138674
ELECTRICITY,GERMANY,7,12,78.19674094068748
ELECTRICITY,GERMANY,8,1,80.69667954532163
ELECTRICITY,GERMANY,8,2,67.54858915722195
ELECTRICITY,GERMANY,8,3,68.37296788817972
ELECTRICITY,GERMANY,8,4,66.89760518090023
ELECTRICITY,GERMANY,8,5,68.75680500419928
ELECTRICITY,GERMANY,8,6,66.29131943264301
ELECTRICITY,GERMANY,8,7,65.71236885948667
ELECTRICITY,GERMANY,8,8,67.64303791907979
ELECTRICITY,GERMANY,8,9,67.36799288151892
ELECTRICITY,GERMANY,8,10,78.69539561802907
ELECTRICITY,GERMANY,8,11,60.9964893330067
ELECTRICITY,GERMANY,8,12,79.29893482615184
ELECTRICITY,GERMANY,9,1,80.57704805765151
ELECTRICITY,GERMANY,9,2,67.81906487556772
ELECTRICITY,GERMANY,9,3,68.19544202971363
ELECTRICITY,GERMANY,9,4,67.38474060265207
ELECTRICITY,GERMANY,9,5,69.18285265963671
ELECTRICITY,GERMANY,9,6,67.66023523316949
ELECTRICITY,GERMANY,9,7,66.89732605197983
ELECTRICITY,GERMANY,9,8,68.38126427306965
ELECTRICITY,GERMANY,9,9,68.16931557732104
ELECTRICITY,GERMANY,9,10,79.01774501693627
ELECTRICITY,GERMANY,9,11,62.20472585976446
ELECTRICITY,GERMANY,9,12,79.71423733146729
ELECTRICITY,GERMANY,10,1,81.3255400208011
ELECTRICITY,GERMANY,10,2,68.21793979973438
ELECTRICITY,GERMANY,10,3,68.49304905852482
ELECTRICITY,GERMANY,10,4,67.75509491125095
ELECTRICITY,GERMANY,10,5,71.12433848417741
ELECTRICITY,GERMANY,10,6,68.55272298528902
ELECTRICITY,GERMANY,10,7,67.61971114914031
ELECTRICITY,GERMANY,10,8,69.13463108370665
ELECTRICITY,GERMANY,10,9,68.90682945041483
ELECTRICITY,GERMANY,10,10,79.78778749342646
ELECTRICITY,GERMANY,10,11,63.09710034020709
ELECTRICITY,GERMANY,10,12,79.9886174014936
ELECTRICITY,GERMANY,11,1,82.09389484050124
ELECTRICITY,GERMANY,11,2,68.37352614174345
ELECTRICITY,GERMANY,11,3,68.3494094252258
ELECTRICITY,GERMANY,11,4,67.65958101301968
ELECTRICITY,GERMANY,11,5,72.5573430097455
ELECTRICITY,GERMANY,11,6,68.81309058504237
ELECTRICITY,GERMANY,11,7,66.68211781791646
ELECTRICITY,GERMANY,11,8,68.61162791814763
ELECTRICITY,GERMANY,11,9,68.65488787836057
ELECTRICITY,GERMANY,11,10,79.59207999325807
ELECTRICITY,GERMANY,11,11,63.51132734332904
ELECTRICITY,GERMANY,11,12,80.24456265659309
ELECTRICITY,GERMANY,12,1,81.84035138081376
ELECTRICITY,GERMANY,12,2,68.25344497143521
ELECTRICITY,GERMANY,12,3,67.50817132414402
ELECTRICITY,GERMANY,12,4,67.46883316148727
ELECTRICITY,GERMANY,12,5,78.30972737752283
ELECTRICITY,GERMANY,12,6,68.4759542587947
ELECTRICITY,GERMANY,12,7,66.43889802414523
ELECTRICITY,GERMANY,12,8,68.05387225844935
ELECTRICITY,GERMANY,12,9,68.41439058575442
ELECTRICITY,GERMANY,12,10,79.35794501778292
ELECTRICITY,GERMANY,12,11,63.32793978197962
ELECTRICITY,GERMANY,12,12,80.27279907833204
ELECTRICITY,GERMANY,13,1,81.60589183793567
ELECTRICITY,GERMANY,13,2,68.07764971094683
ELECTRICITY,GERMANY,13,3,66.72543860032762
ELECTRICITY,GERMANY,13,4,66.99376790814905
ELECTRICITY,GERMANY,13,5,77.61462213724126
ELECTRICITY,GERMANY,13,6,67.89197010272117
ELECTRICITY,GERMANY,13,7,66.29417410134309
ELECTRICITY,GERMANY,13,8,68.88298001375085
ELECTRICITY,GERMANY,13,9,67.8931684481412
ELECTRICITY,GERMANY,13,10,78.56622217814683
ELECTRICITY,GERMANY,13,11,62.34696984953558
ELECTRICITY,GERMANY,13,12,79.56948512955763
ELECTRICITY,GERMANY,14,1,81.0409689711995
ELECTRICITY,GERMANY,14,2,67.62618693814001
ELECTRICITY,GERMANY,14,3,65.88520536261167
ELECTRICITY,GERMANY,14,4,66.44438577183007
ELECTRICITY,GERMANY,14,5,77.14650386790542
ELECTRICITY,GERMANY,14,6,67.62658342038125
ELECTRICITY,GERMANY,14,7,65.87531504469248
ELECTRICITY,GERMANY,14,8,75.45483809037214
ELECTRICITY,GERMANY,14,9,67.7209981592371
ELECTRICITY,GERMANY,14,10,77.87342412865112
ELECTRICITY,GERMANY,14,11,61.68934261278491
ELECTRICITY,GERMANY,14,12,77.5544709764549
ELECTRICITY,GERMANY,15,1,80.78554308671153
ELECTRICITY,GERMANY,15,2,67.21095507166397
ELECTRICITY,GERMANY,15,3,65.73721132147325
ELECTRICITY,GERMANY,15,4,65.9024721480376
ELECTRICITY,GERMANY,15,5,76.6340156664908
ELECTRICITY,GERMANY,15,6,66.88561468084906
ELECTRICITY,GERMANY,15,7,65.3250933177936
ELECTRICITY,GERMANY,15,8,73.88942853669516
ELECTRICITY,GERMANY,15,9,67.22574889208249
ELECTRICITY,GERMANY,15,10,76.82926135032619
ELECTRICITY,GERMANY,15,11,61.45269729387089
ELECTRICITY,GERMANY,15,12,69.64606777286738
ELECTRICITY,GERMANY,16,1,80.68726740983311
ELECTRICITY,GERMANY,16,2,67.00512556215891
ELECTRICITY,GERMANY,16,3,65.78784526916589
ELECTRICITY,GERMANY,16,4,65.73123800947539
ELECTRICITY,GERMANY,16,5,76.30206323119087
ELECTRICITY,GERMANY,16,6,66.57949152431637
ELECTRICITY,GERMANY,16,7,65.15371927564706
ELECTRICITY,GERMANY,16,8,65.82516365685461
ELECTRICITY,GERMANY,16,9,67.05408473618904
ELECTRICITY,GERMANY,16,10,77.05677537020698
ELECTRICITY,GERMANY,16,11,61.67393470806146
ELECTRICITY,GERMANY,16,12,69.47462993014567
ELECTRICITY,GERMANY,17,1,81.80938870030207
ELECTRICITY,GERMANY,17,2,68.3668270527374
ELECTRICITY,GERMANY,17,3,66.91591603110383
ELECTRICITY,GERMANY,17,4,65.69655435385005
ELECTRICITY,GERMANY,17,5,67.88109772522758
ELECTRICITY,GERMANY,17,6,66.49167679509392
ELECTRICITY,GERMANY,17,7,64.77668518941488
ELECTRICITY,GERMANY,17,8,65.87537407698234
ELECTRICITY,GERMANY,17,9,66.66765895239499
ELECTRICITY,GERMANY,17,10,77.13298120749306
ELECTRICITY,GERMANY,17,11,63.47046290043082
ELECTRICITY,GERMANY,17,12,70.38883312732952
ELECTRICITY,GERMANY,18,1,81.37409365800099
ELECTRICITY,GERMANY,18,2,68.66923509531264
ELECTRICITY,GERMANY,18,3,68.60168595177507
ELECTRICITY,GERMANY,18,4,65.86676100917262
ELECTRICITY,GERMANY,18,5,66.3316449226402
ELECTRICITY,GERMANY,18,6,66.00818312170927
ELECTRICITY,GERMANY,18,7,64.42731611222735
ELECTRICITY,GERMANY,18,8,64.432636890022
ELECTRICITY,GERMANY,18,9,66.15043345590385
ELECTRICITY,GERMANY,18,10,77.8215600192079
ELECTRICITY,GERMANY,18,11,63.30443714473261
ELECTRICITY,GERMANY,18,12,70.5956004903731
ELECTRICITY,GERMANY,19,1,80.42333814857345
ELECTRICITY,GERMANY,19,2,68.2190004888254
ELECTRICITY,GERMANY,19,3,68.22525297577972
ELECTRICITY,GERMANY,19,4,65.72802675147071
ELECTRICITY,GERMANY,19,5,66.87038498959701
ELECTRICITY,GERMANY,19,6,65.21457271221348
ELECTRICITY,GERMANY,19,7,63.54940049886004
ELECTRICITY,GERMANY,19,8,63.01643214240553
ELECTRICITY,GERMANY,19,9,65.69746338806878
ELECTRICITY,GERMANY,19,10,76.3378180867686
ELECTRICITY,GERMANY,19,11,62.41892923051513
ELECTRICITY,GERMANY,19,12,69.50072532432425
ELECTRICITY,GERMANY,20,1,78.48190671774935
ELECTRICITY,GERMANY,20,2,66.83854154905549
ELECTRICITY,GERMANY,20,3,66.65978752821442
ELECTRICITY,GERMANY,20,4,64.52486747288695
ELECTRICITY,GERMANY,20,5,71.23868773164178
ELECTRICITY,GERMANY,20,6,63.4492090688706
ELECTRICITY,GERMANY,20,7,62.98494642492508
ELECTRICITY,GERMANY,20,8,62.29488443143555
ELECTRICITY,GERMANY,20,9,64.58273497859187
ELECTRICITY,GERMANY,20,10,74.20996160628323
ELECTRICITY,GERMANY,20,11,60.55976455599803
ELECTRICITY,GERMANY,20,12,67.9967995901583
ELECTRICITY,GERMANY,21,1,76.6710768104234
ELECTRICITY,GERMANY,21,2,65.43251441960581
ELECTRICITY,GERMANY,21,3,65.1538881472259
ELECTRICITY,GERMANY,21,4,63.06948064421069
ELECTRICITY,GERMANY,21,5,72.60575907706922
ELECTRICITY,GERMANY,21,6,62.18757502362664
ELECTRICITY,GERMANY,21,7,61.12031082772725
ELECTRICITY,GERMANY,21,8,60.61023102534816
ELECTRICITY,GERMANY,21,9,62.53035741218945
ELECTRICITY,GERMANY,21,10,72.77944697047968
ELECTRICITY,GERMANY,21,11,59.64963748970828
ELECTRICITY,GERMANY,21,12,66.11510555457713
ELECTRICITY,GERMANY,22,1,75.42250840646531
ELECTRICITY,GERMANY,22,2,64.82306479792214
ELECTRICITY,GERMANY,22,3,64.18028721254862
ELECTRICITY,GERMANY,22,4,61.21508294447385
ELECTRICITY,GERMANY,22,5,70.5686965065673
ELECTRICITY,GERMANY,22,6,60.43146252958836
ELECTRICITY,GERMANY,22,7,59.00189140894507
