k,ct,n,h,td,D
1,ELECTRICITY,GERMANY,1,1,61.4305194458702
1,ELECTRICITY,GERMANY,1,2,61.077903175140406
1,ELECTRICITY,GERMANY,1,3,60.99611189708082
1,ELECTRICITY,GERMANY,1,4,58.35036867019803
1,ELECTRICITY,GERMANY,1,5,57.74968769390713
1,ELECTRICITY,GERMANY,1,6,56.39242338060997
1,ELECTRICITY,GERMANY,1,7,56.82144918663464
1,ELECTRICITY,GERMANY,1,8,56.76348333227301
1,ELECTRICITY,GERMANY,1,9,57.98665255501601
1,ELECTRICITY,GERMANY,1,10,58.28797409001962
1,ELECTRICITY,GERMANY,1,11,57.92319283824873
1,ELECTRICITY,GERMANY,1,12,59.248671233341796
1,ELECTRICITY,GERMANY,2,1,60.922112934065986
1,ELECTRICITY,GERMANY,2,2,60.445940819029595
1,ELECTRICITY,GERMANY,2,3,60.59685385572349
1,ELECTRICITY,GERMANY,2,4,58.42997361525944
1,ELECTRICITY,GERMANY,2,5,57.79795519932817
1,ELECTRICITY,GERMANY,2,6,56.730464098018665
1,ELECTRICITY,GERMANY,2,7,56.87717264817763
1,ELECTRICITY,GERMANY,2,8,56.80154795036928
1,ELECTRICITY,GERMANY,2,9,58.01524306345356
1,ELECTRICITY,GERMANY,2,10,58.440288622225154
1,ELECTRICITY,GERMANY,2,11,57.472976420088
1,ELECTRICITY,GERMANY,2,12,58.92060916397601
1,ELECTRICITY,GERMANY,3,1,60.91516151632822
1,ELECTRICITY,GERMANY,3,2,60.151570701763745
1,ELECTRICITY,GERMANY,3,3,60.7390776202452
1,ELECTRICITY,GERMANY,3,4,58.91035021683077
1,ELECTRICITY,GERMANY,3,5,58.44847335601316
1,ELECTRICITY,GERMANY,3,6,57.19424699273212
1,ELECTRICITY,GERMANY,3,7,57.47258400134474
1,ELECTRICITY,GERMANY,3,8,57.0787637625726
1,ELECTRICITY,GERMANY,3,9,58.36914871005407
1,ELECTRICITY,GERMANY,3,10,59.04949069122686
1,ELECTRICITY,GERMANY,3,11,57.31275745319679
1,ELECTRICITY,GERMANY,3,12,59.04422106810307
1,ELECTRICITY,GERMANY,4,1,61.118490485157636
1,ELECTRICITY,GERMANY,4,2,60.18750504668232
1,ELECTRICITY,GERMANY,4,3,60.94375202476577
1,ELECTRICITY,GERMANY,4,4,60.313583582909864
1,ELECTRICITY,GERMANY,4,5,59.954744672108376
1,ELECTRICITY,GERMANY,4,6,58.64552362495039
1,ELECTRICITY,GERMANY,4,7,58.74127379830596
1,ELECTRICITY,GERMANY,4,8,58.87486435047593
1,ELECTRICITY,GERMANY,4,9,60.23795888510153
1,ELECTRICITY,GERMANY,4,10,60.30640792589025
1,ELECTRICITY,GERMANY,4,11,57.15763992996796
1,ELECTRICITY,GERMANY,4,12,59.53911716317502
1,ELECTRICITY,GERMANY,5,1,62.194222380075615
1,ELECTRICITY,GERMANY,5,2,61.0887227204903
1,ELECTRICITY,GERMANY,5,3,62.31688126725476
1,ELECTRICITY,GERMANY,5,4,63.60367838622641
1,ELECTRICITY,GERMANY,5,5,62.893064102002114
1,ELECTRICITY,GERMANY,5,6,61.828656290818216
1,ELECTRICITY,GERMANY,5,7,61.7916568093108
1,ELECTRICITY,GERMANY,5,8,62.08529814891058
1,ELECTRICITY,GERMANY,5,9,63.32853678738034
1,ELECTRICITY,GERMANY,5,10,63.84731436597071
1,ELECTRICITY,GERMANY,5,11,57.057965569179785
1,ELECTRICITY,GERMANY,5,12,60.964774457440456
1,ELECTRICITY,GERMANY,6,1,65.26674902016443
1,ELECTRICITY,GERMANY,6,2,64.14560867066918
1,ELECTRICITY,GERMANY,6,3,65.67721902561492
1,ELECTRICITY,GERMANY,6,4,65.6359589977521
1,ELECTRICITY,GERMANY,6,5,65.37118846569219
1,ELECTRICITY,GERMANY,6,6,64.22605451303757
1,ELECTRICITY,GERMANY,6,7,64.23659375928514
1,ELECTRICITY,GERMANY,6,8,64.41761091956917
1,ELECTRICITY,GERMANY,6,9,65.56229639366006
1,ELECTRICITY,GERMANY,6,10,66.31192831292856
1,ELECTRICITY,GERMANY,6,11,57.738139370891176
1,ELECTRICITY,GERMANY,6,12,64.55462112078754
1,ELECTRICITY,GERMANY,7,1,68.27732955863856
1,ELECTRICITY,GERMANY,7,2,66.93049237194805
1,ELECTRICITY,GERMANY,7,3,68.13689970837177
1,ELECTRICITY,GERMANY,7,4,66.87101290243385
1,ELECTRICITY,GERMANY,7,5,66.95078602695665
1,ELECTRICITY,GERMANY,7,6,65.40645009276517
1,ELECTRICITY,GERMANY,7,7,65.4159242024239
1,ELECTRICITY,GERMANY,7,8,65.7724646605863
1,ELECTRICITY,GERMANY,7,9,67.07350097395627
