j,n,h,td,val
BATT_LI,GERMANY,1,1,1.810028162403506e-07
BATT_LI,GERMANY,1,2,1.81277785156821e-07
BATT_LI,GERMANY,1,3,1.811395137995156e-07
BATT_LI,GERMANY,1,4,1.73143549358472e-07
BATT_LI,GERMANY,1,5,2.009318600340643e-07
BATT_LI,GERMANY,1,6,1.690021113668217e-07
BATT_LI,GERMANY,1,7,1.787936852062307e-07
BATT_LI,GERMANY,1,8,1.60423322796022e-07
BATT_LI,GERMANY,1,9,1.814084378249181e-07
BATT_LI,GERMANY,1,10,1.810028165301841e-07
BATT_LI,GERMANY,1,11,1.818390726101011e-07
BATT_LI,GERMANY,1,12,1.825090279868118e-07
BATT_LI,GERMANY,2,1,1.784840501794543e-07
BATT_LI,GERMANY,2,2,1.787819453991883e-07
BATT_LI,GERMANY,2,3,1.786159153287935e-07
BATT_LI,GERMANY,2,4,1.61926344326345e-07
BATT_LI,GERMANY,2,5,2.170398512751494e-07
BATT_LI,GERMANY,2,6,1.533091900814739e-07
BATT_LI,GERMANY,2,7,1.734322430016116e-07
BATT_LI,GERMANY,2,8,1.358688557031611e-07
BATT_LI,GERMANY,2,9,1.789507739265058e-07
BATT_LI,GERMANY,2,10,1.78484050693818e-07
BATT_LI,GERMANY,2,11,1.796727522149662e-07
BATT_LI,GERMANY,2,12,1.816619129065612e-07
BATT_LI,GERMANY,3,1,1.766799107048906e-07
BATT_LI,GERMANY,3,2,1.768486136311406e-07
BATT_LI,GERMANY,3,3,1.767237023372008e-07
BATT_LI,GERMANY,3,4,1.503110040741547e-07
BATT_LI,GERMANY,3,5,1.942638014216156e-07
BATT_LI,GERMANY,3,6,1.361416341842247e-07
BATT_LI,GERMANY,3,7,1.682189671492322e-07
BATT_LI,GERMANY,3,8,1.093399437458958e-07
BATT_LI,GERMANY,3,9,1.769954217780484e-07
BATT_LI,GERMANY,3,10,1.766799115227877e-07
BATT_LI,GERMANY,3,11,1.779251012382665e-07
BATT_LI,GERMANY,3,12,1.818799424012327e-07
BATT_LI,GERMANY,4,1,1.753881357745802e-07
BATT_LI,GERMANY,4,2,1.753365148338645e-07
BATT_LI,GERMANY,4,3,1.75294906833325e-07
BATT_LI,GERMANY,4,4,1.376884518254125e-07
BATT_LI,GERMANY,4,5,1.734129557017484e-07
BATT_LI,GERMANY,4,6,1.159686458044055e-07
BATT_LI,GERMANY,4,7,1.629451527381293e-07
BATT_LI,GERMANY,4,8,1.1267969399839e-07
BATT_LI,GERMANY,4,9,1.754229141451418e-07
BATT_LI,GERMANY,4,10,1.753881366909529e-07
BATT_LI,GERMANY,4,11,1.765195641049619e-07
BATT_LI,GERMANY,4,12,1.831831299251449e-07
BATT_LI,GERMANY,5,1,1.744644394843739e-07
BATT_LI,GERMANY,5,2,1.74135749083986e-07
BATT_LI,GERMANY,5,3,1.742032694449043e-07
BATT_LI,GERMANY,5,4,1.233081547390404e-07
BATT_LI,GERMANY,5,5,1.527480962192562e-07
BATT_LI,GERMANY,5,6,9.072899830789339e-08
BATT_LI,GERMANY,5,7,1.573980627198181e-07
BATT_LI,GERMANY,5,8,7.777274954453044e-08
BATT_LI,GERMANY,5,9,1.741377777575688e-07
BATT_LI,GERMANY,5,10,1.744644402216564e-07
BATT_LI,GERMANY,5,11,1.753950376468178e-07
BATT_LI,GERMANY,5,12,1.857105597562421e-07
BATT_LI,GERMANY,6,1,1.738059228145728e-07
BATT_LI,GERMANY,6,2,1.731593524675332e-07
BATT_LI,GERMANY,6,3,1.733526205209377e-07
BATT_LI,GERMANY,6,4,1.061187641823783e-07
BATT_LI,GERMANY,6,5,1.305547710009904e-07
BATT_LI,GERMANY,6,6,5.730353103627563e-08
BATT_LI,GERMANY,6,7,1.513481019213913e-07
BATT_LI,GERMANY,6,8,3.441035350592003e-08
BATT_LI,GERMANY,6,9,1.730623051920478e-07
BATT_LI,GERMANY,6,10,1.738059233991936e-07
BATT_LI,GERMANY,6,11,1.745028829015618e-07
BATT_LI,GERMANY,6,12,1.897333490625396e-07
BATT_LI,GERMANY,7,1,1.733393670965947e-07
BATT_LI,GERMANY,7,2,1.723367762811241e-07
BATT_LI,GERMANY,7,3,1.726681797471558e-07
BATT_LI,GERMANY,7,4,8.442515992438652e-08
BATT_LI,GERMANY,7,5,1.048408372638241e-07
BATT_LI,GERMANY,7,6,1.043577312117619e-08
BATT_LI,GERMANY,7,7,1.445328243455955e-07
BATT_LI,GERMANY,7,8,1.811523576172305e-09
BATT_LI,GERMANY,7,9,1.721316383220299e-07
BATT_LI,GERMANY,7,10,1.733393673739609e-07
BATT_LI,GERMANY,7,11,1.738046423853312e-07
BATT_LI,GERMANY,7,12,1.956805698885289e-07
BATT_LI,GERMANY,8,1,1.730129674329238e-07
BATT_LI,GERMANY,8,2,1.716086760854028e-07
BATT_LI,GERMANY,8,3,1.720898665333577e-07
BATT_LI,GERMANY,8,4,5.505549590243847e-08
BATT_LI,GERMANY,8,5,7.291300656055151e-08
BATT_LI,GERMANY,8,6,4.843867048516408e-08
BATT_LI,GERMANY,8,7,1.366339381406396e-07
BATT_LI,GERMANY,8,8,4.111299090877188e-08
BATT_LI,GERMANY,8,9,1.712897437761857e-07
BATT_LI,GERMANY,8,10,1.730129676671956e-07
BATT_LI,GERMANY,8,11,1.73270285124275e-07
BATT_LI,GERMANY,8,12,2.041792988410997e-07
BATT_LI,GERMANY,9,1,1.727905157656848e-07
BATT_LI,GERMANY,9,2,1.709225696399526e-07
BATT_LI,GERMANY,9,3,1.715669659845279e-07
BATT_LI,GERMANY,9,4,1.142946458099119e-08
BATT_LI,GERMANY,9,5,3.062661350050827e-08
BATT_LI,GERMANY,9,6,8.337905146996421e-08
BATT_LI,GERMANY,9,7,1.272398909811777e-07
BATT_LI,GERMANY,9,8,6.209725210322483e-08
BATT_LI,GERMANY,9,9,1.704859790827419e-07
BATT_LI,GERMANY,9,10,1.727905167141318e-07
BATT_LI,GERMANY,9,11,1.728768624124881e-07
BATT_LI,GERMANY,9,12,2.161102443664818e-07
BATT_LI,GERMANY,10,1,1.726473509387548e-07
BATT_LI,GERMANY,10,2,1.702290174973405e-07
BATT_LI,GERMANY,10,3,1.710536448740431e-07
BATT_LI,GERMANY,10,4,4.696665147944434e-08
BATT_LI,GERMANY,10,5,2.005102473469177e-08
BATT_LI,GERMANY,10,6,1.126635119635634e-07
BATT_LI,GERMANY,10,7,1.157777411028017e-07
BATT_LI,GERMANY,10,8,7.156171312338571e-08
BATT_LI,GERMANY,10,9,1.696720075961293e-07
BATT_LI,GERMANY,10,10,1.726473532306828e-07
BATT_LI,GERMANY,10,11,1.726074927733317e-07
BATT_LI,GERMANY,10,12,2.326803094943483e-07
BATT_LI,GERMANY,11,1,1.725676071210422e-07
BATT_LI,GERMANY,11,2,1.694780316813898e-07
BATT_LI,GERMANY,11,3,1.705049084763236e-07
BATT_LI,GERMANY,11,4,6.656280503006331e-08
BATT_LI,GERMANY,11,5,8.524359220445562e-09
BATT_LI,GERMANY,11,6,1.357564227511898e-07
BATT_LI,GERMANY,11,7,1.013741374699659e-07
BATT_LI,GERMANY,11,8,7.214178972906126e-08
BATT_LI,GERMANY,11,9,1.687988655188329e-07
BATT_LI,GERMANY,11,10,1.725676073762058e-07
BATT_LI,GERMANY,11,11,1.724506218861586e-07
BATT_LI,GERMANY,11,12,2.555155924826582e-07
BATT_LI,GERMANY,12,1,1.725424471447698e-07
BATT_LI,GERMANY,12,2,1.68615441914844e-07
BATT_LI,GERMANY,12,3,1.698726397220312e-07
BATT_LI,GERMANY,12,4,9.667261772110132e-08
BATT_LI,GERMANY,12,5,6.975958629410751e-08
BATT_LI,GERMANY,12,6,1.544590325126118e-07
BATT_LI,GERMANY,12,7,1.364068287282445e-07
BATT_LI,GERMANY,12,8,8.179650447700028e-08
BATT_LI,GERMANY,12,9,1.678142992272517e-07
BATT_LI,GERMANY,12,10,1.725424459753817e-07
BATT_LI,GERMANY,12,11,1.723995181111121e-07
BATT_LI,GERMANY,12,12,2.868076223980795e-07
BATT_LI,GERMANY,13,1,1.725690769371476e-07
BATT_LI,GERMANY,13,2,1.675789392572425e-07
BATT_LI,GERMANY,13,3,1.691013460562602e-07
BATT_LI,GERMANY,13,4,1.25251685765991e-07
BATT_LI,GERMANY,13,5,1.285296270568202e-07
BATT_LI,GERMANY,13,6,1.716251368856397e-07
BATT_LI,GERMANY,13,7,1.642085665780136e-07
BATT_LI,GERMANY,13,8,1.451654307777993e-07
BATT_LI,GERMANY,13,9,1.737133755779967e-07
BATT_LI,GERMANY,13,10,1.725690759244729e-07
BATT_LI,GERMANY,13,11,1.724519786939666e-07
BATT_LI,GERMANY,13,12,3.298164537917455e-07
BATT_LI,GERMANY,14,1,1.72650432090053e-07
BATT_LI,GERMANY,14,2,1.662934915928949e-07
BATT_LI,GERMANY,14,3,1.681232373300039e-07
BATT_LI,GERMANY,14,4,1.465909296937647e-07
BATT_LI,GERMANY,14,5,1.864545314064061e-07
BATT_LI,GERMANY,14,6,1.88785796063175e-07
BATT_LI,GERMANY,14,7,1.863264023952096e-07
BATT_LI,GERMANY,14,8,2.227922052448283e-07
BATT_LI,GERMANY,14,9,1.762595577639717e-07
BATT_LI,GERMANY,14,10,1.726504315963774e-07
BATT_LI,GERMANY,14,11,1.72610229071385e-07
BATT_LI,GERMANY,14,12,3.403531104488624e-07
BATT_LI,GERMANY,15,1,1.727954979170408e-07
BATT_LI,GERMANY,15,2,1.646657504100511e-07
BATT_LI,GERMANY,15,3,1.668521680177786e-07
BATT_LI,GERMANY,15,4,1.622586133462629e-07
BATT_LI,GERMANY,15,5,2.446319487335344e-07
BATT_LI,GERMANY,15,6,2.074109205152156e-07
BATT_LI,GERMANY,15,7,2.042247138822791e-07
BATT_LI,GERMANY,15,8,2.996773184445411e-07
BATT_LI,GERMANY,15,9,1.756225409362925e-07
BATT_LI,GERMANY,15,10,1.727954982115624e-07
BATT_LI,GERMANY,15,11,1.728810141882766e-07
BATT_LI,GERMANY,15,12,2.999929801313643e-07
BATT_LI,GERMANY,16,1,1.730202965758395e-07
BATT_LI,GERMANY,16,2,1.625769603991588e-07
BATT_LI,GERMANY,16,3,1.65175866305877e-07
BATT_LI,GERMANY,16,4,1.734378257921306e-07
BATT_LI,GERMANY,16,5,3.042974850306379e-07
BATT_LI,GERMANY,16,6,2.291061932469829e-07
BATT_LI,GERMANY,16,7,2.191198784239985e-07
BATT_LI,GERMANY,16,8,3.063328056623e-07
BATT_LI,GERMANY,16,9,1.752839317308028e-07
BATT_LI,GERMANY,16,10,1.730202975871953e-07
BATT_LI,GERMANY,16,11,1.732758941695215e-07
BATT_LI,GERMANY,16,12,2.700666791225628e-07
BATT_LI,GERMANY,17,1,1.733496473311356e-07
BATT_LI,GERMANY,17,2,1.598736646456684e-07
BATT_LI,GERMANY,17,3,1.62945661148341e-07
BATT_LI,GERMANY,17,4,1.809445660484866e-07
BATT_LI,GERMANY,17,5,2.265194847266863e-07
BATT_LI,GERMANY,17,6,2.557784946828071e-07
BATT_LI,GERMANY,17,7,2.320103599541678e-07
