k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.17881429929096018
1,ELECTRICITY,GERMANY,1,2,0.1798466338684642
1,ELECTRICITY,GERMANY,1,3,0.18008779491269
1,ELECTRICITY,GERMANY,1,4,0.18825339993787057
1,ELECTRICITY,GERMANY,1,5,0.19021150985292545
1,ELECTRICITY,GERMANY,1,6,0.19478955915148627
1,ELECTRICITY,GERMANY,1,7,0.19331881616945382
1,ELECTRICITY,GERMANY,1,8,0.19351622988837316
1,ELECTRICITY,GERMANY,1,9,0.1894342026274248
1,ELECTRICITY,GERMANY,1,10,0.1884549164949247
1,ELECTRICITY,GERMANY,1,11,0.18964174368750314
1,ELECTRICITY,GERMANY,1,12,0.18539918383201548
1,ELECTRICITY,GERMANY,2,1,0.18030653831198068
1,ELECTRICITY,GERMANY,2,2,0.18172693055899616
1,ELECTRICITY,GERMANY,2,3,0.18127434991834088
1,ELECTRICITY,GERMANY,2,4,0.18799692367008453
1,ELECTRICITY,GERMANY,2,5,0.19005266279594377
1,ELECTRICITY,GERMANY,2,6,0.19362886351174105
1,ELECTRICITY,GERMANY,2,7,0.19312941868155495
1,ELECTRICITY,GERMANY,2,8,0.1933865481868715
1,ELECTRICITY,GERMANY,2,9,0.1893408475041401
1,ELECTRICITY,GERMANY,2,10,0.1879637412607757
1,ELECTRICITY,GERMANY,2,11,0.1911273084153967
1,ELECTRICITY,GERMANY,2,12,0.1864314616847001
1,ELECTRICITY,GERMANY,3,1,0.18032711424147765
1,ELECTRICITY,GERMANY,3,2,0.18261626690108848
1,ELECTRICITY,GERMANY,3,3,0.18084988643508212
1,ELECTRICITY,GERMANY,3,4,0.18646392780490806
1,ELECTRICITY,GERMANY,3,5,0.187937420073999
1,ELECTRICITY,GERMANY,3,6,0.19205874484524366
1,ELECTRICITY,GERMANY,3,7,0.19112861341915588
1,ELECTRICITY,GERMANY,3,8,0.19244732306195786
1,ELECTRICITY,GERMANY,3,9,0.18819283016030827
1,ELECTRICITY,GERMANY,3,10,0.1860245560327077
1,ELECTRICITY,GERMANY,3,11,0.19166160865254758
1,ELECTRICITY,GERMANY,3,12,0.18604115849242905
1,ELECTRICITY,GERMANY,4,1,0.17972720207251452
1,ELECTRICITY,GERMANY,4,2,0.18250723769448696
1,ELECTRICITY,GERMANY,4,3,0.18024251748282805
1,ELECTRICITY,GERMANY,4,4,0.1821257275269171
1,ELECTRICITY,GERMANY,4,5,0.18321577966627833
1,ELECTRICITY,GERMANY,4,6,0.1873059461458986
1,ELECTRICITY,GERMANY,4,7,0.18700063140458778
1,ELECTRICITY,GERMANY,4,8,0.1865763159028694
1,ELECTRICITY,GERMANY,4,9,0.1823543741039636
1,ELECTRICITY,GERMANY,4,10,0.18214739805580663
1,ELECTRICITY,GERMANY,4,11,0.19218175038808222
1,ELECTRICITY,GERMANY,4,12,0.18449476265642378
1,ELECTRICITY,GERMANY,5,1,0.17661858078495726
1,ELECTRICITY,GERMANY,5,2,0.17981478087294372
1,ELECTRICITY,GERMANY,5,3,0.17627094081752478
1,ELECTRICITY,GERMANY,5,4,0.17270471721918124
1,ELECTRICITY,GERMANY,5,5,0.174656068147319
1,ELECTRICITY,GERMANY,5,6,0.1776628500241925
1,ELECTRICITY,GERMANY,5,7,0.17776923062107972
1,ELECTRICITY,GERMANY,5,8,0.17692844549842485
1,ELECTRICITY,GERMANY,5,9,0.17345506223636492
1,ELECTRICITY,GERMANY,5,10,0.17204569054900726
1,ELECTRICITY,GERMANY,5,11,0.19251747201667513
1,ELECTRICITY,GERMANY,5,12,0.1801803646048322
1,ELECTRICITY,GERMANY,6,1,0.1683040055572437
1,ELECTRICITY,GERMANY,6,2,0.17124563189024283
1,ELECTRICITY,GERMANY,6,3,0.16725213784567877
1,ELECTRICITY,GERMANY,6,4,0.16735727576052
1,ELECTRICITY,GERMANY,6,5,0.16803511680926378
1,ELECTRICITY,GERMANY,6,6,0.171031139513064
