ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.466046391544879
ELECTRICITY,GERMANY,1,2,-3.445697555536853
ELECTRICITY,GERMANY,1,3,-3.441083300330064
ELECTRICITY,GERMANY,1,4,-3.291824259093524
ELECTRICITY,GERMANY,1,5,-0.00133419238164123
ELECTRICITY,GERMANY,1,6,-3.181367155510465
ELECTRICITY,GERMANY,1,7,-3.205570576255404
ELECTRICITY,GERMANY,1,8,-3.202300447814935
ELECTRICITY,GERMANY,1,9,-3.271305282075211
ELECTRICITY,GERMANY,1,10,6.135254526112149
ELECTRICITY,GERMANY,1,11,-3.26772522072163
ELECTRICITY,GERMANY,1,12,6.236460900748
ELECTRICITY,GERMANY,2,1,6.412531260306025
ELECTRICITY,GERMANY,2,2,-3.410045526805746
ELECTRICITY,GERMANY,2,3,-3.418559238550131
ELECTRICITY,GERMANY,2,4,-3.296315156230825
ELECTRICITY,GERMANY,2,5,-0.1106168755662296
ELECTRICITY,GERMANY,2,6,-3.200437654351575
ELECTRICITY,GERMANY,2,7,-3.208714204088857
ELECTRICITY,GERMANY,2,8,-3.204447855523554
ELECTRICITY,GERMANY,2,9,-3.272918209846878
ELECTRICITY,GERMANY,2,10,6.151287214796078
ELECTRICITY,GERMANY,2,11,-3.24232635236725
ELECTRICITY,GERMANY,2,12,6.201928724917309
ELECTRICITY,GERMANY,3,1,6.411799550556722
ELECTRICITY,GERMANY,3,2,-3.393438696085738
ELECTRICITY,GERMANY,3,3,-3.42658276353783
ELECTRICITY,GERMANY,3,4,-3.323415505301483
ELECTRICITY,GERMANY,3,5,-0.1122715626421353
ELECTRICITY,GERMANY,3,6,-3.226601872754017
ELECTRICITY,GERMANY,3,7,-3.242304215397951
ELECTRICITY,GERMANY,3,8,-3.220086929498073
ELECTRICITY,GERMANY,3,9,-3.292883725473786
ELECTRICITY,GERMANY,3,10,6.215412074078557
ELECTRICITY,GERMANY,3,11,-3.233287631689961
ELECTRICITY,GERMANY,3,12,6.214940252074243
ELECTRICITY,GERMANY,4,1,6.43320206186317
ELECTRICITY,GERMANY,4,2,-3.395465924917431
ELECTRICITY,GERMANY,4,3,-3.438129428762267
ELECTRICITY,GERMANY,4,4,-3.40257863242703
ELECTRICITY,GERMANY,4,5,-0.1727647761157272
ELECTRICITY,GERMANY,4,6,-3.308475351027866
ELECTRICITY,GERMANY,4,7,-3.313877094219777
ELECTRICITY,GERMANY,4,8,-3.321413581653893
ELECTRICITY,GERMANY,4,9,-3.398312274305717
ELECTRICITY,GERMANY,4,10,6.347715723948141
ELECTRICITY,GERMANY,4,11,-3.224536707926298
ELECTRICITY,GERMANY,4,12,6.2670335727531
ELECTRICITY,GERMANY,5,1,6.546434166224913
ELECTRICITY,GERMANY,5,2,-3.44630793809192
ELECTRICITY,GERMANY,5,3,-3.515594237832737
ELECTRICITY,GERMANY,5,4,-3.588188666684665
ELECTRICITY,GERMANY,5,5,-0.9038668235633338
ELECTRICITY,GERMANY,5,6,-3.488051137870556
ELECTRICITY,GERMANY,5,7,-3.485963836096374
ELECTRICITY,GERMANY,5,8,-3.502529556524976
ELECTRICITY,GERMANY,5,9,-3.572666602862263
ELECTRICITY,GERMANY,5,10,6.720433249599893
ELECTRICITY,GERMANY,5,11,-3.218913598981608
ELECTRICITY,GERMANY,5,12,6.417099873896248
ELECTRICITY,GERMANY,6,1,6.869850066598403
ELECTRICITY,GERMANY,6,2,-3.618761541975722
ELECTRICITY,GERMANY,6,3,-3.705167014219541
ELECTRICITY,GERMANY,6,4,-3.702839367187678
ELECTRICITY,GERMANY,6,5,-1.852261159037667
ELECTRICITY,GERMANY,6,6,-3.623299874661143
ELECTRICITY,GERMANY,6,7,-3.623894460642482
ELECTRICITY,GERMANY,6,8,-3.634106510744843
ELECTRICITY,GERMANY,6,9,-3.698683700185342
ELECTRICITY,GERMANY,6,10,6.979859860737847
ELECTRICITY,GERMANY,6,11,-3.257285466718308
ELECTRICITY,GERMANY,6,12,6.79497135924305
ELECTRICITY,GERMANY,7,1,7.186745664810275
ELECTRICITY,GERMANY,7,2,-3.775870193886604
ELECTRICITY,GERMANY,7,3,-3.843929403481084
ELECTRICITY,GERMANY,7,4,-3.772514683923262
ELECTRICITY,GERMANY,7,5,-0.1304802103537952
ELECTRICITY,GERMANY,7,6,-3.689891652996394
ELECTRICITY,GERMANY,7,7,-3.690426149553787
ELECTRICITY,GERMANY,7,8,-3.710540310970345
ELECTRICITY,GERMANY,7,9,-3.783938001549743
ELECTRICITY,GERMANY,7,10,7.118996932588246
ELECTRICITY,GERMANY,7,11,-3.330243565853586
ELECTRICITY,GERMANY,7,12,7.108552441486296
ELECTRICITY,GERMANY,8,1,7.335737342712818
ELECTRICITY,GERMANY,8,2,-3.826718532261509
ELECTRICITY,GERMANY,8,3,-3.87342068071429
ELECTRICITY,GERMANY,8,4,-3.789839425646875
ELECTRICITY,GERMANY,8,5,-0.1319542101141025
ELECTRICITY,GERMANY,8,6,-3.670991516957088
ELECTRICITY,GERMANY,8,7,-3.722694192612281
ELECTRICITY,GERMANY,8,8,-2.876473400757604
ELECTRICITY,GERMANY,8,9,-3.81648751631441
ELECTRICITY,GERMANY,8,10,7.153800383730427
ELECTRICITY,GERMANY,8,11,-3.455533264383561
ELECTRICITY,GERMANY,8,12,7.208750186823309
ELECTRICITY,GERMANY,9,1,7.324861993462974
ELECTRICITY,GERMANY,9,2,-3.842041346004407
ELECTRICITY,GERMANY,9,3,-3.863363601685293
ELECTRICITY,GERMANY,9,4,-3.81743630336014
ELECTRICITY,GERMANY,9,5,-0.1299169802407079
ELECTRICITY,GERMANY,9,6,-0.1270577110726947
ELECTRICITY,GERMANY,9,7,-3.789823613549316
ELECTRICITY,GERMANY,9,8,-0.128411721875878
ELECTRICITY,GERMANY,9,9,-3.86188352629668
ELECTRICITY,GERMANY,9,10,7.183104206820204
ELECTRICITY,GERMANY,9,11,-3.523981490986976
ELECTRICITY,GERMANY,9,12,7.246504454092815
ELECTRICITY,GERMANY,10,1,7.392905215333556
ELECTRICITY,GERMANY,10,2,-3.864638147690215
ELECTRICITY,GERMANY,10,3,-3.880223440650923
ELECTRICITY,GERMANY,10,4,-3.830637009657366
ELECTRICITY,GERMANY,10,5,-0.1311055602314184
ELECTRICITY,GERMANY,10,6,-0.1285139064733585
ELECTRICITY,GERMANY,10,7,-3.830747702117861
ELECTRICITY,GERMANY,10,8,-0.12982636429021
ELECTRICITY,GERMANY,10,9,-3.903664680496334
ELECTRICITY,GERMANY,10,10,7.253106478429075
ELECTRICITY,GERMANY,10,11,-3.574535707230915
ELECTRICITY,GERMANY,10,12,7.271447677899459
ELECTRICITY,GERMANY,11,1,7.462754118705675
ELECTRICITY,GERMANY,11,2,-3.873452323517483
ELECTRICITY,GERMANY,11,3,-3.872086061946789
ELECTRICITY,GERMANY,11,4,-3.799499024038127
ELECTRICITY,GERMANY,11,5,-0.1308874203918577
ELECTRICITY,GERMANY,11,6,-0.1291095443738186
ELECTRICITY,GERMANY,11,7,-3.777631777124626
ELECTRICITY,GERMANY,11,8,-0.1288442228528766
ELECTRICITY,GERMANY,11,9,-3.889391850918614
ELECTRICITY,GERMANY,11,10,7.235315289873569
ELECTRICITY,GERMANY,11,11,-3.598002224869902
ELECTRICITY,GERMANY,11,12,7.294714888102888
ELECTRICITY,GERMANY,12,1,7.43970521898467
ELECTRICITY,GERMANY,12,2,-3.866649563470631
ELECTRICITY,GERMANY,12,3,-3.824428790463031
ELECTRICITY,GERMANY,12,4,-3.787863004422391
ELECTRICITY,GERMANY,12,5,4.779034730476056
ELECTRICITY,GERMANY,12,6,-0.1285848294204612
ELECTRICITY,GERMANY,12,7,-3.715006924110185
ELECTRICITY,GERMANY,12,8,-0.1272661772413954
ELECTRICITY,GERMANY,12,9,-3.875767354180724
ELECTRICITY,GERMANY,12,10,7.214030775584519
ELECTRICITY,GERMANY,12,11,-3.5876130724874
ELECTRICITY,GERMANY,12,12,7.297281940868231
ELECTRICITY,GERMANY,13,1,7.418391183409483
ELECTRICITY,GERMANY,13,2,-3.856690525184746
ELECTRICITY,GERMANY,13,3,-3.780085927384079
ELECTRICITY,GERMANY,13,4,-3.748729819977939
ELECTRICITY,GERMANY,13,5,4.717332972610848
ELECTRICITY,GERMANY,13,6,-0.127492808520941
ELECTRICITY,GERMANY,13,7,-3.711139104769146
ELECTRICITY,GERMANY,13,8,0.1216107573751657
ELECTRICITY,GERMANY,13,9,-3.84126932767569
ELECTRICITY,GERMANY,13,10,7.142057611840272
ELECTRICITY,GERMANY,13,11,-3.532039804459323
ELECTRICITY,GERMANY,13,12,7.233345378871363
ELECTRICITY,GERMANY,14,1,7.367035690257779
ELECTRICITY,GERMANY,14,2,-3.83111455102835
ELECTRICITY,GERMANY,14,3,-3.732485582709472
ELECTRICITY,GERMANY,14,4,-3.722238307783456
ELECTRICITY,GERMANY,14,5,4.669557234755999
ELECTRICITY,GERMANY,14,6,-0.1269944384525843
ELECTRICITY,GERMANY,14,7,-3.69192473521646
ELECTRICITY,GERMANY,14,8,6.859314823565626
ELECTRICITY,GERMANY,14,9,-3.836222152502515
ELECTRICITY,GERMANY,14,10,7.07907741241786
ELECTRICITY,GERMANY,14,11,-3.494784335706335
ELECTRICITY,GERMANY,14,12,1.545018828662123
ELECTRICITY,GERMANY,15,1,7.343815668007949
ELECTRICITY,GERMANY,15,2,-3.807591106539761
ELECTRICITY,GERMANY,15,3,-3.724101520937197
ELECTRICITY,GERMANY,15,4,-3.696130831563281
ELECTRICITY,GERMANY,15,5,4.619180676188662
ELECTRICITY,GERMANY,15,6,-0.1256029830587693
ELECTRICITY,GERMANY,15,7,-3.665321402195502
ELECTRICITY,GERMANY,15,8,3.96804001901134
ELECTRICITY,GERMANY,15,9,-3.808429202378534
ELECTRICITY,GERMANY,15,10,6.984155708013503
ELECTRICITY,GERMANY,15,11,-3.481378059781669
ELECTRICITY,GERMANY,15,12,-0.1304609881155585
ELECTRICITY,GERMANY,16,1,7.334881713033624
ELECTRICITY,GERMANY,16,2,-3.795930587607216
ELECTRICITY,GERMANY,16,3,-3.726970002256778
ELECTRICITY,GERMANY,16,4,-3.690802520067422
ELECTRICITY,GERMANY,16,5,4.579739541279821
ELECTRICITY,GERMANY,16,6,-0.1250282829644362
ELECTRICITY,GERMANY,16,7,-3.659963672975351
ELECTRICITY,GERMANY,16,8,-0.06204663736991733
ELECTRICITY,GERMANY,16,9,-3.798704196983834
ELECTRICITY,GERMANY,16,10,7.00483832346211
ELECTRICITY,GERMANY,16,11,-3.493911457309572
ELECTRICITY,GERMANY,16,12,-1.746785111896855
ELECTRICITY,GERMANY,17,1,7.436890491679719
ELECTRICITY,GERMANY,17,2,-3.873072811127784
ELECTRICITY,GERMANY,17,3,-3.790876729901328
ELECTRICITY,GERMANY,17,4,-3.69316405178364
ELECTRICITY,GERMANY,17,5,-0.125125535829028
ELECTRICITY,GERMANY,17,6,-0.4434912328517271
ELECTRICITY,GERMANY,17,7,-3.667965338763153
ELECTRICITY,GERMANY,17,8,-0.1237290862092379
ELECTRICITY,GERMANY,17,9,-3.776812655930044
ELECTRICITY,GERMANY,17,10,7.011765967059759
ELECTRICITY,GERMANY,17,11,-3.595687199159435
ELECTRICITY,GERMANY,17,12,-2.831958606315382
ELECTRICITY,GERMANY,18,1,7.397319085216964
ELECTRICITY,GERMANY,18,2,-3.890204634049311
ELECTRICITY,GERMANY,18,3,-3.886377867023043
ELECTRICITY,GERMANY,18,4,-3.707088823536949
ELECTRICITY,GERMANY,18,5,-0.1318630044916063
ELECTRICITY,GERMANY,18,6,-2.903443747066433
ELECTRICITY,GERMANY,18,7,-3.649894223581384
ELECTRICITY,GERMANY,18,8,-2.309883742745285
ELECTRICITY,GERMANY,18,9,-3.747511134933305
ELECTRICITY,GERMANY,18,10,7.074362601090641
ELECTRICITY,GERMANY,18,11,-3.586281616480207
ELECTRICITY,GERMANY,18,12,-2.651208929342758
ELECTRICITY,GERMANY,19,1,7.310888674770752
ELECTRICITY,GERMANY,19,2,-3.864698237158578
ELECTRICITY,GERMANY,19,3,-3.865052431853556
ELECTRICITY,GERMANY,19,4,-3.703664550083602
ELECTRICITY,GERMANY,19,5,-0.1232696234270918
ELECTRICITY,GERMANY,19,6,-2.932577804434843
ELECTRICITY,GERMANY,19,7,-3.600159121669407
ELECTRICITY,GERMANY,19,8,-3.569965750051963
ELECTRICITY,GERMANY,19,9,-3.721849770496732
ELECTRICITY,GERMANY,19,10,6.939480080432631
ELECTRICITY,GERMANY,19,11,-3.536116400452997
ELECTRICITY,GERMANY,19,12,-2.673891669590674
ELECTRICITY,GERMANY,20,1,7.134398841010395
ELECTRICITY,GERMANY,20,2,-3.786493378857983
ELECTRICITY,GERMANY,20,3,-3.77636670555944
ELECTRICITY,GERMANY,20,4,-3.623743849023384
ELECTRICITY,GERMANY,20,5,-0.122716971928071
ELECTRICITY,GERMANY,20,6,-3.538780126330344
ELECTRICITY,GERMANY,20,7,-3.568182038142581
ELECTRICITY,GERMANY,20,8,-3.529089100406814
ELECTRICITY,GERMANY,20,9,-3.658698904683916
ELECTRICITY,GERMANY,20,10,6.746043095052528
ELECTRICITY,GERMANY,20,11,-3.430792217541814
ELECTRICITY,GERMANY,20,12,-2.67907717714553
ELECTRICITY,GERMANY,21,1,6.969781652553863
ELECTRICITY,GERMANY,21,2,-3.70684004817582
ELECTRICITY,GERMANY,21,3,-3.691055476993768
ELECTRICITY,GERMANY,21,4,-3.545967393483224
ELECTRICITY,GERMANY,21,5,4.263094901316663
ELECTRICITY,GERMANY,21,6,-3.472298035808073
ELECTRICITY,GERMANY,21,7,-3.462547920086209
ELECTRICITY,GERMANY,21,8,-3.43365121590336
ELECTRICITY,GERMANY,21,9,-3.542428951204663
ELECTRICITY,GERMANY,21,10,6.615999380310896
ELECTRICITY,GERMANY,21,11,-3.379232293389116
ELECTRICITY,GERMANY,21,12,-2.666854991611515
ELECTRICITY,GERMANY,22,1,6.856278019168357
ELECTRICITY,GERMANY,22,2,-3.672313906188137
ELECTRICITY,GERMANY,22,3,-3.63589966490575
ELECTRICITY,GERMANY,22,4,-3.445581443488109
ELECTRICITY,GERMANY,22,5,4.124599284780345
ELECTRICITY,GERMANY,22,6,-3.378049601585346
ELECTRICITY,GERMANY,22,7,-3.342536606704982
ELECTRICITY,GERMANY,22,8,-3.328121463767353
