p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.506443057010986,27,1,0.055794187296703185,55.794187296703186
AMMONIA,GERMANY,1,2,0.9485012028414536,17,1,0.055794188402438445,55.794188402438444
AMMONIA,GERMANY,1,3,0.5579418619789505,10,1,0.05579418619789504,55.794186197895044
AMMONIA,GERMANY,1,4,1.952796611049898,35,1,0.05579418888713994,55.79418888713994
AMMONIA,GERMANY,1,5,2.008590859824902,36,1,0.055794190550691715,55.79419055069172
AMMONIA,GERMANY,1,6,0.8369128392268156,15,1,0.055794189281787705,55.7941892817877
AMMONIA,GERMANY,1,7,2.12017936945775,38,1,0.05579419393309868,55.79419393309868
AMMONIA,GERMANY,1,8,3.180269067664134,57,1,0.05579419416954621,55.79419416954621
AMMONIA,GERMANY,1,9,1.283266470514273,23,1,0.055794194370185776,55.79419437018578
AMMONIA,GERMANY,1,10,1.450648945836052,26,1,0.05579419022446354,55.79419022446354
AMMONIA,GERMANY,1,11,1.897002455885246,34,1,0.05579418987897783,55.79418987897783
AMMONIA,GERMANY,1,12,2.622326872411417,47,1,0.055794188774711,55.794188774710996
AMMONIA,GERMANY,2,1,1.506443056977064,27,1,0.055794187295446815,55.79418729544682
AMMONIA,GERMANY,2,2,0.9485012028059399,17,1,0.0557941884003494,55.7941884003494
AMMONIA,GERMANY,2,3,0.5579418619803644,10,1,0.055794186198036444,55.79418619803644
AMMONIA,GERMANY,2,4,1.952796611142531,35,1,0.0557941888897866,55.7941888897866
AMMONIA,GERMANY,2,5,2.008590859920594,36,1,0.05579419055334984,55.794190553349836
AMMONIA,GERMANY,2,6,0.8369128392642615,15,1,0.055794189284284104,55.7941892842841
AMMONIA,GERMANY,2,7,2.120179369445312,38,1,0.055794193932771366,55.794193932771364
AMMONIA,GERMANY,2,8,3.18026906770869,57,1,0.05579419417032789,55.79419417032789
AMMONIA,GERMANY,2,9,1.283266470532691,23,1,0.055794194370986566,55.79419437098657
AMMONIA,GERMANY,2,10,1.450648945816349,26,1,0.05579419022370573,55.794190223705726
AMMONIA,GERMANY,2,11,1.897002455803439,34,1,0.05579418987657174,55.79418987657174
AMMONIA,GERMANY,2,12,2.622326872303529,47,1,0.055794188772415515,55.79418877241552
AMMONIA,GERMANY,3,1,1.506443056943355,27,1,0.05579418729419833,55.79418729419833
AMMONIA,GERMANY,3,2,0.9485012027700045,17,1,0.05579418839823556,55.794188398235555
AMMONIA,GERMANY,3,3,0.5579418619817686,10,1,0.055794186198176866,55.79418619817687
AMMONIA,GERMANY,3,4,1.95279661123503,35,1,0.055794188892429424,55.794188892429425
AMMONIA,GERMANY,3,5,2.008590860016056,36,1,0.05579419055600156,55.79419055600156
AMMONIA,GERMANY,3,6,0.8369128393023356,15,1,0.05579418928682237,55.79418928682237
AMMONIA,GERMANY,3,7,2.120179369432706,38,1,0.05579419393243963,55.79419393243963
AMMONIA,GERMANY,3,8,3.180269067753142,57,1,0.05579419417110776,55.79419417110776
AMMONIA,GERMANY,3,9,1.283266470551029,23,1,0.05579419437178387,55.794194371783874
AMMONIA,GERMANY,3,10,1.450648945796866,26,1,0.05579419022295639,55.79419022295639
AMMONIA,GERMANY,3,11,1.897002455721615,34,1,0.055794189874165144,55.79418987416514
AMMONIA,GERMANY,3,12,2.622326872195857,47,1,0.05579418877012462,55.79418877012462
AMMONIA,GERMANY,4,1,1.506443056909859,27,1,0.05579418729295774,55.794187292957744
AMMONIA,GERMANY,4,2,0.9485012027341543,17,1,0.05579418839612672,55.79418839612672
AMMONIA,GERMANY,4,3,0.5579418619836779,10,1,0.05579418619836779,55.79418619836779
AMMONIA,GERMANY,4,4,1.952796611327376,35,1,0.05579418889506789,55.79418889506789
AMMONIA,GERMANY,4,5,2.008590860111943,36,1,0.05579419055866508,55.79419055866508
AMMONIA,GERMANY,4,6,0.8369128393403432,15,1,0.055794189289356214,55.79418928935621
AMMONIA,GERMANY,4,7,2.120179369419959,38,1,0.055794193932104184,55.794193932104186
AMMONIA,GERMANY,4,8,3.180269067797389,57,1,0.05579419417188402,55.79419417188402
AMMONIA,GERMANY,4,9,1.28326647056921,23,1,0.05579419437257435,55.79419437257435
AMMONIA,GERMANY,4,10,1.450648945777593,26,1,0.055794190222215115,55.794190222215114
AMMONIA,GERMANY,4,11,1.897002455639489,34,1,0.05579418987174968,55.79418987174968
AMMONIA,GERMANY,4,12,2.6223268720884,47,1,0.055794188767838294,55.79418876783829
AMMONIA,GERMANY,5,1,1.506443056876575,27,1,0.055794187291725,55.794187291725
AMMONIA,GERMANY,5,2,0.9485012026984222,17,1,0.055794188394024835,55.794188394024836
AMMONIA,GERMANY,5,3,0.5579418619854908,10,1,0.055794186198549076,55.79418619854908
AMMONIA,GERMANY,5,4,1.952796611419499,35,1,0.05579418889769997,55.794188897699975
AMMONIA,GERMANY,5,5,2.008590860210544,36,1,0.055794190561404,55.794190561404
AMMONIA,GERMANY,5,6,0.8369128393785004,15,1,0.055794189291900026,55.794189291900025
AMMONIA,GERMANY,5,7,2.120179369406875,38,1,0.05579419393175987,55.79419393175987
AMMONIA,GERMANY,5,8,3.180269067841683,57,1,0.055794194172661106,55.79419417266111
AMMONIA,GERMANY,5,9,1.283266470587419,23,1,0.055794194373366045,55.79419437336605
AMMONIA,GERMANY,5,10,1.450648945758535,26,1,0.05579419022148212,55.79419022148212
AMMONIA,GERMANY,5,11,1.897002455557192,34,1,0.05579418986932918,55.79418986932918
AMMONIA,GERMANY,5,12,2.622326871981156,47,1,0.05579418876555651,55.794188765556505
AMMONIA,GERMANY,6,1,1.5064430568435,27,1,0.0557941872905,55.7941872905
AMMONIA,GERMANY,6,2,0.9485012026624121,17,1,0.05579418839190659,55.794188391906594
AMMONIA,GERMANY,6,3,0.5579418619875253,10,1,0.055794186198752524,55.79418619875253
AMMONIA,GERMANY,6,4,1.952796611511486,35,1,0.055794188900328175,55.79418890032817
AMMONIA,GERMANY,6,5,2.008590860311775,36,1,0.05579419056421597,55.794190564215974
AMMONIA,GERMANY,6,6,0.8369128394161738,15,1,0.055794189294411586,55.79418929441159
AMMONIA,GERMANY,6,7,2.120179369393469,38,1,0.055794193931407075,55.79419393140707
AMMONIA,GERMANY,6,8,3.180269067885651,57,1,0.055794194173432475,55.79419417343247
AMMONIA,GERMANY,6,9,1.28326647060569,23,1,0.05579419437416044,55.79419437416044
AMMONIA,GERMANY,6,10,1.450648945739695,26,1,0.055794190220757496,55.79419022075749
AMMONIA,GERMANY,6,11,1.897002455474528,34,1,0.05579418986689788,55.79418986689788
AMMONIA,GERMANY,6,12,2.622326871874125,47,1,0.055794188763279254,55.79418876327925
AMMONIA,GERMANY,7,1,1.506443056810638,27,1,0.055794187289282884,55.79418728928288
AMMONIA,GERMANY,7,2,0.9485012026263789,17,1,0.055794188389786996,55.794188389786996
AMMONIA,GERMANY,7,3,0.5579418619898314,10,1,0.055794186198983145,55.79418619898315
AMMONIA,GERMANY,7,4,1.95279661160345,35,1,0.05579418890295572,55.79418890295572
AMMONIA,GERMANY,7,5,2.008590860399565,36,1,0.05579419056665458,55.79419056665458
AMMONIA,GERMANY,7,6,0.8369128394532956,15,1,0.05579418929688638,55.79418929688638
AMMONIA,GERMANY,7,7,2.120179369379874,38,1,0.05579419393104932,55.79419393104932
AMMONIA,GERMANY,7,8,3.180269067929305,57,1,0.05579419417419833,55.794194174198324
AMMONIA,GERMANY,7,9,1.283266470623731,23,1,0.055794194374944824,55.79419437494482
AMMONIA,GERMANY,7,10,1.450648945721071,26,1,0.05579419022004119,55.79419022004119
AMMONIA,GERMANY,7,11,1.897002455391575,34,1,0.05579418986445809,55.79418986445809
AMMONIA,GERMANY,7,12,2.62232687176731,47,1,0.0557941887610066,55.7941887610066
AMMONIA,GERMANY,8,1,1.506443056777991,27,1,0.05579418728807374,55.79418728807374
AMMONIA,GERMANY,8,2,0.9485012025907422,17,1,0.05579418838769072,55.794188387690724
AMMONIA,GERMANY,8,3,0.5579418619930328,10,1,0.05579418619930328,55.794186199303276
AMMONIA,GERMANY,8,4,1.952796611694996,35,1,0.055794188905571314,55.79418890557131
AMMONIA,GERMANY,8,5,2.00859086049583,36,1,0.05579419056932861,55.79419056932861
AMMONIA,GERMANY,8,6,0.8369128394394958,15,1,0.055794189295966384,55.79418929596638
AMMONIA,GERMANY,8,7,2.120179369366562,38,1,0.055794193930699,55.794193930699
AMMONIA,GERMANY,8,8,3.180269067874085,57,1,0.05579419417322956,55.79419417322956
AMMONIA,GERMANY,8,9,1.283266470641462,23,1,0.05579419437571574,55.79419437571574
AMMONIA,GERMANY,8,10,1.450648945702667,26,1,0.055794190219333344,55.794190219333345
AMMONIA,GERMANY,8,11,1.89700245530818,34,1,0.055794189862005295,55.7941898620053
AMMONIA,GERMANY,8,12,2.62232687166071,47,1,0.05579418875873851,55.794188758738514
AMMONIA,GERMANY,9,1,1.506443056745558,27,1,0.05579418728687252,55.79418728687252
AMMONIA,GERMANY,9,2,0.948501202555822,17,1,0.055794188385636594,55.794188385636595
AMMONIA,GERMANY,9,3,0.5579418619978773,10,1,0.05579418619978773,55.79418619978773
AMMONIA,GERMANY,9,4,1.952796611786116,35,1,0.055794188908174745,55.794188908174746
AMMONIA,GERMANY,9,5,2.008590860592107,36,1,0.055794190572002966,55.79419057200297
