j,h,td,val
AMMONIA_STORAGE,1,1,0.0005422010370632973
AMMONIA_STORAGE,1,2,0.0005422078044286134
AMMONIA_STORAGE,1,3,0.0005422042934146824
AMMONIA_STORAGE,1,4,0.0005422080208797508
AMMONIA_STORAGE,1,5,0.0005422027150778293
AMMONIA_STORAGE,1,6,0.0005422073534908259
AMMONIA_STORAGE,1,7,0.0005422079148157616
AMMONIA_STORAGE,1,8,0.0005422073066357579
AMMONIA_STORAGE,1,9,0.0005422082606119224
AMMONIA_STORAGE,1,10,0.0005422008756660571
AMMONIA_STORAGE,1,11,0.0005422080553746916
AMMONIA_STORAGE,1,12,0.000542202791911152
AMMONIA_STORAGE,2,1,0.0005422010370635215
AMMONIA_STORAGE,2,2,0.0005422078044277014
AMMONIA_STORAGE,2,3,0.0005422042934145419
AMMONIA_STORAGE,2,4,0.0005422080208797994
AMMONIA_STORAGE,2,5,0.0005422027290757506
AMMONIA_STORAGE,2,6,0.0005422073534925111
AMMONIA_STORAGE,2,7,0.0005422079148167955
AMMONIA_STORAGE,2,8,0.0005422073066344256
AMMONIA_STORAGE,2,9,0.000542208260612913
AMMONIA_STORAGE,2,10,0.0005422008756663724
AMMONIA_STORAGE,2,11,0.0005422080553752094
AMMONIA_STORAGE,2,12,0.0005422027919131478
AMMONIA_STORAGE,3,1,0.000542201037061177
AMMONIA_STORAGE,3,2,0.0005422078044278983
AMMONIA_STORAGE,3,3,0.0005422042934152293
AMMONIA_STORAGE,3,4,0.0005422080208751642
AMMONIA_STORAGE,3,5,0.0005422027291298397
AMMONIA_STORAGE,3,6,0.0005422073534924344
AMMONIA_STORAGE,3,7,0.0005422079148161897
AMMONIA_STORAGE,3,8,0.0005422073066341762
AMMONIA_STORAGE,3,9,0.000542208260612677
AMMONIA_STORAGE,3,10,0.000542200875666231
AMMONIA_STORAGE,3,11,0.0005422080553753768
AMMONIA_STORAGE,3,12,0.0005422027919109447
AMMONIA_STORAGE,4,1,0.0005422010370632101
AMMONIA_STORAGE,4,2,0.0005422078044276472
AMMONIA_STORAGE,4,3,0.0005422042934147202
AMMONIA_STORAGE,4,4,0.0005422080208753212
AMMONIA_STORAGE,4,5,0.0005422027363006952
AMMONIA_STORAGE,4,6,0.000542207353492401
AMMONIA_STORAGE,4,7,0.000542207914817894
AMMONIA_STORAGE,4,8,0.0005422073066334719
AMMONIA_STORAGE,4,9,0.000542208260614047
AMMONIA_STORAGE,4,10,0.0005422008756661139
AMMONIA_STORAGE,4,11,0.0005422080553728233
AMMONIA_STORAGE,4,12,0.0005422027919109547
AMMONIA_STORAGE,5,1,0.0005422010370615066
AMMONIA_STORAGE,5,2,0.000542207804427272
AMMONIA_STORAGE,5,3,0.0005422042934145575
AMMONIA_STORAGE,5,4,0.0005422080208753307
AMMONIA_STORAGE,5,5,0.0005422028301057136
AMMONIA_STORAGE,5,6,0.0005422073534923147
AMMONIA_STORAGE,5,7,0.0005422079148159312
AMMONIA_STORAGE,5,8,0.0005422073066345292
AMMONIA_STORAGE,5,9,0.0005422082606125638
AMMONIA_STORAGE,5,10,0.0005422008756661048
AMMONIA_STORAGE,5,11,0.0005422080553739951
AMMONIA_STORAGE,5,12,0.0005422027919154151
AMMONIA_STORAGE,6,1,0.0005422010370624841
AMMONIA_STORAGE,6,2,0.0005422078044277686
AMMONIA_STORAGE,6,3,0.0005422042934146902
AMMONIA_STORAGE,6,4,0.0005422080208750926
AMMONIA_STORAGE,6,5,0.000542203010782635
AMMONIA_STORAGE,6,6,0.0005422073534926799
AMMONIA_STORAGE,6,7,0.000542207914817044
AMMONIA_STORAGE,6,8,0.0005422073066302883
AMMONIA_STORAGE,6,9,0.0005422082606124827
AMMONIA_STORAGE,6,10,0.0005422008756661078
AMMONIA_STORAGE,6,11,0.0005422080553739994
AMMONIA_STORAGE,6,12,0.0005422027919156102
AMMONIA_STORAGE,7,1,0.0005422010370624876
AMMONIA_STORAGE,7,2,0.0005422078044276931
AMMONIA_STORAGE,7,3,0.000542204293413946
AMMONIA_STORAGE,7,4,0.0005422080208757896
AMMONIA_STORAGE,7,5,0.0005422027293391311
AMMONIA_STORAGE,7,6,0.0005422073534923208
AMMONIA_STORAGE,7,7,0.0005422079148176191
AMMONIA_STORAGE,7,8,0.0005422073066354022
AMMONIA_STORAGE,7,9,0.0005422082606130457
AMMONIA_STORAGE,7,10,0.0005422008756662106
AMMONIA_STORAGE,7,11,0.0005422080553753768
AMMONIA_STORAGE,7,12,0.000542202791915612
AMMONIA_STORAGE,8,1,0.0005422010370614203
AMMONIA_STORAGE,8,2,0.0005422078044274069
AMMONIA_STORAGE,8,3,0.0005422042934145454
AMMONIA_STORAGE,8,4,0.00054220802087922
AMMONIA_STORAGE,8,5,0.00054220272939122
AMMONIA_STORAGE,8,6,0.0005422056115936187
AMMONIA_STORAGE,8,7,0.0005422079148156207
AMMONIA_STORAGE,8,8,0.0005422039623423011
AMMONIA_STORAGE,8,9,0.0005422082606129806
AMMONIA_STORAGE,8,10,0.0005422008756665207
AMMONIA_STORAGE,8,11,0.0005422080553753109
AMMONIA_STORAGE,8,12,0.0005422027919133551
AMMONIA_STORAGE,9,1,0.0005422010370637075
AMMONIA_STORAGE,9,2,0.0005422078044285245
AMMONIA_STORAGE,9,3,0.0005422042934144417
AMMONIA_STORAGE,9,4,0.000542208020877467
AMMONIA_STORAGE,9,5,0.0005422027290779884
AMMONIA_STORAGE,9,6,0.0005421989318317314
AMMONIA_STORAGE,9,7,0.0005422079148173918
AMMONIA_STORAGE,9,8,0.0005422036284697465
AMMONIA_STORAGE,9,9,0.0005422082606110932
AMMONIA_STORAGE,9,10,0.0005422008756664257
AMMONIA_STORAGE,9,11,0.0005422080553734326
AMMONIA_STORAGE,9,12,0.0005422027919155304
AMMONIA_STORAGE,10,1,0.0005422010370623991
AMMONIA_STORAGE,10,2,0.0005422078044281711
AMMONIA_STORAGE,10,3,0.0005422042934146607
AMMONIA_STORAGE,10,4,0.0005422080208759348
AMMONIA_STORAGE,10,5,0.0005422027290796177
AMMONIA_STORAGE,10,6,0.0005421989318318814
AMMONIA_STORAGE,10,7,0.0005422079148166546
AMMONIA_STORAGE,10,8,0.0005422036284687625
AMMONIA_STORAGE,10,9,0.0005422082606120352
AMMONIA_STORAGE,10,10,0.0005422008756664587
AMMONIA_STORAGE,10,11,0.0005422080553748963
AMMONIA_STORAGE,10,12,0.000542202791915046
AMMONIA_STORAGE,11,1,0.00054220103706153
AMMONIA_STORAGE,11,2,0.0005422078044279932
AMMONIA_STORAGE,11,3,0.0005422042934152219
AMMONIA_STORAGE,11,4,0.0005422070599672172
AMMONIA_STORAGE,11,5,0.0005422027290795215
AMMONIA_STORAGE,11,6,0.0005421989318320063
AMMONIA_STORAGE,11,7,0.0005422079148159433
AMMONIA_STORAGE,11,8,0.0005422036284668612
AMMONIA_STORAGE,11,9,0.0005422082606132946
AMMONIA_STORAGE,11,10,0.00054220087566643
AMMONIA_STORAGE,11,11,0.0005422080553760069
AMMONIA_STORAGE,11,12,0.0005422027919103852
AMMONIA_STORAGE,12,1,0.0005422010370615413
