index,capacity
AMMONIA_STORAGE,0.2090591830891473
BATT_LI,4.672952071188402e-07
CCGT,6.885642216558789
CCGT_AMMONIA,4.022166385700048e-08
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,7.125505248006229e-09
DEC_ADVCOGEN_H2,4.723934980462244e-09
DEC_BOILER_GAS,1.34812381460552e-07
DEC_BOILER_OIL,1.126297721038623e-07
DEC_BOILER_WOOD,5.439239722492019e-08
DEC_COGEN_GAS,1.787602897150506e-08
DEC_COGEN_OIL,1.679087619270442e-08
DEC_DIRECT_ELEC,6.217812371968718e-07
DEC_HP_ELEC,69.52976340229982
DEC_SOLAR,3.864088790323278e-07
DEC_THHP_GAS,1.207670109452508e-07
DHN,34.26685238741636
DHN_BOILER_GAS,8.186429495131613e-08
DHN_BOILER_OIL,8.03119416561616e-08
DHN_BOILER_WOOD,7.310858187062036e-08
DHN_COGEN_BIO_HYDROLYSIS,1.093321041648886e-08
DHN_COGEN_GAS,3.494359121997861e-08
DHN_COGEN_WASTE,1.291523414453205e-08
DHN_COGEN_WET_BIOMASS,2.751380619426302
DHN_COGEN_WOOD,2.372554190371453e-08
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,31.51547140847462
DHN_SOLAR,4.171304705785442e-08
EFFICIENCY,0.9852216748768474
GAS_STORAGE,13275.76146605518
GEOTHERMAL,0.0
GRID,2.880704182135101
H2_STORAGE,0.0001573084689742077
HYDRO_RIVER,3.153380490605523e-07
IND_BOILER_COAL,22.75487184667881
IND_BOILER_GAS,3.848183748464486e-07
IND_BOILER_OIL,4.022170242488228e-07
IND_BOILER_WASTE,2.311354482560861e-07
IND_BOILER_WOOD,2.072789522968406e-07
IND_COGEN_GAS,2.275853471105049e-08
IND_COGEN_WASTE,1.523320217300307e-08
IND_COGEN_WOOD,2.959978116588743e-08
IND_DIRECT_ELEC,23.78674560899224
LFO_STORAGE,0.2090591833518358
NUCLEAR,0.0
PHS,7.241999998081115
PV,78.82592935388521
TS_DEC_ADVCOGEN_GAS,6.314852652448369e-06
TS_DEC_ADVCOGEN_H2,6.244162895436916e-06
TS_DEC_BOILER_GAS,6.410944431847222e-06
TS_DEC_BOILER_OIL,6.395924022740941e-06
TS_DEC_BOILER_WOOD,6.419279809037235e-06
TS_DEC_COGEN_GAS,6.414121594452169e-06
TS_DEC_COGEN_OIL,6.352073675879982e-06
TS_DEC_DIRECT_ELEC,6.406854054431268e-06
TS_DEC_HP_ELEC,164.1234146744889
TS_DEC_THHP_GAS,6.418271060214047e-06
TS_DHN_DAILY,7.038839977454247e-05
TS_DHN_SEASONAL,4839.31898871236
TS_HIGH_TEMP,9.470836558972027e-06
WIND_OFFSHORE,9.050964615993048e-08
WIND_ONSHORE,304.2643083577545
