ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465780457829766
ELECTRICITY,GERMANY,1,2,-3.431396102032842
ELECTRICITY,GERMANY,1,3,-3.426801001774805
ELECTRICITY,GERMANY,1,4,-3.274470267099019
ELECTRICITY,GERMANY,1,5,1.341061566615366
ELECTRICITY,GERMANY,1,6,-3.16816281294323
ELECTRICITY,GERMANY,1,7,-3.192265773497262
ELECTRICITY,GERMANY,1,8,-3.189009217054917
ELECTRICITY,GERMANY,1,9,-3.257727647078177
ELECTRICITY,GERMANY,1,10,6.134990543771352
ELECTRICITY,GERMANY,1,11,-3.254162443729321
ELECTRICITY,GERMANY,1,12,5.488694753742422
ELECTRICITY,GERMANY,2,1,6.412266428836077
ELECTRICITY,GERMANY,2,2,-3.395892048005813
ELECTRICITY,GERMANY,2,3,-3.404370426711644
ELECTRICITY,GERMANY,2,4,-3.282633715684099
ELECTRICITY,GERMANY,2,5,1.298728420470638
ELECTRICITY,GERMANY,2,6,-3.187154159178029
ELECTRICITY,GERMANY,2,7,-3.195396353620509
ELECTRICITY,GERMANY,2,8,-3.191147711550386
ELECTRICITY,GERMANY,2,9,-3.259333880352735
ELECTRICITY,GERMANY,2,10,6.151022887858169
ELECTRICITY,GERMANY,2,11,-3.228868994045662
ELECTRICITY,GERMANY,2,12,5.452123277023546
ELECTRICITY,GERMANY,3,1,6.411534734127969
ELECTRICITY,GERMANY,3,2,-3.379354144384479
ELECTRICITY,GERMANY,3,3,-3.412360649849767
ELECTRICITY,GERMANY,3,4,-3.309621584245001
ELECTRICITY,GERMANY,3,5,1.153792366747595
ELECTRICITY,GERMANY,3,6,-3.213209782307082
ELECTRICITY,GERMANY,3,7,-3.228846948705105
ELECTRICITY,GERMANY,3,8,-3.19597864371304
ELECTRICITY,GERMANY,3,9,-3.279216528583582
ELECTRICITY,GERMANY,3,10,6.21514637348362
ELECTRICITY,GERMANY,3,11,-3.219867788816082
ELECTRICITY,GERMANY,3,12,5.457316710947993
ELECTRICITY,GERMANY,4,1,6.432936803913947
ELECTRICITY,GERMANY,4,2,-3.381372959153168
ELECTRICITY,GERMANY,4,3,-3.423859390339466
ELECTRICITY,GERMANY,4,4,-3.388456142735542
ELECTRICITY,GERMANY,4,5,1.183185187049908
ELECTRICITY,GERMANY,4,6,-3.294743442558087
ELECTRICITY,GERMANY,4,7,-3.300122762413288
ELECTRICITY,GERMANY,4,8,-3.300209923908113
