pt,n,h,td,val
CCGT,GERMANY,1,1,3.58761650399702e-09
CCGT,GERMANY,1,2,6.885642187237751
CCGT,GERMANY,1,3,6.885642166713094
CCGT,GERMANY,1,4,6.885642201531208
CCGT,GERMANY,1,5,3.940274472807884e-09
CCGT,GERMANY,1,6,6.885642183328179
CCGT,GERMANY,1,7,6.885642203441383
CCGT,GERMANY,1,8,6.885642207813834
CCGT,GERMANY,1,9,6.885642194886534
CCGT,GERMANY,1,10,3.735081263770734e-09
CCGT,GERMANY,1,11,6.885642201898244
CCGT,GERMANY,1,12,2.191250851092422e-09
CCGT,GERMANY,2,1,3.587561203670198e-09
CCGT,GERMANY,2,2,6.885642187237751
CCGT,GERMANY,2,3,6.885642166713094
CCGT,GERMANY,2,4,6.885642202317102
CCGT,GERMANY,2,5,3.955668129167349e-09
CCGT,GERMANY,2,6,6.885642183328176
CCGT,GERMANY,2,7,6.885642203441379
CCGT,GERMANY,2,8,6.885642207813831
CCGT,GERMANY,2,9,6.885642194886528
CCGT,GERMANY,2,10,3.735078490277935e-09
CCGT,GERMANY,2,11,6.885642201898254
CCGT,GERMANY,2,12,2.19250114484208e-09
CCGT,GERMANY,3,1,3.587499566291276e-09
CCGT,GERMANY,3,2,6.885642187237751
CCGT,GERMANY,3,3,6.885642166713095
CCGT,GERMANY,3,4,6.885642202317105
CCGT,GERMANY,3,5,4.012597949106299e-09
CCGT,GERMANY,3,6,6.885642183328166
CCGT,GERMANY,3,7,6.885642203441375
CCGT,GERMANY,3,8,6.885642206202443
CCGT,GERMANY,3,9,6.885642194886533
CCGT,GERMANY,3,10,3.735072168843058e-09
CCGT,GERMANY,3,11,6.885642201898248
CCGT,GERMANY,3,12,2.193760950554709e-09
CCGT,GERMANY,4,1,3.587431332315053e-09
CCGT,GERMANY,4,2,6.885642187237758
CCGT,GERMANY,4,3,6.885642166713096
CCGT,GERMANY,4,4,6.885642202317104
CCGT,GERMANY,4,5,4.012729195027093e-09
CCGT,GERMANY,4,6,6.885642183328172
CCGT,GERMANY,4,7,6.885642203441375
CCGT,GERMANY,4,8,6.885642206797087
CCGT,GERMANY,4,9,6.885642194886533
CCGT,GERMANY,4,10,3.735063308582749e-09
CCGT,GERMANY,4,11,6.885642201898242
CCGT,GERMANY,4,12,2.195030534883939e-09
CCGT,GERMANY,5,1,3.587357096155169e-09
CCGT,GERMANY,5,2,6.885642187237752
CCGT,GERMANY,5,3,6.885642166713093
CCGT,GERMANY,5,4,6.885642202317102
CCGT,GERMANY,5,5,4.807715626884304e-09
CCGT,GERMANY,5,6,6.885642183328175
CCGT,GERMANY,5,7,6.885642203441378
CCGT,GERMANY,5,8,6.885642207331316
CCGT,GERMANY,5,9,6.885642194886537
CCGT,GERMANY,5,10,3.73505658845207e-09
CCGT,GERMANY,5,11,6.885642201898239
CCGT,GERMANY,5,12,2.196310722121331e-09
CCGT,GERMANY,6,1,3.587291046050271e-09
CCGT,GERMANY,6,2,6.885642187237757
CCGT,GERMANY,6,3,6.885642166713096
CCGT,GERMANY,6,4,6.885642202317096
CCGT,GERMANY,6,5,5.520570319656009e-09
CCGT,GERMANY,6,6,6.885642183328171
CCGT,GERMANY,6,7,6.88564220344138
CCGT,GERMANY,6,8,6.885642207813849
CCGT,GERMANY,6,9,6.885642194886536
CCGT,GERMANY,6,10,3.735051582737889e-09
CCGT,GERMANY,6,11,6.885642201898238
CCGT,GERMANY,6,12,2.197606529841652e-09
CCGT,GERMANY,7,1,3.587231709571856e-09
CCGT,GERMANY,7,2,6.885642187237754
CCGT,GERMANY,7,3,6.885642166713096
CCGT,GERMANY,7,4,6.885642202317113
CCGT,GERMANY,7,5,4.036482197500275e-09
CCGT,GERMANY,7,6,6.885642183328171
CCGT,GERMANY,7,7,6.885642203441384
CCGT,GERMANY,7,8,6.885642207813832
CCGT,GERMANY,7,9,6.885642194886533
CCGT,GERMANY,7,10,3.735047224625288e-09
CCGT,GERMANY,7,11,6.885642201898247
CCGT,GERMANY,7,12,2.198918349870366e-09
CCGT,GERMANY,8,1,3.587176658704086e-09
CCGT,GERMANY,8,2,6.885642187237762
CCGT,GERMANY,8,3,6.885642166713097
CCGT,GERMANY,8,4,6.885642202317104
CCGT,GERMANY,8,5,4.807598658962963e-09
CCGT,GERMANY,8,6,6.783844040161182
CCGT,GERMANY,8,7,6.885642203441374
CCGT,GERMANY,8,8,1.982327806105826
CCGT,GERMANY,8,9,6.885642194886534
CCGT,GERMANY,8,10,3.735043317850183e-09
CCGT,GERMANY,8,11,6.885642201898248
CCGT,GERMANY,8,12,2.200244680128895e-09
CCGT,GERMANY,9,1,3.587124210053005e-09
CCGT,GERMANY,9,2,6.885642187237764
CCGT,GERMANY,9,3,6.885642166713092
CCGT,GERMANY,9,4,6.885642202317109
CCGT,GERMANY,9,5,4.013286425997992e-09
CCGT,GERMANY,9,6,1.06565454466252e-08
CCGT,GERMANY,9,7,6.88564220344138
CCGT,GERMANY,9,8,4.293903705048882e-09
CCGT,GERMANY,9,9,6.885642194886537
CCGT,GERMANY,9,10,3.735039314650991e-09
CCGT,GERMANY,9,11,6.885642201898241
CCGT,GERMANY,9,12,2.04055534173286e-09
CCGT,GERMANY,10,1,3.587074250991871e-09
CCGT,GERMANY,10,2,6.885642187237759
CCGT,GERMANY,10,3,6.885642166713093
CCGT,GERMANY,10,4,6.885642202317092
CCGT,GERMANY,10,5,3.940199141862244e-09
CCGT,GERMANY,10,6,9.803563592029472e-09
CCGT,GERMANY,10,7,6.885642203441378
CCGT,GERMANY,10,8,3.127527374988809e-09
CCGT,GERMANY,10,9,6.885642194886535
CCGT,GERMANY,10,10,3.735035207822109e-09
CCGT,GERMANY,10,11,6.885642201898232
CCGT,GERMANY,10,12,2.040480783507803e-09
CCGT,GERMANY,11,1,3.587023303145847e-09
CCGT,GERMANY,11,2,6.885642187237755
CCGT,GERMANY,11,3,6.885642166713093
CCGT,GERMANY,11,4,6.885642200067486
CCGT,GERMANY,11,5,3.940190943223619e-09
CCGT,GERMANY,11,6,9.843945750238447e-09
CCGT,GERMANY,11,7,6.885642203441384
CCGT,GERMANY,11,8,2.479587160673816e-09
CCGT,GERMANY,11,9,6.885642194886531
CCGT,GERMANY,11,10,3.735030599384564e-09
CCGT,GERMANY,11,11,6.885642201898238
CCGT,GERMANY,11,12,2.204308848644854e-09
CCGT,GERMANY,12,1,3.586973631320601e-09
CCGT,GERMANY,12,2,6.885642187237758
CCGT,GERMANY,12,3,6.885642166713092
CCGT,GERMANY,12,4,6.885642195153384
CCGT,GERMANY,12,5,3.940181065971521e-09
CCGT,GERMANY,12,6,9.88501162906445e-09
CCGT,GERMANY,12,7,6.885642183775806
CCGT,GERMANY,12,8,2.461511112619296e-09
CCGT,GERMANY,12,9,6.885642194886533
CCGT,GERMANY,12,10,3.735024725947014e-09
CCGT,GERMANY,12,11,6.885642201898246
CCGT,GERMANY,12,12,2.040331197921431e-09
CCGT,GERMANY,13,1,3.586922899179193e-09
CCGT,GERMANY,13,2,6.885642187237759
CCGT,GERMANY,13,3,6.885642166713094
CCGT,GERMANY,13,4,6.885642195165022
CCGT,GERMANY,13,5,3.895425343043529e-09
CCGT,GERMANY,13,6,9.886134841322962e-09
CCGT,GERMANY,13,7,6.885642187270089
CCGT,GERMANY,13,8,2.461468315122384e-09
CCGT,GERMANY,13,9,6.88564219488653
CCGT,GERMANY,13,10,3.735017372220498e-09
CCGT,GERMANY,13,11,6.885642201898246
CCGT,GERMANY,13,12,2.191498927966048e-09
CCGT,GERMANY,14,1,3.586872073850874e-09
CCGT,GERMANY,14,2,6.885642187237755
CCGT,GERMANY,14,3,6.885642166713088
CCGT,GERMANY,14,4,6.885642195176699
CCGT,GERMANY,14,5,3.910093246368129e-09
CCGT,GERMANY,14,6,9.807664957281965e-09
CCGT,GERMANY,14,7,6.885642190112857
CCGT,GERMANY,14,8,2.35879729445137e-09
CCGT,GERMANY,14,9,6.885642194886533
CCGT,GERMANY,14,10,3.73500785001118e-09
CCGT,GERMANY,14,11,6.88564220189824
CCGT,GERMANY,14,12,2.987924146434066e-09
CCGT,GERMANY,15,1,3.586820660098625e-09
CCGT,GERMANY,15,2,6.885642187237756
CCGT,GERMANY,15,3,6.88564216671309
CCGT,GERMANY,15,4,6.885642195188295
CCGT,GERMANY,15,5,3.924994495976313e-09
CCGT,GERMANY,15,6,9.808671056201354e-09
CCGT,GERMANY,15,7,6.88564219247035
CCGT,GERMANY,15,8,2.461376687383958e-09
CCGT,GERMANY,15,9,6.885642194886529
CCGT,GERMANY,15,10,3.734996546146117e-09
CCGT,GERMANY,15,11,6.885642201898248
CCGT,GERMANY,15,12,2.999317954000818e-09
CCGT,GERMANY,16,1,3.586769076728506e-09
CCGT,GERMANY,16,2,6.885642187237757
CCGT,GERMANY,16,3,6.885642166713088
CCGT,GERMANY,16,4,6.885642195200149
CCGT,GERMANY,16,5,3.940130968843051e-09
CCGT,GERMANY,16,6,1.005610593857609e-08
CCGT,GERMANY,16,7,6.885642194456999
CCGT,GERMANY,16,8,2.461329339124563e-09
CCGT,GERMANY,16,9,6.885642194886532
CCGT,GERMANY,16,10,3.734984151287001e-09
CCGT,GERMANY,16,11,6.885642201898237
CCGT,GERMANY,16,12,5.264595622328898e-09
CCGT,GERMANY,17,1,3.586717185526139e-09
CCGT,GERMANY,17,2,6.885642187237755
CCGT,GERMANY,17,3,6.885642166713081
CCGT,GERMANY,17,4,6.885642195211938
CCGT,GERMANY,17,5,3.955512834774557e-09
CCGT,GERMANY,17,6,1.010050141104577e-08
CCGT,GERMANY,17,7,6.885642196153812
CCGT,GERMANY,17,8,2.500361797765238e-09
CCGT,GERMANY,17,9,6.885642194886534
CCGT,GERMANY,17,10,3.734972073653966e-09
CCGT,GERMANY,17,11,6.885642201898246
CCGT,GERMANY,17,12,5.63224264871912e-09
CCGT,GERMANY,18,1,3.586666891599358e-09
CCGT,GERMANY,18,2,6.885642187237754
CCGT,GERMANY,18,3,6.885642166713094
CCGT,GERMANY,18,4,6.885642196699204
CCGT,GERMANY,18,5,4.58641455567228e-09
CCGT,GERMANY,18,6,1.348121168243477e-06
CCGT,GERMANY,18,7,6.885642203441384
CCGT,GERMANY,18,8,6.913829757780205e-09
CCGT,GERMANY,18,9,6.885642194886532
CCGT,GERMANY,18,10,3.734960832864681e-09
CCGT,GERMANY,18,11,6.885642201898249
CCGT,GERMANY,18,12,5.406263014262543e-09
CCGT,GERMANY,19,1,3.586618444058394e-09
CCGT,GERMANY,19,2,6.88564218723775
CCGT,GERMANY,19,3,6.885642166713091
CCGT,GERMANY,19,4,6.885642198002822
CCGT,GERMANY,19,5,3.940089040571104e-09
CCGT,GERMANY,19,6,8.626109091205628e-06
