st,n,h,td,val
AMMONIA,GERMANY,1,1,1.090544772790489e-08
AMMONIA,GERMANY,1,2,1.732041790788928e-08
AMMONIA,GERMANY,1,3,2.944470711759989e-08
AMMONIA,GERMANY,1,4,8.412774559323977e-09
AMMONIA,GERMANY,1,5,8.17908703389824e-09
AMMONIA,GERMANY,1,6,1.962980767079383e-08
AMMONIA,GERMANY,1,7,7.748610049385714e-09
AMMONIA,GERMANY,1,8,5.165740083509989e-09
AMMONIA,GERMANY,1,9,1.280205162232705e-08
AMMONIA,GERMANY,1,10,1.132488959547364e-08
AMMONIA,GERMANY,1,11,8.660209569041383e-09
AMMONIA,GERMANY,1,12,6.26483212630771e-09
AMMONIA,GERMANY,2,1,1.09054477272351e-08
AMMONIA,GERMANY,2,2,1.732041790613391e-08
AMMONIA,GERMANY,2,3,2.944470711763875e-08
AMMONIA,GERMANY,2,4,8.412774560461119e-09
AMMONIA,GERMANY,2,5,8.179087034948905e-09
AMMONIA,GERMANY,2,6,1.962980767312386e-08
AMMONIA,GERMANY,2,7,7.748610049278034e-09
AMMONIA,GERMANY,2,8,5.165740083713435e-09
AMMONIA,GERMANY,2,9,1.28020516228411e-08
AMMONIA,GERMANY,2,10,1.132488959507998e-08
AMMONIA,GERMANY,2,11,8.660209568016155e-09
AMMONIA,GERMANY,2,12,6.264832125606737e-09
AMMONIA,GERMANY,3,1,1.090544772656867e-08
AMMONIA,GERMANY,3,2,1.732041790437705e-08
AMMONIA,GERMANY,3,3,2.944470711767888e-08
AMMONIA,GERMANY,3,4,8.41277456153169e-09
AMMONIA,GERMANY,3,5,8.179087036005129e-09
AMMONIA,GERMANY,3,6,1.962980767544627e-08
AMMONIA,GERMANY,3,7,7.748610049166888e-09
AMMONIA,GERMANY,3,8,5.165740083865015e-09
AMMONIA,GERMANY,3,9,1.280205162335064e-08
AMMONIA,GERMANY,3,10,1.132488959469013e-08
AMMONIA,GERMANY,3,11,8.660209566986295e-09
AMMONIA,GERMANY,3,12,6.264832124906876e-09
AMMONIA,GERMANY,4,1,1.090544772590571e-08
AMMONIA,GERMANY,4,2,1.732041790261549e-08
AMMONIA,GERMANY,4,3,2.944470711772059e-08
AMMONIA,GERMANY,4,4,8.412774562599057e-09
AMMONIA,GERMANY,4,5,8.179087037056482e-09
AMMONIA,GERMANY,4,6,1.962980767776137e-08
AMMONIA,GERMANY,4,7,7.748610049053888e-09
AMMONIA,GERMANY,4,8,5.165740084081908e-09
AMMONIA,GERMANY,4,9,1.280205162385547e-08
AMMONIA,GERMANY,4,10,1.132488959430304e-08
AMMONIA,GERMANY,4,11,8.66020956595363e-09
AMMONIA,GERMANY,4,12,6.264832124208153e-09
