j,h,td,val
AMMONIA_STORAGE,1,1,0.0004147966771240116
AMMONIA_STORAGE,1,2,0.0004148021416775852
AMMONIA_STORAGE,1,3,0.0004147990961367951
AMMONIA_STORAGE,1,4,0.0004148022837629339
AMMONIA_STORAGE,1,5,0.0004147979252550216
AMMONIA_STORAGE,1,6,0.0004148017356279884
AMMONIA_STORAGE,1,7,0.0004148023551353297
AMMONIA_STORAGE,1,8,0.0004148018620803492
AMMONIA_STORAGE,1,9,0.0004148025848900675
AMMONIA_STORAGE,1,10,0.0004147965453782671
AMMONIA_STORAGE,1,11,0.0004148024641113628
AMMONIA_STORAGE,1,12,0.0004147981661673204
AMMONIA_STORAGE,2,1,0.0004147966771239735
AMMONIA_STORAGE,2,2,0.0004148021416780449
AMMONIA_STORAGE,2,3,0.0004147990961386756
AMMONIA_STORAGE,2,4,0.0004148024377159752
AMMONIA_STORAGE,2,5,0.0004147979294067405
AMMONIA_STORAGE,2,6,0.0004148017356255407
AMMONIA_STORAGE,2,7,0.0004148023551352499
AMMONIA_STORAGE,2,8,0.0004148018620798982
AMMONIA_STORAGE,2,9,0.0004148025848902427
AMMONIA_STORAGE,2,10,0.000414796545378196
AMMONIA_STORAGE,2,11,0.0004148024641116906
AMMONIA_STORAGE,2,12,0.0004147981666607105
AMMONIA_STORAGE,3,1,0.0004147966771238729
AMMONIA_STORAGE,3,2,0.0004148021416788394
AMMONIA_STORAGE,3,3,0.0004147990961407555
AMMONIA_STORAGE,3,4,0.000414802437716159
AMMONIA_STORAGE,3,5,0.0004147979446197866
AMMONIA_STORAGE,3,6,0.0004148017356265087
AMMONIA_STORAGE,3,7,0.0004148023551353262
AMMONIA_STORAGE,3,8,0.0004148015361480368
AMMONIA_STORAGE,3,9,0.0004148025848902306
AMMONIA_STORAGE,3,10,0.0004147965453782966
AMMONIA_STORAGE,3,11,0.0004148024641110488
AMMONIA_STORAGE,3,12,0.0004147981671586455
AMMONIA_STORAGE,4,1,0.0004147966771238971
AMMONIA_STORAGE,4,2,0.0004148021416791776
AMMONIA_STORAGE,4,3,0.0004147990961431806
AMMONIA_STORAGE,4,4,0.0004148024377158225
AMMONIA_STORAGE,4,5,0.0004147979446525382
AMMONIA_STORAGE,4,6,0.0004148017356297162
AMMONIA_STORAGE,4,7,0.000414802355135668
AMMONIA_STORAGE,4,8,0.0004148016385980436
AMMONIA_STORAGE,4,9,0.0004148025848908794
AMMONIA_STORAGE,4,10,0.000414796545378026
AMMONIA_STORAGE,4,11,0.0004148024641104572
AMMONIA_STORAGE,4,12,0.000414798167661809
