j,n,h,td,val
BATT_LI,GERMANY,1,1,1.943832590348653e-07
BATT_LI,GERMANY,1,2,1.921377401967907e-07
BATT_LI,GERMANY,1,3,1.930664333545959e-07
BATT_LI,GERMANY,1,4,1.908052872312126e-07
BATT_LI,GERMANY,1,5,2.159881311709587e-07
BATT_LI,GERMANY,1,6,1.798880365335947e-07
BATT_LI,GERMANY,1,7,1.859463026457184e-07
BATT_LI,GERMANY,1,8,1.657413709198493e-07
BATT_LI,GERMANY,1,9,1.91346662359141e-07
BATT_LI,GERMANY,1,10,1.943832614828269e-07
BATT_LI,GERMANY,1,11,1.898279293893169e-07
BATT_LI,GERMANY,1,12,1.945074054950315e-07
BATT_LI,GERMANY,2,1,2.053418342357313e-07
BATT_LI,GERMANY,2,2,2.018410131954113e-07
BATT_LI,GERMANY,2,3,2.032775992120462e-07
BATT_LI,GERMANY,2,4,1.950560242296279e-07
BATT_LI,GERMANY,2,5,2.49448774466161e-07
BATT_LI,GERMANY,2,6,1.759658431894368e-07
BATT_LI,GERMANY,2,7,1.904618638229374e-07
BATT_LI,GERMANY,2,8,1.496002844817695e-07
BATT_LI,GERMANY,2,9,2.006131194488047e-07
BATT_LI,GERMANY,2,10,2.053418377211262e-07
BATT_LI,GERMANY,2,11,1.981615093476487e-07
BATT_LI,GERMANY,2,12,2.050249330387834e-07
BATT_LI,GERMANY,3,1,2.132473612299831e-07
BATT_LI,GERMANY,3,2,2.091360315490656e-07
BATT_LI,GERMANY,3,3,2.107971795321542e-07
BATT_LI,GERMANY,3,4,1.974510585183125e-07
BATT_LI,GERMANY,3,5,2.763972719062689e-07
BATT_LI,GERMANY,3,6,1.670226634657262e-07
BATT_LI,GERMANY,3,7,1.93031629032172e-07
BATT_LI,GERMANY,3,8,1.464230201203944e-07
BATT_LI,GERMANY,3,9,2.077151907487348e-07
BATT_LI,GERMANY,3,10,2.132473651233573e-07
BATT_LI,GERMANY,3,11,2.047318802284308e-07
BATT_LI,GERMANY,3,12,2.118064424262741e-07
BATT_LI,GERMANY,4,1,2.189371236064263e-07
BATT_LI,GERMANY,4,2,2.146059977673086e-07
BATT_LI,GERMANY,4,3,2.163070381639892e-07
BATT_LI,GERMANY,4,4,1.981232831230406e-07
BATT_LI,GERMANY,4,5,3.068818024337438e-07
BATT_LI,GERMANY,4,6,1.52052749045297e-07
BATT_LI,GERMANY,4,7,1.937936986211711e-07
BATT_LI,GERMANY,4,8,1.349823401555274e-07
BATT_LI,GERMANY,4,9,2.131578878807416e-07
BATT_LI,GERMANY,4,10,2.189371274661936e-07
BATT_LI,GERMANY,4,11,2.099113945424635e-07
BATT_LI,GERMANY,4,12,2.15517933514423e-07
BATT_LI,GERMANY,5,1,2.230211272442372e-07
BATT_LI,GERMANY,5,2,2.186821273145272e-07
BATT_LI,GERMANY,5,3,2.203054739183261e-07
BATT_LI,GERMANY,5,4,1.971067182030357e-07
BATT_LI,GERMANY,5,5,2.497239972777947e-07
BATT_LI,GERMANY,5,6,1.292291714380418e-07
BATT_LI,GERMANY,5,7,1.927855664435018e-07
BATT_LI,GERMANY,5,8,1.124778213821233e-07
BATT_LI,GERMANY,5,9,2.173192224067046e-07
BATT_LI,GERMANY,5,10,2.230211306213347e-07
BATT_LI,GERMANY,5,11,2.139826094212455e-07
BATT_LI,GERMANY,5,12,2.165198392857525e-07
BATT_LI,GERMANY,6,1,2.259410880461216e-07
BATT_LI,GERMANY,6,2,2.216834537704281e-07
BATT_LI,GERMANY,6,3,2.231540799466726e-07
BATT_LI,GERMANY,6,4,1.943392880733723e-07
BATT_LI,GERMANY,6,5,1.640898667751534e-07
BATT_LI,GERMANY,6,6,9.536160383512993e-08
BATT_LI,GERMANY,6,7,1.899476277594702e-07
BATT_LI,GERMANY,6,8,7.192752504132092e-08
BATT_LI,GERMANY,6,9,2.204843099524991e-07
BATT_LI,GERMANY,6,10,2.259410909016848e-07
BATT_LI,GERMANY,6,11,2.171622601262961e-07
BATT_LI,GERMANY,6,12,2.148945148861215e-07
BATT_LI,GERMANY,7,1,2.28014816205639e-07
BATT_LI,GERMANY,7,2,2.238440846644572e-07
BATT_LI,GERMANY,7,3,2.25110709088672e-07
BATT_LI,GERMANY,7,4,1.89655392325932e-07
BATT_LI,GERMANY,7,5,1.932259054198445e-07
BATT_LI,GERMANY,7,6,4.483699974661321e-08
BATT_LI,GERMANY,7,7,1.851154728505934e-07
BATT_LI,GERMANY,7,8,1.157475321137662e-08
BATT_LI,GERMANY,7,9,2.228683612506005e-07
BATT_LI,GERMANY,7,10,2.280148184261249e-07
BATT_LI,GERMANY,7,11,2.196170116764773e-07
BATT_LI,GERMANY,7,12,2.104467899704244e-07
BATT_LI,GERMANY,8,1,2.294690300238412e-07
BATT_LI,GERMANY,8,2,2.25332296203606e-07
BATT_LI,GERMANY,8,3,2.263526425740148e-07
BATT_LI,GERMANY,8,4,1.827652806046236e-07
BATT_LI,GERMANY,8,5,1.301386626745551e-07
BATT_LI,GERMANY,8,6,1.52986287403908e-08
BATT_LI,GERMANY,8,7,1.779980830177019e-07
BATT_LI,GERMANY,8,8,4.334575219959063e-09
BATT_LI,GERMANY,8,9,2.24632804910327e-07
BATT_LI,GERMANY,8,10,2.294690319892524e-07
BATT_LI,GERMANY,8,11,2.214742783461447e-07
BATT_LI,GERMANY,8,12,2.026759277465429e-07
BATT_LI,GERMANY,9,1,2.304632166330819e-07
BATT_LI,GERMANY,9,2,2.262639000138352e-07
BATT_LI,GERMANY,9,3,2.269924133904991e-07
BATT_LI,GERMANY,9,4,1.732139469395339e-07
BATT_LI,GERMANY,9,5,1.486117245197766e-07
BATT_LI,GERMANY,9,6,7.278209206714876e-08
BATT_LI,GERMANY,9,7,1.681330141035267e-07
BATT_LI,GERMANY,9,8,1.121987838922696e-08
BATT_LI,GERMANY,9,9,2.258968533667239e-07
BATT_LI,GERMANY,9,10,2.304632191591882e-07
BATT_LI,GERMANY,9,11,2.228298682346969e-07
BATT_LI,GERMANY,9,12,2.664172558620459e-07
BATT_LI,GERMANY,10,1,2.311066417562065e-07
BATT_LI,GERMANY,10,2,2.267113031282602e-07
BATT_LI,GERMANY,10,3,2.270877923954556e-07
BATT_LI,GERMANY,10,4,1.603005493463879e-07
BATT_LI,GERMANY,10,5,1.6971797464253e-07
BATT_LI,GERMANY,10,6,1.265628835197702e-07
BATT_LI,GERMANY,10,7,1.547968690747716e-07
BATT_LI,GERMANY,10,8,1.962140798194161e-08
BATT_LI,GERMANY,10,9,2.267458031685317e-07
BATT_LI,GERMANY,10,10,2.311066455210198e-07
BATT_LI,GERMANY,10,11,2.237534318010819e-07
BATT_LI,GERMANY,10,12,3.313823579307166e-07
BATT_LI,GERMANY,11,1,2.314701071040812e-07
BATT_LI,GERMANY,11,2,2.267091049576435e-07
BATT_LI,GERMANY,11,3,2.266468280608345e-07
BATT_LI,GERMANY,11,4,1.568696457035045e-07
BATT_LI,GERMANY,11,5,1.849083564172124e-07
BATT_LI,GERMANY,11,6,1.718640507683667e-07
BATT_LI,GERMANY,11,7,1.368169180032808e-07
BATT_LI,GERMANY,11,8,8.62938288460131e-08
BATT_LI,GERMANY,11,9,2.272368888287261e-07
BATT_LI,GERMANY,11,10,2.314701079409523e-07
BATT_LI,GERMANY,11,11,2.242922846829958e-07
BATT_LI,GERMANY,11,12,3.337983427109937e-07
BATT_LI,GERMANY,12,1,2.315936090163355e-07
BATT_LI,GERMANY,12,2,2.262567081770578e-07
BATT_LI,GERMANY,12,3,2.256283340478545e-07
BATT_LI,GERMANY,12,4,1.689918618115516e-07
BATT_LI,GERMANY,12,5,1.95633420390245e-07
BATT_LI,GERMANY,12,6,2.119113420639361e-07
BATT_LI,GERMANY,12,7,1.803175839761713e-07
BATT_LI,GERMANY,12,8,1.470573632342176e-07
BATT_LI,GERMANY,12,9,2.274031578469093e-07
BATT_LI,GERMANY,12,10,2.31593607950353e-07
BATT_LI,GERMANY,12,11,2.244739436405807e-07
BATT_LI,GERMANY,12,12,4.061396939963023e-07
BATT_LI,GERMANY,13,1,2.314906633560172e-07
BATT_LI,GERMANY,13,2,2.253181349758617e-07
BATT_LI,GERMANY,13,3,2.239377794966624e-07
BATT_LI,GERMANY,13,4,1.774251632364794e-07
BATT_LI,GERMANY,13,5,2.101090694955521e-07
BATT_LI,GERMANY,13,6,2.503937272586567e-07
BATT_LI,GERMANY,13,7,2.144324368477812e-07
BATT_LI,GERMANY,13,8,2.034751831322643e-07
BATT_LI,GERMANY,13,9,2.272556853871741e-07
BATT_LI,GERMANY,13,10,2.3149066231504e-07
BATT_LI,GERMANY,13,11,2.243075711930542e-07
BATT_LI,GERMANY,13,12,4.563500721448771e-07
BATT_LI,GERMANY,14,1,2.311497339338421e-07
BATT_LI,GERMANY,14,2,2.238189923724266e-07
BATT_LI,GERMANY,14,3,2.214180577433534e-07
BATT_LI,GERMANY,14,4,1.827900737373202e-07
BATT_LI,GERMANY,14,5,2.20140148924734e-07
BATT_LI,GERMANY,14,6,2.917389866043274e-07
BATT_LI,GERMANY,14,7,2.412602522524784e-07
BATT_LI,GERMANY,14,8,2.761030509463167e-07
BATT_LI,GERMANY,14,9,2.267842794965573e-07
BATT_LI,GERMANY,14,10,2.311497332527962e-07
BATT_LI,GERMANY,14,11,2.237844297049377e-07
BATT_LI,GERMANY,14,12,4.299493414721743e-07
BATT_LI,GERMANY,15,1,2.305328897302491e-07
