ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12832983470675
ELECTRICITY,GERMANY,1,2,64.6560594286859
ELECTRICITY,GERMANY,1,3,61.75641342154557
ELECTRICITY,GERMANY,1,4,61.83028976828318
ELECTRICITY,GERMANY,1,5,66.86659402369126
ELECTRICITY,GERMANY,1,6,59.69608806581503
ELECTRICITY,GERMANY,1,7,57.50571903615956
ELECTRICITY,GERMANY,1,8,65.72494124204172
ELECTRICITY,GERMANY,1,9,57.12940154330451
ELECTRICITY,GERMANY,1,10,67.48960589423893
ELECTRICITY,GERMANY,1,11,56.3464565620907
ELECTRICITY,GERMANY,1,12,68.60242565038548
ELECTRICITY,GERMANY,2,1,70.53965584246633
ELECTRICITY,GERMANY,2,2,63.98639117192665
ELECTRICITY,GERMANY,2,3,61.35220865752459
ELECTRICITY,GERMANY,2,4,61.85581250464188
ELECTRICITY,GERMANY,2,5,66.92248207410758
ELECTRICITY,GERMANY,2,6,60.05393233209275
ELECTRICITY,GERMANY,2,7,57.56168022138999
ELECTRICITY,GERMANY,2,8,65.7690257676218
ELECTRICITY,GERMANY,2,9,56.94208220069683
ELECTRICITY,GERMANY,2,10,67.66596782809908
ELECTRICITY,GERMANY,2,11,55.90795809433235
ELECTRICITY,GERMANY,2,12,68.22256790620938
ELECTRICITY,GERMANY,3,1,70.53160693139336
ELECTRICITY,GERMANY,3,2,62.48625229996007
ELECTRICITY,GERMANY,3,3,61.47719870639218
ELECTRICITY,GERMANY,3,4,62.36368927841467
ELECTRICITY,GERMANY,3,5,67.67570531801772
ELECTRICITY,GERMANY,3,6,60.54488558943451
ELECTRICITY,GERMANY,3,7,58.16381930003775
ELECTRICITY,GERMANY,3,8,66.09000964527485
ELECTRICITY,GERMANY,3,9,57.28899733199364
ELECTRICITY,GERMANY,3,10,68.37135068519905
ELECTRICITY,GERMANY,3,11,55.75156591310891
ELECTRICITY,GERMANY,3,12,68.36569612148399
ELECTRICITY,GERMANY,4,1,70.76703757818007
ELECTRICITY,GERMANY,4,2,61.61807678434956
ELECTRICITY,GERMANY,4,3,61.66513121414108
ELECTRICITY,GERMANY,4,4,63.84849950586108
ELECTRICITY,GERMANY,4,5,69.4197899880384
ELECTRICITY,GERMANY,4,6,62.08118273345918
ELECTRICITY,GERMANY,4,7,59.44732019644838
ELECTRICITY,GERMANY,4,8,68.16968628038211
ELECTRICITY,GERMANY,4,9,59.12276590299413
ELECTRICITY,GERMANY,4,10,69.82671008669416
ELECTRICITY,GERMANY,4,11,55.60013905422074
ELECTRICITY,GERMANY,4,12,68.93872828473783
ELECTRICITY,GERMANY,5,1,72.01260663443024
ELECTRICITY,GERMANY,5,2,62.5406160934418
ELECTRICITY,GERMANY,5,3,63.03468821730581
ELECTRICITY,GERMANY,5,4,67.33101845615259
ELECTRICITY,GERMANY,5,5,72.8220183202455
ELECTRICITY,GERMANY,5,6,65.45040070923716
ELECTRICITY,GERMANY,5,7,62.53389652319319
ELECTRICITY,GERMANY,5,8,71.88699687124746
ELECTRICITY,GERMANY,5,9,62.15564560540994
ELECTRICITY,GERMANY,5,10,73.92665605451562
ELECTRICITY,GERMANY,5,11,55.50264681328139
ELECTRICITY,GERMANY,5,12,70.58947387238993
ELECTRICITY,GERMANY,6,1,75.57022623381913
ELECTRICITY,GERMANY,6,2,64.93085954385714
ELECTRICITY,GERMANY,6,3,66.43322433537642
ELECTRICITY,GERMANY,6,4,69.4813307959895
ELECTRICITY,GERMANY,6,5,75.6913955636403
ELECTRICITY,GERMANY,6,6,67.98782290498063
ELECTRICITY,GERMANY,6,7,65.00771219615332
ELECTRICITY,GERMANY,6,8,74.58754564999566
ELECTRICITY,GERMANY,6,9,64.34753536215196
ELECTRICITY,GERMANY,6,10,76.78038493031549
ELECTRICITY,GERMANY,6,11,56.16373967371062
ELECTRICITY,GERMANY,6,12,74.7461002116289
ELECTRICITY,GERMANY,7,1,79.05612059893224
ELECTRICITY,GERMANY,7,2,67.74932339909407
ELECTRICITY,GERMANY,7,3,68.89935881874655
ELECTRICITY,GERMANY,7,4,70.7889758972248
ELECTRICITY,GERMANY,7,5,77.52038464267596
ELECTRICITY,GERMANY,7,6,69.23818776407876
ELECTRICITY,GERMANY,7,7,66.20070085455981
ELECTRICITY,GERMANY,7,8,76.15631072089758
ELECTRICITY,GERMANY,7,9,65.83022922320612
ELECTRICITY,GERMANY,7,10,78.31091183386464
ELECTRICITY,GERMANY,7,11,57.42116699459735
ELECTRICITY,GERMANY,7,12,78.19552446554206
ELECTRICITY,GERMANY,8,1,80.69504884523289
ELECTRICITY,GERMANY,8,2,68.6611658938702
ELECTRICITY,GERMANY,8,3,69.44893352043806
ELECTRICITY,GERMANY,8,4,71.11363660113697
ELECTRICITY,GERMANY,8,5,78.11496665492314
ELECTRICITY,GERMANY,8,6,76.10049745367317
ELECTRICITY,GERMANY,8,7,66.78004417570305
ELECTRICITY,GERMANY,8,8,76.84990373430965
ELECTRICITY,GERMANY,8,9,66.39598715433793
ELECTRICITY,GERMANY,8,10,78.69375454830278
ELECTRICITY,GERMANY,8,11,59.58088014091972
ELECTRICITY,GERMANY,8,12,79.29770981225471
ELECTRICITY,GERMANY,9,1,80.57541856574655
ELECTRICITY,GERMANY,9,2,68.93558020173725
ELECTRICITY,GERMANY,9,3,69.33526197116764
ELECTRICITY,GERMANY,9,4,71.63147201376901
ELECTRICITY,GERMANY,9,5,78.59900604215768
ELECTRICITY,GERMANY,9,6,76.86827100088121
ELECTRICITY,GERMANY,9,7,70.01921637278934
ELECTRICITY,GERMANY,9,8,77.68862108831084
ELECTRICITY,GERMANY,9,9,68.44683010655177
ELECTRICITY,GERMANY,9,10,79.0161005952694
ELECTRICITY,GERMANY,9,11,60.76049089968885
ELECTRICITY,GERMANY,9,12,79.71300911612013
ELECTRICITY,GERMANY,10,1,81.32390298402144
ELECTRICITY,GERMANY,10,2,69.3426765583231
ELECTRICITY,GERMANY,10,3,70.36287736036226
ELECTRICITY,GERMANY,10,4,73.1928205150598
ELECTRICITY,GERMANY,10,5,79.31815203650004
ELECTRICITY,GERMANY,10,6,77.74949487536585
ELECTRICITY,GERMANY,10,7,70.77567209600264
ELECTRICITY,GERMANY,10,8,78.5445471751389
ELECTRICITY,GERMANY,10,9,69.18707440493843
ELECTRICITY,GERMANY,10,10,79.78613508780751
ELECTRICITY,GERMANY,10,11,62.72857951891077
ELECTRICITY,GERMANY,10,12,79.98738707595587
ELECTRICITY,GERMANY,11,1,82.09225009385787
ELECTRICITY,GERMANY,11,2,69.50090065454559
ELECTRICITY,GERMANY,11,3,70.21520363544607
ELECTRICITY,GERMANY,11,4,74.27445307157689
ELECTRICITY,GERMANY,11,5,79.18618855696651
ELECTRICITY,GERMANY,11,6,78.10968209879088
ELECTRICITY,GERMANY,11,7,69.7926758165396
ELECTRICITY,GERMANY,11,8,77.95035349284338
ELECTRICITY,GERMANY,11,9,68.94783064835194
ELECTRICITY,GERMANY,11,10,79.59042960176566
ELECTRICITY,GERMANY,11,11,63.45081255958079
ELECTRICITY,GERMANY,11,12,80.2433303614431
