pt,n,h,td,val
CCGT,GERMANY,1,1,7.386648311488399e-13
CCGT,GERMANY,1,2,1.173101746770842e-12
CCGT,GERMANY,1,3,1.994191476531062e-12
CCGT,GERMANY,1,4,5.699215850949393e-13
CCGT,GERMANY,1,5,5.541006495164738e-13
CCGT,GERMANY,1,6,1.329475084170818e-12
CCGT,GERMANY,1,7,5.249799743972587e-13
CCGT,GERMANY,1,8,3.499002556405559e-13
CCGT,GERMANY,1,9,8.671784972051378e-13
CCGT,GERMANY,1,10,7.670723264136511e-13
CCGT,GERMANY,1,11,5.867270580162209e-13
CCGT,GERMANY,1,12,4.243333781450272e-13
CCGT,GERMANY,2,1,7.386648290790779e-13
CCGT,GERMANY,2,2,1.173101749613353e-12
CCGT,GERMANY,2,3,1.994191477099742e-12
CCGT,GERMANY,2,4,5.699216881417538e-13
CCGT,GERMANY,2,5,5.541006496167996e-13
CCGT,GERMANY,2,6,1.329475084802816e-12
CCGT,GERMANY,2,7,5.249799779286401e-13
CCGT,GERMANY,2,8,3.49900255681208e-13
CCGT,GERMANY,2,9,8.671855891311723e-13
CCGT,GERMANY,2,10,7.67072326584384e-13
CCGT,GERMANY,2,11,5.867270702068668e-13
CCGT,GERMANY,2,12,4.243333781962368e-13
CCGT,GERMANY,3,1,7.386648269950797e-13
CCGT,GERMANY,3,2,1.173106432965643e-12
CCGT,GERMANY,3,3,1.994192013636281e-12
CCGT,GERMANY,3,4,5.699216894089984e-13
CCGT,GERMANY,3,5,5.541006497195709e-13
CCGT,GERMANY,3,6,1.329475085440264e-12
CCGT,GERMANY,3,7,5.249799814626518e-13
CCGT,GERMANY,3,8,3.499002557274095e-13
CCGT,GERMANY,3,9,8.67185603954382e-13
CCGT,GERMANY,3,10,7.670723267576674e-13
CCGT,GERMANY,3,11,5.867270824030339e-13
CCGT,GERMANY,3,12,4.243333782494886e-13
CCGT,GERMANY,4,1,7.386648248985746e-13
CCGT,GERMANY,4,2,1.173121568200565e-12
CCGT,GERMANY,4,3,1.994192554649534e-12
CCGT,GERMANY,4,4,5.699216906758987e-13
CCGT,GERMANY,4,5,5.54100649825073e-13
CCGT,GERMANY,4,6,1.329475086096234e-12
CCGT,GERMANY,4,7,5.249799849993064e-13
CCGT,GERMANY,4,8,3.499002557749543e-13
CCGT,GERMANY,4,9,8.671856187863879e-13
CCGT,GERMANY,4,10,7.670723269442585e-13
CCGT,GERMANY,4,11,5.86727094606071e-13
CCGT,GERMANY,4,12,4.243333783043584e-13
CCGT,GERMANY,5,1,7.386648227767584e-13
CCGT,GERMANY,5,2,1.173121570367426e-12
CCGT,GERMANY,5,3,1.994193100161096e-12
CCGT,GERMANY,5,4,5.699216914469409e-13
CCGT,GERMANY,5,5,5.541006499334811e-13
CCGT,GERMANY,5,6,1.329475088279325e-12
CCGT,GERMANY,5,7,5.249799885380196e-13
CCGT,GERMANY,5,8,3.499002558241946e-13
CCGT,GERMANY,5,9,8.671856336317729e-13
CCGT,GERMANY,5,10,7.67072327133938e-13
CCGT,GERMANY,5,11,5.86727106815106e-13
CCGT,GERMANY,5,12,4.243333783588585e-13
CCGT,GERMANY,6,1,7.386648206463391e-13
CCGT,GERMANY,6,2,1.173133166065673e-12
CCGT,GERMANY,6,3,1.994193114942701e-12
CCGT,GERMANY,6,4,5.699216932267739e-13
CCGT,GERMANY,6,5,5.541006500453072e-13
CCGT,GERMANY,6,6,1.329475090469184e-12
CCGT,GERMANY,6,7,5.249799920788515e-13
CCGT,GERMANY,6,8,3.499002558751166e-13
CCGT,GERMANY,6,9,8.671856484784652e-13
CCGT,GERMANY,6,10,7.670723273277731e-13
CCGT,GERMANY,6,11,5.867271190258078e-13
CCGT,GERMANY,6,12,4.245300918251077e-13
CCGT,GERMANY,7,1,7.386648184937805e-13
CCGT,GERMANY,7,2,1.173133174517874e-12
CCGT,GERMANY,7,3,1.994193664952064e-12
CCGT,GERMANY,7,4,5.699216929947021e-13
CCGT,GERMANY,7,5,5.541006501601979e-13
CCGT,GERMANY,7,6,1.329475088124583e-12
CCGT,GERMANY,7,7,5.249799956211989e-13
CCGT,GERMANY,7,8,3.499002559280521e-13
CCGT,GERMANY,7,9,8.671856633391371e-13
CCGT,GERMANY,7,10,7.67072327526378e-13
CCGT,GERMANY,7,11,5.867271312387028e-13
CCGT,GERMANY,7,12,4.243333784713587e-13
CCGT,GERMANY,8,1,7.386648163220451e-13
CCGT,GERMANY,8,2,1.173133182663057e-12
CCGT,GERMANY,8,3,1.994193144360501e-12
CCGT,GERMANY,8,4,5.699216937727247e-13
CCGT,GERMANY,8,5,5.541006502784373e-13
CCGT,GERMANY,8,6,1.329467498357839e-12
CCGT,GERMANY,8,7,5.249799923233851e-13
CCGT,GERMANY,8,8,3.499002559757402e-13
CCGT,GERMANY,8,9,8.671856782157861e-13
CCGT,GERMANY,8,10,7.670723277258016e-13
CCGT,GERMANY,8,11,5.867271434548226e-13
CCGT,GERMANY,8,12,4.243333785267847e-13
CCGT,GERMANY,9,1,7.386648141278867e-13
CCGT,GERMANY,9,2,1.173133190815864e-12
CCGT,GERMANY,9,3,1.994191481674316e-12
CCGT,GERMANY,9,4,5.699216938961357e-13
CCGT,GERMANY,9,5,5.54100650394192e-13
CCGT,GERMANY,9,6,1.329467499045106e-12
CCGT,GERMANY,9,7,5.249673561160267e-13
CCGT,GERMANY,9,8,3.499002560205952e-13
CCGT,GERMANY,9,9,8.671505070801855e-13
CCGT,GERMANY,9,10,7.670723279282537e-13
CCGT,GERMANY,9,11,5.867271556758021e-13
CCGT,GERMANY,9,12,4.243333785833571e-13
CCGT,GERMANY,10,1,7.386648119140887e-13
CCGT,GERMANY,10,2,1.173133167707692e-12
CCGT,GERMANY,10,3,1.994173458543669e-12
CCGT,GERMANY,10,4,5.69919716235394e-13
CCGT,GERMANY,10,5,5.541006505228508e-13
