j,h,td,val
AMMONIA_STORAGE,1,1,0.005961688945916246
AMMONIA_STORAGE,1,2,0.005961689048162408
AMMONIA_STORAGE,1,3,0.0
AMMONIA_STORAGE,1,4,0.00596168916069819
AMMONIA_STORAGE,1,5,0.005961689008852754
AMMONIA_STORAGE,1,6,0.0059616890425939
AMMONIA_STORAGE,1,7,0.005961688973849808
AMMONIA_STORAGE,1,8,0.005961688871437884
AMMONIA_STORAGE,1,9,0.00596168898395865
AMMONIA_STORAGE,1,10,0.005961688965160612
AMMONIA_STORAGE,1,11,0.005961689077064359
AMMONIA_STORAGE,1,12,0.005961688929448802
AMMONIA_STORAGE,2,1,0.005961689006988381
AMMONIA_STORAGE,2,2,0.005961689078195969
AMMONIA_STORAGE,2,3,0.0
AMMONIA_STORAGE,2,4,0.005961689205372763
AMMONIA_STORAGE,2,5,0.00596168891792367
AMMONIA_STORAGE,2,6,0.005961689039046023
AMMONIA_STORAGE,2,7,0.005961689297337123
AMMONIA_STORAGE,2,8,0.00596168883054907
AMMONIA_STORAGE,2,9,0.005961689013171265
AMMONIA_STORAGE,2,10,0.005961688973068487
AMMONIA_STORAGE,2,11,0.005961689039873084
AMMONIA_STORAGE,2,12,0.005961689080230697
AMMONIA_STORAGE,3,1,0.005961689035613242
AMMONIA_STORAGE,3,2,0.005961688923405778
AMMONIA_STORAGE,3,3,0.0
AMMONIA_STORAGE,3,4,0.005961689073873543
AMMONIA_STORAGE,3,5,0.005961689244123151
AMMONIA_STORAGE,3,6,0.005961689018019705
AMMONIA_STORAGE,3,7,0.005961688924257248
AMMONIA_STORAGE,3,8,0.005961688916321994
AMMONIA_STORAGE,3,9,0.005961688939509353
AMMONIA_STORAGE,3,10,0.005961689043011697
AMMONIA_STORAGE,3,11,0.005961689013634201
AMMONIA_STORAGE,3,12,0.005961689128370447
AMMONIA_STORAGE,4,1,0.00596168901395661
AMMONIA_STORAGE,4,2,0.00596168900047162
AMMONIA_STORAGE,4,3,0.0
AMMONIA_STORAGE,4,4,0.005961688869561656
AMMONIA_STORAGE,4,5,0.005961688939456624
AMMONIA_STORAGE,4,6,0.005961688998376406
AMMONIA_STORAGE,4,7,0.005961688744903697
AMMONIA_STORAGE,4,8,0.005961689098605283
AMMONIA_STORAGE,4,9,0.005961689002023597
AMMONIA_STORAGE,4,10,0.00596168900055679
AMMONIA_STORAGE,4,11,0.005961689101222818
AMMONIA_STORAGE,4,12,0.005961688924600549
AMMONIA_STORAGE,5,1,0.005961688989796381
AMMONIA_STORAGE,5,2,0.005961689026136029
AMMONIA_STORAGE,5,3,0.0
AMMONIA_STORAGE,5,4,0.005961689058889613
AMMONIA_STORAGE,5,5,0.005961688952036355
AMMONIA_STORAGE,5,6,0.005961688961790963
AMMONIA_STORAGE,5,7,0.005961688963247099
AMMONIA_STORAGE,5,8,0.005961688710776964
AMMONIA_STORAGE,5,9,0.005961688990127408
AMMONIA_STORAGE,5,10,0.005961689009033658
AMMONIA_STORAGE,5,11,0.005961688954890863
AMMONIA_STORAGE,5,12,0.00596168897815365
AMMONIA_STORAGE,6,1,0.005961689017673844
AMMONIA_STORAGE,6,2,0.005961688984237382
AMMONIA_STORAGE,6,3,0.0
AMMONIA_STORAGE,6,4,0.005961689247581933
AMMONIA_STORAGE,6,5,0.005961689015385483
AMMONIA_STORAGE,6,6,0.005961688999392796
AMMONIA_STORAGE,6,7,0.00596168896636485
AMMONIA_STORAGE,6,8,0.005961689347937433
AMMONIA_STORAGE,6,9,0.005961689006021871
AMMONIA_STORAGE,6,10,0.005961688914533546
AMMONIA_STORAGE,6,11,0.005961688984803547
AMMONIA_STORAGE,6,12,0.005961688853945302
AMMONIA_STORAGE,7,1,0.005961689007508852
AMMONIA_STORAGE,7,2,0.00596168896961176
AMMONIA_STORAGE,7,3,0.0
AMMONIA_STORAGE,7,4,0.005961689249057465
AMMONIA_STORAGE,7,5,0.005961689082393098
AMMONIA_STORAGE,7,6,0.005961689036725026
AMMONIA_STORAGE,7,7,0.005961689126843571
AMMONIA_STORAGE,7,8,0.005961689107777937
AMMONIA_STORAGE,7,9,0.005961688960366578
AMMONIA_STORAGE,7,10,0.005961688951637902
AMMONIA_STORAGE,7,11,0.005961688952513852
AMMONIA_STORAGE,7,12,0.005961688970975589
AMMONIA_STORAGE,8,1,0.005961688975095037
AMMONIA_STORAGE,8,2,0.005961688928422006
AMMONIA_STORAGE,8,3,0.0
AMMONIA_STORAGE,8,4,0.0059616890299681
AMMONIA_STORAGE,8,5,0.005961689364402797
AMMONIA_STORAGE,8,6,0.005961688925611218
AMMONIA_STORAGE,8,7,0.005961688934895689
AMMONIA_STORAGE,8,8,0.005961688995974272
AMMONIA_STORAGE,8,9,0.005961688917135936
AMMONIA_STORAGE,8,10,0.005961689033795058
AMMONIA_STORAGE,8,11,0.005961689036831382
AMMONIA_STORAGE,8,12,0.005961688691604197
AMMONIA_STORAGE,9,1,0.005961688953340668
AMMONIA_STORAGE,9,2,0.005961689016408535
AMMONIA_STORAGE,9,3,0.0
AMMONIA_STORAGE,9,4,0.005961689037565137
AMMONIA_STORAGE,9,5,0.00596168889432716
AMMONIA_STORAGE,9,6,0.005961689003882917
AMMONIA_STORAGE,9,7,0.005961688901016444
AMMONIA_STORAGE,9,8,0.00596168863082594
AMMONIA_STORAGE,9,9,0.005961689012548137
AMMONIA_STORAGE,9,10,0.005961688991998634
AMMONIA_STORAGE,9,11,0.00596168899415326
AMMONIA_STORAGE,9,12,0.005961688997007879
AMMONIA_STORAGE,10,1,0.005961688989995459
AMMONIA_STORAGE,10,2,0.005961689054537446
AMMONIA_STORAGE,10,3,0.0
AMMONIA_STORAGE,10,4,0.005961688989773547
AMMONIA_STORAGE,10,5,0.005961689101366359
AMMONIA_STORAGE,10,6,0.005961688980708931
AMMONIA_STORAGE,10,7,0.005961689021893651
AMMONIA_STORAGE,10,8,0.005961688979641527
AMMONIA_STORAGE,10,9,0.005961688971645857
AMMONIA_STORAGE,10,10,0.005961688951079526
AMMONIA_STORAGE,10,11,0.005961689026255742
AMMONIA_STORAGE,10,12,0.005961688746546389
