j,n,h,td,val
BATT_LI,GERMANY,1,1,65.27505573433571
BATT_LI,GERMANY,1,2,82.05551165678168
BATT_LI,GERMANY,1,3,75.20967106767806
BATT_LI,GERMANY,1,4,75.20967110081868
BATT_LI,GERMANY,1,5,69.69372299710739
BATT_LI,GERMANY,1,6,53.61613431525137
BATT_LI,GERMANY,1,7,56.36679385052791
BATT_LI,GERMANY,1,8,53.77312518295406
BATT_LI,GERMANY,1,9,78.82444290145042
BATT_LI,GERMANY,1,10,65.3123829669222
BATT_LI,GERMANY,1,11,63.69807582530106
BATT_LI,GERMANY,1,12,65.36137265064646
BATT_LI,GERMANY,2,1,58.29175170973978
BATT_LI,GERMANY,2,2,82.05701758015708
BATT_LI,GERMANY,2,3,75.19462726106092
BATT_LI,GERMANY,2,4,75.19429089717025
BATT_LI,GERMANY,2,5,68.23187784571603
BATT_LI,GERMANY,2,6,32.0120767337806
BATT_LI,GERMANY,2,7,41.77328662860125
BATT_LI,GERMANY,2,8,38.28064159625252
BATT_LI,GERMANY,2,9,76.21856943372632
BATT_LI,GERMANY,2,10,58.36625510788961
BATT_LI,GERMANY,2,11,56.58469558236659
BATT_LI,GERMANY,2,12,58.53511070872454
BATT_LI,GERMANY,3,1,53.36198055698472
BATT_LI,GERMANY,3,2,82.0570177729686
BATT_LI,GERMANY,3,3,75.17958507874685
BATT_LI,GERMANY,3,4,75.17857459753294
BATT_LI,GERMANY,3,5,66.21179878700579
BATT_LI,GERMANY,3,6,10.41295671189543
BATT_LI,GERMANY,3,7,29.72930320520151
BATT_LI,GERMANY,3,8,29.45416182478898
BATT_LI,GERMANY,3,9,67.21911528381449
BATT_LI,GERMANY,3,10,53.48645367604309
BATT_LI,GERMANY,3,11,55.49429594956666
BATT_LI,GERMANY,3,12,53.78112811173343
BATT_LI,GERMANY,4,1,49.88398554856682
BATT_LI,GERMANY,4,2,82.04093354775019
BATT_LI,GERMANY,4,3,75.1645419163081
BATT_LI,GERMANY,4,4,72.50098293461816
BATT_LI,GERMANY,4,5,62.36661924681113
BATT_LI,GERMANY,4,6,6.14776686999334
BATT_LI,GERMANY,4,7,22.60820589219426
BATT_LI,GERMANY,4,8,27.39846860962624
BATT_LI,GERMANY,4,9,50.3951270301502
BATT_LI,GERMANY,4,10,50.01694493939415
