index,capacity
AMMONIA_STORAGE,0.001945444678951525
BATT_LI,4.908516839246728e-09
CCGT,7.559849042349402e-10
CCGT_AMMONIA,3.665055049825907e-10
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,5.915009229897887e-11
DEC_ADVCOGEN_H2,4.238815907575136e-11
DEC_BOILER_GAS,1.227592677150979e-09
DEC_BOILER_OIL,1.036826025104087e-09
DEC_BOILER_WOOD,5.084667257451778e-10
DEC_COGEN_GAS,1.523392338803146e-10
DEC_COGEN_OIL,1.486853833121796e-10
DEC_DIRECT_ELEC,6.004068799625745e-09
DEC_HP_ELEC,72.52771928223333
DEC_SOLAR,3.638094108888381e-09
DEC_THHP_GAS,8.567016791767652e-10
DHN,37.26881228758305
DHN_BOILER_GAS,7.444656816024257e-10
DHN_BOILER_OIL,7.368268458576024e-10
DHN_BOILER_WOOD,6.802430877171023e-10
DHN_COGEN_BIO_HYDROLYSIS,1.02694439641254e-10
DHN_COGEN_GAS,2.330183079933146e-10
DHN_COGEN_WASTE,1.043318226208043e-10
DHN_COGEN_WET_BIOMASS,2.737984468729465
DHN_COGEN_WOOD,2.232033478798559e-10
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,34.53082781564144
DHN_SOLAR,3.873678037521014e-10
EFFICIENCY,0.9852216748768474
GAS_STORAGE,0.0007686557998695109
GEOTHERMAL,0.0
GRID,3.150380485970808
H2_STORAGE,1.463773229621983e-06
HYDRO_RIVER,1.103069058653106e-08
IND_BOILER_COAL,2.074544973547759
IND_BOILER_GAS,3.607643958068104e-09
IND_BOILER_OIL,3.749281199890038e-09
IND_BOILER_WASTE,4.868254777348986
IND_BOILER_WOOD,16.27984226217238
IND_COGEN_GAS,2.347539213976018e-10
IND_COGEN_WASTE,1.389639758812271e-10
IND_COGEN_WOOD,4.573623358833498e-10
IND_DIRECT_ELEC,24.36011214045327
LFO_STORAGE,0.001945444680718778
NUCLEAR,0.0
PHS,7.24199999998666
PV,101.5600950509685
TS_DEC_ADVCOGEN_GAS,5.854482208964289e-08
TS_DEC_ADVCOGEN_H2,5.805736138604558e-08
TS_DEC_BOILER_GAS,5.955133702960656e-08
TS_DEC_BOILER_OIL,5.934110738792134e-08
TS_DEC_BOILER_WOOD,5.971843502117127e-08
TS_DEC_COGEN_GAS,5.93092610165697e-08
TS_DEC_COGEN_OIL,5.887492554991578e-08
TS_DEC_DIRECT_ELEC,5.975256517932326e-08
TS_DEC_HP_ELEC,213.9252570057985
TS_DEC_THHP_GAS,5.971029733319228e-08
TS_DHN_DAILY,6.545430885389813e-07
TS_DHN_SEASONAL,4175.427268881439
TS_HIGH_TEMP,5.489989434326397
WIND_OFFSHORE,1.072412013541579e-09
WIND_ONSHORE,336.4618860552894
