ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465587404650464
ELECTRICITY,GERMANY,1,2,-1.474785891479712
ELECTRICITY,GERMANY,1,3,-1.472810960771717
ELECTRICITY,GERMANY,1,4,-1.408926895083226
ELECTRICITY,GERMANY,1,5,-0.1337384140959941
ELECTRICITY,GERMANY,1,6,-1.361650385223335
ELECTRICITY,GERMANY,1,7,-1.372009634258077
ELECTRICITY,GERMANY,1,8,-1.370609991849953
ELECTRICITY,GERMANY,1,9,-1.400144612664285
ELECTRICITY,GERMANY,1,10,6.134798916617129
ELECTRICITY,GERMANY,1,11,-1.398612315568016
ELECTRICITY,GERMANY,1,12,6.236119364267836
ELECTRICITY,GERMANY,2,1,6.412074176623165
ELECTRICITY,GERMANY,2,2,-1.459526540416803
ELECTRICITY,GERMANY,2,3,-1.463170483678162
ELECTRICITY,GERMANY,2,4,-1.410849034594975
ELECTRICITY,GERMANY,2,5,-0.1531084006061008
ELECTRICITY,GERMANY,2,6,-1.369812709973758
ELECTRICITY,GERMANY,2,7,-1.373355131903509
ELECTRICITY,GERMANY,2,8,-1.371529099395147
ELECTRICITY,GERMANY,2,9,-1.400834958538908
ELECTRICITY,GERMANY,2,10,6.150831010406641
ELECTRICITY,GERMANY,2,11,-1.38774139847456
ELECTRICITY,GERMANY,2,12,6.201588129077123
ELECTRICITY,GERMANY,3,1,6.411342492929606
ELECTRICITY,GERMANY,3,2,-1.452418685149539
ELECTRICITY,GERMANY,3,3,-1.466604615999245
ELECTRICITY,GERMANY,3,4,-1.422448198906224
ELECTRICITY,GERMANY,3,5,-0.3298434541342417
ELECTRICITY,GERMANY,3,6,-1.381011202951939
ELECTRICITY,GERMANY,3,7,-1.387731923143555
ELECTRICITY,GERMANY,3,8,-1.378222747123544
ELECTRICITY,GERMANY,3,9,-1.409380357569134
ELECTRICITY,GERMANY,3,10,6.21495349805447
ELECTRICITY,GERMANY,3,11,-1.383872754339016
ELECTRICITY,GERMANY,3,12,6.214599299072034
ELECTRICITY,GERMANY,4,1,6.432744242033237
ELECTRICITY,GERMANY,4,2,-1.453286355160735
ELECTRICITY,GERMANY,4,3,-1.47154668028913
ELECTRICITY,GERMANY,4,4,-1.456330645149542
ELECTRICITY,GERMANY,4,5,-0.3383438256261044
ELECTRICITY,GERMANY,4,6,-1.416053700987334
ELECTRICITY,GERMANY,4,7,-1.418365682916971
ELECTRICITY,GERMANY,4,8,-1.306923106426133
ELECTRICITY,GERMANY,4,9,-1.454504612609192
ELECTRICITY,GERMANY,4,10,6.347252293129031
ELECTRICITY,GERMANY,4,11,-1.380127289565436
ELECTRICITY,GERMANY,4,12,6.266691191591384
ELECTRICITY,GERMANY,5,1,6.545972335016828
ELECTRICITY,GERMANY,5,2,-1.475047140018809
ELECTRICITY,GERMANY,5,3,-1.504702232933582
ELECTRICITY,GERMANY,5,4,-1.535773211865461
ELECTRICITY,GERMANY,5,5,-0.3549257032745459
ELECTRICITY,GERMANY,5,6,-1.492913561960762
ELECTRICITY,GERMANY,5,7,-1.492020173242395
ELECTRICITY,GERMANY,5,8,-1.499110431465759
ELECTRICITY,GERMANY,5,9,-1.529129648016948
ELECTRICITY,GERMANY,5,10,6.719956407900014
ELECTRICITY,GERMANY,5,11,-1.377720554340449
ELECTRICITY,GERMANY,5,12,6.416753425681932
ELECTRICITY,GERMANY,6,1,6.869376965346362
ELECTRICITY,GERMANY,6,2,-1.548858650190368
ELECTRICITY,GERMANY,6,3,-1.585840884709611
ELECTRICITY,GERMANY,6,4,-1.584844620963977
