st,n,h,td,val
AMMONIA,GERMANY,1,1,8.706760251948074e-11
AMMONIA,GERMANY,1,2,1.382838451677726e-10
AMMONIA,GERMANY,1,3,2.350825164974059e-10
AMMONIA,GERMANY,1,4,6.716643805101291e-11
AMMONIA,GERMANY,1,5,6.530070744498532e-11
AMMONIA,GERMANY,1,6,1.567216907599872e-10
AMMONIA,GERMANY,1,7,6.186383648557735e-11
AMMONIA,GERMANY,1,8,4.124255778018016e-11
AMMONIA,GERMANY,1,9,1.022098177281222e-10
AMMONIA,GERMANY,1,10,9.041636513239483e-11
AMMONIA,GERMANY,1,11,6.914192606327928e-11
AMMONIA,GERMANY,1,12,5.001756166342391e-11
AMMONIA,GERMANY,2,1,8.706760251492793e-11
AMMONIA,GERMANY,2,2,1.382838451575156e-10
AMMONIA,GERMANY,2,3,2.350825164944942e-10
AMMONIA,GERMANY,2,4,6.716643805665097e-11
AMMONIA,GERMANY,2,5,6.530070745109323e-11
AMMONIA,GERMANY,2,6,1.567216907728118e-10
AMMONIA,GERMANY,2,7,6.186383648542515e-11
AMMONIA,GERMANY,2,8,4.124255778166578e-11
AMMONIA,GERMANY,2,9,1.022098177319471e-10
AMMONIA,GERMANY,2,10,9.041636512958903e-11
AMMONIA,GERMANY,2,11,6.914192605744932e-11
AMMONIA,GERMANY,2,12,5.001756165931447e-11
AMMONIA,GERMANY,3,1,8.706760251041484e-11
AMMONIA,GERMANY,3,2,1.382838451472321e-10
AMMONIA,GERMANY,3,3,2.35082516491609e-10
AMMONIA,GERMANY,3,4,6.71664380622758e-11
AMMONIA,GERMANY,3,5,6.530070745735333e-11
AMMONIA,GERMANY,3,6,1.5672169078561e-10
AMMONIA,GERMANY,3,7,6.186383648525971e-11
AMMONIA,GERMANY,3,8,4.124255778314477e-11
AMMONIA,GERMANY,3,9,1.022098177357455e-10
AMMONIA,GERMANY,3,10,9.041636512682294e-11
AMMONIA,GERMANY,3,11,6.914192605160611e-11
AMMONIA,GERMANY,3,12,5.001756165520504e-11
AMMONIA,GERMANY,4,1,8.706760250590174e-11
AMMONIA,GERMANY,4,2,1.382838451369221e-10
AMMONIA,GERMANY,4,3,2.350825164886973e-10
AMMONIA,GERMANY,4,4,6.716643806788078e-11
AMMONIA,GERMANY,4,5,6.530070746346123e-11
AMMONIA,GERMANY,4,6,1.567216907983684e-10
AMMONIA,GERMANY,4,7,6.186383648508104e-11
AMMONIA,GERMANY,4,8,4.124255778377343e-11
AMMONIA,GERMANY,4,9,1.022098177395042e-10
AMMONIA,GERMANY,4,10,9.041636512407009e-11
AMMONIA,GERMANY,4,11,6.914192604574306e-11
AMMONIA,GERMANY,4,12,5.001756165111546e-11
AMMONIA,GERMANY,5,1,8.706760250142835e-11
AMMONIA,GERMANY,5,2,1.382838451265856e-10
AMMONIA,GERMANY,5,3,2.350825164857857e-10
AMMONIA,GERMANY,5,4,6.716643807347252e-11
AMMONIA,GERMANY,5,5,6.530070746956913e-11
AMMONIA,GERMANY,5,6,1.567216908111004e-10
AMMONIA,GERMANY,5,7,6.186383648488252e-11
AMMONIA,GERMANY,5,8,4.124255778608954e-11
AMMONIA,GERMANY,5,9,1.022098177432497e-10
AMMONIA,GERMANY,5,10,9.04163651213437e-11
AMMONIA,GERMANY,5,11,6.914192603987338e-11
AMMONIA,GERMANY,5,12,5.001756164701926e-11
AMMONIA,GERMANY,6,1,8.706760249695495e-11
AMMONIA,GERMANY,6,2,1.382838451161963e-10
AMMONIA,GERMANY,6,3,2.35082516482821e-10
AMMONIA,GERMANY,6,4,6.716643807905103e-11
AMMONIA,GERMANY,6,5,6.530070747567703e-11
AMMONIA,GERMANY,6,6,1.567216908237794e-10
AMMONIA,GERMANY,6,7,6.186383648467738e-11
AMMONIA,GERMANY,6,8,4.124255778755199e-11
AMMONIA,GERMANY,6,9,1.022098177469819e-10
AMMONIA,GERMANY,6,10,9.041636511864378e-11
AMMONIA,GERMANY,6,11,6.914192603398386e-11
AMMONIA,GERMANY,6,12,5.00175616429363e-11
AMMONIA,GERMANY,7,1,8.706760249252126e-11
AMMONIA,GERMANY,7,2,1.382838451058069e-10
AMMONIA,GERMANY,7,3,2.3508251647983e-10
AMMONIA,GERMANY,7,4,6.716643808460968e-11
AMMONIA,GERMANY,7,5,6.530070748179817e-11
AMMONIA,GERMANY,7,6,1.567216908364319e-10
AMMONIA,GERMANY,7,7,6.186383648445239e-11
AMMONIA,GERMANY,7,8,4.124255778833947e-11
AMMONIA,GERMANY,7,9,1.02209817750648e-10
AMMONIA,GERMANY,7,10,9.04163651159571e-11
AMMONIA,GERMANY,7,11,6.914192602807448e-11
AMMONIA,GERMANY,7,12,5.001756163885995e-11
AMMONIA,GERMANY,8,1,8.706760248810081e-11
AMMONIA,GERMANY,8,2,1.382838450953778e-10
AMMONIA,GERMANY,8,3,2.350825164768124e-10
AMMONIA,GERMANY,8,4,6.716643809014848e-11
AMMONIA,GERMANY,8,5,6.530070748792592e-11
AMMONIA,GERMANY,8,6,1.567216907850409e-10
AMMONIA,GERMANY,8,7,6.186383648422078e-11
AMMONIA,GERMANY,8,8,4.124255778790933e-11
AMMONIA,GERMANY,8,9,1.022098177543141e-10
AMMONIA,GERMANY,8,10,9.041636511329688e-11
AMMONIA,GERMANY,8,11,6.914192602215848e-11
AMMONIA,GERMANY,8,12,5.001756163479022e-11
AMMONIA,GERMANY,9,1,8.706760248372006e-11
AMMONIA,GERMANY,9,2,1.382838450848957e-10
AMMONIA,GERMANY,9,3,2.350825164736625e-10
AMMONIA,GERMANY,9,4,6.716643809568728e-11
AMMONIA,GERMANY,9,5,6.530070749406691e-11
AMMONIA,GERMANY,9,6,1.567216907754853e-10
AMMONIA,GERMANY,9,7,6.186383648397593e-11
