p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.600636550306264
AMMONIA,GERMANY,1,2,1.007808218918641
AMMONIA,GERMANY,1,3,0.592828339286768
AMMONIA,GERMANY,1,4,2.074899253739822
AMMONIA,GERMANY,1,5,2.134182147645717
AMMONIA,GERMANY,1,6,0.8892425425131394
AMMONIA,GERMANY,1,7,2.252747968844496
AMMONIA,GERMANY,1,8,3.379121956297011
AMMONIA,GERMANY,1,9,1.363505354622799
AMMONIA,GERMANY,1,10,1.541353783678529
AMMONIA,GERMANY,1,11,2.015616485652278
AMMONIA,GERMANY,1,12,2.786293328091183
AMMONIA,GERMANY,2,1,1.600636550265397
AMMONIA,GERMANY,2,2,1.007808218883126
AMMONIA,GERMANY,2,3,0.5928283392825862
AMMONIA,GERMANY,2,4,2.074899253820489
AMMONIA,GERMANY,2,5,2.134182147739495
AMMONIA,GERMANY,2,6,0.8892425425470947
AMMONIA,GERMANY,2,7,2.252747968843922
AMMONIA,GERMANY,2,8,3.379121956356459
AMMONIA,GERMANY,2,9,1.363505354647773
AMMONIA,GERMANY,2,10,1.541353783656048
AMMONIA,GERMANY,2,11,2.015616485572518
AMMONIA,GERMANY,2,12,2.786293327982463
AMMONIA,GERMANY,3,1,1.60063655022472
AMMONIA,GERMANY,3,2,1.00780821884745
AMMONIA,GERMANY,3,3,0.5928283392783955
AMMONIA,GERMANY,3,4,2.074899253901076
AMMONIA,GERMANY,3,5,2.134182147835633
AMMONIA,GERMANY,3,6,0.8892425425809592
AMMONIA,GERMANY,3,7,2.252747968843142
AMMONIA,GERMANY,3,8,3.379121956415535
AMMONIA,GERMANY,3,9,1.363505354672594
AMMONIA,GERMANY,3,10,1.541353783633755
AMMONIA,GERMANY,3,11,2.01561648549255
AMMONIA,GERMANY,3,12,2.786293327873988
AMMONIA,GERMANY,4,1,1.600636550184231
AMMONIA,GERMANY,4,2,1.007808218811647
AMMONIA,GERMANY,4,3,0.5928283392741804
AMMONIA,GERMANY,4,4,2.074899253981505
AMMONIA,GERMANY,4,5,2.134182147929377
AMMONIA,GERMANY,4,6,0.889242542614735
AMMONIA,GERMANY,4,7,2.252747968842149
AMMONIA,GERMANY,4,8,3.379121956444563
