j,h,td,val
AMMONIA_STORAGE,1,1,4.647498695060058e-06
AMMONIA_STORAGE,1,2,4.647553777520786e-06
AMMONIA_STORAGE,1,3,4.647529830952533e-06
AMMONIA_STORAGE,1,4,4.64755297215633e-06
AMMONIA_STORAGE,1,5,4.647513216121061e-06
AMMONIA_STORAGE,1,6,4.647550964149288e-06
AMMONIA_STORAGE,1,7,4.647552002908645e-06
AMMONIA_STORAGE,1,8,4.647546814796552e-06
AMMONIA_STORAGE,1,9,4.64755597950027e-06
AMMONIA_STORAGE,1,10,4.647497475622313e-06
AMMONIA_STORAGE,1,11,4.647553296679291e-06
AMMONIA_STORAGE,1,12,4.647511949340544e-06
AMMONIA_STORAGE,2,1,4.647498695063527e-06
AMMONIA_STORAGE,2,2,4.647553777528592e-06
AMMONIA_STORAGE,2,3,4.647529830955135e-06
AMMONIA_STORAGE,2,4,4.647552972191459e-06
AMMONIA_STORAGE,2,5,4.647513294035732e-06
AMMONIA_STORAGE,2,6,4.647550964148855e-06
AMMONIA_STORAGE,2,7,4.647552002910813e-06
AMMONIA_STORAGE,2,8,4.647546814795251e-06
AMMONIA_STORAGE,2,9,4.647555979500704e-06
AMMONIA_STORAGE,2,10,4.647497475625349e-06
AMMONIA_STORAGE,2,11,4.647553296672786e-06
AMMONIA_STORAGE,2,12,4.647511949334472e-06
AMMONIA_STORAGE,3,1,4.647498695067431e-06
AMMONIA_STORAGE,3,2,4.647553777528592e-06
AMMONIA_STORAGE,3,3,4.647529830955569e-06
AMMONIA_STORAGE,3,4,4.647552972173244e-06
AMMONIA_STORAGE,3,5,4.647514016858142e-06
AMMONIA_STORAGE,3,6,4.64755096414712e-06
AMMONIA_STORAGE,3,7,4.647552002912114e-06
AMMONIA_STORAGE,3,8,4.647546814779205e-06
AMMONIA_STORAGE,3,9,4.647555979498102e-06
AMMONIA_STORAGE,3,10,4.647497475621445e-06
AMMONIA_STORAGE,3,11,4.647553296672786e-06
AMMONIA_STORAGE,3,12,4.647511949334472e-06
AMMONIA_STORAGE,4,1,4.647498695063094e-06
AMMONIA_STORAGE,4,2,4.647553777531194e-06
AMMONIA_STORAGE,4,3,4.647529830956003e-06
AMMONIA_STORAGE,4,4,4.647552972190157e-06
AMMONIA_STORAGE,4,5,4.647514016865948e-06
AMMONIA_STORAGE,4,6,4.647550964149722e-06
AMMONIA_STORAGE,4,7,4.647552002911681e-06
AMMONIA_STORAGE,4,8,4.647537893569514e-06
AMMONIA_STORAGE,4,9,4.647555979506342e-06
AMMONIA_STORAGE,4,10,4.647497475624481e-06
AMMONIA_STORAGE,4,11,4.647553296694903e-06
AMMONIA_STORAGE,4,12,4.647511949337074e-06
AMMONIA_STORAGE,5,1,4.647498695060058e-06
AMMONIA_STORAGE,5,2,4.647553777528159e-06
AMMONIA_STORAGE,5,3,4.647529830958171e-06
AMMONIA_STORAGE,5,4,4.647552972189724e-06
AMMONIA_STORAGE,5,5,4.647514016870285e-06
AMMONIA_STORAGE,5,6,4.647550964149722e-06
AMMONIA_STORAGE,5,7,4.647552002911681e-06
AMMONIA_STORAGE,5,8,4.647546814803491e-06
AMMONIA_STORAGE,5,9,4.647555979501138e-06
AMMONIA_STORAGE,5,10,4.647497475622313e-06
AMMONIA_STORAGE,5,11,4.647553296682327e-06
AMMONIA_STORAGE,5,12,4.647511949337074e-06
AMMONIA_STORAGE,6,1,4.647498695063961e-06
AMMONIA_STORAGE,6,2,4.647553777527291e-06
AMMONIA_STORAGE,6,3,4.647529830959039e-06
AMMONIA_STORAGE,6,4,4.647552972185387e-06
AMMONIA_STORAGE,6,5,4.647514016862479e-06
AMMONIA_STORAGE,6,6,4.647550964148421e-06
AMMONIA_STORAGE,6,7,4.647552002914283e-06
AMMONIA_STORAGE,6,8,4.647546814787878e-06
AMMONIA_STORAGE,6,9,4.647555979495066e-06
AMMONIA_STORAGE,6,10,4.647497475622313e-06
AMMONIA_STORAGE,6,11,4.647553296681893e-06
AMMONIA_STORAGE,6,12,4.647511949335773e-06
AMMONIA_STORAGE,7,1,4.647498695056155e-06
AMMONIA_STORAGE,7,2,4.64755377752599e-06
AMMONIA_STORAGE,7,3,4.647529830958171e-06
AMMONIA_STORAGE,7,4,4.647552972193627e-06
AMMONIA_STORAGE,7,5,4.647514016866815e-06
AMMONIA_STORAGE,7,6,4.647550964144084e-06
AMMONIA_STORAGE,7,7,4.647552002909078e-06
AMMONIA_STORAGE,7,8,4.647539788100053e-06
AMMONIA_STORAGE,7,9,4.647555979500704e-06
AMMONIA_STORAGE,7,10,4.647497475624915e-06
AMMONIA_STORAGE,7,11,4.64755329667452e-06
AMMONIA_STORAGE,7,12,4.647511949335773e-06
AMMONIA_STORAGE,8,1,4.64749869505789e-06
AMMONIA_STORAGE,8,2,4.647553777525123e-06
AMMONIA_STORAGE,8,3,4.64752983095687e-06
AMMONIA_STORAGE,8,4,4.647552972192326e-06
AMMONIA_STORAGE,8,5,4.647514016866382e-06
AMMONIA_STORAGE,8,6,4.647504207888967e-06
AMMONIA_STORAGE,8,7,4.647552002912114e-06
AMMONIA_STORAGE,8,8,4.647519936195645e-06
AMMONIA_STORAGE,8,9,4.647555979498102e-06
AMMONIA_STORAGE,8,10,4.647497475626216e-06
