ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.463307686828017
ELECTRICITY,GERMANY,1,2,-1.375056523556317
ELECTRICITY,GERMANY,1,3,-1.373215133252657
ELECTRICITY,GERMANY,1,4,-1.304030134943389
ELECTRICITY,GERMANY,1,5,0.7552522448321923
ELECTRICITY,GERMANY,1,6,-1.269571570823715
ELECTRICITY,GERMANY,1,7,-1.279230307442113
ELECTRICITY,GERMANY,1,8,-1.277925314790735
ELECTRICITY,GERMANY,1,9,-1.305462711530872
ELECTRICITY,GERMANY,1,10,6.132535308723078
ELECTRICITY,GERMANY,1,11,-1.304034036540266
ELECTRICITY,GERMANY,1,12,6.234424013248486
ELECTRICITY,GERMANY,2,1,6.409803902491248
ELECTRICITY,GERMANY,2,2,-1.360829054847876
ELECTRICITY,GERMANY,2,3,-1.364226573698545
ELECTRICITY,GERMANY,2,4,-1.315443270839971
ELECTRICITY,GERMANY,2,5,0.7440176052969818
ELECTRICITY,GERMANY,2,6,-1.277181935203672
ELECTRICITY,GERMANY,2,7,-1.280484818576021
ELECTRICITY,GERMANY,2,8,-1.278782265512291
ELECTRICITY,GERMANY,2,9,-1.306106374233302
ELECTRICITY,GERMANY,2,10,6.148564471300922
ELECTRICITY,GERMANY,2,11,-1.293898242799109
ELECTRICITY,GERMANY,2,12,6.199899072784731
ELECTRICITY,GERMANY,3,1,6.409072365549648
ELECTRICITY,GERMANY,3,2,-1.354201853789689
ELECTRICITY,GERMANY,3,3,-1.367428479988511
ELECTRICITY,GERMANY,3,4,-1.326258067536571
ELECTRICITY,GERMANY,3,5,0.74029240921341
ELECTRICITY,GERMANY,3,6,-1.287623153244546
ELECTRICITY,GERMANY,3,7,-1.293889408970529
ELECTRICITY,GERMANY,3,8,-1.257021372409355
ELECTRICITY,GERMANY,3,9,-1.314073908318605
ELECTRICITY,GERMANY,3,10,6.212675235427412
ELECTRICITY,GERMANY,3,11,-1.290291207744495
ELECTRICITY,GERMANY,3,12,6.212908636464974
ELECTRICITY,GERMANY,4,1,6.430470361164012
ELECTRICITY,GERMANY,4,2,-1.355010849484067
ELECTRICITY,GERMANY,4,3,-1.372036347432648
ELECTRICITY,GERMANY,4,4,-1.357849283319986
ELECTRICITY,GERMANY,4,5,0.7468563725710382
ELECTRICITY,GERMANY,4,6,-1.32029597463999
ELECTRICITY,GERMANY,4,7,-1.322451623955679
ELECTRICITY,GERMANY,4,8,-1.306124261950437
ELECTRICITY,GERMANY,4,9,-1.356146728770518
ELECTRICITY,GERMANY,4,10,6.344949985703906
ELECTRICITY,GERMANY,4,11,-1.286799022297835
ELECTRICITY,GERMANY,4,12,6.26499394131887
ELECTRICITY,GERMANY,5,1,6.54367860902714
ELECTRICITY,GERMANY,5,2,-1.375300106213679
ELECTRICITY,GERMANY,5,3,-1.402949824298162
ELECTRICITY,GERMANY,5,4,-1.431919710426399
ELECTRICITY,GERMANY,5,5,0.4135489201543265
ELECTRICITY,GERMANY,5,6,-1.391958346054174
ELECTRICITY,GERMANY,5,7,-1.391125381382729
ELECTRICITY,GERMANY,5,8,-1.387499384652202
ELECTRICITY,GERMANY,5,9,-1.425725400177043
ELECTRICITY,GERMANY,5,10,6.71758766896896
ELECTRICITY,GERMANY,5,11,-1.284555037579224
ELECTRICITY,GERMANY,5,12,6.415035146299815
ELECTRICITY,GERMANY,6,1,6.867027454462431
ELECTRICITY,GERMANY,6,2,-1.444120265369449
ELECTRICITY,GERMANY,6,3,-1.478601642197759
ELECTRICITY,GERMANY,6,4,-1.477672766756854
ELECTRICITY,GERMANY,6,5,0.2984716726229237
ELECTRICITY,GERMANY,6,6,-1.445931353052089
ELECTRICITY,GERMANY,6,7,-1.446168635430695
ELECTRICITY,GERMANY,6,8,-1.450243905401948
ELECTRICITY,GERMANY,6,9,-1.476014385120607
ELECTRICITY,GERMANY,6,10,6.976960014305007
ELECTRICITY,GERMANY,6,11,-1.299867898453542
ELECTRICITY,GERMANY,6,12,6.792846221506849
ELECTRICITY,GERMANY,7,1,7.183858864318125
