ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12701236669139
ELECTRICITY,GERMANY,1,2,62.91747313448622
ELECTRICITY,GERMANY,1,3,62.8332184426219
ELECTRICITY,GERMANY,1,4,60.11741057052822
ELECTRICITY,GERMANY,1,5,61.54439718578707
ELECTRICITY,GERMANY,1,6,58.09087409297626
ELECTRICITY,GERMANY,1,7,58.53282146796277
ELECTRICITY,GERMANY,1,8,58.47310977181244
ELECTRICITY,GERMANY,1,9,59.73311892532809
ELECTRICITY,GERMANY,1,10,67.48829750874373
ELECTRICITY,GERMANY,1,11,59.6677478984584
ELECTRICITY,GERMANY,1,12,68.60144636413459
ELECTRICITY,GERMANY,2,1,70.53834383308703
ELECTRICITY,GERMANY,2,2,62.26647707044643
ELECTRICITY,GERMANY,2,3,62.4219353796946
ELECTRICITY,GERMANY,2,4,60.18979211364366
ELECTRICITY,GERMANY,2,5,61.58397044669506
ELECTRICITY,GERMANY,2,6,58.43909606271072
ELECTRICITY,GERMANY,2,7,58.59022323213728
ELECTRICITY,GERMANY,2,8,58.51232084013959
ELECTRICITY,GERMANY,2,9,59.76257053466519
ELECTRICITY,GERMANY,2,10,67.66465775785372
ELECTRICITY,GERMANY,2,11,59.203971673083
ELECTRICITY,GERMANY,2,12,68.22159292960158
ELECTRICITY,GERMANY,3,1,70.5302950143162
ELECTRICITY,GERMANY,3,2,61.96324099017215
ELECTRICITY,GERMANY,3,3,62.56844269921696
ELECTRICITY,GERMANY,3,4,60.68463689754845
ELECTRICITY,GERMANY,3,5,62.26500120501674
ELECTRICITY,GERMANY,3,6,58.91684736542084
ELECTRICITY,GERMANY,3,7,59.20356743455026
ELECTRICITY,GERMANY,3,8,58.82588785135128
ELECTRICITY,GERMANY,3,9,60.12713526015936
ELECTRICITY,GERMANY,3,10,68.37003385777147
ELECTRICITY,GERMANY,3,11,59.0389271640416
ELECTRICITY,GERMANY,3,12,68.36472028709979
ELECTRICITY,GERMANY,4,1,70.76572350343521
ELECTRICITY,GERMANY,4,2,62.00025762070785
ELECTRICITY,GERMANY,4,3,62.77928157337343
ELECTRICITY,GERMANY,4,4,62.13013343553251
ELECTRICITY,GERMANY,4,5,63.8571139221588
ELECTRICITY,GERMANY,4,6,60.41183415688674
ELECTRICITY,GERMANY,4,7,60.51046816373481
ELECTRICITY,GERMANY,4,8,60.66741715960318
ELECTRICITY,GERMANY,4,9,62.05223104502056
ELECTRICITY,GERMANY,4,10,69.82537938137786
ELECTRICITY,GERMANY,4,11,58.87913774608949
ELECTRICITY,GERMANY,4,12,68.93774884992416
ELECTRICITY,GERMANY,5,1,72.0112811143699
ELECTRICITY,GERMANY,5,2,62.92861854693401
ELECTRICITY,GERMANY,5,3,64.1937672991279
ELECTRICITY,GERMANY,5,4,65.51932069612772
