pt,n,h,td,val
CCGT,GERMANY,1,1,5.329090268447336e-09
CCGT,GERMANY,1,2,7.928600470471263
CCGT,GERMANY,1,3,7.928600440013684
CCGT,GERMANY,1,4,7.928600491680974
CCGT,GERMANY,1,5,5.830674134580515e-09
CCGT,GERMANY,1,6,7.92860046466157
CCGT,GERMANY,1,7,7.928600494513059
CCGT,GERMANY,1,8,7.928600501004542
CCGT,GERMANY,1,9,7.928600481810784
CCGT,GERMANY,1,10,5.548264799778616e-09
CCGT,GERMANY,1,11,7.928600492227901
CCGT,GERMANY,1,12,3.032276288099456e-09
CCGT,GERMANY,2,1,5.329001377327381e-09
CCGT,GERMANY,2,2,7.928600470471321
CCGT,GERMANY,2,3,7.928600440013774
CCGT,GERMANY,2,4,7.928600492848311
CCGT,GERMANY,2,5,5.853181076848878e-09
CCGT,GERMANY,2,6,7.928600464661566
CCGT,GERMANY,2,7,7.928600494513055
CCGT,GERMANY,2,8,7.928600501004128
CCGT,GERMANY,2,9,7.928600481810797
CCGT,GERMANY,2,10,5.548253784843056e-09
CCGT,GERMANY,2,11,7.928600492227908
CCGT,GERMANY,2,12,3.032162449974556e-09
CCGT,GERMANY,3,1,5.328903748911698e-09
CCGT,GERMANY,3,2,7.928600470471372
CCGT,GERMANY,3,3,7.928600440013815
CCGT,GERMANY,3,4,7.928600492848643
CCGT,GERMANY,3,5,5.876032925161151e-09
CCGT,GERMANY,3,6,7.928600464661577
CCGT,GERMANY,3,7,7.928600494513052
CCGT,GERMANY,3,8,7.928600498613632
CCGT,GERMANY,3,9,7.928600481810808
CCGT,GERMANY,3,10,5.548238748821232e-09
CCGT,GERMANY,3,11,7.928600492227912
CCGT,GERMANY,3,12,3.032045762613251e-09
CCGT,GERMANY,4,1,5.328796171657932e-09
CCGT,GERMANY,4,2,7.928600470471402
CCGT,GERMANY,4,3,7.928600440013842
CCGT,GERMANY,4,4,7.928600492848645
CCGT,GERMANY,4,5,5.899377791263222e-09
CCGT,GERMANY,4,6,7.928600464661559
CCGT,GERMANY,4,7,7.928600494513055
CCGT,GERMANY,4,8,7.928600499495615
CCGT,GERMANY,4,9,7.928600481810829
CCGT,GERMANY,4,10,5.548223657892614e-09
CCGT,GERMANY,4,11,7.928600492227916
CCGT,GERMANY,4,12,3.031924967113406e-09
CCGT,GERMANY,5,1,5.328681986943562e-09
CCGT,GERMANY,5,2,7.92860047047142
CCGT,GERMANY,5,3,7.928600440013859
CCGT,GERMANY,5,4,7.928600492848638
CCGT,GERMANY,5,5,6.631444060227005e-09
CCGT,GERMANY,5,6,7.928600464661524
CCGT,GERMANY,5,7,7.928600494513058
CCGT,GERMANY,5,8,7.928600500288759
CCGT,GERMANY,5,9,7.928600481810851
CCGT,GERMANY,5,10,5.548214291827494e-09
CCGT,GERMANY,5,11,7.928600492227919
CCGT,GERMANY,5,12,3.031804309487073e-09
CCGT,GERMANY,6,1,5.32857909748914e-09
CCGT,GERMANY,6,2,7.928600470471443
CCGT,GERMANY,6,3,7.928600440013865
CCGT,GERMANY,6,4,7.928600492848631
CCGT,GERMANY,6,5,6.935670444629191e-09
CCGT,GERMANY,6,6,7.928600464661485
CCGT,GERMANY,6,7,7.928600494513059
CCGT,GERMANY,6,8,7.928600501004618
CCGT,GERMANY,6,9,7.928600481810856
CCGT,GERMANY,6,10,5.54820668572489e-09
CCGT,GERMANY,6,11,7.928600492227921
CCGT,GERMANY,6,12,3.031687635676548e-09
CCGT,GERMANY,7,1,5.328487479112831e-09
CCGT,GERMANY,7,2,7.928600470471459
CCGT,GERMANY,7,3,7.928600440013862
CCGT,GERMANY,7,4,7.928600492848642
CCGT,GERMANY,7,5,5.971368065726718e-09
CCGT,GERMANY,7,6,7.928600464661484
CCGT,GERMANY,7,7,7.928600494513059
CCGT,GERMANY,7,8,7.928600501004856
CCGT,GERMANY,7,9,7.928600481810819
CCGT,GERMANY,7,10,5.548200457612437e-09
CCGT,GERMANY,7,11,7.928600492227925
CCGT,GERMANY,7,12,3.031574201718395e-09
CCGT,GERMANY,8,1,5.328401741590665e-09
CCGT,GERMANY,8,2,7.928600470471467
CCGT,GERMANY,8,3,7.928600440013846
CCGT,GERMANY,8,4,7.928600492848648
CCGT,GERMANY,8,5,6.927582377010858e-09
CCGT,GERMANY,8,6,7.657075886081025
CCGT,GERMANY,8,7,7.928600494513059
CCGT,GERMANY,8,8,2.907575434797185
CCGT,GERMANY,8,9,7.928600481810792
CCGT,GERMANY,8,10,5.548191890744396e-09
CCGT,GERMANY,8,11,7.92860049222793
CCGT,GERMANY,8,12,3.031460153310896e-09
CCGT,GERMANY,9,1,5.328321083718413e-09
CCGT,GERMANY,9,2,7.928600470471467
CCGT,GERMANY,9,3,7.928600440013776
CCGT,GERMANY,9,4,7.928600492848518
CCGT,GERMANY,9,5,5.877098036714066e-09
CCGT,GERMANY,9,6,1.456147349548414e-08
CCGT,GERMANY,9,7,7.928600494513063
CCGT,GERMANY,9,8,1.469326963926496e-08
CCGT,GERMANY,9,9,7.928600481810773
CCGT,GERMANY,9,10,5.548180112596151e-09
CCGT,GERMANY,9,11,7.928600492227934
CCGT,GERMANY,9,12,3.031349026392294e-09
CCGT,GERMANY,10,1,5.328244645245392e-09
CCGT,GERMANY,10,2,7.92860047047146
CCGT,GERMANY,10,3,7.928600440013698
CCGT,GERMANY,10,4,7.928600492848923
CCGT,GERMANY,10,5,5.852901945161454e-09
CCGT,GERMANY,10,6,1.455975935357026e-08
CCGT,GERMANY,10,7,7.928600494513026
CCGT,GERMANY,10,8,4.65648746772911e-09
CCGT,GERMANY,10,9,7.92860048181074
CCGT,GERMANY,10,10,5.548169272975342e-09
CCGT,GERMANY,10,11,7.928600492227935
CCGT,GERMANY,10,12,3.031236828156055e-09
CCGT,GERMANY,11,1,5.328170238120008e-09
CCGT,GERMANY,11,2,7.928600470471459
CCGT,GERMANY,11,3,7.928600440013699
CCGT,GERMANY,11,4,7.928600492848872
CCGT,GERMANY,11,5,5.852886081855785e-09
CCGT,GERMANY,11,6,1.456044160441498e-08
CCGT,GERMANY,11,7,7.928600494513057
CCGT,GERMANY,11,8,3.656684592427346e-09
CCGT,GERMANY,11,9,7.928600481810697
CCGT,GERMANY,11,10,5.548173439181537e-09
CCGT,GERMANY,11,11,7.928600492227938
CCGT,GERMANY,11,12,3.031133874238986e-09
CCGT,GERMANY,12,1,5.328094635120474e-09
CCGT,GERMANY,12,2,7.928600470471451
CCGT,GERMANY,12,3,7.928600440013696
CCGT,GERMANY,12,4,7.928600479727369
CCGT,GERMANY,12,5,5.852829203074357e-09
CCGT,GERMANY,12,6,1.462038058251648e-08
CCGT,GERMANY,12,7,7.928600494510126
CCGT,GERMANY,12,8,3.656580469240903e-09
CCGT,GERMANY,12,9,7.928600481810627
CCGT,GERMANY,12,10,5.548160712687264e-09
CCGT,GERMANY,12,11,7.92860049222794
CCGT,GERMANY,12,12,3.031017367507351e-09
CCGT,GERMANY,13,1,5.328019952016933e-09
CCGT,GERMANY,13,2,7.928600470471456
CCGT,GERMANY,13,3,7.92860044001367
CCGT,GERMANY,13,4,7.928600479712197
CCGT,GERMANY,13,5,5.756384645915752e-09
CCGT,GERMANY,13,6,1.456445669737288e-08
CCGT,GERMANY,13,7,7.928600470556053
CCGT,GERMANY,13,8,3.656513841351922e-09
CCGT,GERMANY,13,9,7.928600481810562
CCGT,GERMANY,13,10,5.548141715627564e-09
CCGT,GERMANY,13,11,7.92860049222794
CCGT,GERMANY,13,12,3.030910444815766e-09
CCGT,GERMANY,14,1,5.327942280017136e-09
CCGT,GERMANY,14,2,7.928600470471458
CCGT,GERMANY,14,3,7.928600440013604
CCGT,GERMANY,14,4,7.928600479807922
CCGT,GERMANY,14,5,5.777680358707803e-09
CCGT,GERMANY,14,6,1.45659238624915e-08
CCGT,GERMANY,14,7,7.928600474763452
CCGT,GERMANY,14,8,2.723701241696926e-09
CCGT,GERMANY,14,9,7.928600481810599
CCGT,GERMANY,14,10,5.548123252225303e-09
CCGT,GERMANY,14,11,7.928600492227942
CCGT,GERMANY,14,12,4.422172934165294e-09
CCGT,GERMANY,15,1,5.327862850858077e-09
CCGT,GERMANY,15,2,7.928600470471478
CCGT,GERMANY,15,3,7.928600440013577
CCGT,GERMANY,15,4,7.928600479747375
CCGT,GERMANY,15,5,5.79932817521121e-09
CCGT,GERMANY,15,6,1.456747366312293e-08
CCGT,GERMANY,15,7,7.928600478255472
CCGT,GERMANY,15,8,3.656365709423462e-09
CCGT,GERMANY,15,9,7.928600481810673
CCGT,GERMANY,15,10,5.548102941316599e-09
CCGT,GERMANY,15,11,7.92860049222795
CCGT,GERMANY,15,12,4.438853670353124e-09
CCGT,GERMANY,16,1,5.3277818154805e-09
CCGT,GERMANY,16,2,7.928600470471492
CCGT,GERMANY,16,3,7.928600440013541
CCGT,GERMANY,16,4,7.928600479820934
CCGT,GERMANY,16,5,5.852684215951802e-09
CCGT,GERMANY,16,6,1.487392105053336e-08
CCGT,GERMANY,16,7,7.928600481201231
CCGT,GERMANY,16,8,3.656311899479566e-09
CCGT,GERMANY,16,9,7.928600481810727
CCGT,GERMANY,16,10,5.548082806398048e-09
CCGT,GERMANY,16,11,7.928600492227956
CCGT,GERMANY,16,12,1.980956857954395e-08
CCGT,GERMANY,17,1,5.327699060685014e-09
CCGT,GERMANY,17,2,7.92860047047151
CCGT,GERMANY,17,3,7.928600440013308
CCGT,GERMANY,17,4,7.928600479837923
CCGT,GERMANY,17,5,5.852747510870163e-09
CCGT,GERMANY,17,6,1.49347276633235e-08
CCGT,GERMANY,17,7,7.928600483716619
CCGT,GERMANY,17,8,3.714317126616246e-09
CCGT,GERMANY,17,9,7.928600481810764
CCGT,GERMANY,17,10,5.548064396546797e-09
CCGT,GERMANY,17,11,7.92860049222796
CCGT,GERMANY,17,12,2.077206601171994e-08
CCGT,GERMANY,18,1,5.327622482757864e-09
CCGT,GERMANY,18,2,7.928600470471513
CCGT,GERMANY,18,3,7.928600440013658
CCGT,GERMANY,18,4,7.928600482384201
CCGT,GERMANY,18,5,5.878796100737705e-09
CCGT,GERMANY,18,6,2.011235217208021e-06
CCGT,GERMANY,18,7,7.92860049451304
CCGT,GERMANY,18,8,0.6416787223087271
CCGT,GERMANY,18,9,7.928600481810776
CCGT,GERMANY,18,10,5.548053571548105e-09
CCGT,GERMANY,18,11,7.928600492227964
CCGT,GERMANY,18,12,2.180882559073103e-08
CCGT,GERMANY,19,1,5.327546306017811e-09
CCGT,GERMANY,19,2,7.928600470471495
CCGT,GERMANY,19,3,7.928600440013525
CCGT,GERMANY,19,4,7.928600484275858
CCGT,GERMANY,19,5,5.852677780332371e-09
CCGT,GERMANY,19,6,1.27159951798482e-05
CCGT,GERMANY,19,7,7.928600494513062
CCGT,GERMANY,19,8,7.928600501004528
CCGT,GERMANY,19,9,7.928600481810785
CCGT,GERMANY,19,10,5.548035578348232e-09
CCGT,GERMANY,19,11,7.928600492227965
CCGT,GERMANY,19,12,2.298200550621471e-08
CCGT,GERMANY,20,1,5.327474177291094e-09
CCGT,GERMANY,20,2,7.928600470471454
CCGT,GERMANY,20,3,7.928600440013083
CCGT,GERMANY,20,4,7.928600460512837
CCGT,GERMANY,20,5,5.852611960721562e-09
CCGT,GERMANY,20,6,4.268880419141138
CCGT,GERMANY,20,7,7.928600494513064
CCGT,GERMANY,20,8,7.928600501004532
CCGT,GERMANY,20,9,7.928600481810789
CCGT,GERMANY,20,10,5.548017280266473e-09
CCGT,GERMANY,20,11,7.928600492227968
CCGT,GERMANY,20,12,2.429951444941711e-08
CCGT,GERMANY,21,1,5.327406858470932e-09
CCGT,GERMANY,21,2,7.928600470471411
