st,n,h,td,val
AMMONIA,GERMANY,1,1,1.624486670314859e-08
AMMONIA,GERMANY,1,2,2.580067383711974e-08
AMMONIA,GERMANY,1,3,4.386113584715054e-08
AMMONIA,GERMANY,1,4,1.253175563251273e-08
AMMONIA,GERMANY,1,5,1.218365248083843e-08
AMMONIA,GERMANY,1,6,2.924076641195399e-08
AMMONIA,GERMANY,1,7,1.154240893946426e-08
AMMONIA,GERMANY,1,8,7.694939015301552e-09
AMMONIA,GERMANY,1,9,1.907006778785912e-08
AMMONIA,GERMANY,1,10,1.686967128588335e-08
AMMONIA,GERMANY,1,11,1.290033976360949e-08
AMMONIA,GERMANY,1,12,9.332159574858327e-09
AMMONIA,GERMANY,2,1,1.62448666959145e-08
AMMONIA,GERMANY,2,2,2.580067382471748e-08
AMMONIA,GERMANY,2,3,4.386113589340447e-08
AMMONIA,GERMANY,2,4,1.253175563265524e-08
AMMONIA,GERMANY,2,5,1.21836524807353e-08
AMMONIA,GERMANY,2,6,2.924076641141273e-08
AMMONIA,GERMANY,2,7,1.154240893860749e-08
AMMONIA,GERMANY,2,8,7.694939016653099e-09
AMMONIA,GERMANY,2,9,1.907006778530066e-08
AMMONIA,GERMANY,2,10,1.686967128483557e-08
AMMONIA,GERMANY,2,11,1.290033975971611e-08
AMMONIA,GERMANY,2,12,9.332159572145068e-09
AMMONIA,GERMANY,3,1,1.624486668935974e-08
AMMONIA,GERMANY,3,2,2.58006738122428e-08
AMMONIA,GERMANY,3,3,4.386113594255271e-08
AMMONIA,GERMANY,3,4,1.253175563409117e-08
AMMONIA,GERMANY,3,5,1.218365248108915e-08
AMMONIA,GERMANY,3,6,2.92407664138632e-08
AMMONIA,GERMANY,3,7,1.154240893842898e-08
AMMONIA,GERMANY,3,8,7.694939018351717e-09
AMMONIA,GERMANY,3,9,1.907006778452986e-08
AMMONIA,GERMANY,3,10,1.686967128244609e-08
AMMONIA,GERMANY,3,11,1.29003397561861e-08
AMMONIA,GERMANY,3,12,9.3321595695631e-09
AMMONIA,GERMANY,4,1,1.624486668331108e-08
AMMONIA,GERMANY,4,2,2.580067380051944e-08
AMMONIA,GERMANY,4,3,4.386113599510686e-08
AMMONIA,GERMANY,4,4,1.253175563699671e-08
AMMONIA,GERMANY,4,5,1.218365248264642e-08
AMMONIA,GERMANY,4,6,2.924076641313983e-08
AMMONIA,GERMANY,4,7,1.154240893887452e-08
AMMONIA,GERMANY,4,8,7.69493902064707e-09
AMMONIA,GERMANY,4,9,1.907006778508636e-08
AMMONIA,GERMANY,4,10,1.686967128460264e-08
AMMONIA,GERMANY,4,11,1.290033975281279e-08
AMMONIA,GERMANY,4,12,9.332159567324816e-09
