j,h,td,val
AMMONIA_STORAGE,1,1,0.0006161097774187302
AMMONIA_STORAGE,1,2,0.0006161178302589998
AMMONIA_STORAGE,1,3,0.0006161132863897745
AMMONIA_STORAGE,1,4,0.0006161180710499703
AMMONIA_STORAGE,1,5,0.0006161116304021774
AMMONIA_STORAGE,1,6,0.0006161172229133677
AMMONIA_STORAGE,1,7,0.0006161181787156939
AMMONIA_STORAGE,1,8,0.0006161174614953829
AMMONIA_STORAGE,1,9,0.000616118499910015
AMMONIA_STORAGE,1,10,0.000616109580710289
AMMONIA_STORAGE,1,11,0.0006161183361359512
AMMONIA_STORAGE,1,12,0.0006161119161376682
AMMONIA_STORAGE,2,1,0.0006161097774193824
AMMONIA_STORAGE,2,2,0.0006161178302731274
AMMONIA_STORAGE,2,3,0.0006161132863972824
AMMONIA_STORAGE,2,4,0.0006161182980407715
AMMONIA_STORAGE,2,5,0.0006161116364703095
AMMONIA_STORAGE,2,6,0.0006161172229177392
AMMONIA_STORAGE,2,7,0.0006161181787150555
AMMONIA_STORAGE,2,8,0.0006161174613754788
AMMONIA_STORAGE,2,9,0.0006161184999101121
AMMONIA_STORAGE,2,10,0.000616109580711191
AMMONIA_STORAGE,2,11,0.0006161183361361317
AMMONIA_STORAGE,2,12,0.0006161119161359474
AMMONIA_STORAGE,3,1,0.0006161097774197849
AMMONIA_STORAGE,3,2,0.000616117830281579
AMMONIA_STORAGE,3,3,0.0006161132863996416
AMMONIA_STORAGE,3,4,0.0006161182981123392
AMMONIA_STORAGE,3,5,0.0006161116426227076
AMMONIA_STORAGE,3,6,0.0006161172229295353
AMMONIA_STORAGE,3,7,0.0006161181787151526
AMMONIA_STORAGE,3,8,0.0006161169820119161
AMMONIA_STORAGE,3,9,0.0006161184999101538
AMMONIA_STORAGE,3,10,0.0006161095807099143
AMMONIA_STORAGE,3,11,0.0006161183361357431
AMMONIA_STORAGE,3,12,0.0006161119161358503
AMMONIA_STORAGE,4,1,0.0006161097774192853
AMMONIA_STORAGE,4,2,0.0006161178302833414
AMMONIA_STORAGE,4,3,0.0006161132864041796
AMMONIA_STORAGE,4,4,0.0006161182981145735
AMMONIA_STORAGE,4,5,0.0006161116488487828
AMMONIA_STORAGE,4,6,0.0006161172229370154
AMMONIA_STORAGE,4,7,0.0006161181787145281
AMMONIA_STORAGE,4,8,0.0006161171327493387
AMMONIA_STORAGE,4,9,0.0006161184999103758
AMMONIA_STORAGE,4,10,0.0006161095807095118
AMMONIA_STORAGE,4,11,0.0006161183361350769
AMMONIA_STORAGE,4,12,0.0006161119161349066
AMMONIA_STORAGE,5,1,0.0006161097774194241
AMMONIA_STORAGE,5,2,0.0006161178302831194
AMMONIA_STORAGE,5,3,0.0006161132864042629
AMMONIA_STORAGE,5,4,0.0006161182981149066
AMMONIA_STORAGE,5,5,0.0006161118331997756
AMMONIA_STORAGE,5,6,0.0006161172229412898
AMMONIA_STORAGE,5,7,0.000616118178715569
AMMONIA_STORAGE,5,8,0.0006161172923691283
AMMONIA_STORAGE,5,9,0.0006161184999118191
AMMONIA_STORAGE,5,10,0.0006161095807088041
AMMONIA_STORAGE,5,11,0.0006161183361336059
AMMONIA_STORAGE,5,12,0.0006161119161361001
AMMONIA_STORAGE,6,1,0.0006161097774196878
AMMONIA_STORAGE,6,2,0.0006161178302827724
AMMONIA_STORAGE,6,3,0.0006161132864025004
AMMONIA_STORAGE,6,4,0.0006161182981168217
AMMONIA_STORAGE,6,5,0.0006161119038314289
AMMONIA_STORAGE,6,6,0.0006161172229421363
AMMONIA_STORAGE,6,7,0.0006161181787164988
AMMONIA_STORAGE,6,8,0.0006161174614960768
AMMONIA_STORAGE,6,9,0.0006161184999126101
AMMONIA_STORAGE,6,10,0.0006161095807084016
AMMONIA_STORAGE,6,11,0.0006161183361324679
AMMONIA_STORAGE,6,12,0.0006161119161366135
AMMONIA_STORAGE,7,1,0.0006161097774194518
AMMONIA_STORAGE,7,2,0.0006161178302818149
AMMONIA_STORAGE,7,3,0.0006161132864006408
AMMONIA_STORAGE,7,4,0.0006161182981140878
AMMONIA_STORAGE,7,5,0.0006161116679826023
AMMONIA_STORAGE,7,6,0.0006161172229406098
AMMONIA_STORAGE,7,7,0.0006161181787157077
AMMONIA_STORAGE,7,8,0.0006161174614106729
AMMONIA_STORAGE,7,9,0.0006161184999116387
AMMONIA_STORAGE,7,10,0.0006161095807081657
AMMONIA_STORAGE,7,11,0.000616118336131441
AMMONIA_STORAGE,7,12,0.0006161119161359196
AMMONIA_STORAGE,8,1,0.0006161097774193408
AMMONIA_STORAGE,8,2,0.0006161178302794557
AMMONIA_STORAGE,8,3,0.0006161132864040131
AMMONIA_STORAGE,8,4,0.0006161182981141433
AMMONIA_STORAGE,8,5,0.000616111901975358
AMMONIA_STORAGE,8,6,0.0006161131422905419
AMMONIA_STORAGE,8,7,0.0006161181787152081
AMMONIA_STORAGE,8,8,0.0006161151276304483
AMMONIA_STORAGE,8,9,0.000616118499912166
AMMONIA_STORAGE,8,10,0.0006161095807074718
AMMONIA_STORAGE,8,11,0.0006161183361302058
AMMONIA_STORAGE,8,12,0.0006161119161369882
AMMONIA_STORAGE,9,1,0.0006161097774194241
AMMONIA_STORAGE,9,2,0.0006161178302757642
AMMONIA_STORAGE,9,3,0.0006161132864422186
AMMONIA_STORAGE,9,4,0.000616118298105206
AMMONIA_STORAGE,9,5,0.0006161116429123925
AMMONIA_STORAGE,9,6,0.0006161067948649707
AMMONIA_STORAGE,9,7,0.0006161181787144449
AMMONIA_STORAGE,9,8,0.000616114091701106
AMMONIA_STORAGE,9,9,0.0006161184999148028
AMMONIA_STORAGE,9,10,0.0006161095807081934
AMMONIA_STORAGE,9,11,0.0006161183361289985
AMMONIA_STORAGE,9,12,0.0006161119161332967
AMMONIA_STORAGE,10,1,0.0006161097774187163
AMMONIA_STORAGE,10,2,0.0006161178302692971
AMMONIA_STORAGE,10,3,0.0006161132864823116
AMMONIA_STORAGE,10,4,0.0006161182980808227
AMMONIA_STORAGE,10,5,0.0006161116364335195
AMMONIA_STORAGE,10,6,0.0006161067937243137
AMMONIA_STORAGE,10,7,0.0006161181786923375
AMMONIA_STORAGE,10,8,0.0006161130563098055
AMMONIA_STORAGE,10,9,0.0006161184999174396
AMMONIA_STORAGE,10,10,0.0006161095807085681
AMMONIA_STORAGE,10,11,0.0006161183361266392
AMMONIA_STORAGE,10,12,0.0006161119161332551
AMMONIA_STORAGE,11,1,0.0006161097774189245
AMMONIA_STORAGE,11,2,0.0006161178302632603
AMMONIA_STORAGE,11,3,0.000616113286497591
AMMONIA_STORAGE,11,4,0.0006161182979310675
AMMONIA_STORAGE,11,5,0.0006161116364327424
AMMONIA_STORAGE,11,6,0.0006161067938175863
AMMONIA_STORAGE,11,7,0.000616118178701483
AMMONIA_STORAGE,11,8,0.0006161128023469409
AMMONIA_STORAGE,11,9,0.0006161184999156077
AMMONIA_STORAGE,11,10,0.0006161095807084432
AMMONIA_STORAGE,11,11,0.0006161183361256817
AMMONIA_STORAGE,11,12,0.0006161119161433859
AMMONIA_STORAGE,12,1,0.0006161097774185498
AMMONIA_STORAGE,12,2,0.0006161178302608872
AMMONIA_STORAGE,12,3,0.0006161132865114272
AMMONIA_STORAGE,12,4,0.0006161168441606163
AMMONIA_STORAGE,12,5,0.0006161116364253455
AMMONIA_STORAGE,12,6,0.0006161068060079461
AMMONIA_STORAGE,12,7,0.0006161181780606623
AMMONIA_STORAGE,12,8,0.0006161128023356999
AMMONIA_STORAGE,12,9,0.0006161184999035618
AMMONIA_STORAGE,12,10,0.0006161095807086792
AMMONIA_STORAGE,12,11,0.0006161183361243217
AMMONIA_STORAGE,12,12,0.0006161119161335743
AMMONIA_STORAGE,13,1,0.0006161097774181334
AMMONIA_STORAGE,13,2,0.0006161178302590553
AMMONIA_STORAGE,13,3,0.0006161132865221547
AMMONIA_STORAGE,13,4,0.0006161168452692434
AMMONIA_STORAGE,13,5,0.0006161116102536418
AMMONIA_STORAGE,13,6,0.0006161067938159903
AMMONIA_STORAGE,13,7,0.0006161162943918164
