j,n,h,td,val
BATT_LI,GERMANY,1,1,2.813031777308854e-07
BATT_LI,GERMANY,1,2,2.767972789320447e-07
BATT_LI,GERMANY,1,3,2.786962277451268e-07
BATT_LI,GERMANY,1,4,2.733779319904198e-07
BATT_LI,GERMANY,1,5,3.047900283638844e-07
BATT_LI,GERMANY,1,6,2.583255997412368e-07
BATT_LI,GERMANY,1,7,2.670107557880205e-07
BATT_LI,GERMANY,1,8,2.341795764813077e-07
BATT_LI,GERMANY,1,9,2.751525238778999e-07
BATT_LI,GERMANY,1,10,2.813032849288002e-07
BATT_LI,GERMANY,1,11,2.719988444016035e-07
BATT_LI,GERMANY,1,12,2.845410809811737e-07
BATT_LI,GERMANY,2,1,3.044333471912227e-07
BATT_LI,GERMANY,2,2,2.9734193944206e-07
BATT_LI,GERMANY,2,3,3.003156715594222e-07
BATT_LI,GERMANY,2,4,2.842381053124639e-07
BATT_LI,GERMANY,2,5,3.522483329756153e-07
BATT_LI,GERMANY,2,6,2.581086435634415e-07
BATT_LI,GERMANY,2,7,2.799696081986035e-07
BATT_LI,GERMANY,2,8,2.143096079825468e-07
BATT_LI,GERMANY,2,9,2.947573694244736e-07
BATT_LI,GERMANY,2,10,3.044335309403703e-07
BATT_LI,GERMANY,2,11,2.896455932336001e-07
BATT_LI,GERMANY,2,12,3.114636449898708e-07
BATT_LI,GERMANY,3,1,3.211513860319916e-07
BATT_LI,GERMANY,3,2,3.127907269254854e-07
BATT_LI,GERMANY,3,3,3.16262699299849e-07
BATT_LI,GERMANY,3,4,2.912312642014886e-07
BATT_LI,GERMANY,3,5,3.95226790601346e-07
BATT_LI,GERMANY,3,6,2.486105391616756e-07
BATT_LI,GERMANY,3,7,2.891019968767752e-07
BATT_LI,GERMANY,3,8,2.128034099067148e-07
BATT_LI,GERMANY,3,9,3.097630015472112e-07
BATT_LI,GERMANY,3,10,3.211516429117616e-07
BATT_LI,GERMANY,3,11,3.035193470060272e-07
BATT_LI,GERMANY,3,12,3.328749471425316e-07
BATT_LI,GERMANY,4,1,3.332006172765195e-07
BATT_LI,GERMANY,4,2,3.243989232610617e-07
BATT_LI,GERMANY,4,3,3.279853381458456e-07
