j,h,td,val
AMMONIA_STORAGE,1,1,0.0002080428016297312
AMMONIA_STORAGE,1,2,0.0002080403157425047
AMMONIA_STORAGE,1,3,0.0002080413820685601
AMMONIA_STORAGE,1,4,0.0002080403607564168
AMMONIA_STORAGE,1,5,0.0002080421499147537
AMMONIA_STORAGE,1,6,0.0002080404401570664
AMMONIA_STORAGE,1,7,0.00020804040514544
AMMONIA_STORAGE,1,8,0.0002080406421362182
AMMONIA_STORAGE,1,9,0.0002080402206640199
AMMONIA_STORAGE,1,10,0.0002080428559310761
AMMONIA_STORAGE,1,11,0.0002080403458591966
AMMONIA_STORAGE,1,12,0.0002080422114972235
AMMONIA_STORAGE,2,1,0.0002080428016298288
AMMONIA_STORAGE,2,2,0.0002080403157007488
AMMONIA_STORAGE,2,3,0.0002080413820496239
AMMONIA_STORAGE,2,4,0.0002080403606900501
AMMONIA_STORAGE,2,5,0.0002080421463514382
AMMONIA_STORAGE,2,6,0.0002080404401560152
AMMONIA_STORAGE,2,7,0.0002080404051438898
AMMONIA_STORAGE,2,8,0.0002080406422676584
AMMONIA_STORAGE,2,9,0.0002080402206555312
AMMONIA_STORAGE,2,10,0.0002080428559309716
AMMONIA_STORAGE,2,11,0.000208040345859022
AMMONIA_STORAGE,2,12,0.0002080422115002829
AMMONIA_STORAGE,3,1,0.0002080428016300886
AMMONIA_STORAGE,3,2,0.0002080403156770349
AMMONIA_STORAGE,3,3,0.0002080413820299911
AMMONIA_STORAGE,3,4,0.0002080403606668432
AMMONIA_STORAGE,3,5,0.0002080421164841174
AMMONIA_STORAGE,3,6,0.0002080404401671294
AMMONIA_STORAGE,3,7,0.000208040405143671
AMMONIA_STORAGE,3,8,0.0002080406423226634
AMMONIA_STORAGE,3,9,0.0002080402206491101
AMMONIA_STORAGE,3,10,0.0002080428559300663
AMMONIA_STORAGE,3,11,0.0002080403458603951
AMMONIA_STORAGE,3,12,0.0002080422115004409
AMMONIA_STORAGE,4,1,0.0002080428016299515
AMMONIA_STORAGE,4,2,0.0002080403156653279
AMMONIA_STORAGE,4,3,0.0002080413820118338
AMMONIA_STORAGE,4,4,0.0002080403606525235
AMMONIA_STORAGE,4,5,0.0002080421164806527
AMMONIA_STORAGE,4,6,0.0002080404401743853
AMMONIA_STORAGE,4,7,0.0002080404051450152
AMMONIA_STORAGE,4,8,0.000208041023566489
AMMONIA_STORAGE,4,9,0.000208040220642621
AMMONIA_STORAGE,4,10,0.0002080428559306548
AMMONIA_STORAGE,4,11,0.0002080403458613715
AMMONIA_STORAGE,4,12,0.0002080422115009713
AMMONIA_STORAGE,5,1,0.0002080428016298717
AMMONIA_STORAGE,5,2,0.0002080403156561196
AMMONIA_STORAGE,5,3,0.00020804138199304
AMMONIA_STORAGE,5,4,0.0002080403606395365
AMMONIA_STORAGE,5,5,0.0002080421164674605
AMMONIA_STORAGE,5,6,0.0002080404401830608
AMMONIA_STORAGE,5,7,0.0002080404051446852
AMMONIA_STORAGE,5,8,0.0002080406422052873
AMMONIA_STORAGE,5,9,0.000208040220640971
AMMONIA_STORAGE,5,10,0.000208042855930284
AMMONIA_STORAGE,5,11,0.0002080403458630873
AMMONIA_STORAGE,5,12,0.0002080422115000378
AMMONIA_STORAGE,6,1,0.0002080428016299572
AMMONIA_STORAGE,6,2,0.0002080403156489294
AMMONIA_STORAGE,6,3,0.0002080413819740504
AMMONIA_STORAGE,6,4,0.0002080403606328012
AMMONIA_STORAGE,6,5,0.000208042116467842
AMMONIA_STORAGE,6,6,0.000208040440199645
AMMONIA_STORAGE,6,7,0.0002080404051440846
AMMONIA_STORAGE,6,8,0.0002080406422754488
AMMONIA_STORAGE,6,9,0.0002080402206466306
AMMONIA_STORAGE,6,10,0.0002080428559309
AMMONIA_STORAGE,6,11,0.0002080403458655411
AMMONIA_STORAGE,6,12,0.0002080422115005689
AMMONIA_STORAGE,7,1,0.0002080428016298921
AMMONIA_STORAGE,7,2,0.0002080403156488248
AMMONIA_STORAGE,7,3,0.0002080413819563072
AMMONIA_STORAGE,7,4,0.000208040360648435
AMMONIA_STORAGE,7,5,0.0002080421164892103
AMMONIA_STORAGE,7,6,0.0002080404402649931
AMMONIA_STORAGE,7,7,0.0002080404051496092
AMMONIA_STORAGE,7,8,0.0002080409349360253
AMMONIA_STORAGE,7,9,0.0002080402206708464
AMMONIA_STORAGE,7,10,0.0002080428559315089
AMMONIA_STORAGE,7,11,0.0002080403458685396
AMMONIA_STORAGE,7,12,0.000208042211500705
AMMONIA_STORAGE,8,1,0.0002080428016297076
AMMONIA_STORAGE,8,2,0.000208040315655157
AMMONIA_STORAGE,8,3,0.0002080413819434536
AMMONIA_STORAGE,8,4,0.0002080403607084909
AMMONIA_STORAGE,8,5,0.0002080421164877856
AMMONIA_STORAGE,8,6,0.0002080425620476993
AMMONIA_STORAGE,8,7,0.0002080404051501593
AMMONIA_STORAGE,8,8,0.0002080418538991705
AMMONIA_STORAGE,8,9,0.0002080402207054852
AMMONIA_STORAGE,8,10,0.0002080428559317949
AMMONIA_STORAGE,8,11,0.0002080403458710404
AMMONIA_STORAGE,8,12,0.0002080422115012586
AMMONIA_STORAGE,9,1,0.000208042801629473
AMMONIA_STORAGE,9,2,0.0002080403156540229
AMMONIA_STORAGE,9,3,0.0002080413819501835
AMMONIA_STORAGE,9,4,0.0002080403608917829
AMMONIA_STORAGE,9,5,0.0002080421165242296
AMMONIA_STORAGE,9,6,0.0002080432738908802
AMMONIA_STORAGE,9,7,0.0002080404052138337
AMMONIA_STORAGE,9,8,0.0002080418539174163
AMMONIA_STORAGE,9,9,0.0002080402207182282
AMMONIA_STORAGE,9,10,0.0002080428559311578
AMMONIA_STORAGE,9,11,0.0002080403458725021
AMMONIA_STORAGE,9,12,0.0002080422115029539
AMMONIA_STORAGE,10,1,0.000208042801629414
AMMONIA_STORAGE,10,2,0.0002080403156521032
AMMONIA_STORAGE,10,3,0.0002080413819843282
AMMONIA_STORAGE,10,4,0.0002080414423498561
AMMONIA_STORAGE,10,5,0.0002080421824500677
AMMONIA_STORAGE,10,6,0.0002080432896065733
AMMONIA_STORAGE,10,7,0.0002080404052722193
AMMONIA_STORAGE,10,8,0.0002080418539715187
AMMONIA_STORAGE,10,9,0.0002080402207631504
AMMONIA_STORAGE,10,10,0.0002080428559305201
AMMONIA_STORAGE,10,11,0.0002080403458685747
AMMONIA_STORAGE,10,12,0.0002080422115009618
AMMONIA_STORAGE,11,1,0.0002080428016288543
AMMONIA_STORAGE,11,2,0.0002080403156421592
AMMONIA_STORAGE,11,3,0.0002080413820143014
AMMONIA_STORAGE,11,4,0.0002080414426509738
AMMONIA_STORAGE,11,5,0.0002080422512103831
AMMONIA_STORAGE,11,6,0.0002080432817937422
AMMONIA_STORAGE,11,7,0.0002080404052676832
AMMONIA_STORAGE,11,8,0.0002080418539729975
AMMONIA_STORAGE,11,9,0.0002080402208187446
AMMONIA_STORAGE,11,10,0.000208042855928721
AMMONIA_STORAGE,11,11,0.0002080403458633625
AMMONIA_STORAGE,11,12,0.000208042211495672
AMMONIA_STORAGE,12,1,0.0002080428016291275
AMMONIA_STORAGE,12,2,0.0002080403156466944
AMMONIA_STORAGE,12,3,0.000208041382033888
AMMONIA_STORAGE,12,4,0.0002080415520323915
AMMONIA_STORAGE,12,5,0.0002080424525113091
AMMONIA_STORAGE,12,6,0.0002080432739053734
AMMONIA_STORAGE,12,7,0.000208040965626798
AMMONIA_STORAGE,12,8,0.0002080418667783327
AMMONIA_STORAGE,12,9,0.0002080404461357128
AMMONIA_STORAGE,12,10,0.0002080428559280054
AMMONIA_STORAGE,12,11,0.0002080403458660383
AMMONIA_STORAGE,12,12,0.0002080422114992453
AMMONIA_STORAGE,13,1,0.0002080428016285271
AMMONIA_STORAGE,13,2,0.0002080403156471476
AMMONIA_STORAGE,13,3,0.0002080413820647786
AMMONIA_STORAGE,13,4,0.0002080415521839129
AMMONIA_STORAGE,13,5,0.0002080424525166863
AMMONIA_STORAGE,13,6,0.0002080432739096517
AMMONIA_STORAGE,13,7,0.0002080409295468744
AMMONIA_STORAGE,13,8,0.0002080419499060095
AMMONIA_STORAGE,13,9,0.0002080403770438281
AMMONIA_STORAGE,13,10,0.0002080428559283103
AMMONIA_STORAGE,13,11,0.000208040345885948
AMMONIA_STORAGE,13,12,0.0002080422114996284
AMMONIA_STORAGE,14,1,0.0002080428016291186
AMMONIA_STORAGE,14,2,0.0002080403156524359
AMMONIA_STORAGE,14,3,0.0002080413820988048
AMMONIA_STORAGE,14,4,0.000208041535037416
AMMONIA_STORAGE,14,5,0.0002080424525209034
AMMONIA_STORAGE,14,6,0.0002080432739112838
AMMONIA_STORAGE,14,7,0.0002080408919767783
AMMONIA_STORAGE,14,8,0.0002080420745956416
AMMONIA_STORAGE,14,9,0.0002080403048087863
AMMONIA_STORAGE,14,10,0.0002080428559288691
AMMONIA_STORAGE,14,11,0.0002080403459071201
AMMONIA_STORAGE,14,12,0.0002080422049040534
AMMONIA_STORAGE,15,1,0.0002080428016289066
AMMONIA_STORAGE,15,2,0.000208040315641722
AMMONIA_STORAGE,15,3,0.0002080413821050817
AMMONIA_STORAGE,15,4,0.0002080415173934939
AMMONIA_STORAGE,15,5,0.0002080424525155245
AMMONIA_STORAGE,15,6,0.0002080432739154092
AMMONIA_STORAGE,15,7,0.0002080408526981786
AMMONIA_STORAGE,15,8,0.0002080420727426314
AMMONIA_STORAGE,15,9,0.0002080402292944283
AMMONIA_STORAGE,15,10,0.0002080428559293026
AMMONIA_STORAGE,15,11,0.0002080403458819054
AMMONIA_STORAGE,15,12,0.0002080419538975041
AMMONIA_STORAGE,16,1,0.0002080428016293099
AMMONIA_STORAGE,16,2,0.0002080403156409839
AMMONIA_STORAGE,16,3,0.0002080413821184662
AMMONIA_STORAGE,16,4,0.0002080414992329915
AMMONIA_STORAGE,16,5,0.0002080424525122001
AMMONIA_STORAGE,16,6,0.0002080432738990521
AMMONIA_STORAGE,16,7,0.0002080408116412154
AMMONIA_STORAGE,16,8,0.0002080418566198347
AMMONIA_STORAGE,16,9,0.0002080402207641809
AMMONIA_STORAGE,16,10,0.0002080428559303685
AMMONIA_STORAGE,16,11,0.0002080403458704541
AMMONIA_STORAGE,16,12,0.0002080419479240328
AMMONIA_STORAGE,17,1,0.0002080428016297028
AMMONIA_STORAGE,17,2,0.0002080403156348495
AMMONIA_STORAGE,17,3,0.0002080413824249285
AMMONIA_STORAGE,17,4,0.000208041480536556
AMMONIA_STORAGE,17,5,0.0002080421768891477
AMMONIA_STORAGE,17,6,0.0002080432738701106
AMMONIA_STORAGE,17,7,0.0002080407687676305
AMMONIA_STORAGE,17,8,0.0002080418539743482
AMMONIA_STORAGE,17,9,0.000208040220724653
AMMONIA_STORAGE,17,10,0.0002080428559312036
AMMONIA_STORAGE,17,11,0.0002080403458728506
AMMONIA_STORAGE,17,12,0.000208041947633507
AMMONIA_STORAGE,18,1,0.0002080428016298617
AMMONIA_STORAGE,18,2,0.0002080403156380735
AMMONIA_STORAGE,18,3,0.0002080413820480795
AMMONIA_STORAGE,18,4,0.0002080414612756251
AMMONIA_STORAGE,18,5,0.0002080421165209915
AMMONIA_STORAGE,18,6,0.0002080432237752932
AMMONIA_STORAGE,18,7,0.000208040405208636
AMMONIA_STORAGE,18,8,0.000208041802710312
AMMONIA_STORAGE,18,9,0.000208040220723435
AMMONIA_STORAGE,18,10,0.0002080428559313205
AMMONIA_STORAGE,18,11,0.0002080403458742668
AMMONIA_STORAGE,18,12,0.000208041944434977
AMMONIA_STORAGE,19,1,0.0002080428016297045
AMMONIA_STORAGE,19,2,0.0002080403156484215
AMMONIA_STORAGE,19,3,0.0002080413820757829
AMMONIA_STORAGE,19,4,0.000208041441436349
AMMONIA_STORAGE,19,5,0.0002080421768468211
AMMONIA_STORAGE,19,6,0.0002080432149670212
AMMONIA_STORAGE,19,7,0.0002080404051297737
AMMONIA_STORAGE,19,8,0.0002080406421015549
AMMONIA_STORAGE,19,9,0.0002080402207246287
AMMONIA_STORAGE,19,10,0.0002080428559310833
AMMONIA_STORAGE,19,11,0.0002080403458765727
AMMONIA_STORAGE,19,12,0.0002080419411823547
AMMONIA_STORAGE,20,1,0.0002080428016298834
AMMONIA_STORAGE,20,2,0.000208040315665156
AMMONIA_STORAGE,20,3,0.0002080413822842348
AMMONIA_STORAGE,20,4,0.0002080414411970326
AMMONIA_STORAGE,20,5,0.0002080423917781291
AMMONIA_STORAGE,20,6,0.000208042050560942
AMMONIA_STORAGE,20,7,0.0002080404052663368
AMMONIA_STORAGE,20,8,0.0002080406421482515
AMMONIA_STORAGE,20,9,0.000208040220731029
AMMONIA_STORAGE,20,10,0.0002080428559308582
AMMONIA_STORAGE,20,11,0.0002080403458773379
AMMONIA_STORAGE,20,12,0.0002080419378762729
AMMONIA_STORAGE,21,1,0.0002080428016301332
AMMONIA_STORAGE,21,2,0.0002080403156874621
AMMONIA_STORAGE,21,3,0.0002080413825389104
AMMONIA_STORAGE,21,4,0.000208041441172604
