st,n,h,td,val
AMMONIA,GERMANY,1,1,1.198685631860301e-08
AMMONIA,GERMANY,1,2,1.903794907746885e-08
AMMONIA,GERMANY,1,3,3.23645106923443e-08
AMMONIA,GERMANY,1,4,9.247004148334118e-09
AMMONIA,GERMANY,1,5,8.990143515180767e-09
AMMONIA,GERMANY,1,6,2.157634336365263e-08
AMMONIA,GERMANY,1,7,8.516979157117236e-09
AMMONIA,GERMANY,1,8,5.677986166748728e-09
AMMONIA,GERMANY,1,9,1.407153104641338e-08
AMMONIA,GERMANY,1,10,1.244789074956956e-08
AMMONIA,GERMANY,1,11,9.518975101534424e-09
AMMONIA,GERMANY,1,12,6.886066790003083e-09
AMMONIA,GERMANY,2,1,1.198685631806298e-08
AMMONIA,GERMANY,2,2,1.90379490759422e-08
AMMONIA,GERMANY,2,3,3.23645106927955e-08
AMMONIA,GERMANY,2,4,9.247004149344837e-09
AMMONIA,GERMANY,2,5,8.990143516124699e-09
AMMONIA,GERMANY,2,6,2.157634336581975e-08
AMMONIA,GERMANY,2,7,8.516979156975427e-09
AMMONIA,GERMANY,2,8,5.677986166911087e-09
AMMONIA,GERMANY,2,9,1.407153104682215e-08
AMMONIA,GERMANY,2,10,1.244789074921804e-08
AMMONIA,GERMANY,2,11,9.51897510060951e-09
AMMONIA,GERMANY,2,12,6.886066789374449e-09
AMMONIA,GERMANY,3,1,1.198685631752675e-08
AMMONIA,GERMANY,3,2,1.903794907441156e-08
AMMONIA,GERMANY,3,3,3.23645106932488e-08
AMMONIA,GERMANY,3,4,9.247004150353451e-09
AMMONIA,GERMANY,3,5,8.990143517070312e-09
AMMONIA,GERMANY,3,6,2.157634336798314e-08
AMMONIA,GERMANY,3,7,8.516979156831763e-09
AMMONIA,GERMANY,3,8,5.677986167072473e-09
AMMONIA,GERMANY,3,9,1.407153104722746e-08
AMMONIA,GERMANY,3,10,1.244789074887061e-08
AMMONIA,GERMANY,3,11,9.5189750996824e-09
AMMONIA,GERMANY,3,12,6.886066788747046e-09
AMMONIA,GERMANY,4,1,1.198685631699433e-08
AMMONIA,GERMANY,4,2,1.903794907287693e-08
AMMONIA,GERMANY,4,3,3.23645106937043e-08
AMMONIA,GERMANY,4,4,9.247004151359952e-09
AMMONIA,GERMANY,4,5,8.990143518017626e-09
AMMONIA,GERMANY,4,6,2.157634337014272e-08
AMMONIA,GERMANY,4,7,8.516979156686219e-09
AMMONIA,GERMANY,4,8,5.677986167232883e-09
AMMONIA,GERMANY,4,9,1.407153104762933e-08
AMMONIA,GERMANY,4,10,1.244789074852728e-08
AMMONIA,GERMANY,4,11,9.518975098753106e-09
AMMONIA,GERMANY,4,12,6.88606678812088e-09
AMMONIA,GERMANY,5,1,1.19868563164657e-08
AMMONIA,GERMANY,5,2,1.903794907133832e-08
AMMONIA,GERMANY,5,3,3.23645106941619e-08
AMMONIA,GERMANY,5,4,9.247004152364347e-09
AMMONIA,GERMANY,5,5,8.9901435189666e-09
AMMONIA,GERMANY,5,6,2.15763433722986e-08
AMMONIA,GERMANY,5,7,8.516979156538802e-09
AMMONIA,GERMANY,5,8,5.677986167392301e-09
AMMONIA,GERMANY,5,9,1.407153104802772e-08
AMMONIA,GERMANY,5,10,1.244789074818806e-08
AMMONIA,GERMANY,5,11,9.518975097821601e-09
AMMONIA,GERMANY,5,12,6.886066787495955e-09
AMMONIA,GERMANY,6,1,1.198685631594089e-08
AMMONIA,GERMANY,6,2,1.90379490697957e-08
AMMONIA,GERMANY,6,3,3.236451069462167e-08
AMMONIA,GERMANY,6,4,9.247004153366642e-09
AMMONIA,GERMANY,6,5,8.990143519972575e-09
AMMONIA,GERMANY,6,6,2.157634337445071e-08
AMMONIA,GERMANY,6,7,8.516979156389509e-09
AMMONIA,GERMANY,6,8,5.677986167550745e-09
AMMONIA,GERMANY,6,9,1.407153104842265e-08
AMMONIA,GERMANY,6,10,1.244789074785295e-08
AMMONIA,GERMANY,6,11,9.51897509688792e-09
AMMONIA,GERMANY,6,12,6.886066786872258e-09
AMMONIA,GERMANY,7,1,1.198685631541986e-08
AMMONIA,GERMANY,7,2,1.903794906824914e-08
AMMONIA,GERMANY,7,3,3.236451069508361e-08
AMMONIA,GERMANY,7,4,9.247004154366833e-09
AMMONIA,GERMANY,7,5,8.99014352086085e-09
AMMONIA,GERMANY,7,6,2.157634337659909e-08
AMMONIA,GERMANY,7,7,8.516979156238366e-09
AMMONIA,GERMANY,7,8,5.677986167708204e-09
AMMONIA,GERMANY,7,9,1.407153104881413e-08
AMMONIA,GERMANY,7,10,1.244789074752195e-08
AMMONIA,GERMANY,7,11,9.51897509595204e-09
AMMONIA,GERMANY,7,12,6.886066786249788e-09
