ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12946493450679
ELECTRICITY,GERMANY,1,2,61.02997399158267
ELECTRICITY,GERMANY,1,3,60.94824689750653
ELECTRICITY,GERMANY,1,4,58.30828127383489
ELECTRICITY,GERMANY,1,5,61.639000255271
ELECTRICITY,GERMANY,1,6,56.34817099699864
ELECTRICITY,GERMANY,1,7,56.77686013641663
ELECTRICITY,GERMANY,1,8,56.7189397690311
ELECTRICITY,GERMANY,1,9,57.9411491441224
ELECTRICITY,GERMANY,1,10,67.49073266344746
ELECTRICITY,GERMANY,1,11,57.87773922541002
ELECTRICITY,GERMANY,1,12,68.60327051902031
ELECTRICITY,GERMANY,2,1,70.54078623794074
ELECTRICITY,GERMANY,2,2,60.39850755033719
ELECTRICITY,GERMANY,2,3,60.54930216278159
ELECTRICITY,GERMANY,2,4,58.38412232031633
ELECTRICITY,GERMANY,2,5,61.66782998089514
ELECTRICITY,GERMANY,2,6,56.68594644636405
ELECTRICITY,GERMANY,2,7,56.8325398705244
ELECTRICITY,GERMANY,2,8,56.75697451699958
ELECTRICITY,GERMANY,2,9,57.96971721695383
ELECTRICITY,GERMANY,2,10,67.66709606838354
ELECTRICITY,GERMANY,2,11,57.42787610205108
ELECTRICITY,GERMANY,2,12,68.2234104094666
ELECTRICITY,GERMANY,3,1,70.53273726250316
ELECTRICITY,GERMANY,3,2,60.10436843182505
ELECTRICITY,GERMANY,3,3,60.69141432116216
ELECTRICITY,GERMANY,3,4,58.86412195970771
ELECTRICITY,GERMANY,3,5,62.33876924661124
ELECTRICITY,GERMANY,3,6,57.14936540036026
ELECTRICITY,GERMANY,3,7,57.427483991206
ELECTRICITY,GERMANY,3,8,57.04474583341827
ELECTRICITY,GERMANY,3,9,58.32334514594914
ELECTRICITY,GERMANY,3,10,68.3724847879229
ELECTRICITY,GERMANY,3,11,57.26778286253423
ELECTRICITY,GERMANY,3,12,68.36653950498709
ELECTRICITY,GERMANY,4,1,70.76816979309204
ELECTRICITY,GERMANY,4,2,60.14027457826589
ELECTRICITY,GERMANY,4,3,60.89592811314084
ELECTRICITY,GERMANY,4,4,60.26625417746251
ELECTRICITY,GERMANY,4,5,63.92136925362276
ELECTRICITY,GERMANY,4,6,58.59950318363924
ELECTRICITY,GERMANY,4,7,58.69517821916419
ELECTRICITY,GERMANY,4,8,58.83610256965771
ELECTRICITY,GERMANY,4,9,60.1906888242313
ELECTRICITY,GERMANY,4,10,69.82785619056567
ELECTRICITY,GERMANY,4,11,57.11278706346393
ELECTRICITY,GERMANY,4,12,68.93957528604135
ELECTRICITY,GERMANY,5,1,72.01374876484653
ELECTRICITY,GERMANY,5,2,61.0407850465901
ELECTRICITY,GERMANY,5,3,62.26797983067839
ELECTRICITY,GERMANY,5,4,63.55376717046465
ELECTRICITY,GERMANY,5,5,66.07192674643163
ELECTRICITY,GERMANY,5,6,61.78013797475362
ELECTRICITY,GERMANY,5,7,61.74316752701113
ELECTRICITY,GERMANY,5,8,62.04051679401852
ELECTRICITY,GERMANY,5,9,63.27884148153008
ELECTRICITY,GERMANY,5,10,73.92783530992727
ELECTRICITY,GERMANY,5,11,57.01319091935579
ELECTRICITY,GERMANY,5,12,70.59033074971046
ELECTRICITY,GERMANY,6,1,75.57139622211237
ELECTRICITY,GERMANY,6,2,64.09527219061027
ELECTRICITY,GERMANY,6,3,65.62568065752028
ELECTRICITY,GERMANY,6,4,65.58445300635073
ELECTRICITY,GERMANY,6,5,68.22294542660198
ELECTRICITY,GERMANY,6,6,64.17565490545302
ELECTRICITY,GERMANY,6,7,64.1861858807709
ELECTRICITY,GERMANY,6,8,64.36706099276151
ELECTRICITY,GERMANY,6,9,65.51084820713753
ELECTRICITY,GERMANY,6,10,76.78158671993444
ELECTRICITY,GERMANY,6,11,57.69283097360954
ELECTRICITY,GERMANY,6,12,74.7469818503682
ELECTRICITY,GERMANY,7,1,79.05731725406854
ELECTRICITY,GERMANY,7,2,66.877970531924
ELECTRICITY,GERMANY,7,3,68.08343117432871
ELECTRICITY,GERMANY,7,4,66.81853773686007
ELECTRICITY,GERMANY,7,5,71.29877163797052
ELECTRICITY,GERMANY,7,6,65.35512420260856
ELECTRICITY,GERMANY,7,7,65.36459087717212
ELECTRICITY,GERMANY,7,8,65.7208515500433
ELECTRICITY,GERMANY,7,9,67.02086691170537
ELECTRICITY,GERMANY,7,10,78.31212553768248
ELECTRICITY,GERMANY,7,11,58.98506013470573
ELECTRICITY,GERMANY,7,12,78.196426173169
ELECTRICITY,GERMANY,8,1,80.6962578346634
ELECTRICITY,GERMANY,8,2,67.77859303190671
ELECTRICITY,GERMANY,8,3,68.6057787805199
ELECTRICITY,GERMANY,8,4,67.12539244857223
ELECTRICITY,GERMANY,8,5,70.87420465519226
ELECTRICITY,GERMANY,8,6,66.01946070319967
ELECTRICITY,GERMANY,8,7,65.93612038129754
ELECTRICITY,GERMANY,8,8,66.74073777205268
ELECTRICITY,GERMANY,8,9,67.59738182461902
ELECTRICITY,GERMANY,8,10,78.6949712125105
ELECTRICITY,GERMANY,8,11,61.20418321962421
ELECTRICITY,GERMANY,8,12,79.29861802308932
ELECTRICITY,GERMANY,9,1,80.57662665915703
ELECTRICITY,GERMANY,9,2,68.04998972380984
ELECTRICITY,GERMANY,9,3,68.42764844403985
ELECTRICITY,GERMANY,9,4,67.61418657314427
ELECTRICITY,GERMANY,9,5,72.39935416516879
ELECTRICITY,GERMANY,9,6,70.80710633473113
ELECTRICITY,GERMANY,9,7,67.12511236939636
ELECTRICITY,GERMANY,9,8,68.92977387071795
ELECTRICITY,GERMANY,9,9,68.40143303526493
ELECTRICITY,GERMANY,9,10,79.01731974401979
ELECTRICITY,GERMANY,9,11,62.41653380844921
ELECTRICITY,GERMANY,9,12,79.71391986961238
ELECTRICITY,GERMANY,10,1,81.32511667241177
ELECTRICITY,GERMANY,10,2,68.4502228226021
ELECTRICITY,GERMANY,10,3,68.72626882887829
