p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.44575085324431,27,1,0.0535463278979374,53.5463278979374
AMMONIA,GERMANY,1,2,0.9102875950692833,17,1,0.053546329121722545,53.54632912172254
AMMONIA,GERMANY,1,3,0.535463283720961,10,1,0.053546328372096094,53.54632837209609
AMMONIA,GERMANY,1,4,1.874121486651278,35,1,0.05354632819003652,53.54632819003652
AMMONIA,GERMANY,1,5,1.927667888424867,36,1,0.05354633023402408,53.54633023402408
AMMONIA,GERMANY,1,6,0.8031949266939231,15,1,0.05354632844626154,53.54632844626154
AMMONIA,GERMANY,1,7,2.034760748923618,38,1,0.05354633549798995,53.54633549798995
AMMONIA,GERMANY,1,8,3.052141156702674,57,1,0.05354633608250305,53.54633608250305
AMMONIA,GERMANY,1,9,1.231565733151966,23,1,0.05354633622399852,53.54633622399852
AMMONIA,GERMANY,1,10,1.392204616120218,26,1,0.05354633138923915,53.54633138923915
AMMONIA,GERMANY,1,11,1.820575225902915,34,1,0.05354633017361515,53.546330173615154
AMMONIA,GERMANY,1,12,2.516677470247002,47,1,0.05354632915419153,53.54632915419153
AMMONIA,GERMANY,2,1,1.445750853208959,27,1,0.05354632789662811,53.54632789662811
AMMONIA,GERMANY,2,2,0.9102875950294843,17,1,0.05354632911938143,53.54632911938143
AMMONIA,GERMANY,2,3,0.5354632837071313,10,1,0.053546328370713124,53.54632837071313
AMMONIA,GERMANY,2,4,1.87412148672531,35,1,0.053546328192151715,53.54632819215171
AMMONIA,GERMANY,2,5,1.927667888533249,36,1,0.053546330237034694,53.546330237034695
AMMONIA,GERMANY,2,6,0.803194926705495,15,1,0.053546328447033,53.546328447033
AMMONIA,GERMANY,2,7,2.034760748884599,38,1,0.05354633549696314,53.54633549696314
AMMONIA,GERMANY,2,8,3.052141156756514,57,1,0.05354633608344762,53.54633608344761
AMMONIA,GERMANY,2,9,1.231565733192252,23,1,0.05354633622575009,53.54633622575009
AMMONIA,GERMANY,2,10,1.392204616064135,26,1,0.05354633138708212,53.54633138708212
AMMONIA,GERMANY,2,11,1.820575225822764,34,1,0.05354633017125777,53.546330171257765
AMMONIA,GERMANY,2,12,2.516677470169499,47,1,0.05354632915254253,53.54632915254253
