j,h,td,val
AMMONIA_STORAGE,1,1,1.752307494712162e-05
AMMONIA_STORAGE,1,2,1.752284520135233e-05
AMMONIA_STORAGE,1,3,1.752297420721041e-05
AMMONIA_STORAGE,1,4,1.752283868014862e-05
AMMONIA_STORAGE,1,5,1.752302213013125e-05
AMMONIA_STORAGE,1,6,1.752286243230684e-05
AMMONIA_STORAGE,1,7,1.752283564081421e-05
AMMONIA_STORAGE,1,8,1.75228562071892e-05
AMMONIA_STORAGE,1,9,1.752282628239392e-05
AMMONIA_STORAGE,1,10,1.752308053081138e-05
AMMONIA_STORAGE,1,11,1.75228311168861e-05
AMMONIA_STORAGE,1,12,1.752301424480865e-05
AMMONIA_STORAGE,2,1,1.752307494712509e-05
AMMONIA_STORAGE,2,2,1.752284520075385e-05
AMMONIA_STORAGE,2,3,1.752297420694673e-05
AMMONIA_STORAGE,2,4,1.752283220999261e-05
AMMONIA_STORAGE,2,5,1.752302195511153e-05
AMMONIA_STORAGE,2,6,1.752286243168928e-05
AMMONIA_STORAGE,2,7,1.752283564082635e-05
AMMONIA_STORAGE,2,8,1.752285620733492e-05
AMMONIA_STORAGE,2,9,1.752282628176248e-05
AMMONIA_STORAGE,2,10,1.752308053076801e-05
AMMONIA_STORAGE,2,11,1.752283111670395e-05
AMMONIA_STORAGE,2,12,1.752301424481385e-05
AMMONIA_STORAGE,3,1,1.752307494713203e-05
AMMONIA_STORAGE,3,2,1.752284519982578e-05
AMMONIA_STORAGE,3,3,1.752297420695888e-05
AMMONIA_STORAGE,3,4,1.752283220981046e-05
AMMONIA_STORAGE,3,5,1.752302177801535e-05
AMMONIA_STORAGE,3,6,1.752286243102315e-05
AMMONIA_STORAGE,3,7,1.752283564082115e-05
AMMONIA_STORAGE,3,8,1.752286989632063e-05
AMMONIA_STORAGE,3,9,1.752282628126982e-05
AMMONIA_STORAGE,3,10,1.752308053076454e-05
AMMONIA_STORAGE,3,11,1.752283111633099e-05
AMMONIA_STORAGE,3,12,1.752301424479651e-05
AMMONIA_STORAGE,4,1,1.752307494715978e-05
AMMONIA_STORAGE,4,2,1.752284519881617e-05
AMMONIA_STORAGE,4,3,1.752297420687561e-05
AMMONIA_STORAGE,4,4,1.752283220974801e-05
AMMONIA_STORAGE,4,5,1.752302159879239e-05
AMMONIA_STORAGE,4,6,1.752286243055477e-05
AMMONIA_STORAGE,4,7,1.752283564097207e-05
AMMONIA_STORAGE,4,8,1.752286559289669e-05
AMMONIA_STORAGE,4,9,1.752282628063317e-05
AMMONIA_STORAGE,4,10,1.752308053070209e-05
AMMONIA_STORAGE,4,11,1.752283111598751e-05
AMMONIA_STORAGE,4,12,1.752301424482773e-05
AMMONIA_STORAGE,5,1,1.752307494714764e-05
AMMONIA_STORAGE,5,2,1.752284519849871e-05
AMMONIA_STORAGE,5,3,1.752297420697969e-05
AMMONIA_STORAGE,5,4,1.752283220963352e-05
AMMONIA_STORAGE,5,5,1.752301394785348e-05
AMMONIA_STORAGE,5,6,1.752286242974813e-05
AMMONIA_STORAGE,5,7,1.752283564106921e-05
AMMONIA_STORAGE,5,8,1.752286103705834e-05
AMMONIA_STORAGE,5,9,1.752282628050827e-05
AMMONIA_STORAGE,5,10,1.752308053065872e-05
AMMONIA_STORAGE,5,11,1.752283111567526e-05
AMMONIA_STORAGE,5,12,1.752301424481385e-05
AMMONIA_STORAGE,6,1,1.752307494714764e-05
AMMONIA_STORAGE,6,2,1.752284520018486e-05
AMMONIA_STORAGE,6,3,1.75229742066154e-05
AMMONIA_STORAGE,6,4,1.752283220957628e-05
AMMONIA_STORAGE,6,5,1.752301011165476e-05
AMMONIA_STORAGE,6,6,1.752286242914791e-05
AMMONIA_STORAGE,6,7,1.752283564114381e-05
AMMONIA_STORAGE,6,8,1.752285620716144e-05
AMMONIA_STORAGE,6,9,1.752282628049787e-05
AMMONIA_STORAGE,6,10,1.752308053058586e-05
AMMONIA_STORAGE,6,11,1.752283111554342e-05
AMMONIA_STORAGE,6,12,1.752301424477395e-05
AMMONIA_STORAGE,7,1,1.752307494712682e-05
AMMONIA_STORAGE,7,2,1.752284520237062e-05
AMMONIA_STORAGE,7,3,1.752297420697102e-05
AMMONIA_STORAGE,7,4,1.752283220931607e-05
AMMONIA_STORAGE,7,5,1.752302104745043e-05
AMMONIA_STORAGE,7,6,1.752286242872637e-05
AMMONIA_STORAGE,7,7,1.752283564139534e-05
AMMONIA_STORAGE,7,8,1.752285620761074e-05
AMMONIA_STORAGE,7,9,1.752282628058287e-05
AMMONIA_STORAGE,7,10,1.752308053052688e-05
AMMONIA_STORAGE,7,11,1.752283111556077e-05
AMMONIA_STORAGE,7,12,1.752301424477569e-05
AMMONIA_STORAGE,8,1,1.752307494710253e-05
AMMONIA_STORAGE,8,2,1.752284520336635e-05
AMMONIA_STORAGE,8,3,1.752297420761287e-05
AMMONIA_STORAGE,8,4,1.752283220908708e-05
AMMONIA_STORAGE,8,5,1.752301395189539e-05
AMMONIA_STORAGE,8,6,1.752297834264199e-05
AMMONIA_STORAGE,8,7,1.7522835641633e-05
AMMONIA_STORAGE,8,8,1.752292278695521e-05
AMMONIA_STORAGE,8,9,1.75228262806592e-05
AMMONIA_STORAGE,8,10,1.752308053058586e-05
