index,capacity
AMMONIA_STORAGE,0.9588660779026661
BATT_LI,92.78094066878667
CCGT,1.596337457774976e-07
CCGT_AMMONIA,1.596337203889522e-07
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,1.628705038509738e-08
DEC_ADVCOGEN_H2,1.628698338590639e-08
DEC_BOILER_GAS,5.890691717571563e-07
DEC_BOILER_OIL,5.012831145742669e-07
DEC_BOILER_WOOD,3.180462177424862e-07
DEC_COGEN_GAS,5.256519916697193e-08
DEC_COGEN_OIL,5.807906468343439e-08
DEC_DIRECT_ELEC,4.008608699778455e-06
DEC_HP_ELEC,74.31501578054623
DEC_SOLAR,2.832643520875104e-06
DEC_THHP_GAS,3.283707958724664e-07
DHN,52.47541220644518
DHN_BOILER_GAS,3.474265309402125e-07
DHN_BOILER_OIL,3.510626205968184e-07
DHN_BOILER_WOOD,3.349281657613298e-07
DHN_COGEN_BIO_HYDROLYSIS,5.081502428266959e-08
DHN_COGEN_GAS,7.672404038161249e-08
DHN_COGEN_WASTE,2.149880776708984e-07
DHN_COGEN_WET_BIOMASS,10.86890878187306
DHN_COGEN_WOOD,3.197041831071621
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,38.40946003202554
DHN_SOLAR,1.855305002574916e-07
EFFICIENCY,0.9852216748768474
GAS_STORAGE,0.3898306388960291
GEOTHERMAL,0.0
GRID,4.043946483964829
H2_STORAGE,0.0007220901277445544
HYDRO_RIVER,4.75899999738225
IND_BOILER_COAL,0.0
IND_BOILER_GAS,1.767648215310175e-06
IND_BOILER_OIL,1.865971741951279e-06
IND_BOILER_WASTE,13.06857454922795
IND_BOILER_WOOD,1.173472173120658e-06
IND_COGEN_GAS,5.722750767526758e-08
IND_COGEN_WASTE,3.197760057204565e-07
IND_COGEN_WOOD,24.82822165027251
IND_DIRECT_ELEC,23.94306943543873
LFO_STORAGE,0.9871026060421372
NUCLEAR,0.0
PHS,7.241999998141946
PV,122.4532377573358
TS_DEC_ADVCOGEN_GAS,2.922361714888724e-05
TS_DEC_ADVCOGEN_H2,2.922361635797808e-05
TS_DEC_BOILER_GAS,2.922362116642173e-05
TS_DEC_BOILER_OIL,2.922362438592991e-05
TS_DEC_BOILER_WOOD,2.998104581775841e-05
TS_DEC_COGEN_GAS,2.922361856765441e-05
TS_DEC_COGEN_OIL,2.922362016195131e-05
TS_DEC_DIRECT_ELEC,3.074296671793052e-05
TS_DEC_HP_ELEC,285.6966213143172
TS_DEC_THHP_GAS,2.922362467794028e-05
TS_DHN_DAILY,0.0003544610865239217
TS_DHN_SEASONAL,15175.14899793894
TS_HIGH_TEMP,22.01392573422721
WIND_OFFSHORE,9.827764068189213
WIND_ONSHORE,487.7559999932625
