p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,60602.09795177363,27,1,2244.522146361986,2244522.146361986
AMMONIA,GERMANY,1,2,38156.87648771811,17,1,2244.5221463363596,2244522.1463363594
AMMONIA,GERMANY,1,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,1,4,78558.2751249881,35,1,2244.5221464282313,2244522.146428231
AMMONIA,GERMANY,1,5,80802.7972710588,36,1,2244.5221464182996,2244522.1464182995
AMMONIA,GERMANY,1,6,33667.83219638853,15,1,2244.522146425902,2244522.146425902
AMMONIA,GERMANY,1,7,85291.84156250305,38,1,2244.5221463816592,2244522.1463816594
AMMONIA,GERMANY,1,8,127937.7623442857,57,1,2244.522146390977,2244522.146390977
AMMONIA,GERMANY,1,9,51624.00936698863,23,1,2244.5221463908097,2244522.1463908097
AMMONIA,GERMANY,1,10,58357.57580609142,26,1,2244.5221463881317,2244522.1463881317
AMMONIA,GERMANY,1,11,76313.75297604248,34,1,2244.5221463541907,2244522.1463541905
AMMONIA,GERMANY,1,12,105492.5408780754,47,1,2244.52214634203,2244522.14634203
AMMONIA,GERMANY,2,1,60602.09795177321,27,1,2244.522146361971,2244522.146361971
AMMONIA,GERMANY,2,2,38156.87648771785,17,1,2244.522146336344,2244522.146336344
AMMONIA,GERMANY,2,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,2,4,78558.27512498757,35,1,2244.5221464282163,2244522.1464282162
AMMONIA,GERMANY,2,5,80802.79727105824,36,1,2244.5221464182846,2244522.1464182846
AMMONIA,GERMANY,2,6,33667.8321963883,15,1,2244.5221464258866,2244522.1464258865
AMMONIA,GERMANY,2,7,85291.84156250246,38,1,2244.522146381644,2244522.1463816436
AMMONIA,GERMANY,2,8,127937.7623442848,57,1,2244.5221463909616,2244522.1463909615
AMMONIA,GERMANY,2,9,51624.00936698828,23,1,2244.5221463907947,2244522.146390795
AMMONIA,GERMANY,2,10,58357.57580609103,26,1,2244.5221463881167,2244522.1463881168
AMMONIA,GERMANY,2,11,76313.75297604196,34,1,2244.522146354175,2244522.146354175
AMMONIA,GERMANY,2,12,105492.5408780747,47,1,2244.522146342015,2244522.146342015
AMMONIA,GERMANY,3,1,60602.0979517728,27,1,2244.5221463619555,2244522.1463619554
AMMONIA,GERMANY,3,2,38156.87648771759,17,1,2244.522146336329,2244522.146336329
AMMONIA,GERMANY,3,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,3,4,78558.27512498703,35,1,2244.522146428201,2244522.146428201
AMMONIA,GERMANY,3,5,80802.79727105769,36,1,2244.522146418269,2244522.1464182693
AMMONIA,GERMANY,3,6,33667.83219638807,15,1,2244.5221464258716,2244522.1464258716
AMMONIA,GERMANY,3,7,85291.84156250188,38,1,2244.5221463816283,2244522.1463816282
AMMONIA,GERMANY,3,8,127937.7623442839,57,1,2244.5221463909456,2244522.1463909457
AMMONIA,GERMANY,3,9,51624.00936698794,23,1,2244.52214639078,2244522.14639078
AMMONIA,GERMANY,3,10,58357.57580609063,26,1,2244.522146388101,2244522.1463881014
AMMONIA,GERMANY,3,11,76313.75297604143,34,1,2244.5221463541598,2244522.14635416
AMMONIA,GERMANY,3,12,105492.540878074,47,1,2244.522146342,2244522.146342
AMMONIA,GERMANY,4,1,60602.0979517724,27,1,2244.5221463619405,2244522.1463619405
AMMONIA,GERMANY,4,2,38156.87648771733,17,1,2244.5221463363137,2244522.146336314
AMMONIA,GERMANY,4,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,4,4,78558.2751249865,35,1,2244.522146428186,2244522.146428186
AMMONIA,GERMANY,4,5,80802.79727105713,36,1,2244.5221464182537,2244522.146418254
AMMONIA,GERMANY,4,6,33667.83219638784,15,1,2244.522146425856,2244522.1464258563
AMMONIA,GERMANY,4,7,85291.8415625013,38,1,2244.5221463816133,2244522.1463816133
AMMONIA,GERMANY,4,8,127937.762344283,57,1,2244.5221463909297,2244522.14639093
AMMONIA,GERMANY,4,9,51624.00936698759,23,1,2244.522146390765,2244522.146390765
AMMONIA,GERMANY,4,10,58357.57580609023,26,1,2244.5221463880857,2244522.1463880856
AMMONIA,GERMANY,4,11,76313.75297604092,34,1,2244.5221463541448,2244522.146354145
AMMONIA,GERMANY,4,12,105492.5408780733,47,1,2244.5221463419853,2244522.146341985
AMMONIA,GERMANY,5,1,60602.09795177198,27,1,2244.5221463619255,2244522.1463619256
AMMONIA,GERMANY,5,2,38156.87648771707,17,1,2244.522146336298,2244522.146336298
AMMONIA,GERMANY,5,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,5,4,78558.27512498596,35,1,2244.5221464281703,2244522.14642817
AMMONIA,GERMANY,5,5,80802.79727105658,36,1,2244.522146418238,2244522.146418238
AMMONIA,GERMANY,5,6,33667.83219638761,15,1,2244.5221464258407,2244522.1464258404
AMMONIA,GERMANY,5,7,85291.84156250072,38,1,2244.522146381598,2244522.146381598
AMMONIA,GERMANY,5,8,127937.7623442822,57,1,2244.5221463909156,2244522.146390916
AMMONIA,GERMANY,5,9,51624.00936698723,23,1,2244.522146390749,2244522.146390749
AMMONIA,GERMANY,5,10,58357.57580608984,26,1,2244.5221463880707,2244522.1463880707
AMMONIA,GERMANY,5,11,76313.75297604038,34,1,2244.522146354129,2244522.1463541286
AMMONIA,GERMANY,5,12,105492.5408780726,47,1,2244.5221463419703,2244522.14634197
AMMONIA,GERMANY,6,1,60602.09795177156,27,1,2244.5221463619096,2244522.1463619093
AMMONIA,GERMANY,6,2,38156.87648771681,17,1,2244.5221463362827,2244522.1463362826
AMMONIA,GERMANY,6,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,6,4,78558.27512498542,35,1,2244.522146428155,2244522.146428155
AMMONIA,GERMANY,6,5,80802.79727105603,36,1,2244.522146418223,2244522.146418223
AMMONIA,GERMANY,6,6,33667.83219638738,15,1,2244.5221464258257,2244522.1464258255
AMMONIA,GERMANY,6,7,85291.84156250014,38,1,2244.5221463815824,2244522.1463815826
AMMONIA,GERMANY,6,8,127937.7623442813,57,1,2244.5221463909,2244522.1463909
AMMONIA,GERMANY,6,9,51624.00936698687,23,1,2244.5221463907337,2244522.146390734
AMMONIA,GERMANY,6,10,58357.57580608944,26,1,2244.5221463880553,2244522.1463880553
AMMONIA,GERMANY,6,11,76313.75297603988,34,1,2244.522146354114,2244522.1463541137
AMMONIA,GERMANY,6,12,105492.5408780718,47,1,2244.522146341953,2244522.146341953
AMMONIA,GERMANY,7,1,60602.09795177115,27,1,2244.5221463618946,2244522.1463618944
AMMONIA,GERMANY,7,2,38156.87648771655,17,1,2244.5221463362677,2244522.1463362677
AMMONIA,GERMANY,7,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,7,4,78558.27512498488,35,1,2244.5221464281394,2244522.1464281394
AMMONIA,GERMANY,7,5,80802.79727105549,36,1,2244.522146418208,2244522.1464182083
AMMONIA,GERMANY,7,6,33667.83219638715,15,1,2244.5221464258098,2244522.1464258097
AMMONIA,GERMANY,7,7,85291.84156249955,38,1,2244.5221463815674,2244522.146381567
AMMONIA,GERMANY,7,8,127937.7623442804,57,1,2244.5221463908842,2244522.146390884
AMMONIA,GERMANY,7,9,51624.00936698652,23,1,2244.5221463907183,2244522.1463907184
AMMONIA,GERMANY,7,10,58357.57580608904,26,1,2244.52214638804,2244522.14638804
AMMONIA,GERMANY,7,11,76313.75297603937,34,1,2244.522146354099,2244522.146354099
AMMONIA,GERMANY,7,12,105492.5408780711,47,1,2244.5221463419384,2244522.1463419385
AMMONIA,GERMANY,8,1,60602.09795177074,27,1,2244.522146361879,2244522.146361879
AMMONIA,GERMANY,8,2,38156.87648771629,17,1,2244.5221463362523,2244522.1463362523
AMMONIA,GERMANY,8,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,8,4,78558.27512498436,35,1,2244.5221464281244,2244522.1464281245
AMMONIA,GERMANY,8,5,80802.79727105494,36,1,2244.5221464181927,2244522.146418193
AMMONIA,GERMANY,8,6,33667.83219638692,15,1,2244.5221464257943,2244522.1464257943
AMMONIA,GERMANY,8,7,85291.84156249897,38,1,2244.522146381552,2244522.146381552
AMMONIA,GERMANY,8,8,127937.7623442796,57,1,2244.52214639087,2244522.14639087
AMMONIA,GERMANY,8,9,51624.00936698617,23,1,2244.522146390703,2244522.1463907026
AMMONIA,GERMANY,8,10,58357.57580608864,26,1,2244.5221463880243,2244522.1463880246
AMMONIA,GERMANY,8,11,76313.75297603883,34,1,2244.5221463540834,2244522.1463540834
AMMONIA,GERMANY,8,12,105492.5408780704,47,1,2244.5221463419234,2244522.1463419236
AMMONIA,GERMANY,9,1,60602.09795177032,27,1,2244.5221463618636,2244522.1463618637
AMMONIA,GERMANY,9,2,38156.87648771603,17,1,2244.522146336237,2244522.146336237
AMMONIA,GERMANY,9,3,22445.22146967713,10,1,2244.522146967713,2244522.1469677133
AMMONIA,GERMANY,9,4,78558.27512498382,35,1,2244.522146428109,2244522.146428109
AMMONIA,GERMANY,9,5,80802.79727105438,36,1,2244.5221464181773,2244522.146418177
