k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.16806487409276005
1,ELECTRICITY,GERMANY,1,2,0.16903514985637497
1,ELECTRICITY,GERMANY,1,3,0.16926181349957695
1,ELECTRICITY,GERMANY,1,4,0.17693654301444164
1,ELECTRICITY,GERMANY,1,5,0.1787769411125713
1,ELECTRICITY,GERMANY,1,6,0.18307978088547522
1,ELECTRICITY,GERMANY,1,7,0.18169745164738735
1,ELECTRICITY,GERMANY,1,8,0.18188299783662337
1,ELECTRICITY,GERMANY,1,9,0.178046361726565
1,ELECTRICITY,GERMANY,1,10,0.17712594539961557
1,ELECTRICITY,GERMANY,1,11,0.17824142645164257
1,ELECTRICITY,GERMANY,1,12,0.1742539081671942
1,ELECTRICITY,GERMANY,2,1,0.16946740713501987
1,ELECTRICITY,GERMANY,2,2,0.17080241247353903
1,ELECTRICITY,GERMANY,2,3,0.17037703872719906
1,ELECTRICITY,GERMANY,2,4,0.17669548482265185
1,ELECTRICITY,GERMANY,2,5,0.17862764314961488
1,ELECTRICITY,GERMANY,2,6,0.18198886048745722
1,ELECTRICITY,GERMANY,2,7,0.1815194397932826
1,ELECTRICITY,GERMANY,2,8,0.18176111195321573
1,ELECTRICITY,GERMANY,2,9,0.17795861864839402
1,ELECTRICITY,GERMANY,2,10,0.176664297174546
1,ELECTRICITY,GERMANY,2,11,0.17963768642604108
1,ELECTRICITY,GERMANY,2,12,0.1752241306160034
1,ELECTRICITY,GERMANY,3,1,0.16948674614210135
1,ELECTRICITY,GERMANY,3,2,0.17163828634354003
1,ELECTRICITY,GERMANY,3,3,0.16997809187477325
1,ELECTRICITY,GERMANY,3,4,0.1752546450347422
1,ELECTRICITY,GERMANY,3,5,0.17663955828644168
1,ELECTRICITY,GERMANY,3,6,0.18051312953617465
1,ELECTRICITY,GERMANY,3,7,0.179638912979473
1,ELECTRICITY,GERMANY,3,8,0.18087834836557598
1,ELECTRICITY,GERMANY,3,9,0.17687961439027572
1,ELECTRICITY,GERMANY,3,10,0.1748416861054643
1,ELECTRICITY,GERMANY,3,11,0.18013986719368974
1,ELECTRICITY,GERMANY,3,12,0.17485729050798562
1,ELECTRICITY,GERMANY,4,1,0.16892289770524085
1,ELECTRICITY,GERMANY,4,2,0.1715358114298862
1,ELECTRICITY,GERMANY,4,3,0.16940723491929932
1,ELECTRICITY,GERMANY,4,4,0.17117723575371271
1,ELECTRICITY,GERMANY,4,5,0.1722017593867931
1,ELECTRICITY,GERMANY,4,6,0.17604604542622934
1,ELECTRICITY,GERMANY,4,7,0.17575908468673293
1,ELECTRICITY,GERMANY,4,8,0.17536027691993425
1,ELECTRICITY,GERMANY,4,9,0.17139213723718158
1,ELECTRICITY,GERMANY,4,10,0.1711976035583222
