ct,n,h,td,d_ref
ELECTRICITY,GERMANY,1,1,64.66370467986337
ELECTRICITY,GERMANY,1,2,64.29252965804254
ELECTRICITY,GERMANY,1,3,64.20643357587456
ELECTRICITY,GERMANY,1,4,61.42144070547161
ELECTRICITY,GERMANY,1,5,60.78914494095488
ELECTRICITY,GERMANY,1,6,59.36044566379997
ELECTRICITY,GERMANY,1,7,59.81205177540488
ELECTRICITY,GERMANY,1,8,59.751035086603174
ELECTRICITY,GERMANY,1,9,61.03858163685896
ELECTRICITY,GERMANY,1,10,61.35576220002065
ELECTRICITY,GERMANY,1,11,60.97178193499867
ELECTRICITY,GERMANY,1,12,62.3670223508861
ELECTRICITY,GERMANY,2,1,64.12853993059578
ELECTRICITY,GERMANY,2,2,63.62730612529431
ELECTRICITY,GERMANY,2,3,63.78616195339315
ELECTRICITY,GERMANY,2,4,61.505235384483626
ELECTRICITY,GERMANY,2,5,60.83995284139808
ELECTRICITY,GERMANY,2,6,59.71627799791439
ELECTRICITY,GERMANY,2,7,59.8707080507133
ELECTRICITY,GERMANY,2,8,59.79110310565188
ELECTRICITY,GERMANY,2,9,61.06867690889849
ELECTRICITY,GERMANY,2,10,61.516093286552795
ELECTRICITY,GERMANY,2,11,60.49786991588211
ELECTRICITY,GERMANY,2,12,62.02169385681685
ELECTRICITY,GERMANY,3,1,64.12122264876655
ELECTRICITY,GERMANY,3,2,63.31744284396184
ELECTRICITY,GERMANY,3,3,63.93587117920547
ELECTRICITY,GERMANY,3,4,62.01089496508502
ELECTRICITY,GERMANY,3,5,61.52470879580333
ELECTRICITY,GERMANY,3,6,60.20447051866539
ELECTRICITY,GERMANY,3,7,60.49745684352079
ELECTRICITY,GERMANY,3,8,60.08290922376063
ELECTRICITY,GERMANY,3,9,61.44120916847797
ELECTRICITY,GERMANY,3,10,62.15735862234406
ELECTRICITY,GERMANY,3,11,60.3292183717861
ELECTRICITY,GERMANY,3,12,62.15181165063481
ELECTRICITY,GERMANY,4,1,64.3352531422712
ELECTRICITY,GERMANY,4,2,63.355268470191916
ELECTRICITY,GERMANY,4,3,64.15131792080608
ELECTRICITY,GERMANY,4,4,63.48798271885249
ELECTRICITY,GERMANY,4,5,63.110257549587764
ELECTRICITY,GERMANY,4,6,61.73213013152673
ELECTRICITY,GERMANY,4,7,61.832919787690486
ELECTRICITY,GERMANY,4,8,61.97354142155361
ELECTRICITY,GERMANY,4,9,63.40837777379108
ELECTRICITY,GERMANY,4,10,63.48042939567395
ELECTRICITY,GERMANY,4,11,60.165936768387326
ELECTRICITY,GERMANY,4,12,62.67275490860529
ELECTRICITY,GERMANY,5,1,65.46760250534275
ELECTRICITY,GERMANY,5,2,64.30391865314769
ELECTRICITY,GERMANY,5,3,65.59671712342606
ELECTRICITY,GERMANY,5,4,66.95124040655412
ELECTRICITY,GERMANY,5,5,66.20322537052854
ELECTRICITY,GERMANY,5,6,65.08279609559813
ELECTRICITY,GERMANY,5,7,65.04384927295874
ELECTRICITY,GERMANY,5,8,65.35294541990588
ELECTRICITY,GERMANY,5,9,66.66161767092667
ELECTRICITY,GERMANY,5,10,67.20769933260075
ELECTRICITY,GERMANY,5,11,60.061016388610305
ELECTRICITY,GERMANY,5,12,64.17344679730574
ELECTRICITY,GERMANY,6,1,68.7018410738573
ELECTRICITY,GERMANY,6,2,67.52169333754651
ELECTRICITY,GERMANY,6,3,69.13391476380518
ELECTRICITY,GERMANY,6,4,69.09048315552853
ELECTRICITY,GERMANY,6,5,68.81177733230757
ELECTRICITY,GERMANY,6,6,67.6063731716185
