j,h,td,val
AMMONIA_STORAGE,1,1,7.2749918849771e-05
AMMONIA_STORAGE,1,2,7.27507794466356e-05
AMMONIA_STORAGE,1,3,7.275040400936406e-05
AMMONIA_STORAGE,1,4,7.275076763538571e-05
AMMONIA_STORAGE,1,5,7.275014782979691e-05
AMMONIA_STORAGE,1,6,7.275073526862713e-05
AMMONIA_STORAGE,1,7,7.275075256150954e-05
AMMONIA_STORAGE,1,8,7.275067175411404e-05
AMMONIA_STORAGE,1,9,7.275081425191926e-05
AMMONIA_STORAGE,1,10,7.274989973130377e-05
AMMONIA_STORAGE,1,11,7.275077269188607e-05
AMMONIA_STORAGE,1,12,7.275012665750036e-05
AMMONIA_STORAGE,2,1,7.274991884964957e-05
AMMONIA_STORAGE,2,2,7.275077944774583e-05
AMMONIA_STORAGE,2,3,7.27504040100857e-05
AMMONIA_STORAGE,2,4,7.275076763960109e-05
AMMONIA_STORAGE,2,5,7.275014908143806e-05
AMMONIA_STORAGE,2,6,7.275073526532769e-05
AMMONIA_STORAGE,2,7,7.275075256174893e-05
AMMONIA_STORAGE,2,8,7.275067175235156e-05
AMMONIA_STORAGE,2,9,7.275081425305724e-05
AMMONIA_STORAGE,2,10,7.27498997311303e-05
AMMONIA_STORAGE,2,11,7.27507726916779e-05
AMMONIA_STORAGE,2,12,7.275012665818384e-05
AMMONIA_STORAGE,3,1,7.274991884971896e-05
AMMONIA_STORAGE,3,2,7.2750779449203e-05
AMMONIA_STORAGE,3,3,7.275040401100163e-05
AMMONIA_STORAGE,3,4,7.275076764071478e-05
AMMONIA_STORAGE,3,5,7.27501588031268e-05
AMMONIA_STORAGE,3,6,7.275073526073761e-05
AMMONIA_STORAGE,3,7,7.27507525618322e-05
AMMONIA_STORAGE,3,8,7.27506717437057e-05
AMMONIA_STORAGE,3,9,7.275081425403909e-05
AMMONIA_STORAGE,3,10,7.274989973115459e-05
AMMONIA_STORAGE,3,11,7.275077269157035e-05
AMMONIA_STORAGE,3,12,7.27501266582116e-05
AMMONIA_STORAGE,4,1,7.274991884978141e-05
AMMONIA_STORAGE,4,2,7.275077945033057e-05
AMMONIA_STORAGE,4,3,7.275040401107102e-05
AMMONIA_STORAGE,4,4,7.275076764139479e-05
AMMONIA_STORAGE,4,5,7.275015880369579e-05
AMMONIA_STORAGE,4,6,7.275073525719183e-05
AMMONIA_STORAGE,4,7,7.275075256197791e-05
AMMONIA_STORAGE,4,8,7.275051723854356e-05
AMMONIA_STORAGE,4,9,7.275081425518748e-05
AMMONIA_STORAGE,4,10,7.27498997313697e-05
AMMONIA_STORAGE,4,11,7.275077269182709e-05
AMMONIA_STORAGE,4,12,7.275012665811792e-05
AMMONIA_STORAGE,5,1,7.274991884976059e-05
