p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.520913827482952
AMMONIA,GERMANY,1,2,0.9576124047403972
AMMONIA,GERMANY,1,3,0.563301421659955
AMMONIA,GERMANY,1,4,1.971555101882349
AMMONIA,GERMANY,1,5,2.027885271741005
AMMONIA,GERMANY,1,6,0.8449521904936302
AMMONIA,GERMANY,1,7,2.140545545454927
AMMONIA,GERMANY,1,8,3.210818354521089
AMMONIA,GERMANY,1,9,1.295593372717509
AMMONIA,GERMANY,1,10,1.464583743262813
AMMONIA,GERMANY,1,11,1.915224836150487
AMMONIA,GERMANY,1,12,2.647516662706086
AMMONIA,GERMANY,2,1,1.520913827502653
AMMONIA,GERMANY,2,2,0.9576124047215426
AMMONIA,GERMANY,2,3,0.5633014216831582
AMMONIA,GERMANY,2,4,1.971555101944342
AMMONIA,GERMANY,2,5,2.027885271775068
AMMONIA,GERMANY,2,6,0.8449521905182766
AMMONIA,GERMANY,2,7,2.140545545403085
AMMONIA,GERMANY,2,8,3.210818354492664
AMMONIA,GERMANY,2,9,1.295593372698031
AMMONIA,GERMANY,2,10,1.464583743265083
AMMONIA,GERMANY,2,11,1.915224836111446
AMMONIA,GERMANY,2,12,2.647516662680095
AMMONIA,GERMANY,3,1,1.520913827522366
AMMONIA,GERMANY,3,2,0.9576124046986738
AMMONIA,GERMANY,3,3,0.5633014217054336
AMMONIA,GERMANY,3,4,1.971555102006886
AMMONIA,GERMANY,3,5,2.02788527180931
AMMONIA,GERMANY,3,6,0.8449521905454632
AMMONIA,GERMANY,3,7,2.140545545354037
AMMONIA,GERMANY,3,8,3.210818354463377
AMMONIA,GERMANY,3,9,1.29559337268058
AMMONIA,GERMANY,3,10,1.464583743267402
AMMONIA,GERMANY,3,11,1.915224836073776
AMMONIA,GERMANY,3,12,2.647516662653983
AMMONIA,GERMANY,4,1,1.520913827542107
AMMONIA,GERMANY,4,2,0.9576124046753575
AMMONIA,GERMANY,4,3,0.5633014217319164
