pt,n,h,td,val
CCGT,GERMANY,1,1,3.555312830537207e-11
CCGT,GERMANY,1,2,3.917784607518929e-09
CCGT,GERMANY,1,3,3.71253678032848e-09
CCGT,GERMANY,1,4,4.089438802153864e-09
CCGT,GERMANY,1,5,4.311764210931013e-11
CCGT,GERMANY,1,6,3.876306401510028e-09
CCGT,GERMANY,1,7,4.103084908016627e-09
CCGT,GERMANY,1,8,4.156811160550044e-09
CCGT,GERMANY,1,9,4.002842057072043e-09
CCGT,GERMANY,1,10,3.690862985827493e-11
CCGT,GERMANY,1,11,4.084344539109421e-09
CCGT,GERMANY,1,12,2.052288338072961e-11
CCGT,GERMANY,2,1,3.555308112985884e-11
CCGT,GERMANY,2,2,3.917789696771974e-09
CCGT,GERMANY,2,3,3.712545084742409e-09
CCGT,GERMANY,2,4,4.089420486124748e-09
CCGT,GERMANY,2,5,4.333809789152922e-11
CCGT,GERMANY,2,6,3.876311513386899e-09
CCGT,GERMANY,2,7,4.103086304733723e-09
CCGT,GERMANY,2,8,4.156760025731754e-09
CCGT,GERMANY,2,9,4.002844088401046e-09
CCGT,GERMANY,2,10,3.690861637598203e-11
CCGT,GERMANY,2,11,4.084343795126502e-09
CCGT,GERMANY,2,12,2.052250717976788e-11
CCGT,GERMANY,3,1,3.555303079333445e-11
CCGT,GERMANY,3,2,3.917794064648985e-09
CCGT,GERMANY,3,3,3.712553004854526e-09
CCGT,GERMANY,3,4,4.089411632859303e-09
CCGT,GERMANY,3,5,4.35630577196506e-11
CCGT,GERMANY,3,6,3.876316817960377e-09
CCGT,GERMANY,3,7,4.103087160306456e-09
CCGT,GERMANY,3,8,4.156753704804713e-09
CCGT,GERMANY,3,9,4.002846188972875e-09
CCGT,GERMANY,3,10,3.69086006939578e-11
CCGT,GERMANY,3,11,4.084342904723351e-09
CCGT,GERMANY,3,12,2.052240283585368e-11
CCGT,GERMANY,4,1,3.555297660588065e-11
CCGT,GERMANY,4,2,3.917798017752174e-09
CCGT,GERMANY,4,3,3.712560344158268e-09
CCGT,GERMANY,4,4,4.08940490641185e-09
CCGT,GERMANY,4,5,4.549812299675231e-11
CCGT,GERMANY,4,6,3.876322138388618e-09
CCGT,GERMANY,4,7,4.103087823442198e-09
CCGT,GERMANY,4,8,4.156702800516181e-09
CCGT,GERMANY,4,9,4.002848817946727e-09
CCGT,GERMANY,4,10,3.690858712308047e-11
CCGT,GERMANY,4,11,4.084341843329234e-09
CCGT,GERMANY,4,12,2.052229862601553e-11
CCGT,GERMANY,5,1,3.555292026486543e-11
CCGT,GERMANY,5,2,3.917801818402137e-09
CCGT,GERMANY,5,3,3.712567665131794e-09
CCGT,GERMANY,5,4,4.089399378427079e-09
CCGT,GERMANY,5,5,4.550381167669646e-11
CCGT,GERMANY,5,6,3.876327848928471e-09
CCGT,GERMANY,5,7,4.103088706381719e-09
CCGT,GERMANY,5,8,4.156775461199176e-09
CCGT,GERMANY,5,9,4.002851536273237e-09
CCGT,GERMANY,5,10,3.690857454673562e-11
CCGT,GERMANY,5,11,4.084340679466154e-09
CCGT,GERMANY,5,12,2.052219603652824e-11
CCGT,GERMANY,6,1,3.555286757055204e-11
CCGT,GERMANY,6,2,3.917805831719627e-09
CCGT,GERMANY,6,3,3.712574658909198e-09
CCGT,GERMANY,6,4,4.089396727759444e-09
CCGT,GERMANY,6,5,4.550693348326785e-11
CCGT,GERMANY,6,6,3.876334444356444e-09
CCGT,GERMANY,6,7,4.10308955853498e-09
CCGT,GERMANY,6,8,4.156747818978592e-09
CCGT,GERMANY,6,9,4.002854082970966e-09
CCGT,GERMANY,6,10,3.690856024134507e-11
CCGT,GERMANY,6,11,4.08433972874621e-09
CCGT,GERMANY,6,12,2.052209043339038e-11
CCGT,GERMANY,7,1,3.555281749947653e-11
CCGT,GERMANY,7,2,3.917809767834299e-09
CCGT,GERMANY,7,3,3.712581791347589e-09
CCGT,GERMANY,7,4,4.089414446906042e-09
CCGT,GERMANY,7,5,4.55047180729552e-11
CCGT,GERMANY,7,6,3.876341982763327e-09
CCGT,GERMANY,7,7,4.103089489448432e-09
CCGT,GERMANY,7,8,4.156697614569666e-09
CCGT,GERMANY,7,9,4.00285721559569e-09
CCGT,GERMANY,7,10,3.690854652821914e-11
CCGT,GERMANY,7,11,4.084338944424194e-09
CCGT,GERMANY,7,12,2.05219833640848e-11
CCGT,GERMANY,8,1,3.55527682144112e-11
CCGT,GERMANY,8,2,3.917813757754198e-09
CCGT,GERMANY,8,3,3.712588188990828e-09
CCGT,GERMANY,8,4,4.08948757943467e-09
CCGT,GERMANY,8,5,4.550720578126551e-11
CCGT,GERMANY,8,6,3.709159141677634e-09
CCGT,GERMANY,8,7,4.103089628516419e-09
CCGT,GERMANY,8,8,4.155199038886548e-09
CCGT,GERMANY,8,9,4.002859326448381e-09
CCGT,GERMANY,8,10,3.690852926965152e-11
CCGT,GERMANY,8,11,4.084338265182121e-09
CCGT,GERMANY,8,12,2.052187459613736e-11
CCGT,GERMANY,9,1,3.555271956376693e-11
CCGT,GERMANY,9,2,3.917817943505573e-09
CCGT,GERMANY,9,3,3.712592763358378e-09
CCGT,GERMANY,9,4,4.089429436809146e-09
CCGT,GERMANY,9,5,4.50030630625251e-11
CCGT,GERMANY,9,6,1.017582312381869e-10
CCGT,GERMANY,9,7,4.103084791284052e-09
CCGT,GERMANY,9,8,2.740023903345472e-11
CCGT,GERMANY,9,9,4.002861838600719e-09
CCGT,GERMANY,9,10,3.690850749559428e-11
CCGT,GERMANY,9,11,4.084337479316387e-09
CCGT,GERMANY,9,12,2.052173477614406e-11
CCGT,GERMANY,10,1,3.555267061952979e-11
CCGT,GERMANY,10,2,3.917821631455685e-09
CCGT,GERMANY,10,3,3.71259901486641e-09
CCGT,GERMANY,10,4,4.089097358733527e-09
CCGT,GERMANY,10,5,4.311780144016474e-11
CCGT,GERMANY,10,6,1.017507933462682e-10
CCGT,GERMANY,10,7,4.103086884087742e-09
CCGT,GERMANY,10,8,2.738402038140024e-11
CCGT,GERMANY,10,9,4.00286510285394e-09
CCGT,GERMANY,10,10,3.690848648268878e-11
CCGT,GERMANY,10,11,4.084336549004855e-09
CCGT,GERMANY,10,12,2.052163266362566e-11
CCGT,GERMANY,11,1,3.555262337989352e-11
CCGT,GERMANY,11,2,3.917825425461099e-09
CCGT,GERMANY,11,3,3.712605823268112e-09
CCGT,GERMANY,11,4,4.089033094761406e-09
CCGT,GERMANY,11,5,4.311768229707948e-11
CCGT,GERMANY,11,6,1.0175371455092e-10
CCGT,GERMANY,11,7,4.103090839232703e-09
CCGT,GERMANY,11,8,2.738374198171803e-11
CCGT,GERMANY,11,9,4.002868706416277e-09
CCGT,GERMANY,11,10,3.690848957991108e-11
CCGT,GERMANY,11,11,4.084335567848899e-09
CCGT,GERMANY,11,12,2.052153093149454e-11
CCGT,GERMANY,12,1,3.555257406351444e-11
CCGT,GERMANY,12,2,3.917829395827242e-09
CCGT,GERMANY,12,3,3.712612472782951e-09
CCGT,GERMANY,12,4,4.089096799847212e-09
CCGT,GERMANY,12,5,2.674207377770591e-11
CCGT,GERMANY,12,6,1.017546889116201e-10
CCGT,GERMANY,12,7,4.103089122673001e-09
CCGT,GERMANY,12,8,2.738351518104958e-11
CCGT,GERMANY,12,9,4.002872520820361e-09
CCGT,GERMANY,12,10,3.690846843702573e-11
CCGT,GERMANY,12,11,4.084334250040969e-09
CCGT,GERMANY,12,12,2.052140706528739e-11
CCGT,GERMANY,13,1,3.555252437000717e-11
CCGT,GERMANY,13,2,3.917833565155495e-09
CCGT,GERMANY,13,3,3.712618967053167e-09
CCGT,GERMANY,13,4,4.046991660676147e-09
CCGT,GERMANY,13,5,2.674112384918477e-11
CCGT,GERMANY,13,6,1.017537467961541e-10
