j,h,td,val
AMMONIA_STORAGE,1,1,4.602998916133656e-06
AMMONIA_STORAGE,1,2,4.602942993714616e-06
AMMONIA_STORAGE,1,3,4.602972567310359e-06
AMMONIA_STORAGE,1,4,4.602940864338947e-06
AMMONIA_STORAGE,1,5,4.602984387510993e-06
AMMONIA_STORAGE,1,6,4.602946801093941e-06
AMMONIA_STORAGE,1,7,4.602941705103905e-06
AMMONIA_STORAGE,1,8,4.602946562127976e-06
AMMONIA_STORAGE,1,9,4.602939069167297e-06
AMMONIA_STORAGE,1,10,4.603000291539087e-06
AMMONIA_STORAGE,1,11,4.60294059197652e-06
AMMONIA_STORAGE,1,12,4.602983956892345e-06
AMMONIA_STORAGE,2,1,4.60299891613539e-06
AMMONIA_STORAGE,2,2,4.602942993444433e-06
AMMONIA_STORAGE,2,3,4.602972567396228e-06
AMMONIA_STORAGE,2,4,4.602940863871439e-06
AMMONIA_STORAGE,2,5,4.602984324763009e-06
AMMONIA_STORAGE,2,6,4.602946801368895e-06
AMMONIA_STORAGE,2,7,4.602941705166789e-06
AMMONIA_STORAGE,2,8,4.602946562385149e-06
AMMONIA_STORAGE,2,9,4.602939069198956e-06
AMMONIA_STORAGE,2,10,4.603000291539087e-06
AMMONIA_STORAGE,2,11,4.602940591987362e-06
AMMONIA_STORAGE,2,12,4.602983956996428e-06
AMMONIA_STORAGE,3,1,4.602998916135824e-06
AMMONIA_STORAGE,3,2,4.602942993217618e-06
AMMONIA_STORAGE,3,3,4.602972567538475e-06
AMMONIA_STORAGE,3,4,4.602940863707508e-06
AMMONIA_STORAGE,3,5,4.602984260995008e-06
AMMONIA_STORAGE,3,6,4.602946801788264e-06
AMMONIA_STORAGE,3,7,4.602941705170258e-06
AMMONIA_STORAGE,3,8,4.602946562778931e-06
AMMONIA_STORAGE,3,9,4.602939069267044e-06
AMMONIA_STORAGE,3,10,4.603000291543424e-06
AMMONIA_STORAGE,3,11,4.602940592016418e-06
AMMONIA_STORAGE,3,12,4.602983956995127e-06
AMMONIA_STORAGE,4,1,4.602998916142329e-06
AMMONIA_STORAGE,4,2,4.602942993097488e-06
AMMONIA_STORAGE,4,3,4.602972567367605e-06
AMMONIA_STORAGE,4,4,4.602940863628145e-06
AMMONIA_STORAGE,4,5,4.6029837256884e-06
AMMONIA_STORAGE,4,6,4.602946802135209e-06
AMMONIA_STORAGE,4,7,4.602941705177197e-06
AMMONIA_STORAGE,4,8,4.60294656410903e-06
AMMONIA_STORAGE,4,9,4.602939069284825e-06
AMMONIA_STORAGE,4,10,4.603000291544292e-06
AMMONIA_STORAGE,4,11,4.602940592012949e-06
AMMONIA_STORAGE,4,12,4.602983957001632e-06
AMMONIA_STORAGE,5,1,4.602998916134957e-06
AMMONIA_STORAGE,5,2,4.602942993053253e-06
AMMONIA_STORAGE,5,3,4.602972567259184e-06
AMMONIA_STORAGE,5,4,4.602940863524928e-06
AMMONIA_STORAGE,5,5,4.602983724376949e-06
AMMONIA_STORAGE,5,6,4.602946802545471e-06
AMMONIA_STORAGE,5,7,4.6029417051811e-06
AMMONIA_STORAGE,5,8,4.602946562682654e-06
AMMONIA_STORAGE,5,9,4.602939069295233e-06
AMMONIA_STORAGE,5,10,4.603000291539087e-06
