j,n,h,td,val
BATT_LI,GERMANY,1,1,2.436615137805183e-09
BATT_LI,GERMANY,1,2,2.412141069382656e-09
BATT_LI,GERMANY,1,3,2.422688346093746e-09
BATT_LI,GERMANY,1,4,2.375728499421862e-09
BATT_LI,GERMANY,1,5,2.528448813106993e-09
BATT_LI,GERMANY,1,6,2.273793792204162e-09
BATT_LI,GERMANY,1,7,2.363955862457817e-09
BATT_LI,GERMANY,1,8,2.182599110318248e-09
BATT_LI,GERMANY,1,9,2.403064816369791e-09
BATT_LI,GERMANY,1,10,2.436615911266966e-09
BATT_LI,GERMANY,1,11,2.387116132612779e-09
BATT_LI,GERMANY,1,12,2.455195835240313e-09
BATT_LI,GERMANY,2,1,2.537801079725056e-09
BATT_LI,GERMANY,2,2,2.499907865024095e-09
BATT_LI,GERMANY,2,3,2.516425158701523e-09
BATT_LI,GERMANY,2,4,2.436767540695686e-09
BATT_LI,GERMANY,2,5,2.701228298439987e-09
BATT_LI,GERMANY,2,6,2.20910833171966e-09
BATT_LI,GERMANY,2,7,2.41438274452422e-09
BATT_LI,GERMANY,2,8,2.051148921126285e-09
BATT_LI,GERMANY,2,9,2.485475329880278e-09
BATT_LI,GERMANY,2,10,2.53780221752832e-09
BATT_LI,GERMANY,2,11,2.459477182432096e-09
BATT_LI,GERMANY,2,12,2.577660159203703e-09
BATT_LI,GERMANY,3,1,2.610705821831558e-09
BATT_LI,GERMANY,3,2,2.566519524565785e-09
BATT_LI,GERMANY,3,3,2.586009045926709e-09
BATT_LI,GERMANY,3,4,2.482659672144642e-09
BATT_LI,GERMANY,3,5,2.828187583536317e-09
BATT_LI,GERMANY,3,6,2.09611849212323e-09
BATT_LI,GERMANY,3,7,2.450062595933298e-09
BATT_LI,GERMANY,3,8,1.896290067482082e-09
BATT_LI,GERMANY,3,9,2.549230906385862e-09
BATT_LI,GERMANY,3,10,2.610707216927433e-09
BATT_LI,GERMANY,3,11,2.51726611527243e-09
BATT_LI,GERMANY,3,12,2.676488676965077e-09
BATT_LI,GERMANY,4,1,2.663129193049787e-09
BATT_LI,GERMANY,4,2,2.617015627288226e-09
BATT_LI,GERMANY,4,3,2.637598044251117e-09
BATT_LI,GERMANY,4,4,2.515636188189066e-09
BATT_LI,GERMANY,4,5,2.638222149768274e-09
BATT_LI,GERMANY,4,6,1.923359423704795e-09
BATT_LI,GERMANY,4,7,2.472603246496554e-09
BATT_LI,GERMANY,4,8,1.709552417451132e-09
BATT_LI,GERMANY,4,9,2.59850554602175e-09
BATT_LI,GERMANY,4,10,2.663130127088688e-09
BATT_LI,GERMANY,4,11,2.563342861916578e-09
BATT_LI,GERMANY,4,12,2.762208942728952e-09
BATT_LI,GERMANY,5,1,2.700732482868601e-09
BATT_LI,GERMANY,5,2,2.655180043068274e-09
BATT_LI,GERMANY,5,3,2.675752243528025e-09
BATT_LI,GERMANY,5,4,2.537263422189748e-09
BATT_LI,GERMANY,5,5,2.434819766124744e-09
BATT_LI,GERMANY,5,6,1.671636684892782e-09
BATT_LI,GERMANY,5,7,2.483001643857312e-09
BATT_LI,GERMANY,5,8,1.476892013935107e-09
BATT_LI,GERMANY,5,9,2.636474439637784e-09
BATT_LI,GERMANY,5,10,2.700732054576132e-09
BATT_LI,GERMANY,5,11,2.599932618025257e-09
BATT_LI,GERMANY,5,12,2.844030354033989e-09
BATT_LI,GERMANY,6,1,2.727603977178989e-09
BATT_LI,GERMANY,6,2,2.683859266312232e-09
BATT_LI,GERMANY,6,3,2.703844136249867e-09
BATT_LI,GERMANY,6,4,2.548551409949564e-09
BATT_LI,GERMANY,6,5,2.200101283031191e-09
BATT_LI,GERMANY,6,6,1.308750766526564e-09
BATT_LI,GERMANY,6,7,2.481706206716592e-09
BATT_LI,GERMANY,6,8,1.17259118021005e-09
BATT_LI,GERMANY,6,9,2.665563241154206e-09
BATT_LI,GERMANY,6,10,2.727602047451588e-09
BATT_LI,GERMANY,6,11,2.628773218102368e-09
BATT_LI,GERMANY,6,12,2.930769511504692e-09
BATT_LI,GERMANY,7,1,2.74667954882104e-09
BATT_LI,GERMANY,7,2,2.70518407957086e-09
BATT_LI,GERMANY,7,3,2.724362893575775e-09
BATT_LI,GERMANY,7,4,2.550014884056682e-09
BATT_LI,GERMANY,7,5,1.912090201254982e-09
BATT_LI,GERMANY,7,6,7.789717322909101e-10
BATT_LI,GERMANY,7,7,2.468619662493441e-09
BATT_LI,GERMANY,7,8,7.38690278827369e-10
BATT_LI,GERMANY,7,9,2.687625344588137e-09
BATT_LI,GERMANY,7,10,2.746675647589726e-09
BATT_LI,GERMANY,7,11,2.651220344235109e-09
BATT_LI,GERMANY,7,12,3.031739789675956e-09
BATT_LI,GERMANY,8,1,2.7600505445087e-09
BATT_LI,GERMANY,8,2,2.720741678446023e-09
BATT_LI,GERMANY,8,3,2.73912505542511e-09
BATT_LI,GERMANY,8,4,2.54172800017252e-09
BATT_LI,GERMANY,8,5,1.539811674472644e-09
BATT_LI,GERMANY,8,6,1.540859100537668e-10
BATT_LI,GERMANY,8,7,2.443167484788893e-09
BATT_LI,GERMANY,8,8,2.611528164180005e-11
BATT_LI,GERMANY,8,9,2.704045752300941e-09
BATT_LI,GERMANY,8,10,2.760045778163674e-09
BATT_LI,GERMANY,8,11,2.668321471641664e-09
BATT_LI,GERMANY,8,12,3.157681859050586e-09
BATT_LI,GERMANY,9,1,2.769186438726674e-09
BATT_LI,GERMANY,9,2,2.731697653833295e-09
BATT_LI,GERMANY,9,3,2.749449028184711e-09
BATT_LI,GERMANY,9,4,2.523272280232919e-09
BATT_LI,GERMANY,9,5,1.11399015330482e-09
BATT_LI,GERMANY,9,6,9.282439998135784e-10
BATT_LI,GERMANY,9,7,2.404177356124818e-09
BATT_LI,GERMANY,9,8,7.41653359103277e-10
BATT_LI,GERMANY,9,9,2.715872422189141e-09
BATT_LI,GERMANY,9,10,2.769183659485366e-09
BATT_LI,GERMANY,9,11,2.680876444591152e-09
BATT_LI,GERMANY,9,12,3.321816200560437e-09
BATT_LI,GERMANY,10,1,2.775093910657367e-09
BATT_LI,GERMANY,10,2,2.738866334193196e-09
BATT_LI,GERMANY,10,3,2.756256477556253e-09
BATT_LI,GERMANY,10,4,2.49376479918301e-09
BATT_LI,GERMANY,10,5,7.825552052743997e-10
BATT_LI,GERMANY,10,6,1.552890729424234e-09
BATT_LI,GERMANY,10,7,2.349829204565213e-09
BATT_LI,GERMANY,10,8,1.225545474488909e-09
BATT_LI,GERMANY,10,9,2.723855823680059e-09
BATT_LI,GERMANY,10,10,2.775094878244702e-09
BATT_LI,GERMANY,10,11,2.689467220016813e-09
BATT_LI,GERMANY,10,12,3.540984916939066e-09
BATT_LI,GERMANY,11,1,2.77842338176704e-09
BATT_LI,GERMANY,11,2,2.742778675568017e-09
BATT_LI,GERMANY,11,3,2.760145825357747e-09
BATT_LI,GERMANY,11,4,2.451843209327134e-09
BATT_LI,GERMANY,11,5,1.210376407278359e-10
BATT_LI,GERMANY,11,6,2.085955031948314e-09
BATT_LI,GERMANY,11,7,2.27745924048455e-09
BATT_LI,GERMANY,11,8,1.556031504573898e-09
BATT_LI,GERMANY,11,9,2.728488760310319e-09
BATT_LI,GERMANY,11,10,2.778422904136596e-09
BATT_LI,GERMANY,11,11,2.694490001250341e-09
BATT_LI,GERMANY,11,12,3.837045480740207e-09
BATT_LI,GERMANY,12,1,2.779541983948628e-09
BATT_LI,GERMANY,12,2,2.743725683463788e-09
BATT_LI,GERMANY,12,3,2.761457563868613e-09
BATT_LI,GERMANY,12,4,2.395432377057267e-09
BATT_LI,GERMANY,12,5,1.041463336043938e-09
BATT_LI,GERMANY,12,6,2.568006943562485e-09
BATT_LI,GERMANY,12,7,2.183370576185671e-09
BATT_LI,GERMANY,12,8,1.778565637591335e-09
BATT_LI,GERMANY,12,9,2.730059187098435e-09
BATT_LI,GERMANY,12,10,2.779540406996897e-09
BATT_LI,GERMANY,12,11,2.696177751869212e-09
BATT_LI,GERMANY,12,12,4.238789871923319e-09
BATT_LI,GERMANY,13,1,2.778572260858603e-09
BATT_LI,GERMANY,13,2,2.741773884230197e-09
BATT_LI,GERMANY,13,3,2.760307361792661e-09
BATT_LI,GERMANY,13,4,2.509028023726354e-09
BATT_LI,GERMANY,13,5,1.892629009489926e-09
BATT_LI,GERMANY,13,6,3.033939515121594e-09
BATT_LI,GERMANY,13,7,2.531571524904456e-09
BATT_LI,GERMANY,13,8,2.074977658466386e-09
BATT_LI,GERMANY,13,9,2.728664651784014e-09
BATT_LI,GERMANY,13,10,2.77857223153517e-09
BATT_LI,GERMANY,13,11,2.694610988305046e-09
BATT_LI,GERMANY,13,12,4.784532320666923e-09
BATT_LI,GERMANY,14,1,2.77540511862806e-09
BATT_LI,GERMANY,14,2,2.736775859353132e-09
BATT_LI,GERMANY,14,3,2.756592364608593e-09
BATT_LI,GERMANY,14,4,2.609737541913303e-09
BATT_LI,GERMANY,14,5,2.714088704328074e-09
BATT_LI,GERMANY,14,6,3.516999915964476e-09
BATT_LI,GERMANY,14,7,2.787397631581774e-09
BATT_LI,GERMANY,14,8,3.318730220840129e-09
BATT_LI,GERMANY,14,9,2.724209664225061e-09
BATT_LI,GERMANY,14,10,2.77540764833092e-09
BATT_LI,GERMANY,14,11,2.689711905542215e-09
BATT_LI,GERMANY,14,12,5.533910773832962e-09
BATT_LI,GERMANY,15,1,2.769688181950668e-09
BATT_LI,GERMANY,15,2,2.728347730918717e-09
BATT_LI,GERMANY,15,3,2.749973052532457e-09
BATT_LI,GERMANY,15,4,2.699667118303557e-09
BATT_LI,GERMANY,15,5,3.532828586547573e-09
BATT_LI,GERMANY,15,6,4.051979069318283e-09
BATT_LI,GERMANY,15,7,2.971408938900716e-09
BATT_LI,GERMANY,15,8,4.562704211223492e-09
BATT_LI,GERMANY,15,9,2.716405554744849e-09
BATT_LI,GERMANY,15,10,2.769694094313062e-09
BATT_LI,GERMANY,15,11,2.681238193120454e-09
BATT_LI,GERMANY,15,12,5.441333861932143e-09
BATT_LI,GERMANY,16,1,2.760786042309347e-09
BATT_LI,GERMANY,16,2,2.715857661996714e-09
BATT_LI,GERMANY,16,3,2.739852776359194e-09
BATT_LI,GERMANY,16,4,2.725050554064595e-09
BATT_LI,GERMANY,16,5,4.375022789007099e-09
BATT_LI,GERMANY,16,6,4.679259172439786e-09
