p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.446758856794643
AMMONIA,GERMANY,1,2,0.9109222636508524
AMMONIA,GERMANY,1,3,0.5358365999037652
AMMONIA,GERMANY,1,4,1.875428194097569
AMMONIA,GERMANY,1,5,1.929011920292904
AMMONIA,GERMANY,1,6,0.8037549463995673
AMMONIA,GERMANY,1,7,2.036179393432098
AMMONIA,GERMANY,1,8,3.05426910008259
AMMONIA,GERMANY,1,9,1.232424378055935
AMMONIA,GERMANY,1,10,1.393175273356744
AMMONIA,GERMANY,1,11,1.821844580160328
AMMONIA,GERMANY,1,12,2.518432160384672
AMMONIA,GERMANY,2,1,1.446758856756221
AMMONIA,GERMANY,2,2,0.9109222636115847
AMMONIA,GERMANY,2,3,0.5358365999027929
AMMONIA,GERMANY,2,4,1.875428194198937
AMMONIA,GERMANY,2,5,1.929011920394467
AMMONIA,GERMANY,2,6,0.8037549464385983
AMMONIA,GERMANY,2,7,2.036179393423129
AMMONIA,GERMANY,2,8,3.05426910013712
AMMONIA,GERMANY,2,9,1.232424378077995
AMMONIA,GERMANY,2,10,1.393175273335614
AMMONIA,GERMANY,2,11,1.821844580073216
AMMONIA,GERMANY,2,12,2.518432160267777
AMMONIA,GERMANY,3,1,1.446758856718
AMMONIA,GERMANY,3,2,0.9109222635720602
AMMONIA,GERMANY,3,3,0.5358365999017362
AMMONIA,GERMANY,3,4,1.875428194294314
AMMONIA,GERMANY,3,5,1.92901192049612
AMMONIA,GERMANY,3,6,0.8037549464778183
AMMONIA,GERMANY,3,7,2.036179393413883
AMMONIA,GERMANY,3,8,3.054269100178813
AMMONIA,GERMANY,3,9,1.232424378099972
AMMONIA,GERMANY,3,10,1.393175273314689
AMMONIA,GERMANY,3,11,1.821844579985951
AMMONIA,GERMANY,3,12,2.518432160151029
AMMONIA,GERMANY,4,1,1.446758856679984
AMMONIA,GERMANY,4,2,0.9109222635326282
AMMONIA,GERMANY,4,3,0.5358365999008656
AMMONIA,GERMANY,4,4,1.875428194389526
AMMONIA,GERMANY,4,5,1.92901192059795
AMMONIA,GERMANY,4,6,0.8037549465168363
AMMONIA,GERMANY,4,7,2.036179393404462
AMMONIA,GERMANY,4,8,3.054269100236557
AMMONIA,GERMANY,4,9,1.232424378121737
AMMONIA,GERMANY,4,10,1.393175273293954
AMMONIA,GERMANY,4,11,1.821844579898482
AMMONIA,GERMANY,4,12,2.518432160034482
AMMONIA,GERMANY,5,1,1.446758856642165
AMMONIA,GERMANY,5,2,0.9109222634932485
AMMONIA,GERMANY,5,3,0.5358365998998268
AMMONIA,GERMANY,5,4,1.875428194484479
AMMONIA,GERMANY,5,5,1.929011920699944
AMMONIA,GERMANY,5,6,0.8037549465558373
AMMONIA,GERMANY,5,7,2.036179393394666
AMMONIA,GERMANY,5,8,3.054269100293907
AMMONIA,GERMANY,5,9,1.232424378143421
AMMONIA,GERMANY,5,10,1.393175273273409
AMMONIA,GERMANY,5,11,1.821844579810845
AMMONIA,GERMANY,5,12,2.51843215991811
AMMONIA,GERMANY,6,1,1.446758856604544
AMMONIA,GERMANY,6,2,0.9109222634535656
AMMONIA,GERMANY,6,3,0.5358365998986594
AMMONIA,GERMANY,6,4,1.875428194579325
AMMONIA,GERMANY,6,5,1.92901192080863
AMMONIA,GERMANY,6,6,0.8037549465948379
AMMONIA,GERMANY,6,7,2.036179393384649
AMMONIA,GERMANY,6,8,3.05426910035126
AMMONIA,GERMANY,6,9,1.232424378165077
AMMONIA,GERMANY,6,10,1.393175273253078
AMMONIA,GERMANY,6,11,1.821844579722967
AMMONIA,GERMANY,6,12,2.518432159801936
AMMONIA,GERMANY,7,1,1.446758856567126
AMMONIA,GERMANY,7,2,0.9109222634139589
AMMONIA,GERMANY,7,3,0.5358365998976489
AMMONIA,GERMANY,7,4,1.875428194674249
AMMONIA,GERMANY,7,5,1.92901192090517
AMMONIA,GERMANY,7,6,0.8037549466340962
AMMONIA,GERMANY,7,7,2.036179393374588
AMMONIA,GERMANY,7,8,3.05426910040506
AMMONIA,GERMANY,7,9,1.232424378186848
AMMONIA,GERMANY,7,10,1.393175273232945
AMMONIA,GERMANY,7,11,1.82184457963487
