pt,n,h,td,val
CCGT,GERMANY,1,1,8.182415191496186e-10
CCGT,GERMANY,1,2,9.180374787074022
CCGT,GERMANY,1,3,9.180374782403868
CCGT,GERMANY,1,4,9.18037479032605
CCGT,GERMANY,1,5,8.955276783852348e-10
CCGT,GERMANY,1,6,9.180374786180947
CCGT,GERMANY,1,7,9.180374790759416
CCGT,GERMANY,1,8,9.180374791755646
CCGT,GERMANY,1,9,9.180374788809514
CCGT,GERMANY,1,10,8.518991573142057e-10
CCGT,GERMANY,1,11,9.180374790410466
CCGT,GERMANY,1,12,4.656533324412256e-10
CCGT,GERMANY,2,1,8.182267752050831e-10
CCGT,GERMANY,2,2,9.180374787074058
CCGT,GERMANY,2,3,9.18037478240392
CCGT,GERMANY,2,4,9.180374790505269
CCGT,GERMANY,2,5,8.989792861952443e-10
CCGT,GERMANY,2,6,9.180374786180943
CCGT,GERMANY,2,7,9.180374790759416
CCGT,GERMANY,2,8,9.180374791755376
CCGT,GERMANY,2,9,9.18037478880952
CCGT,GERMANY,2,10,8.518973500225584e-10
CCGT,GERMANY,2,11,9.180374790410468
CCGT,GERMANY,2,12,4.656324676528599e-10
CCGT,GERMANY,3,1,8.182102960127582e-10
CCGT,GERMANY,3,2,9.180374787074088
CCGT,GERMANY,3,3,9.18037478240393
CCGT,GERMANY,3,4,9.180374790505416
CCGT,GERMANY,3,5,9.025018923769846e-10
CCGT,GERMANY,3,6,9.18037478618095
CCGT,GERMANY,3,7,9.180374790759414
CCGT,GERMANY,3,8,9.180374791388951
CCGT,GERMANY,3,9,9.180374788809523
CCGT,GERMANY,3,10,8.518945883337849e-10
CCGT,GERMANY,3,11,9.18037479041047
CCGT,GERMANY,3,12,4.656121445395759e-10
CCGT,GERMANY,4,1,8.181919194440791e-10
CCGT,GERMANY,4,2,9.180374787074102
CCGT,GERMANY,4,3,9.180374782403929
CCGT,GERMANY,4,4,9.180374790505418
CCGT,GERMANY,4,5,9.060716349421055e-10
CCGT,GERMANY,4,6,9.180374786180945
CCGT,GERMANY,4,7,9.180374790759416
CCGT,GERMANY,4,8,9.180374791524228
CCGT,GERMANY,4,9,9.180374788809528
CCGT,GERMANY,4,10,8.518912145749803e-10
CCGT,GERMANY,4,11,9.180374790410472
CCGT,GERMANY,4,12,4.655910825166768e-10
CCGT,GERMANY,5,1,8.181723429213049e-10
CCGT,GERMANY,5,2,9.180374787074111
CCGT,GERMANY,5,3,9.180374782403936
CCGT,GERMANY,5,4,9.18037479050542
CCGT,GERMANY,5,5,9.097442895021474e-10
CCGT,GERMANY,5,6,9.18037478618093
CCGT,GERMANY,5,7,9.180374790759416
CCGT,GERMANY,5,8,9.180374791645923
CCGT,GERMANY,5,9,9.18037478880953
CCGT,GERMANY,5,10,8.518884051516651e-10
CCGT,GERMANY,5,11,9.180374790410474
CCGT,GERMANY,5,12,4.655697535164573e-10
CCGT,GERMANY,6,1,8.181547876297364e-10
CCGT,GERMANY,6,2,9.18037478707412
CCGT,GERMANY,6,3,9.18037478240394
CCGT,GERMANY,6,4,9.18037479050542
CCGT,GERMANY,6,5,1.059724055073542e-09
CCGT,GERMANY,6,6,9.180374786180911
