st,n,h,td,val
AMMONIA,GERMANY,1,1,2.495758155848603e-09
AMMONIA,GERMANY,1,2,3.963851419441964e-09
AMMONIA,GERMANY,1,3,6.738546571990483e-09
AMMONIA,GERMANY,1,4,1.925299247374396e-09
AMMONIA,GERMANY,1,5,1.871818864720458e-09
AMMONIA,GERMANY,1,6,4.49236499291654e-09
AMMONIA,GERMANY,1,7,1.773302404751368e-09
AMMONIA,GERMANY,1,8,1.182201610074003e-09
AMMONIA,GERMANY,1,9,2.929804015075616e-09
AMMONIA,GERMANY,1,10,2.591749206506438e-09
AMMONIA,GERMANY,1,11,1.981925852847104e-09
AMMONIA,GERMANY,1,12,1.433733519856488e-09
AMMONIA,GERMANY,2,1,2.495758155672844e-09
AMMONIA,GERMANY,2,2,3.963851419018024e-09
AMMONIA,GERMANY,2,3,6.738546571917638e-09
AMMONIA,GERMANY,2,4,1.92529924762787e-09
AMMONIA,GERMANY,2,5,1.87181886496525e-09
AMMONIA,GERMANY,2,6,4.492364993445089e-09
AMMONIA,GERMANY,2,7,1.773302404739086e-09
AMMONIA,GERMANY,2,8,1.182201610129695e-09
AMMONIA,GERMANY,2,9,2.929804015216647e-09
AMMONIA,GERMANY,2,10,2.591749206408182e-09
AMMONIA,GERMANY,2,11,1.981925852612052e-09
AMMONIA,GERMANY,2,12,1.433733519689199e-09
AMMONIA,GERMANY,3,1,2.495758155497932e-09
AMMONIA,GERMANY,3,2,3.96385141859239e-09
AMMONIA,GERMANY,3,3,6.738546571843946e-09
AMMONIA,GERMANY,3,4,1.92529924786631e-09
AMMONIA,GERMANY,3,5,1.871818865209831e-09
AMMONIA,GERMANY,3,6,4.492364993971943e-09
AMMONIA,GERMANY,3,7,1.773302404727015e-09
AMMONIA,GERMANY,3,8,1.182201610173741e-09
AMMONIA,GERMANY,3,9,2.929804015356831e-09
AMMONIA,GERMANY,3,10,2.591749206311197e-09
AMMONIA,GERMANY,3,11,1.981925852376577e-09
AMMONIA,GERMANY,3,12,1.43373351952191e-09
AMMONIA,GERMANY,4,1,2.495758155323443e-09
AMMONIA,GERMANY,4,2,3.963851418166333e-09
AMMONIA,GERMANY,4,3,6.738546571772795e-09
AMMONIA,GERMANY,4,4,1.925299248104115e-09
AMMONIA,GERMANY,4,5,1.871818865455047e-09
AMMONIA,GERMANY,4,6,4.492364994498374e-09
AMMONIA,GERMANY,4,7,1.773302404714098e-09
AMMONIA,GERMANY,4,8,1.182201610232821e-09
AMMONIA,GERMANY,4,9,2.929804015496167e-09
AMMONIA,GERMANY,4,10,2.591749206215058e-09
AMMONIA,GERMANY,4,11,1.981925852140678e-09
AMMONIA,GERMANY,4,12,1.433733519355045e-09
AMMONIA,GERMANY,5,1,2.495758155150225e-09
AMMONIA,GERMANY,5,2,3.963851417739005e-09
AMMONIA,GERMANY,5,3,6.738546571700797e-09
