j,h,td,val
AMMONIA_STORAGE,1,1,9.461717376699208e-05
AMMONIA_STORAGE,1,2,9.461593838279436e-05
AMMONIA_STORAGE,1,3,9.461663666660014e-05
AMMONIA_STORAGE,1,4,9.4615900824907e-05
AMMONIA_STORAGE,1,5,9.46168890884197e-05
AMMONIA_STORAGE,1,6,9.46160317894934e-05
AMMONIA_STORAGE,1,7,9.461588417944422e-05
AMMONIA_STORAGE,1,8,9.461599401584808e-05
AMMONIA_STORAGE,1,9,9.461583527732575e-05
AMMONIA_STORAGE,1,10,9.461720399836504e-05
AMMONIA_STORAGE,1,11,9.461586009568146e-05
AMMONIA_STORAGE,1,12,9.461684507627854e-05
AMMONIA_STORAGE,2,1,9.461717376692269e-05
AMMONIA_STORAGE,2,2,9.461593837850613e-05
AMMONIA_STORAGE,2,3,9.46166366632556e-05
AMMONIA_STORAGE,2,4,9.46158659471813e-05
AMMONIA_STORAGE,2,5,9.461688815766423e-05
AMMONIA_STORAGE,2,6,9.461603178953504e-05
AMMONIA_STORAGE,2,7,9.461588417972178e-05
AMMONIA_STORAGE,2,8,9.461599408502885e-05
AMMONIA_STORAGE,2,9,9.461583527638207e-05
AMMONIA_STORAGE,2,10,9.461720399836504e-05
AMMONIA_STORAGE,2,11,9.461586009544554e-05
AMMONIA_STORAGE,2,12,9.461684507666712e-05
AMMONIA_STORAGE,3,1,9.461717376693657e-05
AMMONIA_STORAGE,3,2,9.461593837517546e-05
AMMONIA_STORAGE,3,3,9.461663666250619e-05
AMMONIA_STORAGE,3,4,9.461586591580362e-05
AMMONIA_STORAGE,3,5,9.461688721089379e-05
AMMONIA_STORAGE,3,6,9.461603178850808e-05
AMMONIA_STORAGE,3,7,9.461588417986055e-05
AMMONIA_STORAGE,3,8,9.461606754145035e-05
AMMONIA_STORAGE,3,9,9.46158352757992e-05
AMMONIA_STORAGE,3,10,9.461720399842055e-05
AMMONIA_STORAGE,3,11,9.461586009520961e-05
AMMONIA_STORAGE,3,12,9.461684507672263e-05
AMMONIA_STORAGE,4,1,9.461717376696432e-05
AMMONIA_STORAGE,4,2,9.461593837357951e-05
AMMONIA_STORAGE,4,3,9.461663666242293e-05
AMMONIA_STORAGE,4,4,9.461586591502646e-05
AMMONIA_STORAGE,4,5,9.461688625611586e-05
AMMONIA_STORAGE,4,6,9.461603178888278e-05
AMMONIA_STORAGE,4,7,9.461588417981892e-05
AMMONIA_STORAGE,4,8,9.461604442699556e-05
AMMONIA_STORAGE,4,9,9.46158352750498e-05
AMMONIA_STORAGE,4,10,9.461720399837892e-05
AMMONIA_STORAGE,4,11,9.4615860095279e-05
AMMONIA_STORAGE,4,12,9.461684507686141e-05
AMMONIA_STORAGE,5,1,9.46171737669782e-05
AMMONIA_STORAGE,5,2,9.461593837271909e-05
AMMONIA_STORAGE,5,3,9.46166366618123e-05
AMMONIA_STORAGE,5,4,9.461586591454074e-05
AMMONIA_STORAGE,5,5,9.461688527546974e-05
AMMONIA_STORAGE,5,6,9.461603178996525e-05
AMMONIA_STORAGE,5,7,9.461588417951361e-05
AMMONIA_STORAGE,5,8,9.461601993185353e-05
AMMONIA_STORAGE,5,9,9.461583527457795e-05
AMMONIA_STORAGE,5,10,9.461720399840667e-05
AMMONIA_STORAGE,5,11,9.461586009518186e-05
AMMONIA_STORAGE,5,12,9.461684507676427e-05
AMMONIA_STORAGE,6,1,9.461717376693657e-05
AMMONIA_STORAGE,6,2,9.461593837176152e-05
AMMONIA_STORAGE,6,3,9.461663666157638e-05
AMMONIA_STORAGE,6,4,9.461586591436033e-05
AMMONIA_STORAGE,6,5,9.461684838163453e-05
AMMONIA_STORAGE,6,6,9.46160317916861e-05
AMMONIA_STORAGE,6,7,9.461588417938871e-05
AMMONIA_STORAGE,6,8,9.461599401397458e-05
AMMONIA_STORAGE,6,9,9.461583527468898e-05
AMMONIA_STORAGE,6,10,9.461720399840667e-05
AMMONIA_STORAGE,6,11,9.461586009526513e-05
AMMONIA_STORAGE,6,12,9.461684507684753e-05
AMMONIA_STORAGE,7,1,9.461717376695045e-05
AMMONIA_STORAGE,7,2,9.461593837113702e-05
AMMONIA_STORAGE,7,3,9.461663666152087e-05
AMMONIA_STORAGE,7,4,9.461586591504034e-05
AMMONIA_STORAGE,7,5,9.461688332043638e-05
AMMONIA_STORAGE,7,6,9.461603179497513e-05
AMMONIA_STORAGE,7,7,9.461588417948585e-05
AMMONIA_STORAGE,7,8,9.461599406054844e-05
AMMONIA_STORAGE,7,9,9.461583527524409e-05
AMMONIA_STORAGE,7,10,9.461720399844831e-05
AMMONIA_STORAGE,7,11,9.461586009526513e-05
AMMONIA_STORAGE,7,12,9.461684507676427e-05
AMMONIA_STORAGE,8,1,9.461717376690881e-05
AMMONIA_STORAGE,8,2,9.461593837098436e-05
AMMONIA_STORAGE,8,3,9.461663666167353e-05
AMMONIA_STORAGE,8,4,9.461586591535953e-05
AMMONIA_STORAGE,8,5,9.461684512983293e-05
AMMONIA_STORAGE,8,6,9.461647135454443e-05
AMMONIA_STORAGE,8,7,9.461588417968014e-05
AMMONIA_STORAGE,8,8,9.461635215304853e-05
AMMONIA_STORAGE,8,9,9.46158352755494e-05
AMMONIA_STORAGE,8,10,9.461720399844831e-05
AMMONIA_STORAGE,8,11,9.461586009520961e-05
AMMONIA_STORAGE,8,12,9.461684507676427e-05
AMMONIA_STORAGE,9,1,9.461717376692269e-05
AMMONIA_STORAGE,9,2,9.46159383711509e-05
AMMONIA_STORAGE,9,3,9.46166366633805e-05
AMMONIA_STORAGE,9,4,9.461586591684445e-05
AMMONIA_STORAGE,9,5,9.461688650405642e-05
AMMONIA_STORAGE,9,6,9.461763241144783e-05
AMMONIA_STORAGE,9,7,9.461588418115119e-05
AMMONIA_STORAGE,9,8,9.461635218994957e-05
AMMONIA_STORAGE,9,9,9.461583527675677e-05
AMMONIA_STORAGE,9,10,9.461720399850382e-05
AMMONIA_STORAGE,9,11,9.4615860095279e-05
AMMONIA_STORAGE,9,12,9.461684507695856e-05
AMMONIA_STORAGE,10,1,9.461717376699208e-05
AMMONIA_STORAGE,10,2,9.46159383715256e-05
AMMONIA_STORAGE,10,3,9.461663666548992e-05
