j,h,td,val
AMMONIA_STORAGE,1,1,9.461566286066148e-05
AMMONIA_STORAGE,1,2,9.461689824330488e-05
AMMONIA_STORAGE,1,3,9.461619995726478e-05
AMMONIA_STORAGE,1,4,9.461693580074815e-05
AMMONIA_STORAGE,1,5,9.461594753763791e-05
AMMONIA_STORAGE,1,6,9.461680483636992e-05
AMMONIA_STORAGE,1,7,9.461695244655788e-05
AMMONIA_STORAGE,1,8,9.461684260982095e-05
AMMONIA_STORAGE,1,9,9.461700134874573e-05
AMMONIA_STORAGE,1,10,9.461563262987138e-05
AMMONIA_STORAGE,1,11,9.461697652961287e-05
AMMONIA_STORAGE,1,12,9.461599154959865e-05
AMMONIA_STORAGE,2,1,9.461566286057821e-05
AMMONIA_STORAGE,2,2,9.461689824762087e-05
AMMONIA_STORAGE,2,3,9.461619996063708e-05
AMMONIA_STORAGE,2,4,9.461697067868202e-05
AMMONIA_STORAGE,2,5,9.4615948468324e-05
AMMONIA_STORAGE,2,6,9.461680483634216e-05
AMMONIA_STORAGE,2,7,9.461695244647461e-05
AMMONIA_STORAGE,2,8,9.461684254069569e-05
AMMONIA_STORAGE,2,9,9.461700134964779e-05
AMMONIA_STORAGE,2,10,9.46156326298575e-05
AMMONIA_STORAGE,2,11,9.46169765300292e-05
AMMONIA_STORAGE,2,12,9.461599154896028e-05
AMMONIA_STORAGE,3,1,9.461566286060596e-05
AMMONIA_STORAGE,3,2,9.461689825084052e-05
AMMONIA_STORAGE,3,3,9.461619996146975e-05
AMMONIA_STORAGE,3,4,9.461697071012909e-05
AMMONIA_STORAGE,3,5,9.461594941469198e-05
AMMONIA_STORAGE,3,6,9.46168048372581e-05
AMMONIA_STORAGE,3,7,9.461695244639134e-05
AMMONIA_STORAGE,3,8,9.461676908371908e-05
AMMONIA_STORAGE,3,9,9.461700135036943e-05
AMMONIA_STORAGE,3,10,9.461563262989914e-05
AMMONIA_STORAGE,3,11,9.461697653000145e-05
AMMONIA_STORAGE,3,12,9.461599154891864e-05
AMMONIA_STORAGE,4,1,9.461566286057821e-05
AMMONIA_STORAGE,4,2,9.461689825240871e-05
AMMONIA_STORAGE,4,3,9.461619996151138e-05
AMMONIA_STORAGE,4,4,9.461697071115605e-05
AMMONIA_STORAGE,4,5,9.46159503697197e-05
AMMONIA_STORAGE,4,6,9.461680483689727e-05
AMMONIA_STORAGE,4,7,9.461695244637747e-05
AMMONIA_STORAGE,4,8,9.46167921980906e-05
AMMONIA_STORAGE,4,9,9.461700135136863e-05
AMMONIA_STORAGE,4,10,9.461563262987138e-05
AMMONIA_STORAGE,4,11,9.461697653011247e-05
AMMONIA_STORAGE,4,12,9.461599154897415e-05
AMMONIA_STORAGE,5,1,9.461566286061984e-05
AMMONIA_STORAGE,5,2,9.461689825332464e-05
AMMONIA_STORAGE,5,3,9.461619996227466e-05
AMMONIA_STORAGE,5,4,9.461697071169728e-05
AMMONIA_STORAGE,5,5,9.461595135040746e-05
AMMONIA_STORAGE,5,6,9.46168048358148e-05
AMMONIA_STORAGE,5,7,9.461695244659951e-05
AMMONIA_STORAGE,5,8,9.461681669359345e-05
AMMONIA_STORAGE,5,9,9.461700135179885e-05
AMMONIA_STORAGE,5,10,9.46156326299269e-05
AMMONIA_STORAGE,5,11,9.461697653018186e-05
AMMONIA_STORAGE,5,12,9.461599154896028e-05
AMMONIA_STORAGE,6,1,9.461566286057821e-05
AMMONIA_STORAGE,6,2,9.46168982542267e-05
AMMONIA_STORAGE,6,3,9.461619996271875e-05
AMMONIA_STORAGE,6,4,9.461697071182218e-05
AMMONIA_STORAGE,6,5,9.461598824395123e-05
AMMONIA_STORAGE,6,6,9.461680483395518e-05
AMMONIA_STORAGE,6,7,9.461695244675217e-05
AMMONIA_STORAGE,6,8,9.461684261156955e-05
AMMONIA_STORAGE,6,9,9.461700135184048e-05
AMMONIA_STORAGE,6,10,9.461563262996853e-05
AMMONIA_STORAGE,6,11,9.46169765303484e-05
AMMONIA_STORAGE,6,12,9.461599154902967e-05
AMMONIA_STORAGE,7,1,9.461566286059209e-05
AMMONIA_STORAGE,7,2,9.461689825479569e-05
AMMONIA_STORAGE,7,3,9.461619996298243e-05
AMMONIA_STORAGE,7,4,9.461697071129482e-05
AMMONIA_STORAGE,7,5,9.461595330523265e-05
AMMONIA_STORAGE,7,6,9.461680483065227e-05
AMMONIA_STORAGE,7,7,9.461695244687707e-05
AMMONIA_STORAGE,7,8,9.461684256489855e-05
AMMONIA_STORAGE,7,9,9.46170013514519e-05
AMMONIA_STORAGE,7,10,9.461563262999628e-05
AMMONIA_STORAGE,7,11,9.461697653037615e-05
AMMONIA_STORAGE,7,12,9.46159915489464e-05
AMMONIA_STORAGE,8,1,9.461566286055045e-05
AMMONIA_STORAGE,8,2,9.461689825511488e-05
AMMONIA_STORAGE,8,3,9.461619996285753e-05
AMMONIA_STORAGE,8,4,9.461697071126707e-05
AMMONIA_STORAGE,8,5,9.461599149575284e-05
AMMONIA_STORAGE,8,6,9.461636527022255e-05
AMMONIA_STORAGE,8,7,9.461695244643298e-05
AMMONIA_STORAGE,8,8,9.461648447113558e-05
AMMONIA_STORAGE,8,9,9.461700135135476e-05
AMMONIA_STORAGE,8,10,9.461563262996853e-05
AMMONIA_STORAGE,8,11,9.461697653063983e-05
AMMONIA_STORAGE,8,12,9.461599154886313e-05
AMMONIA_STORAGE,9,1,9.461566286057821e-05
AMMONIA_STORAGE,9,2,9.46168982549761e-05
AMMONIA_STORAGE,9,3,9.461619996109505e-05
AMMONIA_STORAGE,9,4,9.461697070975439e-05
AMMONIA_STORAGE,9,5,9.461595012170976e-05
AMMONIA_STORAGE,9,6,9.461520422356096e-05
AMMONIA_STORAGE,9,7,9.461695244507295e-05
AMMONIA_STORAGE,9,8,9.461648443458148e-05
AMMONIA_STORAGE,9,9,9.461700135038331e-05
AMMONIA_STORAGE,9,10,9.461563262995465e-05
AMMONIA_STORAGE,9,11,9.461697653054268e-05
AMMONIA_STORAGE,9,12,9.461599154877987e-05
AMMONIA_STORAGE,10,1,9.461566286063372e-05
AMMONIA_STORAGE,10,2,9.46168982544765e-05
AMMONIA_STORAGE,10,3,9.46161999591244e-05
AMMONIA_STORAGE,10,4,9.461697070146935e-05
AMMONIA_STORAGE,10,5,9.461594846515986e-05
AMMONIA_STORAGE,10,6,9.461520411693791e-05
AMMONIA_STORAGE,10,7,9.461695243774548e-05
AMMONIA_STORAGE,10,8,9.461615103388554e-05
AMMONIA_STORAGE,10,9,9.461700134864859e-05
AMMONIA_STORAGE,10,10,9.461563262995465e-05
AMMONIA_STORAGE,10,11,9.461697653037615e-05
AMMONIA_STORAGE,10,12,9.46159915486966e-05
AMMONIA_STORAGE,11,1,9.461566286070311e-05
AMMONIA_STORAGE,11,2,9.461689825443487e-05
AMMONIA_STORAGE,11,3,9.461619995956849e-05
AMMONIA_STORAGE,11,4,9.461697065904495e-05
AMMONIA_STORAGE,11,5,9.461594846491006e-05
AMMONIA_STORAGE,11,6,9.461520604940599e-05
AMMONIA_STORAGE,11,7,9.461695244128432e-05
AMMONIA_STORAGE,11,8,9.461612768459082e-05
AMMONIA_STORAGE,11,9,9.46170013454567e-05
AMMONIA_STORAGE,11,10,9.461563263020445e-05
AMMONIA_STORAGE,11,11,9.4616976530279e-05
AMMONIA_STORAGE,11,12,9.461599155108358e-05
AMMONIA_STORAGE,12,1,9.461566286061984e-05
AMMONIA_STORAGE,12,2,9.46168982539769e-05
AMMONIA_STORAGE,12,3,9.461619995977666e-05
AMMONIA_STORAGE,12,4,9.461674387216401e-05
AMMONIA_STORAGE,12,5,9.4615948460261e-05
AMMONIA_STORAGE,12,6,9.461520614957586e-05
AMMONIA_STORAGE,12,7,9.461695232462763e-05
AMMONIA_STORAGE,12,8,9.461612768181527e-05
AMMONIA_STORAGE,12,9,9.461700133968354e-05
AMMONIA_STORAGE,12,10,9.46156326301767e-05
AMMONIA_STORAGE,12,11,9.461697652939083e-05
AMMONIA_STORAGE,12,12,9.461599154890477e-05
AMMONIA_STORAGE,13,1,9.461566286060596e-05
AMMONIA_STORAGE,13,2,9.461689825400466e-05
AMMONIA_STORAGE,13,3,9.461619995926318e-05
AMMONIA_STORAGE,13,4,9.461674401771425e-05
AMMONIA_STORAGE,13,5,9.461594304271959e-05
AMMONIA_STORAGE,13,6,9.461520413701907e-05
AMMONIA_STORAGE,13,7,9.461666330867757e-05
