j,n,h,td,val
BATT_LI,GERMANY,1,1,4.349457607102827e-08
BATT_LI,GERMANY,1,2,4.279486515681899e-08
BATT_LI,GERMANY,1,3,4.308969770494472e-08
BATT_LI,GERMANY,1,4,4.224962038808445e-08
BATT_LI,GERMANY,1,5,4.58592242696387e-08
BATT_LI,GERMANY,1,6,4.007205965290847e-08
BATT_LI,GERMANY,1,7,4.127483215981913e-08
BATT_LI,GERMANY,1,8,3.623550937735119e-08
BATT_LI,GERMANY,1,9,4.253947164559554e-08
BATT_LI,GERMANY,1,10,4.349458553584218e-08
BATT_LI,GERMANY,1,11,4.205047581916642e-08
BATT_LI,GERMANY,1,12,4.399485288052239e-08
BATT_LI,GERMANY,2,1,4.705978079329987e-08
BATT_LI,GERMANY,2,2,4.595854973114989e-08
BATT_LI,GERMANY,2,3,4.642026818824411e-08
BATT_LI,GERMANY,2,4,4.38982783346496e-08
BATT_LI,GERMANY,2,5,5.173118272964826e-08
BATT_LI,GERMANY,2,6,4.017541118889672e-08
BATT_LI,GERMANY,2,7,4.325963035158682e-08
BATT_LI,GERMANY,2,8,3.318618532223349e-08
BATT_LI,GERMANY,2,9,4.555721451979537e-08
BATT_LI,GERMANY,2,10,4.705979835704981e-08
BATT_LI,GERMANY,2,11,4.476436308260899e-08
BATT_LI,GERMANY,2,12,4.814627819081023e-08
BATT_LI,GERMANY,3,1,4.963658727036378e-08
BATT_LI,GERMANY,3,2,4.833811090907938e-08
BATT_LI,GERMANY,3,3,4.887727030292058e-08
BATT_LI,GERMANY,3,4,4.495144559140893e-08
BATT_LI,GERMANY,3,5,5.664868689484988e-08
BATT_LI,GERMANY,3,6,3.888094945404607e-08
BATT_LI,GERMANY,3,7,4.465714792604276e-08
BATT_LI,GERMANY,3,8,3.297232051680435e-08
BATT_LI,GERMANY,3,9,4.786792107036217e-08
BATT_LI,GERMANY,3,10,4.96366164130541e-08
BATT_LI,GERMANY,3,11,4.689915123859851e-08
BATT_LI,GERMANY,3,12,5.144838170058699e-08
BATT_LI,GERMANY,4,1,5.149374494064747e-08
BATT_LI,GERMANY,4,2,5.012653861475203e-08
BATT_LI,GERMANY,4,3,5.068359068437824e-08
BATT_LI,GERMANY,4,4,4.547282865922535e-08
BATT_LI,GERMANY,4,5,6.101097177656575e-08
BATT_LI,GERMANY,4,6,3.602666849608678e-08
BATT_LI,GERMANY,4,7,4.554775164575497e-08
BATT_LI,GERMANY,4,8,3.079221900383582e-08
BATT_LI,GERMANY,4,9,4.964042556125496e-08
BATT_LI,GERMANY,4,10,5.149377802805155e-08
