p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,46002.96551758998,27,1,1703.813537688518,1703813.537688518
AMMONIA,GERMANY,1,2,28964.83014026921,17,1,1703.8135376628945,1703813.5376628945
AMMONIA,GERMANY,1,3,17038.13538290981,10,1,1703.8135382909811,1703813.5382909812
AMMONIA,GERMANY,1,4,59633.47382141571,35,1,1703.8135377547346,1703813.5377547345
AMMONIA,GERMANY,1,5,61337.28735881221,36,1,1703.8135377447836,1703813.5377447836
AMMONIA,GERMANY,1,6,25557.20306628605,15,1,1703.8135377524034,1703813.5377524034
AMMONIA,GERMANY,1,7,64744.91443290773,38,1,1703.8135377080982,1703813.5377080983
AMMONIA,GERMANY,1,8,97117.37164989224,57,1,1703.8135377174078,1703813.5377174078
AMMONIA,GERMANY,1,9,39187.71136749639,23,1,1703.8135377172343,1703813.5377172343
AMMONIA,GERMANY,1,10,44299.1519805798,26,1,1703.8135377146077,1703813.5377146078
AMMONIA,GERMANY,1,11,57929.66028114407,34,1,1703.813537680708,1703813.5376807079
AMMONIA,GERMANY,1,12,80079.23627042228,47,1,1703.813537668559,1703813.537668559
AMMONIA,GERMANY,2,1,46002.96551758958,27,1,1703.813537688503,1703813.537688503
AMMONIA,GERMANY,2,2,28964.83014026895,17,1,1703.8135376628795,1703813.5376628796
AMMONIA,GERMANY,2,3,17038.13538290981,10,1,1703.8135382909811,1703813.5382909812
AMMONIA,GERMANY,2,4,59633.47382141518,35,1,1703.8135377547194,1703813.5377547194
AMMONIA,GERMANY,2,5,61337.28735881166,36,1,1703.8135377447684,1703813.5377447684
AMMONIA,GERMANY,2,6,25557.20306628582,15,1,1703.813537752388,1703813.5377523878
AMMONIA,GERMANY,2,7,64744.91443290715,38,1,1703.8135377080828,1703813.5377080827
AMMONIA,GERMANY,2,8,97117.37164989136,57,1,1703.8135377173921,1703813.5377173922
AMMONIA,GERMANY,2,9,39187.71136749604,23,1,1703.813537717219,1703813.5377172192
AMMONIA,GERMANY,2,10,44299.1519805794,26,1,1703.8135377145923,1703813.5377145922
AMMONIA,GERMANY,2,11,57929.66028114355,34,1,1703.8135376806927,1703813.5376806927
AMMONIA,GERMANY,2,12,80079.23627042156,47,1,1703.8135376685439,1703813.5376685439
AMMONIA,GERMANY,3,1,46002.96551758916,27,1,1703.8135376884875,1703813.5376884874
AMMONIA,GERMANY,3,2,28964.83014026869,17,1,1703.813537662864,1703813.537662864
AMMONIA,GERMANY,3,3,17038.13538290981,10,1,1703.8135382909811,1703813.5382909812
AMMONIA,GERMANY,3,4,59633.47382141463,35,1,1703.8135377547037,1703813.5377547038
AMMONIA,GERMANY,3,5,61337.28735881112,36,1,1703.8135377447534,1703813.5377447533
AMMONIA,GERMANY,3,6,25557.20306628559,15,1,1703.8135377523727,1703813.5377523727
AMMONIA,GERMANY,3,7,64744.91443290657,38,1,1703.8135377080675,1703813.5377080676
AMMONIA,GERMANY,3,8,97117.37164989048,57,1,1703.813537717377,1703813.5377173768
AMMONIA,GERMANY,3,9,39187.71136749569,23,1,1703.813537717204,1703813.537717204
AMMONIA,GERMANY,3,10,44299.15198057901,26,1,1703.8135377145773,1703813.5377145773
AMMONIA,GERMANY,3,11,57929.66028114303,34,1,1703.8135376806772,1703813.5376806771
AMMONIA,GERMANY,3,12,80079.23627042084,47,1,1703.8135376685284,1703813.5376685285
