ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.1298330852041
ELECTRICITY,GERMANY,1,2,61.07498913823989
ELECTRICITY,GERMANY,1,3,60.99320176868711
ELECTRICITY,GERMANY,1,4,58.42751349047931
ELECTRICITY,GERMANY,1,5,63.37574585372185
ELECTRICITY,GERMANY,1,6,56.38973289091265
ELECTRICITY,GERMANY,1,7,56.81873821961236
ELECTRICITY,GERMANY,1,8,56.76077512870154
ELECTRICITY,GERMANY,1,9,57.98388599962231
ELECTRICITY,GERMANY,1,10,67.49109813801286
ELECTRICITY,GERMANY,1,11,57.92042930734932
ELECTRICITY,GERMANY,1,12,68.60354440689646
ELECTRICITY,GERMANY,2,1,70.54115286472313
ELECTRICITY,GERMANY,2,2,60.44305693324997
ELECTRICITY,GERMANY,2,3,60.59396277602392
ELECTRICITY,GERMANY,2,4,58.42718590557048
ELECTRICITY,GERMANY,2,5,63.1121955938357
ELECTRICITY,GERMANY,2,6,56.7277574802969
ELECTRICITY,GERMANY,2,7,56.87445902256854
ELECTRICITY,GERMANY,2,8,56.79883793077249
ELECTRICITY,GERMANY,2,9,58.0124751439914
ELECTRICITY,GERMANY,2,10,67.66746201947448
ELECTRICITY,GERMANY,2,11,57.47023436918874
ELECTRICITY,GERMANY,2,12,68.2236835628191
ELECTRICITY,GERMANY,3,1,70.5331038684667
ELECTRICITY,GERMANY,3,2,60.14870086046653
ELECTRICITY,GERMANY,3,3,60.73617975499704
ELECTRICITY,GERMANY,3,4,58.90753958812046
ELECTRICITY,GERMANY,3,5,63.80853084258041
ELECTRICITY,GERMANY,3,6,57.1915182477873
ELECTRICITY,GERMANY,3,7,57.46984196843024
ELECTRICITY,GERMANY,3,8,57.71051549122861
ELECTRICITY,GERMANY,3,9,58.36636390561859
ELECTRICITY,GERMANY,3,10,68.37285263812834
ELECTRICITY,GERMANY,3,11,57.31002304640385
ELECTRICITY,GERMANY,3,12,68.36681294767695
ELECTRICITY,GERMANY,4,1,70.76853700938477
ELECTRICITY,GERMANY,4,2,60.18463349093555
ELECTRICITY,GERMANY,4,3,60.94084439444357
ELECTRICITY,GERMANY,4,4,60.3107060053559
ELECTRICITY,GERMANY,4,5,65.4529358009097
ELECTRICITY,GERMANY,4,6,58.64272563910108
ELECTRICITY,GERMANY,4,7,58.73847123571144
ELECTRICITY,GERMANY,4,8,59.60249983610997
ELECTRICITY,GERMANY,4,9,60.23508491903274
ELECTRICITY,GERMANY,4,10,69.82822792850331
ELECTRICITY,GERMANY,4,11,57.15491292389014
ELECTRICITY,GERMANY,4,12,68.93984977928164
ELECTRICITY,GERMANY,5,1,72.01411919329716
ELECTRICITY,GERMANY,5,2,61.08580816732633
ELECTRICITY,GERMANY,5,3,62.31390812459431
ELECTRICITY,GERMANY,5,4,63.60064383697325
ELECTRICITY,GERMANY,5,5,68.6607158057826
ELECTRICITY,GERMANY,5,6,61.82570643665068
ELECTRICITY,GERMANY,5,7,61.78870871175934
ELECTRICITY,GERMANY,5,8,62.0823360404516
ELECTRICITY,GERMANY,5,9,63.32551536867992
ELECTRICITY,GERMANY,5,10,73.92821778656277
ELECTRICITY,GERMANY,5,11,57.0552433186033
ELECTRICITY,GERMANY,5,12,70.59060870713456
ELECTRICITY,GERMANY,6,1,75.57177567518522
ELECTRICITY,GERMANY,6,2,64.14254827238685
ELECTRICITY,GERMANY,6,3,65.6740855603723
ELECTRICITY,GERMANY,6,4,65.63282748760257
ELECTRICITY,GERMANY,6,5,71.36609824438881
ELECTRICITY,GERMANY,6,6,64.22299027819724
ELECTRICITY,GERMANY,6,7,64.23352901284095
ELECTRICITY,GERMANY,6,8,64.41453753465832
ELECTRICITY,GERMANY,6,9,65.55916840144793
ELECTRICITY,GERMANY,6,10,76.78197649649204
ELECTRICITY,GERMANY,6,11,57.73538466896049
ELECTRICITY,GERMANY,6,12,74.74726796066255
ELECTRICITY,GERMANY,7,1,79.05770534610953
ELECTRICITY,GERMANY,7,2,66.92729910586091
ELECTRICITY,GERMANY,7,3,68.13364889109518
ELECTRICITY,GERMANY,7,4,66.86782246739102
ELECTRICITY,GERMANY,7,5,73.09055394430248
ELECTRICITY,GERMANY,7,6,65.40332954088403
ELECTRICITY,GERMANY,7,7,65.4128031896639
ELECTRICITY,GERMANY,7,8,66.40250392946862
ELECTRICITY,GERMANY,7,9,67.07030088160515
ELECTRICITY,GERMANY,7,10,78.31251917319244
ELECTRICITY,GERMANY,7,11,59.02856696611639
ELECTRICITY,GERMANY,7,12,78.19671883988872
ELECTRICITY,GERMANY,8,1,80.69664992259867
ELECTRICITY,GERMANY,8,2,67.82858589653827
ELECTRICITY,GERMANY,8,3,68.65638177601949
ELECTRICITY,GERMANY,8,4,67.17490351225524
ELECTRICITY,GERMANY,8,5,73.65115348277723
ELECTRICITY,GERMANY,8,6,68.2096408682024
ELECTRICITY,GERMANY,8,7,65.98475424857065
ELECTRICITY,GERMANY,8,8,72.45810033393228
ELECTRICITY,GERMANY,8,9,67.64724102649734
ELECTRICITY,GERMANY,8,10,78.6953658078708
ELECTRICITY,GERMANY,8,11,61.24932685532169
ELECTRICITY,GERMANY,8,12,79.2989125697484
ELECTRICITY,GERMANY,9,1,80.57701845689812
ELECTRICITY,GERMANY,9,2,68.10018276809332
ELECTRICITY,GERMANY,9,3,68.47812005228685
ELECTRICITY,GERMANY,9,4,67.66405816682673
ELECTRICITY,GERMANY,9,5,74.10752805917126
ELECTRICITY,GERMANY,9,6,72.4765260593864
ELECTRICITY,GERMANY,9,7,67.17462322597463
ELECTRICITY,GERMANY,9,8,73.24888047012335
ELECTRICITY,GERMANY,9,9,68.45188529776563
ELECTRICITY,GERMANY,9,10,79.01771514576933
ELECTRICITY,GERMANY,9,11,62.46257166252387
ELECTRICITY,GERMANY,9,12,79.71421501557064
ELECTRICITY,GERMANY,10,1,81.32551028286157
ELECTRICITY,GERMANY,10,2,68.50071107506405
ELECTRICITY,GERMANY,10,3,68.77696069679838
ELECTRICITY,GERMANY,10,4,69.90309503312461
ELECTRICITY,GERMANY,10,5,75.62838611023064
ELECTRICITY,GERMANY,10,6,73.37268753465057
ELECTRICITY,GERMANY,10,7,67.90000269339349
ELECTRICITY,GERMANY,10,8,74.05587455992935
ELECTRICITY,GERMANY,10,9,69.19245625137619
ELECTRICITY,GERMANY,10,10,79.78775747703061
ELECTRICITY,GERMANY,10,11,63.35864513861827
ELECTRICITY,GERMANY,10,12,79.98859504714443
ELECTRICITY,GERMANY,11,1,82.09386496238658
ELECTRICITY,GERMANY,11,2,68.6569423404991
ELECTRICITY,GERMANY,11,3,68.63272566057654
ELECTRICITY,GERMANY,11,4,69.80419560614104
ELECTRICITY,GERMANY,11,5,75.91255234560607
ELECTRICITY,GERMANY,11,6,73.64699215144495
ELECTRICITY,GERMANY,11,7,66.95852292892393
ELECTRICITY,GERMANY,11,8,73.4956422120365
ELECTRICITY,GERMANY,11,9,68.93947035253314
ELECTRICITY,GERMANY,11,10,79.59205001372735
ELECTRICITY,GERMANY,11,11,63.77458916067977
ELECTRICITY,GERMANY,11,12,80.24454027055043
ELECTRICITY,GERMANY,12,1,81.84032154887986
ELECTRICITY,GERMANY,12,2,68.53636341982224
ELECTRICITY,GERMANY,12,3,67.78800052993066
ELECTRICITY,GERMANY,12,4,69.94260070625866
ELECTRICITY,GERMANY,12,5,78.357606426984
ELECTRICITY,GERMANY,12,6,73.3476586039493
ELECTRICITY,GERMANY,12,7,67.39705825549598
ELECTRICITY,GERMANY,12,8,72.91655107332902
ELECTRICITY,GERMANY,12,9,68.99935139934688
ELECTRICITY,GERMANY,12,10,79.35791508237972
ELECTRICITY,GERMANY,12,11,63.59044143663784
ELECTRICITY,GERMANY,12,12,80.2727766843307
ELECTRICITY,GERMANY,13,1,81.60586204877033
ELECTRICITY,GERMANY,13,2,68.35983946759994
ELECTRICITY,GERMANY,13,3,67.00202328816282
ELECTRICITY,GERMANY,13,4,69.39743417611558
ELECTRICITY,GERMANY,13,5,77.66247154101494
ELECTRICITY,GERMANY,13,6,72.7247566166321
ELECTRICITY,GERMANY,13,7,67.19256683731444
ELECTRICITY,GERMANY,13,8,72.18417483326921
ELECTRICITY,GERMANY,13,9,68.39711475719976
ELECTRICITY,GERMANY,13,10,78.56619239245849
ELECTRICITY,GERMANY,13,11,62.60540527014021
ELECTRICITY,GERMANY,13,12,79.5694628342388
ELECTRICITY,GERMANY,14,1,81.040939285336
ELECTRICITY,GERMANY,14,2,67.90650532926352
ELECTRICITY,GERMANY,14,3,66.15830718621201
ELECTRICITY,GERMANY,14,4,68.78253668222678
ELECTRICITY,GERMANY,14,5,77.1944612185224
ELECTRICITY,GERMANY,14,6,72.44047878930054
ELECTRICITY,GERMANY,14,7,67.4525771221398
