st,n,h,td,val
AMMONIA,GERMANY,1,1,5.776308732752412e-06
AMMONIA,GERMANY,1,2,9.174220260257808e-06
AMMONIA,GERMANY,1,3,1.55958810521192e-05
AMMONIA,GERMANY,1,4,4.455954808724437e-06
AMMONIA,GERMANY,1,5,4.332184644536088e-06
AMMONIA,GERMANY,1,6,1.039725574140728e-05
AMMONIA,GERMANY,1,7,4.104224358172677e-06
AMMONIA,GERMANY,1,8,2.736135063325622e-06
AMMONIA,GERMANY,1,9,6.78085679929824e-06
AMMONIA,GERMANY,1,10,5.998480528469548e-06
AMMONIA,GERMANY,1,11,4.587136169876966e-06
AMMONIA,GERMANY,1,12,3.318333825182721e-06
AMMONIA,GERMANY,2,1,5.776308510594346e-06
AMMONIA,GERMANY,2,2,9.174219432990516e-06
AMMONIA,GERMANY,2,3,1.559588667090098e-05
AMMONIA,GERMANY,2,4,4.455954767306467e-06
AMMONIA,GERMANY,2,5,4.332184561756929e-06
AMMONIA,GERMANY,2,6,1.039725536027485e-05
AMMONIA,GERMANY,2,7,4.10422438649554e-06
AMMONIA,GERMANY,2,8,2.736135089900078e-06
AMMONIA,GERMANY,2,9,6.780856655956351e-06
AMMONIA,GERMANY,2,10,5.998480413660328e-06
AMMONIA,GERMANY,2,11,4.587136087695906e-06
AMMONIA,GERMANY,2,12,3.318333750014097e-06
AMMONIA,GERMANY,3,1,5.77630833353997e-06
AMMONIA,GERMANY,3,2,9.174218830795087e-06
AMMONIA,GERMANY,3,3,1.559589234684628e-05
AMMONIA,GERMANY,3,4,4.455954787034622e-06
AMMONIA,GERMANY,3,5,4.332184522810359e-06
AMMONIA,GERMANY,3,6,1.039725546173519e-05
AMMONIA,GERMANY,3,7,4.10422447852942e-06
AMMONIA,GERMANY,3,8,2.736135154251604e-06
AMMONIA,GERMANY,3,9,6.780856668045387e-06
AMMONIA,GERMANY,3,10,5.998480482297193e-06
AMMONIA,GERMANY,3,11,4.587136118845607e-06
AMMONIA,GERMANY,3,12,3.31833369308926e-06
AMMONIA,GERMANY,4,1,5.776308203363068e-06
AMMONIA,GERMANY,4,2,9.174218536616082e-06
AMMONIA,GERMANY,4,3,1.559589830571511e-05
AMMONIA,GERMANY,4,4,4.455954929339564e-06
AMMONIA,GERMANY,4,5,4.332184586042337e-06
AMMONIA,GERMANY,4,6,1.039725610368197e-05
AMMONIA,GERMANY,4,7,4.104224650941272e-06
AMMONIA,GERMANY,4,8,2.736135258377404e-06
AMMONIA,GERMANY,4,9,6.780856953668175e-06
AMMONIA,GERMANY,4,10,5.998480322573604e-06
AMMONIA,GERMANY,4,11,4.587136290449629e-06
AMMONIA,GERMANY,4,12,3.318333655947413e-06
AMMONIA,GERMANY,5,1,5.776308075842138e-06
AMMONIA,GERMANY,5,2,9.17421864872704e-06
AMMONIA,GERMANY,5,3,1.559590446457182e-05
AMMONIA,GERMANY,5,4,4.455955111414804e-06
AMMONIA,GERMANY,5,5,4.332184687027027e-06
AMMONIA,GERMANY,5,6,1.039725763958384e-05
AMMONIA,GERMANY,5,7,4.104224871887421e-06
AMMONIA,GERMANY,5,8,2.736135395096484e-06
AMMONIA,GERMANY,5,9,6.780857586836153e-06
AMMONIA,GERMANY,5,10,5.998480303468726e-06
AMMONIA,GERMANY,5,11,4.587136526285549e-06
AMMONIA,GERMANY,5,12,3.31833367324422e-06
AMMONIA,GERMANY,6,1,5.776307967896366e-06
AMMONIA,GERMANY,6,2,9.174219152292344e-06
AMMONIA,GERMANY,6,3,1.559591120636237e-05
AMMONIA,GERMANY,6,4,4.455955392196277e-06
AMMONIA,GERMANY,6,5,4.332184951071451e-06
AMMONIA,GERMANY,6,6,1.039725971449398e-05
AMMONIA,GERMANY,6,7,4.104225187635382e-06
AMMONIA,GERMANY,6,8,2.736135612812305e-06
AMMONIA,GERMANY,6,9,6.7808586982881e-06
AMMONIA,GERMANY,6,10,5.998480391352433e-06
AMMONIA,GERMANY,6,11,4.587136871961949e-06
AMMONIA,GERMANY,6,12,3.318333949277958e-06
