index,capacity
AMMONIA_STORAGE,0.2058408899621912
BATT_LI,4.941705342698223e-07
CCGT,2.113129461196802e-07
CCGT_AMMONIA,3.919793796187271e-08
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,6.684492166316388e-09
DEC_ADVCOGEN_H2,4.574281058792923e-09
DEC_BOILER_GAS,1.31172550366712e-07
DEC_BOILER_OIL,1.102617272787613e-07
DEC_BOILER_WOOD,5.372197315492483e-08
DEC_COGEN_GAS,1.6869448414549e-08
DEC_COGEN_OIL,1.61488675455422e-08
DEC_DIRECT_ELEC,6.188716273071513e-07
DEC_HP_ELEC,73.36431876593633
DEC_SOLAR,3.829759760528412e-07
DEC_THHP_GAS,1.009355911290936e-07
DHN,37.78751249357432
DHN_BOILER_GAS,7.968500342976919e-08
DHN_BOILER_OIL,7.852796457094455e-08
DHN_BOILER_WOOD,7.204250289084353e-08
DHN_COGEN_BIO_HYDROLYSIS,1.080875056335159e-08
DHN_COGEN_GAS,2.924263217766578e-08
DHN_COGEN_WASTE,1.25007204807816e-08
DHN_COGEN_WET_BIOMASS,2.811523284019913
DHN_COGEN_WOOD,2.353190603615611e-08
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,34.97598886219652
DHN_SOLAR,4.101841488654695e-08
EFFICIENCY,0.9852216748768474
GAS_STORAGE,0.08133281533850772
GEOTHERMAL,0.0
GRID,3.07691143685812
H2_STORAGE,0.0001548829040547688
HYDRO_RIVER,8.034813273784862e-07
IND_BOILER_COAL,19.27512175015956
IND_BOILER_GAS,3.799494462830962e-07
IND_BOILER_OIL,3.962855410198751e-07
IND_BOILER_WASTE,4.415373508182177
IND_BOILER_WOOD,2.155655916411488e-07
IND_COGEN_GAS,2.426410181339796e-08
IND_COGEN_WASTE,1.665063243472321e-08
IND_COGEN_WOOD,3.309854461757999e-08
IND_DIRECT_ELEC,25.48914756633447
LFO_STORAGE,0.2058408901797902
NUCLEAR,0.0
PHS,7.241999998466944
PV,96.31783389149999
TS_DEC_ADVCOGEN_GAS,6.20678033547665e-06
TS_DEC_ADVCOGEN_H2,6.145608026993876e-06
TS_DEC_BOILER_GAS,6.307169274434472e-06
TS_DEC_BOILER_OIL,6.289339493753951e-06
TS_DEC_BOILER_WOOD,6.319184014050818e-06
TS_DEC_COGEN_GAS,6.296806628440039e-06
TS_DEC_COGEN_OIL,6.242311804103481e-06
TS_DEC_DIRECT_ELEC,6.320666685833655e-06
TS_DEC_HP_ELEC,173.1747949461898
TS_DEC_THHP_GAS,6.318280939377833e-06
TS_DHN_DAILY,6.90899844673961e-05
TS_DHN_SEASONAL,5046.340129251608
TS_HIGH_TEMP,1.784973874054278
WIND_OFFSHORE,1.040719476634028e-07
WIND_ONSHORE,326.7388613623935
