index,capacity
AMMONIA_STORAGE,0.001103216706199062
BATT_LI,2.552762723628022e-09
CCGT,4.884161456844121
CCGT_AMMONIA,2.122304105531267e-10
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,3.817362495550554e-11
DEC_ADVCOGEN_H2,2.505727176901254e-11
DEC_BOILER_GAS,7.113550070222766e-10
DEC_BOILER_OIL,5.943248296669149e-10
DEC_BOILER_WOOD,2.86922068234158e-10
DEC_COGEN_GAS,9.54389972963299e-11
DEC_COGEN_OIL,8.898847155980303e-11
DEC_DIRECT_ELEC,3.295049640992365e-09
DEC_HP_ELEC,73.42382626708527
DEC_SOLAR,2.040474409097017e-09
DEC_THHP_GAS,6.3590520131835e-10
DHN,36.16943436748585
DHN_BOILER_GAS,4.320816149249982e-10
DHN_BOILER_OIL,4.238513177564625e-10
DHN_BOILER_WOOD,3.858982801140222e-10
DHN_COGEN_BIO_HYDROLYSIS,5.792028273754695e-11
DHN_COGEN_GAS,1.883720616309122e-10
DHN_COGEN_WASTE,6.85391293939714e-11
DHN_COGEN_WET_BIOMASS,2.74363721441119
DHN_COGEN_WOOD,1.253973750399115e-10
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,33.4257971511715
DHN_SOLAR,2.210962913657449e-10
EFFICIENCY,0.9852216748768474
GAS_STORAGE,9379.109962552775
GEOTHERMAL,0.0
GRID,2.986922611457068
H2_STORAGE,8.301324374709873e-07
HYDRO_RIVER,1.718657671471754e-09
IND_BOILER_COAL,24.3636746759578
IND_BOILER_GAS,2.030348497172888e-09
IND_BOILER_OIL,2.122327183822394e-09
IND_BOILER_WASTE,1.218231335939774e-09
IND_BOILER_WOOD,1.0932235471753e-09
IND_COGEN_GAS,1.202612230899603e-10
IND_COGEN_WASTE,8.048821176769457e-11
IND_COGEN_WOOD,1.561745797767684e-10
IND_DIRECT_ELEC,25.29946261802775
LFO_STORAGE,0.0011032167076368
NUCLEAR,0.0
PHS,7.241999999991537
PV,83.70480754714285
TS_DEC_ADVCOGEN_GAS,3.332928918722055e-08
TS_DEC_ADVCOGEN_H2,3.295298419753577e-08
TS_DEC_BOILER_GAS,3.383163296982644e-08
TS_DEC_BOILER_OIL,3.375196970316794e-08
TS_DEC_BOILER_WOOD,3.38757407213793e-08
TS_DEC_COGEN_GAS,3.385629634316319e-08
TS_DEC_COGEN_OIL,3.352762028935197e-08
TS_DEC_DIRECT_ELEC,3.381738422554873e-08
TS_DEC_HP_ELEC,173.3152610204242
TS_DEC_THHP_GAS,3.387055007585509e-08
TS_DHN_DAILY,3.715412005613763e-07
TS_DHN_SEASONAL,4893.654474083811
TS_HIGH_TEMP,6.377966268959604e-08
WIND_OFFSHORE,5.038331709400024e-10
WIND_ONSHORE,321.0216044782064
