ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.466175953824035
ELECTRICITY,GERMANY,1,2,-2.687957694539151
ELECTRICITY,GERMANY,1,3,-2.684358168567158
ELECTRICITY,GERMANY,1,4,-2.512944522300387
ELECTRICITY,GERMANY,1,5,4.388526707665584
ELECTRICITY,GERMANY,1,6,-2.481755929050003
ELECTRICITY,GERMANY,1,7,-2.50063678711026
ELECTRICITY,GERMANY,1,8,-2.49808578657256
ELECTRICITY,GERMANY,1,9,-2.551915845416445
ELECTRICITY,GERMANY,1,10,6.135383134145798
ELECTRICITY,GERMANY,1,11,-2.549123067280902
ELECTRICITY,GERMANY,1,12,6.236557422335892
ELECTRICITY,GERMANY,2,1,6.412660285336486
ELECTRICITY,GERMANY,2,2,-2.660145867523646
ELECTRICITY,GERMANY,2,3,-2.666787350506539
ELECTRICITY,GERMANY,2,4,-2.571425818637067
ELECTRICITY,GERMANY,2,5,4.378138401601881
ELECTRICITY,GERMANY,2,6,-2.496632653695407
ELECTRICITY,GERMANY,2,7,-2.503089102913982
ELECTRICITY,GERMANY,2,8,-2.4997609600182
ELECTRICITY,GERMANY,2,9,-2.553174075859893
ELECTRICITY,GERMANY,2,10,6.151415990747815
ELECTRICITY,GERMANY,2,11,-2.529309638487241
ELECTRICITY,GERMANY,2,12,6.202024996633355
ELECTRICITY,GERMANY,3,1,6.411928568231048
ELECTRICITY,GERMANY,3,2,-2.647191028204418
ELECTRICITY,GERMANY,3,3,-2.673046430180626
ELECTRICITY,GERMANY,3,4,-2.592566557210382
ELECTRICITY,GERMANY,3,5,4.413081948936529
ELECTRICITY,GERMANY,3,6,-2.517043125170765
ELECTRICITY,GERMANY,3,7,-2.529292368661721
ELECTRICITY,GERMANY,3,8,-2.395316771621431
ELECTRICITY,GERMANY,3,9,-2.568748995045688
ELECTRICITY,GERMANY,3,10,6.215541519493144
ELECTRICITY,GERMANY,3,11,-2.522258613771442
ELECTRICITY,GERMANY,3,12,6.215036623938929
ELECTRICITY,GERMANY,4,1,6.433331294693971
ELECTRICITY,GERMANY,4,2,-2.648772451173997
ELECTRICITY,GERMANY,4,3,-2.682053879879305
ELECTRICITY,GERMANY,4,4,-2.654321000760319
ELECTRICITY,GERMANY,4,5,4.511987081172883
ELECTRICITY,GERMANY,4,6,-2.580911889286732
ELECTRICITY,GERMANY,4,7,-2.585125727774773
ELECTRICITY,GERMANY,4,8,-2.525623765709355
ELECTRICITY,GERMANY,4,9,-2.650992857862612
ELECTRICITY,GERMANY,4,10,6.347846539785522
ELECTRICITY,GERMANY,4,11,-2.515432096840442
ELECTRICITY,GERMANY,4,12,6.267130341505499
ELECTRICITY,GERMANY,5,1,6.54656453139873
ELECTRICITY,GERMANY,5,2,-2.688433848421987
ELECTRICITY,GERMANY,5,3,-2.742483480786539
ELECTRICITY,GERMANY,5,4,-2.79911371928786
ELECTRICITY,GERMANY,5,5,3.426691135705255
ELECTRICITY,GERMANY,5,6,-2.720997345685795
ELECTRICITY,GERMANY,5,7,-2.71936904753197
ELECTRICITY,GERMANY,5,8,-2.721755729689846
ELECTRICITY,GERMANY,5,9,-2.78700510159517
ELECTRICITY,GERMANY,5,10,6.720567851127768
ELECTRICITY,GERMANY,5,11,-2.511045560120834
ELECTRICITY,GERMANY,5,12,6.417197804779519
ELECTRICITY,GERMANY,6,1,6.869983613076457
ELECTRICITY,GERMANY,6,2,-2.82296335392742
ELECTRICITY,GERMANY,6,3,-2.890367498813447
ELECTRICITY,GERMANY,6,4,-2.888551699693906
ELECTRICITY,GERMANY,6,5,1.950710506468226
ELECTRICITY,GERMANY,6,6,-2.826503668977821
ELECTRICITY,GERMANY,6,7,-2.826967487327011
ELECTRICITY,GERMANY,6,8,-2.834933813021081
ELECTRICITY,GERMANY,6,9,-2.885309905943984
ELECTRICITY,GERMANY,6,10,6.979997035553453
ELECTRICITY,GERMANY,6,11,-2.540979109063414
ELECTRICITY,GERMANY,6,12,6.795072136188992
ELECTRICITY,GERMANY,7,1,7.186882256585378
ELECTRICITY,GERMANY,7,2,-2.945522400397834
ELECTRICITY,GERMANY,7,3,-2.998614790778433
ELECTRICITY,GERMANY,7,4,-2.942904787697117
ELECTRICITY,GERMANY,7,5,4.987993550815986
ELECTRICITY,GERMANY,7,6,-2.878451316426407
ELECTRICITY,GERMANY,7,7,-2.878868259527124
ELECTRICITY,GERMANY,7,8,-2.894559133242609
ELECTRICITY,GERMANY,7,9,-2.9518160197524
ELECTRICITY,GERMANY,7,10,7.119135467850796
ELECTRICITY,GERMANY,7,11,-2.597893066085987
ELECTRICITY,GERMANY,7,12,7.108655520002614
ELECTRICITY,GERMANY,8,1,7.335875343024568
